timestamp,ax,ay,az,gx,gy,gz
1526044622825,0.016,0.014,0.002,-0.7,0.0,1.1
1526044622829,0.015,0.01,0.006,-0.9,0.2,0.8
1526044622847,0.018,0.012,0.002,-0.4,0.1,0.8
1526044622885,0.016,0.013,0.002,-0.4,0.2,0.9
1526044622905,0.015,0.012,0.008,-0.5,0.2,1.1
1526044622909,0.017,0.013,0.007,-0.8,0.1,0.9
1526044622925,0.015,0.014,0.003,-0.9,0.0,1.0
1526044622961,0.017,0.013,0.008,-0.9,0.1,1.0
1526044622981,0.015,0.013,0.005,-0.8,0.1,1.0
1526044622985,0.015,0.011,0.004,-0.4,0.1,1.0
1526044623006,0.015,0.005,0.002,-0.1,0.2,1.1
1526044623024,0.019,0.01,0.003,0.4,0.7,0.8
1526044623064,0.021,0.021,0.012,-0.2,0.6,0.6
1526044623083,0.015,0.022,0.017,-1.6,0.0,1.0
1526044623087,0.011,0.013,0.004,-2.6,-0.2,1.3
1526044623108,0.012,0.004,-0.005,-1.8,0.0,1.1
1526044623128,0.013,0.003,-0.005,-0.6,0.3,0.8
1526044623147,0.017,0.009,0.002,0.3,0.4,0.8
1526044623167,0.022,0.015,0.009,0.4,0.3,1.0
1526044623188,0.02,0.017,0.012,-0.1,0.1,1.1
1526044623225,0.016,0.015,0.008,-1.0,-0.1,1.1
1526044623248,0.016,0.015,0.004,-1.0,-0.2,1.2
1526044623252,0.015,0.008,0.0,-0.9,0.0,1.1
1526044623270,0.018,0.013,0.005,-0.5,0.0,1.0
1526044623289,0.017,0.014,0.004,-0.7,0.1,1.0
1526044623310,0.017,0.012,0.003,-0.4,0.0,0.9
1526044623331,0.017,0.01,0.005,-0.4,0.2,1.0
1526044623350,0.015,0.008,0.0,-0.4,0.3,1.0
1526044623367,0.019,0.01,0.003,-0.1,0.4,0.8
1526044623388,0.02,0.016,0.01,-0.1,0.4,0.8
1526044623408,0.018,0.015,0.01,-0.7,0.3,0.9
1526044623446,0.019,0.015,0.008,-1.2,0.1,0.9
1526044623466,0.016,0.015,0.0,-1.3,0.0,1.1
1526044623470,0.016,0.01,0.003,-1.2,0.1,1.1
1526044623508,0.015,0.008,0.0,-0.7,0.1,1.0
1526044623530,0.016,0.012,-0.002,-0.6,0.2,0.9
1526044623534,0.017,0.014,0.0,-0.4,0.0,1.1
1526044623546,0.015,0.011,0.004,-0.4,0.0,1.0
1526044623587,0.015,0.01,0.004,-0.5,0.1,1.0
1526044623591,0.016,0.011,0.002,-0.4,0.0,1.0
1526044623608,0.014,0.015,0.001,-0.4,0.3,1.0
1526044623630,0.014,0.016,0.007,-0.6,0.1,1.0
1526044623649,0.017,0.012,0.007,-0.3,0.1,0.9
1526044623689,0.018,0.012,0.003,-0.4,0.3,1.0
