heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
1023,0.8321,-0.1866,-0.5174,-0.0701,50.1,-37.1,-37.2,-0.414,0.166,-0.103,2018,4,24,22,39,20.006
1023,0.8294,-0.178,-0.5249,-0.0687,40.6,-45.7,-19.5,-0.359,0.225,-0.103,2018,4,24,22,39,20.028
1023,0.8258,-0.1725,-0.5328,-0.0654,31.6,-52.9,-2.8,-0.298,0.235,-0.115,2018,4,24,22,39,20.032
1023,0.8215,-0.1694,-0.541,-0.0603,27.8,-57.8,13.1,-0.269,0.228,-0.125,2018,4,24,22,39,20.067
1023,0.8168,-0.1683,-0.5491,-0.0529,24,-60.9,29,-0.171,0.262,-0.174,2018,4,24,22,39,20.067
1023,0.8118,-0.1697,-0.5568,-0.044,14,-59.7,44.1,-0.062,0.297,-0.214,2018,4,24,22,39,20.089
1023,0.8068,-0.174,-0.5634,-0.0345,1.4,-54.3,55.8,0.03,0.293,-0.187,2018,4,24,22,39,20.126
1023,0.802,-0.1806,-0.5687,-0.0246,-3.4,-47.6,64.5,0.056,0.241,-0.152,2018,4,24,22,39,20.149
1023,0.7978,-0.1878,-0.5726,-0.0138,-0.2,-39.8,72.2,0.102,0.204,-0.167,2018,4,24,22,39,20.153
1023,0.7943,-0.1957,-0.575,-0.0024,-6.7,-31.7,77,0.162,0.151,-0.176,2018,4,24,22,39,20.172
1023,0.7908,-0.2059,-0.5762,0.0073,-29.3,-24.5,75.4,0.194,0.096,-0.167,2018,4,24,22,39,20.19
0,0.787,-0.219,-0.5765,0.0138,-52.8,-18.9,69.1,0.214,0.029,-0.151,2018,4,24,22,39,20.212
0,0.7829,-0.2333,-0.5763,0.0174,-58.2,-12.3,59.7,0.24,-0.028,-0.151,2018,4,24,22,39,20.25
0,0.7797,-0.2462,-0.5753,0.0197,-50.5,-3.2,50.2,0.251,-0.037,-0.134,2018,4,24,22,39,20.272
0,0.7777,-0.257,-0.5732,0.0212,-42,6.7,41,0.228,-0.024,-0.081,2018,4,24,22,39,20.276
0,0.7764,-0.2656,-0.5709,0.0211,-37.1,15.6,31.9,0.267,0,-0.044,2018,4,24,22,39,20.295
0,0.7764,-0.2735,-0.5674,0.0199,-40,24,24.4,0.298,0.055,-0.05,2018,4,24,22,39,20.313
0,0.777,-0.2812,-0.5627,0.017,-43.6,34,18.7,0.244,0.017,-0.038,2018,4,24,22,39,20.337
0,0.7783,-0.2883,-0.5574,0.0125,-42.6,42.1,14.2,0.256,-0.026,-0.004,2018,4,24,22,39,20.353
0,0.7806,-0.2943,-0.5512,0.0075,-31,50.1,7.5,0.327,-0.07,0.002,2018,4,24,22,39,20.371
0,0.7844,-0.2975,-0.5441,0.0025,-17,57.6,-2.3,0.276,-0.162,0.079,2018,4,24,22,39,20.394
0,0.7896,-0.2986,-0.5359,-0.0027,-10.7,61.1,-16.1,0.212,-0.267,0.138,2018,4,24,22,39,20.431
0,0.795,-0.2982,-0.528,-0.0093,-6.4,60.6,-31.5,0.178,-0.309,0.131,2018,4,24,22,39,20.431
0,0.8002,-0.2949,-0.5217,-0.0182,-0.5,59.1,-45.5,0.063,-0.304,0.118,2018,4,24,22,39,20.454
0,0.8056,-0.2891,-0.5162,-0.0277,15.2,56,-55.2,-0.056,-0.302,0.112,2018,4,24,22,39,20.473
0,0.8113,-0.2798,-0.5118,-0.0365,34,50.7,-64.2,-0.171,-0.282,0.121,2018,4,24,22,39,20.495
0,0.8169,-0.2676,-0.5088,-0.0447,45.8,40.3,-70.5,-0.271,-0.202,0.117,2018,4,24,22,39,20.514
0,0.8215,-0.2539,-0.5077,-0.0522,51.4,27.8,-72.3,-0.338,-0.123,0.063,2018,4,24,22,39,20.536
0,0.8251,-0.2396,-0.5082,-0.0586,57.3,15.9,-69.5,-0.41,-0.045,0.048,2018,4,24,22,39,20.552
0,0.8278,-0.2246,-0.5101,-0.0629,66.8,3.5,-61.9,-0.452,0.027,0.043,2018,4,24,22,39,20.571
0,0.8294,-0.2098,-0.5135,-0.0649,65.4,-9.7,-51.6,-0.467,0.1,-0.004,2018,4,24,22,39,20.593
0,0.8294,-0.1977,-0.5182,-0.0657,48.2,-23.3,-37.7,-0.458,0.16,-0.037,2018,4,24,22,39,20.631
0,0.8276,-0.1899,-0.5239,-0.0654,29.5,-35.1,-21.1,-0.401,0.192,-0.071,2018,4,24,22,39,20.652
0,0.8246,-0.1859,-0.5304,-0.0638,18.5,-43.7,-5.9,-0.314,0.2,-0.106,2018,4,24,22,39,20.655
0,0.8207,-0.1842,-0.5373,-0.0607,14,-49.4,6.9,-0.236,0.196,-0.132,2018,4,24,22,39,20.692
0,0.8165,-0.1841,-0.5443,-0.0558,12.8,-51.9,19.9,-0.165,0.22,-0.165,2018,4,24,22,39,20.715
0,0.8121,-0.1856,-0.5509,-0.0493,7.9,-51.7,32.9,-0.081,0.251,-0.193,2018,4,24,22,39,20.719
1023,0.8075,-0.1895,-0.5568,-0.0419,-3.9,-49.9,43.3,-0.004,0.263,-0.188,2018,4,24,22,39,20.737
1023,0.8028,-0.1956,-0.562,-0.0342,-9.1,-47.4,53.2,0.024,0.23,-0.151,2018,4,24,22,39,20.757
1023,0.7984,-0.2024,-0.5663,-0.025,-0.4,-43.9,64,0.072,0.183,-0.158,2018,4,24,22,39,20.776
1023,0.7947,-0.2088,-0.5696,-0.0138,3.8,-38.5,69.9,0.19,0.227,-0.136,2018,4,24,22,39,20.794
1023,0.791,-0.2168,-0.5719,-0.0031,-19.3,-32.3,72.4,0.231,0.25,-0.164,2018,4,24,22,39,20.831
1023,0.7869,-0.2292,-0.5728,0.0039,-54,-20.7,70.4,0.263,0.107,-0.196,2018,4,24,22,39,20.854
1023,0.7827,-0.2453,-0.5718,0.007,-75.4,-5.7,65.8,0.301,-0.014,-0.124,2018,4,24,22,39,20.859
1023,0.7795,-0.2619,-0.5688,0.0077,-75.3,10.4,57.4,0.354,-0.081,-0.109,2018,4,24,22,39,20.877
1023,0.7783,-0.2764,-0.5637,0.0071,-59.8,30.3,47.6,0.36,-0.112,-0.111,2018,4,24,22,39,20.896
1023,0.7797,-0.2869,-0.5564,0.0063,-31,52,37.6,0.344,-0.189,0.001,2018,4,24,22,39,20.917
1023,0.7846,-0.2924,-0.5466,0.0061,-4.5,66,24.8,0.27,-0.242,0.12,2018,4,24,22,39,20.955
1023,0.7916,-0.2936,-0.5356,0.0059,13.2,69,10.8,0.219,-0.228,0.152,2018,4,24,22,39,20.978
1023,0.799,-0.2919,-0.5255,0.0048,17.9,67,-2.9,0.169,-0.161,0.106,2018,4,24,22,39,20.983
0,0.8064,-0.2884,-0.5161,0.0023,24.5,64.8,-13.7,0.118,-0.165,0.165,2018,4,24,22,39,21.001
0,0.8137,-0.282,-0.5082,-0.0003,41.7,57.3,-25.2,0.058,-0.209,0.247,2018,4,24,22,39,21.037
0,0.8202,-0.2729,-0.5026,-0.0034,43.3,43.2,-37.9,0.03,-0.173,0.223,2018,4,24,22,39,21.06
0,0.8251,-0.2636,-0.4995,-0.008,32.6,28.8,-48.7,-0.01,-0.174,0.159,2018,4,24,22,39,21.062
0,0.8284,-0.2543,-0.4988,-0.014,32.3,17.2,-57.3,-0.091,-0.197,0.136,2018,4,24,22,39,21.079
0,0.8308,-0.2434,-0.4999,-0.0201,45.4,6.1,-64.7,-0.141,-0.186,0.117,2018,4,24,22,39,21.097
0,0.8328,-0.2298,-0.5028,-0.0255,57.8,-3.2,-71.9,-0.195,-0.146,0.057,2018,4,24,22,39,21.12
0,0.8341,-0.2144,-0.5072,-0.0306,61,-12.2,-74.8,-0.252,-0.034,-0.002,2018,4,24,22,39,21.139
0,0.8345,-0.1998,-0.5121,-0.0355,52.4,-19.6,-71.7,-0.275,0.044,-0.062,2018,4,24,22,39,21.176
0,0.834,-0.1868,-0.5174,-0.0403,43.4,-24.3,-64.7,-0.305,0.1,-0.094,2018,4,24,22,39,21.199
0,0.8328,-0.1751,-0.523,-0.0448,39.7,-27.1,-53.8,-0.346,0.145,-0.126,2018,4,24,22,39,21.204
0,0.8311,-0.165,-0.5288,-0.0474,37,-29.8,-40.2,-0.346,0.221,-0.17,2018,4,24,22,39,21.22
0,0.8289,-0.1574,-0.5345,-0.048,30.6,-31.8,-23.6,-0.275,0.269,-0.204,2018,4,24,22,39,21.239
0,0.8264,-0.1527,-0.5398,-0.0469,17.3,-32.7,-6.6,-0.227,0.313,-0.248,2018,4,24,22,39,21.26
0,0.8236,-0.1523,-0.5444,-0.0452,-4,-31.1,9.9,-0.197,0.339,-0.26,2018,4,24,22,39,21.275
0,0.8206,-0.1564,-0.5479,-0.0431,-23.3,-26,26.7,-0.168,0.334,-0.255,2018,4,24,22,39,21.298
0,0.8179,-0.1642,-0.5498,-0.0402,-33.5,-18.4,43.8,-0.12,0.298,-0.224,2018,4,24,22,39,21.317
0,0.8159,-0.1743,-0.55,-0.0356,-34.3,-9.5,61.6,-0.124,0.29,-0.211,2018,4,24,22,39,21.34
0,0.8148,-0.1862,-0.5482,-0.0287,-37.9,0.6,79.3,-0.097,0.284,-0.224,2018,4,24,22,39,21.359
0,0.8141,-0.201,-0.5442,-0.0208,-54,9.8,94.1,0.002,0.284,-0.235,2018,4,24,22,39,21.382
0,0.8136,-0.219,-0.5382,-0.0129,-61.8,19.8,104,0.045,0.145,-0.123,2018,4,24,22,39,21.4
0,0.8134,-0.2365,-0.5312,-0.0042,-48.3,24.9,106.3,0.08,-0.017,-0.059,2018,4,24,22,39,21.423
0,0.8134,-0.2528,-0.5238,0.005,-46.7,26.8,98.3,0.135,-0.068,-0.083,2018,4,24,22,39,21.442
0,0.8128,-0.2689,-0.5165,0.012,-57,29.1,84.7,0.233,-0.15,-0.02,2018,4,24,22,39,21.478
1023,0.8123,-0.2844,-0.5088,0.0163,-54.8,31.7,66.8,0.307,-0.291,0.133,2018,4,24,22,39,21.478
1023,0.813,-0.2961,-0.5009,0.0191,-31.3,32.2,44.7,0.342,-0.388,0.275,2018,4,24,22,39,21.5
1023,0.8152,-0.3015,-0.4939,0.021,-5,30.4,18.6,0.368,-0.393,0.337,2018,4,24,22,39,21.517
1023,0.8184,-0.3016,-0.4885,0.0211,12.4,27.5,-5.8,0.363,-0.376,0.339,2018,4,24,22,39,21.538
1023,0.8219,-0.2975,-0.4852,0.0191,24,22.7,-27.5,0.304,-0.347,0.357,2018,4,24,22,39,21.574
1023,0.825,-0.2903,-0.4844,0.015,31,14.4,-47.5,0.216,-0.32,0.329,2018,4,24,22,39,21.595
1023,0.8277,-0.2804,-0.4858,0.0093,40.7,4.8,-65.1,0.122,-0.282,0.258,2018,4,24,22,39,21.6
1023,0.8301,-0.2673,-0.4893,0.0029,53.5,-4.2,-78.4,0.017,-0.222,0.165,2018,4,24,22,39,21.637
1023,0.8321,-0.2514,-0.4942,-0.0035,67.2,-12.1,-86.4,-0.087,-0.166,0.089,2018,4,24,22,39,21.66
1023,0.8337,-0.233,-0.5004,-0.0093,78.9,-19.4,-90.1,-0.145,-0.106,0.032,2018,4,24,22,39,21.665
1023,0.8347,-0.2131,-0.5074,-0.0144,83.7,-26.4,-90.7,-0.212,-0.031,-0.023,2018,4,24,22,39,21.683
1023,0.8348,-0.1939,-0.5147,-0.019,74.1,-33.8,-88.9,-0.26,0.036,-0.068,2018,4,24,22,39,21.701
0,0.8335,-0.1767,-0.5228,-0.0243,58.5,-39.6,-83.8,-0.27,0.092,-0.121,2018,4,24,22,39,21.722
0,0.8308,-0.1616,-0.5317,-0.03,48.4,-41.3,-74.7,-0.281,0.161,-0.181,2018,4,24,22,39,21.761
0,0.8278,-0.149,-0.5396,-0.0347,40.5,-39.4,-61.8,-0.311,0.225,-0.237,2018,4,24,22,39,21.781
0,0.8248,-0.139,-0.5465,-0.038,31.6,-34.9,-43.5,-0.323,0.299,-0.278,2018,4,24,22,39,21.787
0,0.8222,-0.1327,-0.552,-0.0395,16.5,-28.6,-21.6,-0.273,0.366,-0.317,2018,4,24,22,39,21.801
0,0.8198,-0.1311,-0.5558,-0.0397,-4.6,-21,2.7,-0.232,0.426,-0.335,2018,4,24,22,39,21.838
0,0.8179,-0.1352,-0.5577,-0.0387,-27.4,-12.1,27.4,-0.19,0.428,-0.343,2018,4,24,22,39,21.861
0,0.8167,-0.1444,-0.5574,-0.0364,-42.9,-1.2,51.3,-0.15,0.402,-0.321,2018,4,24,22,39,21.865
0,0.8163,-0.157,-0.5548,-0.032,-47.3,10.6,72.4,-0.112,0.366,-0.28,2018,4,24,22,39,21.885
0,0.8169,-0.1718,-0.5498,-0.0254,-50.6,21.4,90.4,-0.115,0.286,-0.209,2018,4,24,22,39,21.902
0,0.8181,-0.1886,-0.5429,-0.0173,-55.8,29.2,104.6,-0.14,0.203,-0.178,2018,4,24,22,39,21.926
0,0.8193,-0.2076,-0.5342,-0.0083,-65.1,36.1,115.7,-0.051,0.115,-0.202,2018,4,24,22,39,21.962
0,0.8208,-0.2281,-0.5236,0.0009,-64.8,48,120.6,0.003,-0.066,-0.101,2018,4,24,22,39,21.982
0,0.8227,-0.2482,-0.5112,0.0107,-57.9,55.3,118,0.002,-0.088,0.026,2018,4,24,22,39,21.988
0,0.8251,-0.267,-0.4974,0.0203,-52,56.9,110.9,0.056,-0.187,0.096,2018,4,24,22,39,22.005
0,0.8275,-0.2834,-0.4836,0.0295,-38.2,56.2,99.6,0.133,-0.255,0.175,2018,4,24,22,39,22.024
0,0.8304,-0.2961,-0.4703,0.038,-23.8,51.9,83.2,0.198,-0.275,0.281,2018,4,24,22,39,22.041
0,0.8329,-0.3047,-0.4597,0.0447,-10.4,43.2,61.3,0.234,-0.39,0.42,2018,4,24,22,39,22.065
0,0.8351,-0.3094,-0.452,0.0494,1.4,27.9,35,0.271,-0.395,0.438,2018,4,24,22,39,22.102
0,0.8368,-0.3099,-0.4481,0.052,16,10,6.3,0.308,-0.405,0.433,2018,4,24,22,39,22.126
0,0.8385,-0.3061,-0.4475,0.0526,25.3,-4.6,-20.9,0.316,-0.375,0.342,2018,4,24,22,39,22.13
0,0.8398,-0.2991,-0.45,0.051,36.6,-15.4,-45.1,0.257,-0.336,0.236,2018,4,24,22,39,22.148
1023,0.8411,-0.2884,-0.4548,0.0476,51.8,-22.2,-66.8,0.189,-0.265,0.137,2018,4,24,22,39,22.184
