heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
0,0.8281,-0.1038,-0.261,0.485,-6.3,-6.3,11.8,0.031,-0.044,0.146,2018,4,24,22,47,49.305
1023,0.8271,-0.1029,-0.2614,0.4866,12.2,-7.3,5.2,0.074,-0.068,0.161,2018,4,24,22,47,49.329
1023,0.827,-0.0995,-0.2611,0.4876,21.2,-9.1,-2.7,0.076,-0.048,0.156,2018,4,24,22,47,49.334
1023,0.8275,-0.0947,-0.2608,0.4879,24,-12.6,-9.4,0.073,-0.026,0.125,2018,4,24,22,47,49.351
1023,0.8284,-0.0888,-0.261,0.4874,25.3,-15.6,-13.4,0.081,0.015,0.101,2018,4,24,22,47,49.369
1023,0.8294,-0.0824,-0.2615,0.4866,25.4,-18.4,-15.1,0.055,0.036,0.073,2018,4,24,22,47,49.392
1023,0.8303,-0.0753,-0.262,0.486,34,-20.9,-14.2,0.005,0.029,0.029,2018,4,24,22,47,49.41
1023,0.831,-0.0669,-0.2618,0.4861,39.3,-23.7,-11.8,-0.029,0.074,-0.011,2018,4,24,22,47,49.433
1023,0.8313,-0.0583,-0.2618,0.4867,36.4,-25.8,-7.7,-0.051,0.098,-0.041,2018,4,24,22,47,49.451
1023,0.831,-0.0504,-0.2621,0.4879,32.3,-27.3,-0.8,-0.081,0.106,-0.064,2018,4,24,22,47,49.473
1023,0.8299,-0.0432,-0.2625,0.4902,30.9,-27.4,8.5,-0.111,0.12,-0.087,2018,4,24,22,47,49.492
1023,0.828,-0.0371,-0.2628,0.4938,26.4,-27,17.4,-0.144,0.109,-0.107,2018,4,24,22,47,49.514
1023,0.8253,-0.0326,-0.2632,0.4984,19.9,-25.1,26.5,-0.17,0.088,-0.132,2018,4,24,22,47,49.532
0,0.8218,-0.0299,-0.2638,0.5041,15.2,-22.7,34.3,-0.181,0.068,-0.153,2018,4,24,22,47,49.555
0,0.8176,-0.0288,-0.2648,0.5104,6.5,-19.6,40.5,-0.165,0.041,-0.15,2018,4,24,22,47,49.574
0,0.8129,-0.0298,-0.2664,0.517,-2,-14.9,45.6,-0.15,0.002,-0.18,2018,4,24,22,47,49.593
0,0.808,-0.0316,-0.2681,0.5235,-5.4,-8.1,47.6,-0.114,-0.062,-0.213,2018,4,24,22,47,49.629
0,0.8035,-0.0342,-0.2689,0.5299,-6.7,0.1,46.5,-0.06,-0.078,-0.233,2018,4,24,22,47,49.652
0,0.7995,-0.038,-0.2688,0.5357,-11,9.1,43,-0.008,-0.121,-0.219,2018,4,24,22,47,49.657
0,0.7962,-0.0431,-0.2679,0.5406,-15.4,17.6,38.7,0.018,-0.146,-0.221,2018,4,24,22,47,49.674
0,0.7938,-0.0492,-0.2662,0.5445,-18.7,26.2,31.7,0.057,-0.19,-0.218,2018,4,24,22,47,49.692
0,0.7924,-0.0563,-0.2637,0.547,-24.5,34.1,21.4,0.15,-0.193,-0.179,2018,4,24,22,47,49.716
0,0.7924,-0.0643,-0.2611,0.5475,-29.3,38.9,9.9,0.194,-0.19,-0.098,2018,4,24,22,47,49.733
