ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0,0.005,-0.003,-0.6,-0.9,0,0,2018,4,13,16,48,30.585,-0.2235,0.0757,0.4908,-0.8386
0.003,0.002,-0.007,-0.6,-0.9,0,0,2018,4,13,16,48,30.608,-0.222,0.0748,0.4916,-0.8386
0,0,-0.006,-0.6,-0.7,0.1,0,2018,4,13,16,48,30.645,-0.2203,0.0739,0.4924,-0.8387
0.005,0.003,-0.003,-0.4,-0.9,0.1,0,2018,4,13,16,48,30.645,-0.2187,0.073,0.4932,-0.8387
0.001,0.002,-0.007,-0.3,-0.8,0.2,0,2018,4,13,16,48,30.666,-0.2171,0.0721,0.4941,-0.8387
0,0,-0.009,-0.2,-0.5,-0.2,0,2018,4,13,16,48,30.701,-0.2156,0.0712,0.4948,-0.8387
-0.001,0.004,-0.007,0,0,0,0,2018,4,13,16,48,30.724,-0.214,0.0703,0.4954,-0.8388
0,0.004,-0.004,0,-0.1,-0.8,0,2018,4,13,16,48,30.728,-0.2125,0.0694,0.4959,-0.839
-0.003,0.006,-0.006,0,0,-0.9,0,2018,4,13,16,48,30.764,-0.2109,0.0685,0.4965,-0.8392
-0.003,0.008,-0.002,-0.2,-0.1,-0.9,0,2018,4,13,16,48,30.764,-0.2095,0.0678,0.4969,-0.8393
0.001,0.01,-0.005,-0.3,-0.2,-0.6,0,2018,4,13,16,48,30.785,-0.208,0.067,0.4974,-0.8395
0.003,0.011,-0.004,0,0,0,0,2018,4,13,16,48,30.82,-0.2066,0.0662,0.4978,-0.8396
0.006,0.008,-0.003,-0.3,-0.6,-0.1,0,2018,4,13,16,48,30.843,-0.2052,0.0654,0.4983,-0.8397
0.002,0.009,0,-0.4,-0.8,0,0,2018,4,13,16,48,30.847,-0.204,0.0647,0.4988,-0.8398
0.002,0.003,-0.004,-0.5,-0.7,0.2,0,2018,4,13,16,48,30.882,-0.2027,0.0639,0.4993,-0.8399
0.004,0.001,-0.008,-0.6,-0.8,0,0,2018,4,13,16,48,30.905,-0.2015,0.0633,0.4997,-0.8399
0.002,0,-0.004,-0.8,-0.5,-0.1,0,2018,4,13,16,48,30.91,-0.2004,0.0628,0.5001,-0.84
0.006,0.001,-0.005,-0.6,-0.4,-0.1,0,2018,4,13,16,48,30.945,-0.1992,0.0622,0.5006,-0.8401
0.006,0.003,-0.008,-0.5,-0.3,0,0,2018,4,13,16,48,30.97,-0.198,0.0616,0.5009,-0.8402
0.004,0.006,-0.009,0,0,0,0,2018,4,13,16,48,30.974,-0.1969,0.0611,0.5013,-0.8403
0.001,0.005,-0.008,0,0,0,0,2018,4,13,16,48,30.987,-0.1957,0.0604,0.5016,-0.8404
