ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.236,-0.057,0.239,-128.9,-5.5,-113.9,0,2018,4,13,16,35,59.39,-0.1432,-0.1925,0.0405,-0.9699
-0.302,0.01,0.272,-143.1,-36.5,-120.8,0,2018,4,13,16,35,59.414,-0.1248,-0.1692,0.0447,-0.9766
-0.407,-0.169,0.329,-163.5,-61.1,-133,0,2018,4,13,16,35,59.425,-0.1059,-0.1416,0.054,-0.9827
-0.388,-0.492,0.294,-181.9,-44.4,-151.4,0,2018,4,13,16,35,59.461,-0.0844,-0.1092,0.0638,-0.9883
-0.313,-0.466,0.243,-190,-13.9,-171.1,0,2018,4,13,16,35,59.485,-0.059,-0.0747,0.0689,-0.993
-0.372,-0.415,0.262,-203.7,-7.9,-191.7,0,2018,4,13,16,35,59.489,-0.03,-0.0383,0.0706,-0.9963
-0.369,-0.305,0.235,-222.6,-25.2,-211.2,0,2018,4,13,16,35,59.506,0.0024,0.0013,0.0734,-0.9972
-0.338,-0.325,0.09,-237.8,-29.3,-227.8,0,2018,4,13,16,35,59.528,0.0377,0.0444,0.0786,-0.9951
-0.306,-0.194,-0.077,-239.1,-13.4,-239.7,1023,2018,4,13,16,35,59.547,0.0751,0.0889,0.0818,-0.9898
-0.24,0.027,-0.272,-231,-6.1,-248.9,1023,2018,4,13,16,35,59.562,0.114,0.1328,0.0824,-0.981
-0.165,0.307,-0.382,-213.4,-19.4,-249.5,1023,2018,4,13,16,35,59.585,0.1537,0.174,0.0827,-0.9691
-0.233,0.425,-0.405,-192.5,-49.9,-245.7,1023,2018,4,13,16,35,59.62,0.1936,0.2105,0.0865,-0.9543
-0.328,0.383,-0.402,-173,-70.3,-240.4,1023,2018,4,13,16,35,59.642,0.2332,0.2422,0.0936,-0.937
-0.293,0.467,-0.456,-151.8,-76.1,-226.3,1023,2018,4,13,16,35,59.647,0.2716,0.2692,0.1023,-0.9182
-0.315,0.443,-0.511,-128.8,-70.1,-208,1023,2018,4,13,16,35,59.682,0.307,0.2916,0.1105,-0.8991
-0.312,0.456,-0.529,-104.4,-53.4,-184.9,1023,2018,4,13,16,35,59.705,0.3385,0.31,0.1164,-0.8807
-0.3,0.485,-0.527,-81.8,-35.7,-152.6,0,2018,4,13,16,35,59.71,0.3646,0.325,0.1193,-0.8643
-0.286,0.529,-0.5,-59.5,-24.4,-114.1,0,2018,4,13,16,35,59.746,0.3848,0.3362,0.1208,-0.8509
-0.27,0.59,-0.426,-35.8,-12.5,-71.6,0,2018,4,13,16,35,59.769,0.3984,0.344,0.1211,-0.8415
-0.261,0.619,-0.375,-12.9,-11,-26.7,0,2018,4,13,16,35,59.773,0.4056,0.3477,0.1215,-0.8364
-0.252,0.59,-0.337,8.9,-11.3,16.4,0,2018,4,13,16,35,59.788,0.4069,0.3472,0.123,-0.8358
-0.223,0.565,-0.343,31.8,-9.8,58.7,0,2018,4,13,16,35,59.811,0.4023,0.3425,0.1254,-0.8396
-0.208,0.519,-0.402,57.5,-5.5,98.4,0,2018,4,13,16,35,59.825,0.392,0.3336,0.1281,-0.8476
-0.213,0.512,-0.409,86,2.4,132.6,0,2018,4,13,16,35,59.847,0.3763,0.3202,0.1301,-0.8595
-0.243,0.515,-0.407,115.3,5.3,161.7,0,2018,4,13,16,35,59.882,0.3559,0.3017,0.1309,-0.8746
-0.29,0.521,-0.457,141.9,-6.3,188,0,2018,4,13,16,35,59.905,0.3317,0.2777,0.1321,-0.8918
-0.339,0.46,-0.447,163.2,-11.8,213.6,0,2018,4,13,16,35,59.909,0.3041,0.2481,0.1348,-0.9097
-0.359,0.365,-0.354,184.2,2.5,231.3,0,2018,4,13,16,35,59.947,0.2726,0.2145,0.136,-0.9279
-0.345,0.384,-0.382,207.5,24.2,243.7,0,2018,4,13,16,35,59.947,0.2378,0.1774,0.1331,-0.9456
-0.366,0.408,-0.42,229.9,31.1,254.5,0,2018,4,13,16,35,59.97,0.2004,0.1363,0.1266,-0.9618
-0.383,0.309,-0.301,248.8,16.2,262.1,0,2018,4,13,16,36,0.007,0.1612,0.0909,0.1199,-0.9753
-0.412,0.134,-0.137,255.5,-37.2,259.2,0,2018,4,13,16,36,0.03,0.1219,0.0418,0.1187,-0.9845
-0.393,0.013,-0.215,259.6,-15.7,264.1,0,2018,4,13,16,36,0.034,0.0824,-0.0085,0.1208,-0.9892
-0.537,-0.346,0.086,276.8,30.4,251.6,0,2018,4,13,16,36,0.048,0.0429,-0.0603,0.1143,-0.9906
-0.714,-0.435,0.493,267,10.3,220.7,0,2018,4,13,16,36,0.086,0.0079,-0.1121,0.105,-0.988
-0.769,-0.487,0.56,227,-5.7,204.2,0,2018,4,13,16,36,0.107,-0.024,-0.1585,0.1012,-0.9818
-0.591,-0.473,0.394,191.5,59.4,187.1,0,2018,4,13,16,36,0.111,-0.053,-0.1973,0.0923,-0.9745
-0.533,-0.291,0.458,163.5,90.8,161,0,2018,4,13,16,36,0.146,-0.0769,-0.2309,0.0736,-0.9671
-0.498,-0.186,0.605,127.9,47.3,135.6,0,2018,4,13,16,36,0.146,-0.0968,-0.2583,0.0577,-0.9594
-0.485,-0.189,0.67,84.5,-6.2,118,0,2018,4,13,16,36,0.17,-0.1159,-0.2777,0.0516,-0.9522
-0.509,-0.204,0.763,34.3,-38.1,93.4,0,2018,4,13,16,36,0.206,-0.1338,-0.2879,0.0527,-0.9467
-0.46,-0.221,0.68,-21.3,-68.8,59.9,0,2018,4,13,16,36,0.228,-0.1488,-0.2879,0.0585,-0.9441
-0.34,-0.351,0.487,-57.4,-111.2,14.9,0,2018,4,13,16,36,0.232,-0.1601,-0.2787,0.0713,-0.9442
