ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.027,0.321,0,15.9,-50.4,-5.3,0,2018,4,26,14,54,48.816,0.9064,-0.236,-0.3276,0.1236
-0.028,0.305,0.058,15.5,-86.4,1.5,0,2018,4,26,14,54,48.837,0.9025,-0.2466,-0.3315,0.1207
-0.038,0.038,0.02,5.9,-92,9.5,0,2018,4,26,14,54,48.845,0.8979,-0.2608,-0.3356,0.1145
-0.011,-0.218,0.072,1.9,-63.8,11.5,0,2018,4,26,14,54,48.885,0.8942,-0.2725,-0.338,0.1083
0.018,-0.558,0.096,8.7,-18.6,9.1,0,2018,4,26,14,54,48.889,0.8922,-0.2781,-0.34,0.1045
0.065,-0.527,0.062,17.6,31.8,9.2,0,2018,4,26,14,54,48.905,0.8919,-0.2762,-0.3424,0.1043
0.164,-0.283,-0.008,24.9,64.2,5.6,1023,2018,4,26,14,54,48.923,0.8932,-0.267,-0.3452,0.1072
0.143,-0.061,-0.1,25.3,66.4,-1.1,1023,2018,4,26,14,54,48.96,0.8948,-0.2558,-0.3481,0.1121
0.128,-0.019,-0.211,20.1,61.8,-5.8,1023,2018,4,26,14,54,48.979,0.896,-0.2462,-0.3502,0.1176
0.039,-0.046,-0.189,18.7,78,-8.5,1023,2018,4,26,14,54,48.983,0.8976,-0.2352,-0.3514,0.1238
-0.036,0.04,-0.086,19.1,88.9,-9.1,1023,2018,4,26,14,54,49.021,0.8995,-0.2218,-0.3527,0.131
-0.082,0.114,-0.002,18.5,83.9,-8.8,1023,2018,4,26,14,54,49.041,0.9014,-0.2074,-0.3537,0.1383
-0.117,0.178,0.023,14.7,69.2,-7.1,1023,2018,4,26,14,54,49.045,0.9029,-0.1954,-0.3542,0.1449
-0.131,0.327,0.03,7.7,45.3,-4,1023,2018,4,26,14,54,49.068,0.904,-0.1861,-0.3544,0.1497
-0.156,0.429,0.044,-2.3,4.8,0.3,1023,2018,4,26,14,54,49.086,0.9046,-0.1821,-0.3542,0.1516
-0.209,0.44,0.052,-13.2,-42.9,5.8,1023,2018,4,26,14,54,49.126,0.9045,-0.1854,-0.3536,0.1496
-0.202,0.43,0.062,-24.1,-87.4,10.4,1023,2018,4,26,14,54,49.146,0.9037,-0.1958,-0.3525,0.1435
-0.166,0.331,0.059,-34.1,-130.1,8.1,1023,2018,4,26,14,54,49.15,0.9018,-0.2132,-0.3509,0.1341
-0.131,0.182,0.038,-41.9,-168,-3.9,1023,2018,4,26,14,54,49.17,0.8983,-0.2376,-0.3484,0.123
-0.075,0.012,0.004,-47,-184.6,-19.3,0,2018,4,26,14,54,49.188,0.8929,-0.2669,-0.3447,0.1119
-0.021,-0.082,-0.036,-48.2,-177.1,-27.7,0,2018,4,26,14,54,49.208,0.8862,-0.2976,-0.3399,0.1022
0.032,-0.108,-0.08,-43.2,-151.4,-25.7,0,2018,4,26,14,54,49.226,0.8795,-0.3251,-0.3343,0.0944
0.065,-0.121,-0.105,-35.7,-128,-18.8,0,2018,4,26,14,54,49.264,0.8732,-0.3483,-0.3292,0.0874
0.093,-0.094,-0.093,-28.6,-109.4,-10,0,2018,4,26,14,54,49.284,0.8676,-0.3672,-0.3253,0.0808
0.117,-0.095,-0.074,-23,-99.4,-5.7,0,2018,4,26,14,54,49.288,0.8622,-0.3834,-0.3224,0.0743
0.111,-0.125,-0.063,-18.7,-87,-6.5,0,2018,4,26,14,54,49.307,0.857,-0.3978,-0.3202,0.0685
0.097,-0.168,-0.058,-14.6,-62.7,-7.2,0,2018,4,26,14,54,49.327,0.8527,-0.4092,-0.3182,0.0642
0.081,-0.152,-0.075,-9.3,-30.9,-2.4,0,2018,4,26,14,54,49.347,0.85,-0.4162,-0.3166,0.0615
0.067,-0.1,-0.079,-3.2,-2.7,3.4,0,2018,4,26,14,54,49.388,0.8493,-0.4183,-0.316,0.0601
0.044,-0.073,-0.052,2.9,18.4,5.5,0,2018,4,26,14,54,49.392,0.8498,-0.4172,-0.3161,0.0602
0.005,-0.053,-0.028,7.4,34.9,6.2,0,2018,4,26,14,54,49.408,0.8514,-0.4131,-0.317,0.0614
-0.017,-0.012,-0.002,10,45.8,6.2,0,2018,4,26,14,54,49.425,0.8539,-0.4065,-0.3184,0.0634
