ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.126,-0.289,0.371,65.1,-85.6,-162.9,0,2018,5,17,21,0,40.84,-0.0835,-0.4324,-0.4182,0.7944
0.169,-0.66,0.432,56,-79,-172.2,0,2018,5,17,21,0,40.86,-0.1183,-0.4344,-0.4174,0.7892
0.086,-0.376,0.373,34.6,-49.8,-196.1,0,2018,5,17,21,0,40.864,-0.1508,-0.4405,-0.4095,0.7845
-0.133,-0.289,0.211,25.2,-101.3,-214.7,0,2018,5,17,21,0,40.899,-0.1869,-0.449,-0.4027,0.7753
-0.258,-0.162,0.007,29,-134,-217.6,0,2018,5,17,21,0,40.923,-0.2278,-0.4563,-0.4011,0.7608
-0.328,-0.123,-0.031,33.3,-116.1,-216.2,0,2018,5,17,21,0,40.928,-0.2686,-0.4618,-0.3989,0.7452
-0.52,-0.077,-0.107,34.7,-105.8,-213.4,0,2018,5,17,21,0,40.945,-0.3073,-0.4669,-0.3938,0.7296
-0.661,-0.08,-0.106,40.3,-102,-205.4,0,2018,5,17,21,0,40.968,-0.345,-0.4705,-0.3877,0.7136
-0.699,-0.109,-0.129,40.7,-80,-190.4,0,2018,5,17,21,0,40.984,-0.3797,-0.4729,-0.3801,0.6982
-0.669,-0.07,-0.087,41,-43.2,-171.6,0,2018,5,17,21,0,41.021,-0.4093,-0.4755,-0.3697,0.6852
-0.681,0.041,-0.025,34.2,-12.6,-150.1,0,2018,5,17,21,0,41.044,-0.4329,-0.4793,-0.3566,0.6749
-0.678,0.113,0.022,23.9,1.5,-124.9,0,2018,5,17,21,0,41.049,-0.4511,-0.4839,-0.3433,0.6665
-0.624,0.108,0.062,9.9,14.9,-97,0,2018,5,17,21,0,41.068,-0.4642,-0.4892,-0.3316,0.6596
-0.519,0.132,0.068,-6.2,32.1,-68.4,0,2018,5,17,21,0,41.085,-0.4716,-0.4956,-0.3217,0.6544
-0.411,0.213,0.067,-25,41.7,-40.1,0,2018,5,17,21,0,41.109,-0.4735,-0.5035,-0.314,0.6507
-0.374,0.288,0.108,-44.8,47.1,-14.2,0,2018,5,17,21,0,41.124,-0.4706,-0.5126,-0.3097,0.6478
-0.306,0.287,0.128,-63.1,58.8,13,0,2018,5,17,21,0,41.145,-0.4629,-0.523,-0.3083,0.6458
-0.168,0.233,0.116,-81.1,80.5,38.1,0,2018,5,17,21,0,41.166,-0.4495,-0.5353,-0.3086,0.645
-0.156,0.172,0.117,-98.8,101,56.3,0,2018,5,17,21,0,41.189,-0.4305,-0.5499,-0.3098,0.645
-0.178,0.244,0.016,-110.8,116.2,74.8,1023,2018,5,17,21,0,41.205,-0.4066,-0.5664,-0.3115,0.6455
-0.196,0.261,-0.051,-111.9,118.7,98.1,1023,2018,5,17,21,0,41.223,-0.3788,-0.5823,-0.3147,0.6467
-0.077,0.211,-0.074,-110.7,133.2,124,1023,2018,5,17,21,0,41.246,-0.3471,-0.5966,-0.3189,0.6493
-0.043,0.164,-0.095,-108.8,148.4,143.6,1023,2018,5,17,21,0,41.265,-0.3107,-0.6098,-0.3234,0.6534
-0.159,0.113,-0.169,-96.8,164.1,161.8,1023,2018,5,17,21,0,41.288,-0.2704,-0.6208,-0.3272,0.6589
-0.172,0.136,-0.244,-73.4,187.7,181.8,1023,2018,5,17,21,0,41.324,-0.2264,-0.6284,-0.3293,0.6672
