ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.054,-0.057,0.012,6.1,212.7,1.7,0,2018,5,1,22,18,12.977,-0.3545,0.5246,-0.2164,0.743
0.078,0.03,0.195,7.8,154.8,-3.6,0,2018,5,1,22,18,12.996,-0.3722,0.5133,-0.1915,0.7491
0.078,0.129,0.274,-0.1,43.4,4.4,0,2018,5,1,22,18,13,-0.3806,0.5076,-0.1785,0.752
-0.003,0.096,0.173,-6.8,-52.7,15.7,0,2018,5,1,22,18,13.04,-0.3779,0.5081,-0.1786,0.753
0.025,0.002,0.001,-4.7,-95.1,18.3,0,2018,5,1,22,18,13.061,-0.3683,0.5126,-0.1877,0.7525
0.007,-0.084,-0.097,-1.5,-95.3,13.5,0,2018,5,1,22,18,13.066,-0.357,0.5192,-0.1999,0.7502
0.024,0.03,-0.123,1.5,-76.7,8.6,0,2018,5,1,22,18,13.084,-0.3475,0.5253,-0.2102,0.7476
0.018,0.013,-0.062,2.6,-47.7,6.4,0,2018,5,1,22,18,13.122,-0.3406,0.5303,-0.2179,0.7451
-0.003,-0.073,-0.024,2,-11,1.6,0,2018,5,1,22,18,13.141,-0.3373,0.5328,-0.2216,0.7437
-0.003,-0.082,-0.001,2.6,27.9,-1.5,0,2018,5,1,22,18,13.146,-0.3383,0.5325,-0.2208,0.7436
0.031,0.005,0.03,5.6,40.9,-2.4,0,2018,5,1,22,18,13.162,-0.3425,0.5306,-0.2163,0.7445
-0.027,0.029,0.104,7.4,36.5,7.5,0,2018,5,1,22,18,13.183,-0.3461,0.5286,-0.211,0.7457
0.008,0.047,0.091,2.5,9.3,5,0,2018,5,1,22,18,13.202,-0.3475,0.5281,-0.2072,0.7465
0.013,-0.019,0.024,0.3,14.7,3.5,1023,2018,5,1,22,18,13.239,-0.348,0.5272,-0.2053,0.7474
0.03,-0.006,-0.08,2.5,24.8,3.9,1023,2018,5,1,22,18,13.259,-0.3492,0.5264,-0.2025,0.7482
0.088,-0.069,-0.063,4.2,31.1,2.9,1023,2018,5,1,22,18,13.263,-0.3511,0.5256,-0.1988,0.7489
0.104,-0.032,0.042,5,26.2,2.7,1023,2018,5,1,22,18,13.301,-0.3539,0.5241,-0.195,0.7496
0.133,-0.102,0.012,1.3,23.4,2.5,1023,2018,5,1,22,18,13.321,-0.3555,0.5229,-0.1917,0.7505
0.121,-0.075,-0.035,1.4,49.2,7.4,1023,2018,5,1,22,18,13.325,-0.3577,0.5212,-0.1865,0.7519
0.082,-0.065,-0.032,4.4,90.5,5.4,1023,2018,5,1,22,18,13.347,-0.3632,0.5173,-0.1765,0.7544
0.028,-0.087,-0.037,7.7,118.7,1.6,1023,2018,5,1,22,18,13.365,-0.3726,0.5114,-0.1628,0.7569
-0.002,0.001,0.028,9.4,120.8,-0.6,1023,2018,5,1,22,18,13.386,-0.3835,0.5046,-0.1464,0.7594
0.003,0.036,0.056,6.5,107.8,-1.6,1023,2018,5,1,22,18,13.409,-0.3938,0.4974,-0.1306,0.7617
0.02,0.02,0.032,2.9,103.2,-3.2,1023,2018,5,1,22,18,13.428,-0.403,0.4906,-0.1166,0.7637
0.01,0.029,0.023,3.5,97.4,-5.8,0,2018,5,1,22,18,13.451,-0.412,0.4833,-0.1032,0.7654
-0.018,0.145,-0.002,6.3,78.5,-4,0,2018,5,1,22,18,13.466,-0.4198,0.4773,-0.0906,0.7665
-0.085,0.092,0.07,3.7,35.6,-1.7,0,2018,5,1,22,18,13.486,-0.4245,0.4739,-0.0822,0.767
-0.07,0.144,0.129,-1.6,-21.7,0.8,0,2018,5,1,22,18,13.506,-0.4248,0.4735,-0.0807,0.7673
-0.025,0.079,-0.01,-4.4,-61,3.9,0,2018,5,1,22,18,13.544,-0.4203,0.4763,-0.0864,0.7673
0.04,0.015,-0.067,-4,-68.5,5.1,0,2018,5,1,22,18,13.565,-0.4135,0.481,-0.0953,0.767
0.036,-0.096,-0.06,-3.1,-48.5,1.1,0,2018,5,1,22,18,13.569,-0.408,0.4851,-0.1037,0.7663
0.068,-0.077,0.014,-2.1,-30.4,-2.1,0,2018,5,1,22,18,13.589,-0.405,0.4875,-0.1102,0.7654
0.073,-0.031,0.038,-2.6,-14.3,-2.7,0,2018,5,1,22,18,13.608,-0.4037,0.4883,-0.114,0.7651
0.097,-0.005,0.03,-0.6,-0.9,-3.2,0,2018,5,1,22,18,13.628,-0.4037,0.4879,-0.1159,0.7651
0.071,0.024,0.035,1.9,2.7,-2.4,0,2018,5,1,22,18,13.651,-0.4043,0.4871,-0.1161,0.7653
0.035,0.035,0.036,2.9,-0.1,-0.8,0,2018,5,1,22,18,13.665,-0.4047,0.4868,-0.1156,0.7653
0.035,-0.039,-0.006,-0.8,0.7,1.1,0,2018,5,1,22,18,13.687,-0.4046,0.4867,-0.1162,0.7653
-0.001,-0.069,-0.025,-2.6,16.8,0.4,0,2018,5,1,22,18,13.706,-0.4052,0.4859,-0.1155,0.7656
-0.003,-0.024,-0.038,-1,27.5,-0.4,0,2018,5,1,22,18,13.743,-0.407,0.4843,-0.1131,0.7661
-0.031,0.031,0.035,-0.4,18.4,0,0,2018,5,1,22,18,13.764,-0.4088,0.4825,-0.1097,0.7667
-0.037,0.026,0.061,-0.9,-2.4,1.1,0,2018,5,1,22,18,13.768,-0.409,0.4816,-0.1083,0.7674
-0.011,-0.013,0.018,0.6,-19.2,1.3,0,2018,5,1,22,18,13.81,-0.4075,0.4823,-0.1096,0.7676
0.024,0.007,-0.016,4.2,-26.6,1.4,0,2018,5,1,22,18,13.814,-0.4053,0.4843,-0.1123,0.767
0.017,0.11,0.005,2.9,-38.6,0.8,0,2018,5,1,22,18,13.83,-0.4022,0.487,-0.116,0.7664
-0.277,0.095,-0.136,6.7,-32.7,17.1,0,2018,5,1,22,18,13.85,-0.3976,0.4903,-0.1204,0.766
-0.145,0.016,-0.028,3.1,-36.7,7.8,0,2018,5,1,22,18,13.871,-0.3928,0.4939,-0.1228,0.7658
-0.016,-0.045,0.029,5,-36.2,7.7,0,2018,5,1,22,18,13.889,-0.3883,0.4976,-0.1264,0.7651
0.071,-0.155,0.019,3.1,-18.5,3.9,0,2018,5,1,22,18,13.908,-0.3852,0.5,-0.1302,0.7645
0.171,-0.022,0.014,4,-2.9,3.2,0,2018,5,1,22,18,13.931,-0.3841,0.5009,-0.1313,0.7643
0.135,-0.11,0.068,4.9,16.8,1.3,1023,2018,5,1,22,18,13.951,-0.3843,0.5012,-0.1299,0.7643
0.089,-0.063,0.079,4,29.5,-0.5,1023,2018,5,1,22,18,13.971,-0.3861,0.5003,-0.1261,0.7646
0.078,0.112,0.072,5,18.9,4.6,1023,2018,5,1,22,18,13.99,-0.3888,0.4982,-0.1224,0.7652
0.013,0.063,0.056,1.3,-4.3,6.1,1023,2018,5,1,22,18,14.029,-0.3883,0.4983,-0.1206,0.7656
-0.012,-0.034,0.025,-0.1,-10.9,4.9,1023,2018,5,1,22,18,14.048,-0.3868,0.4988,-0.1213,0.766
0.004,-0.021,-0.012,-0.1,-1.4,3.3,1023,2018,5,1,22,18,14.053,-0.3856,0.4993,-0.1223,0.7661
0.005,-0.032,0.007,0,13.9,-1.7,1023,2018,5,1,22,18,14.07,-0.3862,0.4988,-0.1218,0.7662
0.039,0.012,-0.007,0.8,21.2,-4.8,1023,2018,5,1,22,18,14.106,-0.3882,0.4973,-0.1198,0.7665
0.012,-0.083,-0.022,1,32.7,-8.3,1023,2018,5,1,22,18,14.127,-0.3914,0.4955,-0.1173,0.7664
-0.002,-0.052,-0.002,1,51.5,-10.8,1023,2018,5,1,22,18,14.131,-0.3966,0.4927,-0.1129,0.7662
0.053,0.021,0.011,-2.2,50,-10,1023,2018,5,1,22,18,14.166,-0.4022,0.4886,-0.1072,0.7667
0.049,0.001,-0.033,-1,59,-8.3,0,2018,5,1,22,18,14.187,-0.4082,0.484,-0.1013,0.7672
0.048,0.004,-0.002,-1.3,62.9,-4.9,0,2018,5,1,22,18,14.192,-0.4144,0.479,-0.094,0.768
