ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.068,-0.213,0.13,-10.7,-47.6,31.6,0,2018,4,24,21,59,32.051,0.2786,0.1345,-0.6076,0.7314
-0.066,-0.2,0.017,-13.4,21.6,31.8,0,2018,4,24,21,59,32.072,0.284,0.1359,-0.607,0.7296
-0.033,-0.04,-0.064,-11.5,66.2,33.3,0,2018,4,24,21,59,32.077,0.2876,0.1407,-0.5997,0.7332
-0.075,-0.034,0.036,-9.2,70,28.3,0,2018,4,24,21,59,32.095,0.2907,0.147,-0.5893,0.7392
-0.065,-0.034,0.073,-11.6,57.9,19.6,0,2018,4,24,21,59,32.118,0.2931,0.152,-0.5792,0.7452
-0.074,-0.153,0.049,-19.4,60.5,13,0,2018,4,24,21,59,32.137,0.295,0.155,-0.5703,0.7507
-0.08,-0.236,0.05,-29.4,85.8,7.8,0,2018,4,24,21,59,32.155,0.2962,0.1568,-0.5591,0.7582
-0.028,-0.262,0.04,-35.3,108.1,-6.4,0,2018,4,24,21,59,32.177,0.2958,0.1573,-0.5446,0.7688
-0.012,-0.155,0.122,-36.8,109.8,-15,0,2018,4,24,21,59,32.194,0.2938,0.1569,-0.5278,0.7812
-0.079,-0.168,0.281,-43,91.2,-28.9,1023,2018,4,24,21,59,32.231,0.2912,0.1545,-0.5121,0.793
-0.015,-0.248,0.118,-48.1,75.2,-48.5,1023,2018,4,24,21,59,32.255,0.287,0.1484,-0.4989,0.804
0.061,-0.218,0.072,-47,69.3,-57.4,1023,2018,4,24,21,59,32.26,0.2812,0.1406,-0.4879,0.8142
0.106,-0.175,0.065,-41.7,63.8,-60,1023,2018,4,24,21,59,32.277,0.2745,0.1329,-0.4781,0.8236
0.131,-0.149,0.035,-36.9,56.1,-61.4,1023,2018,4,24,21,59,32.314,0.2671,0.1253,-0.4694,0.8321
0.169,-0.066,-0.069,-26.3,40.8,-61.6,1023,2018,4,24,21,59,32.336,0.2592,0.1182,-0.4625,0.8395
