ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.629,0.196,-0.177,-5.2,-130.7,-26.4,0,2018,4,24,22,14,5.376,-0.6814,0.5059,0.3938,0.3528
-0.527,0.178,-0.129,-0.1,-110.8,-20.8,0,2018,4,24,22,14,5.398,-0.6722,0.5216,0.3838,0.3585
-0.512,0.185,-0.114,6.4,-82,-14.6,0,2018,4,24,22,14,5.406,-0.6642,0.5342,0.3765,0.3625
-0.494,0.157,-0.088,12.5,-45.1,-7,0,2018,4,24,22,14,5.443,-0.6583,0.5429,0.3726,0.3645
-0.412,0.151,-0.02,15.7,-4.3,0.2,0,2018,4,24,22,14,5.464,-0.6553,0.5467,0.3725,0.3643
-0.303,0.189,0.036,15.2,29.4,6.6,0,2018,4,24,22,14,5.467,-0.6554,0.5458,0.3756,0.3622
-0.189,0.224,0.058,11.5,49.1,12.1,0,2018,4,24,22,14,5.505,-0.6578,0.5414,0.3806,0.3593
-0.086,0.26,0.048,6.2,56.8,17.4,0,2018,4,24,22,14,5.526,-0.6614,0.5347,0.3864,0.3566
-0.018,0.302,0.045,-0.1,50,21.7,0,2018,4,24,22,14,5.528,-0.665,0.5272,0.392,0.3549
0.026,0.346,0.046,-7.4,29.4,26.1,0,2018,4,24,22,14,5.563,-0.6675,0.5206,0.3962,0.3553
0.04,0.372,0.049,-16.1,-3.1,31.7,0,2018,4,24,22,14,5.587,-0.6677,0.5164,0.3983,0.3588
0.034,0.38,0.045,-26.6,-41.7,38.7,0,2018,4,24,22,14,5.59,-0.6649,0.5152,0.3975,0.3665
-0.001,0.362,0.025,-39.8,-80.8,48,0,2018,4,24,22,14,5.607,-0.6587,0.5173,0.3935,0.3788
-0.056,0.342,-0.011,-54.7,-118.6,59.3,1023,2018,4,24,22,14,5.625,-0.6492,0.5219,0.3861,0.3961
