ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.012,0.412,-0.018,-4.9,32.2,-50,1023,2018,5,17,20,44,6.737,-0.0442,0.6789,-0.3296,0.6544
-0.013,0.469,-0.041,-9,17.5,-34.7,0,2018,5,17,20,44,6.76,-0.0513,0.6754,-0.3317,0.6565
-0.034,0.466,-0.072,-13,-1.1,-18.9,0,2018,5,17,20,44,6.764,-0.0544,0.6725,-0.334,0.6581
-0.06,0.411,-0.078,-17.5,-14.6,-1.6,0,2018,5,17,20,44,6.801,-0.0532,0.6701,-0.3363,0.6594
-0.044,0.356,-0.047,-19.1,-16.6,19.2,0,2018,5,17,20,44,6.823,-0.0488,0.6686,-0.3373,0.6608
-0.013,0.324,-0.022,-16.9,-6.2,40.1,0,2018,5,17,20,44,6.829,-0.0426,0.6683,-0.3353,0.6625
-0.036,0.278,-0.025,-13.1,6.3,59.6,0,2018,5,17,20,44,6.845,-0.0359,0.6695,-0.3294,0.6647
-0.09,0.242,-0.051,-9.4,17.8,73.6,0,2018,5,17,20,44,6.867,-0.0288,0.672,-0.3201,0.6671
-0.113,0.192,-0.044,-12.2,25,80.2,0,2018,5,17,20,44,6.905,-0.0218,0.6749,-0.3084,0.6698
-0.129,0.148,-0.026,-18.1,36.4,83.7,0,2018,5,17,20,44,6.905,-0.0072,0.6799,-0.2807,0.6772
-0.226,0.126,-0.067,-18.5,27.5,82.3,0,2018,5,17,20,44,6.928,-0.0004,0.6817,-0.2669,0.6811
-0.285,0.096,-0.096,-17.1,9.8,82.5,0,2018,5,17,20,44,6.945,0.0079,0.6833,-0.2548,0.6841
-0.262,0.084,-0.114,-11.9,-13.4,83.8,0,2018,5,17,20,44,6.969,0.0188,0.6851,-0.2451,0.6856
-0.158,0.003,-0.089,-4.3,-31.3,87.2,0,2018,5,17,20,44,6.985,0.0324,0.688,-0.2377,0.6848
-0.04,-0.126,0.011,6.7,-27.1,93.6,0,2018,5,17,20,44,7.008,0.0471,0.6919,-0.2306,0.6824
0.028,-0.204,0.096,18.2,-10.8,96.3,0,2018,5,17,20,44,7.026,0.0592,0.6967,-0.2222,0.6794
0.04,-0.245,0.129,22.8,6.1,90.8,1023,2018,5,17,20,44,7.048,0.0696,0.7028,-0.2112,0.6756
0.047,-0.267,0.166,18.6,22.5,79.6,1023,2018,5,17,20,44,7.067,0.077,0.7085,-0.1992,0.6725
0.038,-0.267,0.181,14.7,30.4,67.5,1023,2018,5,17,20,44,7.087,0.0814,0.7134,-0.1871,0.6703
0.026,-0.209,0.161,13,21.1,51.3,1023,2018,5,17,20,44,7.124,0.0842,0.7172,-0.1767,0.6686
-0.012,-0.183,0.156,12.4,2.2,31.1,1023,2018,5,17,20,44,7.148,0.0872,0.7202,-0.1705,0.6667
-0.025,-0.124,0.158,6.3,-14.5,11,1023,2018,5,17,20,44,7.152,0.0901,0.7218,-0.1689,0.665
-0.001,-0.078,0.155,-1.6,-28.3,-5.1,1023,2018,5,17,20,44,7.169,0.093,0.7218,-0.1712,0.664
-0.011,-0.036,0.173,-8.7,-42.6,-16.6,1023,2018,5,17,20,44,7.192,0.0961,0.7202,-0.1766,0.6638
0.001,-0.011,0.137,-17.8,-67.9,-24.4,1023,2018,5,17,20,44,7.21,0.1006,0.7167,-0.1855,0.6646
0.063,-0.031,0.111,-28.1,-94.9,-27.4,1023,2018,5,17,20,44,7.227,0.1084,0.7109,-0.1981,0.666
0.13,-0.052,0.105,-36.9,-110.1,-25.4,1023,2018,5,17,20,44,7.25,0.1189,0.7035,-0.2131,0.6674
0.142,-0.052,0.064,-39,-115.6,-21.3,1023,2018,5,17,20,44,7.269,0.1309,0.6954,-0.2286,0.6685
0.152,-0.096,0.027,-34.1,-109.3,-23.1,0,2018,5,17,20,44,7.305,0.1424,0.6871,-0.2444,0.6691
0.157,-0.147,-0.01,-27.5,-89.7,-21.9,0,2018,5,17,20,44,7.328,0.152,0.6797,-0.2588,0.6691
0.178,-0.131,-0.027,-17.7,-59.8,-12.5,0,2018,5,17,20,44,7.333,0.1597,0.6743,-0.269,0.6688
0.118,-0.112,-0.066,-5.8,-25.2,-1.9,0,2018,5,17,20,44,7.366,0.164,0.6716,-0.2744,0.6683
0.054,-0.105,-0.075,-1.7,10.2,3.8,0,2018,5,17,20,44,7.389,0.1647,0.6712,-0.2749,0.6683
0.073,-0.03,-0.085,4.1,28,4.6,0,2018,5,17,20,44,7.394,0.1617,0.6726,-0.2725,0.6685
0.081,-0.057,-0.073,7.3,25.8,1.6,0,2018,5,17,20,44,7.41,0.1577,0.6748,-0.2699,0.6683
0.085,-0.119,-0.093,9.3,37.5,7.5,0,2018,5,17,20,44,7.433,0.1537,0.677,-0.2664,0.6686
0.059,-0.127,-0.074,17.1,51.6,14.2,0,2018,5,17,20,44,7.451,0.1486,0.6803,-0.2601,0.6687
0.036,-0.133,-0.096,27.1,63.6,20.4,0,2018,5,17,20,44,7.471,0.1426,0.6852,-0.2518,0.6682
-0.003,-0.145,-0.078,33.2,70.6,23.6,0,2018,5,17,20,44,7.49,0.1356,0.6915,-0.242,0.6669
-0.072,-0.197,-0.079,37.7,77,22.1,0,2018,5,17,20,44,7.513,0.1277,0.6983,-0.2314,0.665
-0.151,-0.204,-0.076,40.3,83,19.6,0,2018,5,17,20,44,7.531,0.1185,0.7055,-0.2204,0.6629
-0.206,-0.217,-0.085,38.5,88.8,13.8,0,2018,5,17,20,44,7.569,0.1082,0.7125,-0.2092,0.6609
-0.267,-0.202,-0.079,36,94.7,5,0,2018,5,17,20,44,7.569,0.0954,0.7188,-0.1988,0.6592
-0.252,-0.213,-0.07,33.7,94.2,-11,1023,2018,5,17,20,44,7.592,0.0808,0.7241,-0.1899,0.6579
-0.173,-0.219,-0.042,31.6,98.9,-27.6,1023,2018,5,17,20,44,7.612,0.0641,0.7283,-0.1827,0.6572
-0.069,-0.121,0,34.1,91.3,-46.4,1023,2018,5,17,20,44,7.634,0.0457,0.7316,-0.1776,0.6565
0.008,-0.076,0.029,36.9,85.2,-62,1023,2018,5,17,20,44,7.652,0.0266,0.7343,-0.1756,0.6551
0.058,-0.018,0.058,36.9,86.5,-69.5,1023,2018,5,17,20,44,7.676,0.0067,0.7364,-0.1748,0.6534
0.063,0.038,0.065,33,89.9,-73.7,1023,2018,5,17,20,44,7.691,-0.0139,0.7378,-0.1739,0.6519
-0.007,0.019,0.037,19.9,90,-74.3,1023,2018,5,17,20,44,7.709,-0.0344,0.738,-0.1731,0.6512
-0.046,0.086,0.016,2.6,80.3,-72.3,1023,2018,5,17,20,44,7.731,-0.0535,0.7362,-0.1722,0.6522
-0.074,0.096,-0.007,-9,62.1,-71.3,1023,2018,5,17,20,44,7.766,-0.0695,0.7329,-0.1728,0.6542
-0.1,0.136,-0.056,-18.4,45.7,-70.5,1023,2018,5,17,20,44,7.789,-0.0831,0.7286,-0.1754,0.6567
-0.095,0.194,-0.102,-21.8,30,-65,1023,2018,5,17,20,44,7.794,-0.0949,0.7236,-0.1801,0.6594
-0.134,0.203,-0.119,-23.2,22.2,-59.2,1023,2018,5,17,20,44,7.83,-0.1045,0.7186,-0.1853,0.6619
-0.096,0.246,-0.177,-30,16.9,-58.9,1023,2018,5,17,20,44,7.851,-0.113,0.7132,-0.1908,0.6648
-0.086,0.271,-0.221,-38.3,5.1,-54.6,0,2018,5,17,20,44,7.853,-0.1196,0.707,-0.1974,0.6683
-0.055,0.267,-0.23,-43.2,1.3,-48.3,0,2018,5,17,20,44,7.888,-0.1244,0.7003,-0.2043,0.6724
-0.046,0.29,-0.239,-42.1,2,-38.7,0,2018,5,17,20,44,7.909,-0.1282,0.6937,-0.2104,0.6767
-0.059,0.291,-0.24,-38.2,4.6,-28.3,0,2018,5,17,20,44,7.917,-0.1309,0.6876,-0.215,0.6809
-0.08,0.274,-0.269,-30.6,17.7,-16.3,0,2018,5,17,20,44,7.954,-0.1335,0.6825,-0.2172,0.6849
-0.082,0.284,-0.313,-27.7,42,-5.2,0,2018,5,17,20,44,7.954,-0.1372,0.6779,-0.2155,0.6892
-0.084,0.273,-0.335,-26.2,68.6,5.2,0,2018,5,17,20,44,7.976,-0.1428,0.6733,-0.2094,0.6945
-0.104,0.292,-0.362,-23.7,86.9,13.9,0,2018,5,17,20,44,8.012,-0.15,0.6685,-0.1992,0.7005
-0.098,0.333,-0.386,-17.8,93.6,21.1,0,2018,5,17,20,44,8.034,-0.158,0.6639,-0.1858,0.7068
-0.136,0.33,-0.404,-15.8,96,27.3,0,2018,5,17,20,44,8.037,-0.1651,0.6601,-0.1724,0.7121
-0.129,0.338,-0.419,-10.5,89.1,32.5,0,2018,5,17,20,44,8.073,-0.1715,0.6566,-0.1577,0.7172
-0.097,0.33,-0.437,-9,81.2,36.1,0,2018,5,17,20,44,8.094,-0.1766,0.6537,-0.1433,0.7216
-0.043,0.319,-0.42,-6.1,77.5,38.5,0,2018,5,17,20,44,8.097,-0.1807,0.6511,-0.1294,0.7256
-0.035,0.286,-0.424,4.6,73.3,39.7,0,2018,5,17,20,44,8.114,-0.1843,0.6494,-0.1154,0.7285
-0.032,0.256,-0.421,17.2,72.7,41.1,1023,2018,5,17,20,44,8.137,-0.1876,0.6493,-0.1011,0.7299
0.007,0.238,-0.434,29,77.7,42.5,1023,2018,5,17,20,44,8.174,-0.1911,0.6505,-0.0862,0.7299
