ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.628,1.061,-0.061,-12.7,-55.4,333.9,0,2018,5,17,21,37,6.567,-0.1759,-0.1014,-0.5625,0.8014
-0.676,0.806,-0.046,-14,-41.1,396.2,0,2018,5,17,21,37,6.591,-0.1233,-0.0655,-0.5751,0.806
-0.749,0.434,-0.033,-9.1,16.6,446.3,0,2018,5,17,21,37,6.628,-0.0627,-0.024,-0.5809,0.8111
-0.588,-0.068,-0.235,17.8,168.8,509.9,0,2018,5,17,21,37,6.628,0.0053,0.0238,-0.5679,0.8226
-0.658,-0.516,0.117,86.6,278.5,537.3,0,2018,5,17,21,37,6.651,0.0752,0.084,-0.5285,0.8413
-0.794,-0.489,0.111,136.1,295.3,531.6,0,2018,5,17,21,37,6.669,0.1384,0.1534,-0.4757,0.8549
-1.005,-0.36,0.04,165.5,327.3,507.8,0,2018,5,17,21,37,6.687,0.1935,0.2257,-0.4178,0.8584
-1.092,-0.342,0.194,163.3,370.6,438.2,0,2018,5,17,21,37,6.71,0.2379,0.296,-0.3487,0.8568
-1.164,-0.058,0.468,146,313.5,307.5,0,2018,5,17,21,37,6.729,0.2647,0.3555,-0.2816,0.8509
-1.459,-0.263,1.054,111.6,123.6,178.1,0,2018,5,17,21,37,6.752,0.2798,0.396,-0.2405,0.8407
-1.754,-0.6,1.387,36.6,-33.1,72.4,0,2018,5,17,21,37,6.789,0.2918,0.4134,-0.2307,0.831
-1.437,-0.601,1.036,-68.7,-126.2,-22.4,0,2018,5,17,21,37,6.812,0.3014,0.4064,-0.2416,0.8279
-0.819,-0.51,0.615,-145.4,-161.6,-100.6,0,2018,5,17,21,37,6.816,0.3068,0.3785,-0.2625,0.8328
-0.561,-0.536,0.473,-176.4,-189.1,-168,0,2018,5,17,21,37,6.833,0.3058,0.3385,-0.2878,0.842
-0.69,-0.504,0.445,-203.3,-228.5,-228.6,0,2018,5,17,21,37,6.851,0.2975,0.2885,-0.3204,0.8517
-0.644,-0.383,0.282,-234.3,-273.8,-287.2,0,2018,5,17,21,37,6.874,0.2831,0.2278,-0.3592,0.8595
-0.435,-0.216,0.049,-239.8,-284.1,-350.1,0,2018,5,17,21,37,6.89,0.2606,0.1565,-0.4005,0.8643
-0.262,-0.161,-0.29,-210.8,-265.4,-405.9,1023,2018,5,17,21,37,6.907,0.2256,0.0822,-0.4407,0.8649
-0.171,-0.045,-0.595,-165.6,-223.4,-439.5,1023,2018,5,17,21,37,6.933,0.1785,0.0108,-0.4742,0.862
-0.158,0.376,-0.607,-117.6,-176.6,-443.3,1023,2018,5,17,21,37,6.969,0.1232,-0.0532,-0.4979,0.8567
-0.198,0.6,-0.511,-67.2,-143.6,-435.5,1023,2018,5,17,21,37,6.992,0.0632,-0.1086,-0.514,0.8484
-0.313,0.856,-0.327,-35.2,-111.6,-408.5,1023,2018,5,17,21,37,6.997,0.0024,-0.155,-0.5225,0.8384
-0.379,0.986,-0.204,-12.2,-94.9,-362.7,1023,2018,5,17,21,37,7.012,-0.0546,-0.1929,-0.5256,0.8267
-0.378,1.049,-0.134,6,-111,-308.3,1023,2018,5,17,21,37,7.049,-0.1058,-0.2226,-0.5278,0.8127
-0.339,1.155,-0.146,15.7,-116.9,-237.2,1023,2018,5,17,21,37,7.072,-0.1499,-0.2435,-0.5328,0.7964
-0.258,1.328,-0.155,18.9,-110.6,-158,1023,2018,5,17,21,37,7.077,-0.1835,-0.2562,-0.539,0.781
-0.224,1.423,-0.144,21.2,-126,-73.3,1023,2018,5,17,21,37,7.092,-0.2061,-0.2604,-0.5487,0.7671
-0.248,1.4,-0.141,16.1,-146.6,16.4,1023,2018,5,17,21,37,7.115,-0.2176,-0.2553,-0.5648,0.7539
-0.357,1.293,-0.103,7.8,-150.7,110.3,1023,2018,5,17,21,37,7.133,-0.2168,-0.2415,-0.5864,0.7421
-0.521,1.092,-0.061,-9.5,-113.5,208.6,1023,2018,5,17,21,37,7.156,-0.2013,-0.2196,-0.6101,0.734
-0.569,0.955,-0.109,-22.5,-45.4,306.6,1023,2018,5,17,21,37,7.174,-0.1688,-0.1911,-0.6297,0.7337
-0.561,0.945,-0.192,-15.3,15.2,395.1,1023,2018,5,17,21,37,7.198,-0.1211,-0.1541,-0.6421,0.7411
-0.697,0.893,-0.225,14,31.9,459.9,0,2018,5,17,21,37,7.213,-0.0638,-0.106,-0.6478,0.7516
-0.766,0.468,-0.127,45.2,76.2,509.9,0,2018,5,17,21,37,7.232,-0.0025,-0.047,-0.6477,0.7604
-0.756,-0.228,-0.134,84.6,190.9,560.2,0,2018,5,17,21,37,7.254,0.0626,0.0222,-0.6312,0.7727
-0.819,-0.755,-0.119,145,236.9,529.6,0,2018,5,17,21,37,7.272,0.1224,0.1009,-0.597,0.7863
-0.867,-0.472,-0.386,194.9,182.8,487.7,0,2018,5,17,21,37,7.295,0.1692,0.1803,-0.5613,0.7897
-1.841,-0.271,0.56,146.4,21.6,381.2,0,2018,5,17,21,37,7.314,0.2087,0.2516,-0.535,0.779
