time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z,droll,dpitch,dyaw,ax,ay,az,heart
2018,5,16,19,21,17.008,-0.4493,0.3579,0.1817,0.798,-0.2,-0.3,1.3,0.007,-0.001,-0.012,0
2018,5,16,19,21,17.013,-0.4494,0.3577,0.1817,0.7981,-0.2,-0.7,1.3,0.007,-0.009,-0.004,0
2018,5,16,19,21,17.033,-0.4492,0.3577,0.1817,0.7982,-0.9,-0.8,1.2,0.006,-0.001,-0.002,0
2018,5,16,19,21,17.053,-0.4491,0.3576,0.1816,0.7983,-0.7,-0.8,1.1,0.01,-0.001,-0.006,0
2018,5,16,19,21,17.091,-0.4491,0.3575,0.1815,0.7984,-1.1,-0.5,0.8,0.009,-0.003,-0.006,0
2018,5,16,19,21,17.095,-0.4492,0.3575,0.1813,0.7984,-1.1,0,0.6,0.008,-0.003,-0.006,0
2018,5,16,19,21,17.111,-0.4493,0.3575,0.1811,0.7984,-1.3,0,0.4,0.006,-0.001,-0.008,0
2018,5,16,19,21,17.13,-0.4493,0.3575,0.1811,0.7984,-0.6,0.1,0.5,0.007,-0.005,-0.003,0
2018,5,16,19,21,17.166,-0.4492,0.3576,0.1811,0.7983,-0.2,0.3,0.8,0.003,-0.005,-0.003,0
2018,5,16,19,21,17.186,-0.4492,0.3576,0.1811,0.7983,-0.5,0.3,0.8,0.004,-0.011,0.001,0
2018,5,16,19,21,17.193,-0.4493,0.3576,0.181,0.7983,-0.9,0,1,0.001,-0.011,0,0
2018,5,16,19,21,17.232,-0.4492,0.3576,0.1809,0.7983,-0.6,-0.2,0.8,0.006,-0.005,0.001,0
2018,5,16,19,21,17.252,-0.4491,0.3577,0.181,0.7984,-0.2,-0.2,0.8,0.008,0.001,0.001,1023
2018,5,16,19,21,17.256,-0.4491,0.3576,0.1811,0.7984,-0.2,0,0.8,0.007,-0.002,-0.003,1023
2018,5,16,19,21,17.274,-0.4493,0.3574,0.181,0.7984,-0.1,0.4,0.8,0.007,-0.011,-0.002,1023
2018,5,16,19,21,17.312,-0.4494,0.3574,0.181,0.7983,-0.4,0.6,0.9,0.006,-0.009,-0.006,1023
2018,5,16,19,21,17.332,-0.4494,0.3575,0.181,0.7983,-0.4,0.8,0.8,0.006,-0.01,-0.003,1023
2018,5,16,19,21,17.336,-0.4492,0.3577,0.1811,0.7983,-0.7,0.6,1,0.007,-0.006,-0.004,1023
2018,5,16,19,21,17.353,-0.4494,0.3577,0.181,0.7982,-0.5,0.8,0.8,0.01,-0.004,-0.001,1023
2018,5,16,19,21,17.371,-0.4495,0.3577,0.181,0.7982,0,0.6,0.8,0.004,-0.003,-0.004,1023
2018,5,16,19,21,17.391,-0.4495,0.3576,0.1812,0.7981,0.3,0.3,0.9,0.007,-0.005,-0.006,1023
2018,5,16,19,21,17.428,-0.4493,0.3578,0.1815,0.7981,0,0,1,0.002,-0.006,-0.012,1023
2018,5,16,19,21,17.449,-0.4493,0.3578,0.1814,0.7981,-0.4,-0.1,0.8,0.006,-0.011,-0.008,1023
2018,5,16,19,21,17.453,-0.4493,0.3578,0.1814,0.7981,-1,-0.2,0.7,0.007,-0.005,-0.009,1023
2018,5,16,19,21,17.492,-0.4494,0.3577,0.1812,0.7981,-1,-0.4,0.7,0.005,-0.006,0,1023
2018,5,16,19,21,17.512,-0.4494,0.3577,0.1811,0.7982,-1.6,-0.2,0.7,0.012,-0.003,-0.009,1023
2018,5,16,19,21,17.516,-0.4494,0.3578,0.1809,0.7982,-1.2,0,0.5,0.008,-0.009,-0.003,1023
2018,5,16,19,21,17.537,-0.4494,0.3578,0.1808,0.7982,-1.2,0.1,0.4,0.009,0,0.007,1023
2018,5,16,19,21,17.556,-0.4495,0.3578,0.1807,0.7982,-0.5,0.1,0.3,0.001,0,0.001,1023
2018,5,16,19,21,17.595,-0.4494,0.3579,0.1808,0.7982,-0.8,0.4,0.2,0.006,-0.005,-0.006,1023
2018,5,16,19,21,17.614,-0.4494,0.3581,0.1807,0.7981,-0.7,0.6,0,0.003,-0.014,-0.001,1023
2018,5,16,19,21,17.618,-0.4495,0.3583,0.1806,0.798,-0.9,0.6,0,-0.003,-0.008,0.005,0
2018,5,16,19,21,17.639,-0.4494,0.3585,0.1806,0.7979,-1.4,0.6,0,0.002,-0.003,-0.006,0
2018,5,16,19,21,17.659,-0.4495,0.3586,0.1804,0.7979,-1,0.7,0,0.007,-0.007,-0.01,0
2018,5,16,19,21,17.675,-0.4496,0.3588,0.1803,0.7978,-0.9,0.9,0,0.012,-0.006,-0.007,0
2018,5,16,19,21,17.695,-0.4498,0.3589,0.1802,0.7977,-0.6,0.8,0.2,0.01,-0.006,-0.004,0
2018,5,16,19,21,17.715,-0.4499,0.359,0.1801,0.7975,-0.3,0.8,0.2,0.002,-0.008,-0.003,0
2018,5,16,19,21,17.752,-0.45,0.3591,0.1801,0.7975,-0.7,0.4,0.4,-0.001,-0.007,-0.001,0
2018,5,16,19,21,17.773,-0.45,0.3592,0.18,0.7974,-1.2,0.3,0.5,0.006,-0.009,-0.004,0
2018,5,16,19,21,17.777,-0.4497,0.3595,0.1801,0.7974,-0.8,0.3,0.7,0.002,-0.008,0.002,0
2018,5,16,19,21,17.797,-0.4498,0.3594,0.18,0.7974,-0.4,0.1,0.9,0.004,0,0.002,0
2018,5,16,19,21,17.818,-0.4498,0.3594,0.1801,0.7974,0,0.1,0.9,0.005,0,-0.004,0
