ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.003,0.007,-0.005,0.1,0.7,0.6,0,2018,5,16,19,13,52.656,0.9316,0.1412,0.3224,-0.0903
-0.004,0.019,-0.006,0.2,0.8,0.4,0,2018,5,16,19,13,52.676,0.9315,0.1414,0.3224,-0.0904
0,0.022,-0.003,0,0,0,0,2018,5,16,19,13,52.692,0.9315,0.1417,0.3223,-0.0904
-0.002,0.027,-0.003,0.1,0.2,0.5,0,2018,5,16,19,13,52.713,0.9315,0.1421,0.3223,-0.0903
-0.004,0.026,-0.005,0,0,0.7,0,2018,5,16,19,13,52.73,0.9314,0.1423,0.3223,-0.0902
-0.005,0.023,-0.004,0,-0.6,0.9,0,2018,5,16,19,13,52.749,0.9314,0.1424,0.3222,-0.0903
-0.003,0.02,-0.001,0,-1.2,1.1,0,2018,5,16,19,13,52.768,0.9314,0.1424,0.3222,-0.0904
-0.002,0.014,-0.004,-0.1,-1.2,1.1,0,2018,5,16,19,13,52.788,0.9315,0.1422,0.3222,-0.0905
-0.001,0.008,-0.002,0,-0.9,1.3,0,2018,5,16,19,13,52.827,0.9314,0.1421,0.3223,-0.0905
-0.004,0.01,-0.002,0.2,-0.2,1.1,0,2018,5,16,19,13,52.846,0.9314,0.1421,0.3223,-0.0905
-0.005,0.011,0.002,0,-0.4,1,0,2018,5,16,19,13,52.85,0.9314,0.1422,0.3223,-0.0906
0.002,0.011,0.002,-0.2,-0.6,1,0,2018,5,16,19,13,52.873,0.9314,0.1422,0.3223,-0.0906
0.004,0.006,-0.001,-0.2,-0.5,0.6,0,2018,5,16,19,13,52.892,0.9314,0.1421,0.3224,-0.0906
0.001,0.005,0.006,0,0,0,0,2018,5,16,19,13,52.908,0.9314,0.142,0.3224,-0.0908
0,0.009,-0.004,-0.2,1,0,1023,2018,5,16,19,13,52.948,0.9314,0.1421,0.3224,-0.0908
-0.003,0.018,-0.005,-0.2,1.3,0,1023,2018,5,16,19,13,52.966,0.9313,0.1425,0.3224,-0.0909
-0.007,0.023,-0.006,-0.1,1.4,0,1023,2018,5,16,19,13,52.97,0.9312,0.143,0.3224,-0.0907
-0.004,0.029,-0.002,-0.2,0.8,0.2,1023,2018,5,16,19,13,52.991,0.9312,0.1435,0.3224,-0.0908
-0.004,0.029,-0.009,0,0,0,1023,2018,5,16,19,13,53.01,0.9312,0.1437,0.3223,-0.0907
-0.004,0.025,-0.007,-0.3,-0.1,0.5,1023,2018,5,16,19,13,53.05,0.9311,0.144,0.3223,-0.0907
-0.004,0.023,-0.009,-0.1,-0.1,0.7,1023,2018,5,16,19,13,53.068,0.9311,0.144,0.3223,-0.0908
-0.006,0.021,-0.002,-0.2,-0.4,0.8,1023,2018,5,16,19,13,53.073,0.9311,0.144,0.3223,-0.0909
-0.004,0.017,-0.002,-0.1,-0.4,1,1023,2018,5,16,19,13,53.093,0.9311,0.1442,0.3224,-0.0908
-0.001,0.014,0,-0.2,-0.6,0.9,1023,2018,5,16,19,13,53.113,0.931,0.1443,0.3224,-0.0908
-0.003,0.012,0,-0.2,-0.6,0.9,0,2018,5,16,19,13,53.135,0.931,0.1442,0.3224,-0.0909
-0.004,0.006,-0.004,0,-0.1,0.8,0,2018,5,16,19,13,53.156,0.931,0.1442,0.3225,-0.0909
-0.002,0.008,-0.001,-0.1,0.2,0.5,0,2018,5,16,19,13,53.175,0.931,0.1445,0.3226,-0.0907
0,0.01,0,-0.1,0.2,0.5,0,2018,5,16,19,13,53.196,0.9309,0.1447,0.3226,-0.0906
0,0.016,-0.002,0,0,0,0,2018,5,16,19,13,53.211,0.9309,0.1448,0.3226,-0.0905
0,0.016,-0.002,0,0,0,0,2018,5,16,19,13,53.233,0.9309,0.145,0.3226,-0.0905
0,0.019,-0.005,0,0,0,0,2018,5,16,19,13,53.252,0.9309,0.1452,0.3225,-0.0904
-0.003,0.016,-0.002,0,0,0,0,2018,5,16,19,13,53.274,0.9309,0.1454,0.3225,-0.0904
-0.002,0.017,-0.009,0,0,0,0,2018,5,16,19,13,53.292,0.9309,0.1455,0.3225,-0.0904
-0.002,0.018,-0.003,0,0,0,0,2018,5,16,19,13,53.33,0.9308,0.1457,0.3225,-0.0903
-0.005,0.022,-0.005,0,0.1,0.5,0,2018,5,16,19,13,53.349,0.9308,0.146,0.3225,-0.0903
0.001,0.019,0.003,-0.1,-0.2,0.6,0,2018,5,16,19,13,53.354,0.9308,0.1462,0.3225,-0.0903
0.001,0.017,-0.002,-0.2,-0.5,0.7,0,2018,5,16,19,13,53.375,0.9308,0.1462,0.3225,-0.0904
-0.004,0.012,-0.008,-0.2,-0.4,0.7,0,2018,5,16,19,13,53.413,0.9307,0.1463,0.3226,-0.0903
-0.007,0.011,-0.009,0.2,0.3,0.7,0,2018,5,16,19,13,53.417,0.9307,0.1464,0.3226,-0.0903
-0.004,0.019,0,0,0.4,0.8,0,2018,5,16,19,13,53.433,0.9307,0.1466,0.3226,-0.0903
-0.001,0.02,-0.001,-0.1,0.1,0.7,0,2018,5,16,19,13,53.454,0.9306,0.1468,0.3226,-0.0904
0.001,0.016,-0.005,0.3,0,0.9,0,2018,5,16,19,13,53.472,0.9306,0.147,0.3226,-0.0904
-0.004,0.019,0.001,0.3,-0.2,1,0,2018,5,16,19,13,53.512,0.9306,0.1471,0.3226,-0.0905
-0.008,0.017,0.003,0,-0.9,0.9,0,2018,5,16,19,13,53.532,0.9306,0.1471,0.3225,-0.0906
0.001,0.012,0,-0.1,-1.2,0.7,0,2018,5,16,19,13,53.537,0.9306,0.1471,0.3225,-0.0904
0.003,0.008,0,-0.1,-1,0.6,0,2018,5,16,19,13,53.574,0.9306,0.1468,0.3226,-0.0905
0.003,0.002,-0.004,-0.2,0.1,0.7,0,2018,5,16,19,13,53.593,0.9306,0.1468,0.3227,-0.0904
-0.004,0.008,-0.005,0,1.2,0.3,0,2018,5,16,19,13,53.598,0.9306,0.1469,0.3227,-0.0906
-0.003,0.023,-0.003,0,1.3,0.3,0,2018,5,16,19,13,53.616,0.9305,0.1472,0.3226,-0.0907
-0.002,0.024,-0.002,0,0.6,0.3,0,2018,5,16,19,13,53.637,0.9305,0.1474,0.3225,-0.0909
0,0.021,-0.004,0,0,0,0,2018,5,16,19,13,53.652,0.9305,0.1476,0.3225,-0.0908
-0.001,0.019,-0.007,0,0,0,0,2018,5,16,19,13,53.688,0.9305,0.1479,0.3225,-0.0907
-0.004,0.021,-0.006,0,0,0.7,0,2018,5,16,19,13,53.71,0.9304,0.1481,0.3225,-0.0907
-0.003,0.025,0,-0.1,-0.4,0.8,0,2018,5,16,19,13,53.714,0.9304,0.1481,0.3224,-0.0908
-0.005,0.018,0,-0.1,-1,1.1,0,2018,5,16,19,13,53.753,0.9304,0.1481,0.3224,-0.0909
-0.001,0.014,-0.004,-0.1,-1.2,1.1,0,2018,5,16,19,13,53.773,0.9304,0.148,0.3225,-0.0909
-0.002,0.009,-0.007,0,-0.5,1.2,0,2018,5,16,19,13,53.777,0.9304,0.1479,0.3225,-0.091
-0.006,0.011,0,0.1,-0.1,0.9,0,2018,5,16,19,13,53.796,0.9304,0.1479,0.3225,-0.0911
-0.002,0.012,-0.001,0.1,-0.1,0.8,0,2018,5,16,19,13,53.817,0.9304,0.148,0.3225,-0.0911
0.001,0.013,-0.001,0,-0.5,0.7,0,2018,5,16,19,13,53.836,0.9304,0.1479,0.3225,-0.0912
0.001,0.011,0.005,-0.1,-0.5,0.7,0,2018,5,16,19,13,53.854,0.9304,0.1479,0.3225,-0.0913
0.001,0.012,-0.004,-0.2,-0.2,0.5,0,2018,5,16,19,13,53.892,0.9304,0.148,0.3225,-0.0912
0,0.011,-0.006,-0.1,0.1,0.5,1023,2018,5,16,19,13,53.912,0.9304,0.1479,0.3225,-0.0914
-0.003,0.02,-0.002,0,0.3,0.6,1023,2018,5,16,19,13,53.916,0.9304,0.148,0.3225,-0.0915
-0.004,0.023,-0.004,-0.1,0.1,0.5,1023,2018,5,16,19,13,53.937,0.9303,0.1482,0.3225,-0.0916
-0.004,0.024,-0.002,0,-0.4,0.7,1023,2018,5,16,19,13,53.957,0.9303,0.1485,0.3225,-0.0914
-0.003,0.021,-0.007,0,-0.6,0.8,1023,2018,5,16,19,13,53.993,0.9303,0.1487,0.3225,-0.0913
-0.003,0.021,-0.011,0.1,-1.1,1.1,1023,2018,5,16,19,13,54.013,0.9303,0.1487,0.3225,-0.0913
0,0.019,-0.003,0,-1.2,1.2,1023,2018,5,16,19,13,54.017,0.9303,0.1487,0.3226,-0.0912
0,0.021,-0.002,0.1,-1.2,1.1,1023,2018,5,16,19,13,54.055,0.9303,0.1486,0.3226,-0.0913
-0.002,0.014,0,0.1,-1.2,1.2,1023,2018,5,16,19,13,54.074,0.9303,0.1484,0.3225,-0.0915
-0.004,0.011,-0.003,0.1,-1.2,1.1,1023,2018,5,16,19,13,54.078,0.9303,0.148,0.3224,-0.0918
-0.003,0.012,-0.004,0.1,-1.2,1.2,0,2018,5,16,19,13,54.118,0.9304,0.1479,0.3225,-0.0918
-0.001,0.011,0.002,0.1,-0.8,1.1,0,2018,5,16,19,13,54.122,0.9304,0.1479,0.3225,-0.0918
-0.003,0.01,0,0.1,-0.9,1.1,0,2018,5,16,19,13,54.137,0.9304,0.1479,0.3225,-0.0917
0,0.015,-0.01,0.2,-0.7,1.1,0,2018,5,16,19,13,54.157,0.9304,0.1479,0.3225,-0.0917
0.001,0.016,0,0.3,-0.5,1.1,0,2018,5,16,19,13,54.178,0.9304,0.1479,0.3225,-0.0917
-0.003,0.019,0,0.3,-0.8,1.1,0,2018,5,16,19,13,54.197,0.9304,0.1479,0.3224,-0.0918
-0.002,0.02,-0.003,0,-1,1,0,2018,5,16,19,13,54.218,0.9304,0.1479,0.3224,-0.0918
-0.001,0.021,0,0.1,-1,1.1,0,2018,5,16,19,13,54.259,0.9304,0.1479,0.3224,-0.0918
-0.002,0.02,-0.006,0.2,-1.3,1,0,2018,5,16,19,13,54.28,0.9304,0.148,0.3224,-0.0915
0,0.017,-0.003,0,-1.2,1.1,0,2018,5,16,19,13,54.284,0.9304,0.1479,0.3224,-0.0916
-0.002,0.014,-0.002,0.1,-1.5,1.1,0,2018,5,16,19,13,54.302,0.9304,0.1478,0.3225,-0.0915
-0.003,0.011,-0.007,0.3,-1.2,1.3,0,2018,5,16,19,13,54.321,0.9304,0.1476,0.3225,-0.0916
-0.003,0.011,-0.009,0.4,-0.7,1,0,2018,5,16,19,13,54.34,0.9304,0.1477,0.3225,-0.0915
-0.004,0.019,0.001,0.3,-0.4,1.2,0,2018,5,16,19,13,54.36,0.9304,0.1476,0.3224,-0.0916
-0.004,0.022,0.004,0.1,-0.7,1.3,0,2018,5,16,19,13,54.379,0.9305,0.1476,0.3224,-0.0917
0,0.016,-0.012,0.4,-0.9,1.5,0,2018,5,16,19,13,54.397,0.9304,0.1475,0.3224,-0.0918
-0.005,0.018,-0.002,0.6,-1,1.5,0,2018,5,16,19,13,54.42,0.9305,0.1475,0.3223,-0.0919
-0.005,0.018,0.001,0.5,-1.3,1.4,0,2018,5,16,19,13,54.44,0.9305,0.1475,0.3223,-0.0918
-0.003,0.016,0.006,0.2,-2.1,1.4,0,2018,5,16,19,13,54.458,0.9305,0.1473,0.3222,-0.0918
0.002,0.009,0,0.1,-2.6,1.5,0,2018,5,16,19,13,54.48,0.9306,0.1469,0.3222,-0.0919
-0.001,0.002,-0.003,0,-2.3,1.3,0,2018,5,16,19,13,54.499,0.9307,0.1463,0.3222,-0.0921
-0.003,0.005,-0.007,0.1,-0.9,0.9,0,2018,5,16,19,13,54.539,0.9307,0.146,0.3223,-0.0922
-0.002,0.008,-0.003,0.1,0,0.9,0,2018,5,16,19,13,54.544,0.9307,0.146,0.3223,-0.0923
-0.002,0.018,-0.003,0.3,0.2,0.5,0,2018,5,16,19,13,54.558,0.9307,0.1461,0.3223,-0.0923
-0.001,0.023,0.002,0.3,-0.1,0.7,0,2018,5,16,19,13,54.577,0.9306,0.1464,0.3222,-0.0922
-0.003,0.022,-0.005,0.1,-0.4,0.7,0,2018,5,16,19,13,54.598,0.9306,0.1466,0.3222,-0.0922
