ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.016,-0.096,-0.017,-22.3,42,-47.4,1023,2018,5,11,13,47,30.547,0.7604,-0.4384,0.4774,0.0391
0.027,-0.045,-0.081,-25.6,52.1,-56.1,0,2018,5,11,13,47,30.567,0.7612,-0.4284,0.4851,0.0399
0.05,0.016,-0.101,-23.9,59.5,-61.2,0,2018,5,11,13,47,30.575,0.7622,-0.4163,0.4939,0.041
0.053,0.019,-0.081,-20.8,59.7,-65.2,0,2018,5,11,13,47,30.609,0.7635,-0.403,0.5026,0.043
0.058,0,-0.049,-18.3,51.8,-70.5,0,2018,5,11,13,47,30.628,0.7646,-0.3897,0.5111,0.0461
0.058,-0.04,-0.051,-15.7,48.2,-76.2,0,2018,5,11,13,47,30.638,0.7654,-0.3769,0.5191,0.0501
0.08,0.001,-0.086,-10.4,52.4,-78.1,0,2018,5,11,13,47,30.676,0.7662,-0.3633,0.527,0.0549
0.11,0.043,-0.087,-4.5,49.6,-80,0,2018,5,11,13,47,30.699,0.7673,-0.3492,0.5343,0.0604
0.15,0.065,-0.059,2.4,43.7,-80,0,2018,5,11,13,47,30.703,0.769,-0.3355,0.5399,0.0666
0.163,0.081,-0.035,11.2,41.8,-77.3,0,2018,5,11,13,47,30.739,0.7707,-0.3216,0.5449,0.0742
0.162,0.11,-0.04,19.3,42,-73.3,0,2018,5,11,13,47,30.762,0.7732,-0.3081,0.5481,0.0814
0.139,0.105,-0.043,26.5,40.5,-69,0,2018,5,11,13,47,30.766,0.7764,-0.2951,0.5497,0.0883
0.119,0.158,-0.016,32.8,38.9,-63.8,0,2018,5,11,13,47,30.778,0.7802,-0.2829,0.5497,0.0947
0.087,0.166,0.029,36.1,31.2,-57.8,0,2018,5,11,13,47,30.818,0.7842,-0.2717,0.5485,0.1011
0.038,0.131,0.054,37.7,26.5,-51.6,0,2018,5,11,13,47,30.837,0.788,-0.262,0.5465,0.1074
0.012,0.1,0.03,38.3,30,-46.6,0,2018,5,11,13,47,30.841,0.7921,-0.2521,0.5441,0.1133
0.013,0.146,0.043,37.3,25.1,-41.9,0,2018,5,11,13,47,30.86,0.7961,-0.2425,0.5415,0.1187
-0.007,0.148,0.046,35.8,12.8,-36.7,0,2018,5,11,13,47,30.88,0.7995,-0.2355,0.5385,0.1237
-0.036,0.113,0.053,33.3,7.9,-31.4,0,2018,5,11,13,47,30.917,0.8023,-0.2302,0.5353,0.1289
-0.051,0.087,0.052,30,14,-26.1,0,2018,5,11,13,47,30.937,0.8053,-0.2247,0.532,0.1335
-0.023,0.102,-0.019,29.1,22.8,-20.4,0,2018,5,11,13,47,30.941,0.8084,-0.2183,0.5292,0.1366
-0.039,0.093,0.018,31.1,43.9,-13.7,0,2018,5,11,13,47,30.973,0.8119,-0.2107,0.5266,0.1376
