ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.057,-0.081,-0.02,0.9,23.2,31.1,1023,2018,5,10,16,4,59.352,0.8455,-0.1197,0.5036,0.1307
0.107,-0.104,-0.043,9.2,6.4,24.1,1023,2018,5,10,16,4,59.37,0.8467,-0.1206,0.5028,0.1251
0.157,-0.294,0.046,11.8,19.3,15.1,0,2018,5,10,16,4,59.375,0.8483,-0.1208,0.5008,0.1221
0.161,-0.335,0.033,11.6,70.1,5.5,0,2018,5,10,16,4,59.396,0.8504,-0.1146,0.4998,0.117
0.155,-0.188,0,12,87.1,-8.2,0,2018,5,10,16,4,59.415,0.853,-0.1018,0.4996,0.1104
0.218,-0.049,-0.057,16.3,46.9,-24.1,0,2018,5,10,16,4,59.433,0.855,-0.0897,0.4994,0.1069
0.16,0.007,-0.095,22.1,-32.7,-32.5,0,2018,5,10,16,4,59.454,0.8555,-0.0861,0.4983,0.1107
0.073,-0.026,-0.073,25.5,-110.2,-34.8,0,2018,5,10,16,4,59.475,0.8551,-0.0941,0.4947,0.1229
0.011,0.312,-0.115,38.4,-160.5,-24.5,0,2018,5,10,16,4,59.495,0.8544,-0.1112,0.4876,0.1402
-0.028,0.445,-0.253,46.8,-216.7,-14.2,0,2018,5,10,16,4,59.517,0.8535,-0.1367,0.4765,0.1602
0.026,0.383,-0.47,63.1,-272.3,-6.6,0,2018,5,10,16,4,59.533,0.8511,-0.1709,0.4612,0.1834
0.019,0.428,-0.552,78.5,-313.2,9.1,0,2018,5,10,16,4,59.553,0.847,-0.212,0.4405,0.2086
0.002,0.361,-0.482,80.9,-356.1,23.7,0,2018,5,10,16,4,59.591,0.8397,-0.26,0.4148,0.2346
-0.043,0.138,-0.276,66.2,-363.7,33.7,0,2018,5,10,16,4,59.612,0.828,-0.3121,0.3868,0.2592
-0.043,-0.111,-0.226,51.2,-312.9,37,0,2018,5,10,16,4,59.615,0.8135,-0.3607,0.3606,0.2792
0.06,0.11,-0.343,41.4,-274.9,31.1,0,2018,5,10,16,4,59.635,0.7987,-0.4013,0.3375,0.2949
0.195,0.121,-0.347,37.8,-266.6,21.3,0,2018,5,10,16,4,59.654,0.7824,-0.4383,0.3161,0.3093
0.147,-0.223,-0.192,34.8,-241.9,7.9,0,2018,5,10,16,4,59.69,0.7647,-0.4718,0.2958,0.3239
0.12,-0.284,-0.097,30,-195.3,-4.4,0,2018,5,10,16,4,59.711,0.7479,-0.4988,0.2789,0.3374
0.182,-0.301,-0.144,29.1,-146.4,-16.6,0,2018,5,10,16,4,59.714,0.7336,-0.5186,0.2661,0.3492
0.216,-0.255,-0.043,32.2,-106.7,-28.6,0,2018,5,10,16,4,59.75,0.7219,-0.5318,0.2567,0.3604
0.064,-0.367,0.051,33.9,-73,-37.1,0,2018,5,10,16,4,59.77,0.7127,-0.5403,0.2499,0.3708
-0.015,-0.35,0.077,34.3,-41.1,-43.2,0,2018,5,10,16,4,59.773,0.7059,-0.5437,0.2462,0.3812
-0.011,-0.224,0.018,35.9,-3.9,-41.3,0,2018,5,10,16,4,59.81,0.7023,-0.5424,0.2444,0.3907
-0.104,-0.137,0.038,35.3,41.3,-37.7,0,2018,5,10,16,4,59.833,0.7029,-0.536,0.2453,0.3979
-0.229,-0.184,0.107,30.3,81.5,-32.4,0,2018,5,10,16,4,59.836,0.7078,-0.5244,0.2492,0.4022
-0.256,-0.072,0.149,22.5,90.8,-30.1,0,2018,5,10,16,4,59.853,0.7146,-0.5103,0.2551,0.4046
