ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.461,-0.191,-0.197,27.9,-38.8,-61.2,0,2018,4,25,16,54,25.892,-0.3421,-0.3812,-0.4223,0.7478
-0.462,-0.019,-0.136,30.2,-8.9,-59.1,0,2018,4,25,16,54,25.911,-0.3534,-0.3805,-0.4192,0.7446
-0.401,0.042,-0.028,30.7,-10.3,-55.9,0,2018,4,25,16,54,25.918,-0.3636,-0.3802,-0.4146,0.7424
-0.333,0.071,-0.01,29.7,-23.5,-49.2,0,2018,4,25,16,54,25.942,-0.3736,-0.3791,-0.4111,0.74
-0.182,0.178,0.025,29.7,-68.4,-36,0,2018,4,25,16,54,25.962,-0.3842,-0.3752,-0.4122,0.7359
-0.006,0.138,0.013,29.7,-102,-28,0,2018,4,25,16,54,25.981,-0.396,-0.3678,-0.4193,0.7293
0.114,0.039,-0.01,32.6,-123.2,-20.8,0,2018,4,25,16,54,26.002,-0.4092,-0.3583,-0.4296,0.7208
0.229,0.115,0.068,37,-119.8,-8.8,0,2018,4,25,16,54,26.041,-0.4214,-0.3466,-0.4414,0.7122
0.262,0.112,0.263,42,-85.5,3.1,0,2018,4,25,16,54,26.045,-0.4312,-0.334,-0.4513,0.7062
0.312,0.069,0.506,35.9,-14,18.4,0,2018,4,25,16,54,26.061,-0.4359,-0.3245,-0.4551,0.7052
0.35,0.178,0.548,18.7,62.6,35.5,0,2018,4,25,16,54,26.08,-0.4332,-0.3209,-0.4512,0.7111
0.369,0.316,0.453,-6.6,109.3,49.7,0,2018,4,25,16,54,26.1,-0.4231,-0.3237,-0.4419,0.7217
0.358,0.454,0.312,-29.5,104.5,57.7,0,2018,4,25,16,54,26.14,-0.4083,-0.3301,-0.4322,0.7331
0.304,0.484,0.23,-44.4,59.4,60.2,0,2018,4,25,16,54,26.159,-0.3929,-0.3364,-0.4276,0.7412
0.19,0.37,0.243,-52.4,-2.4,58,1023,2018,4,25,16,54,26.163,-0.3799,-0.3401,-0.4309,0.7444
-0.003,-0.057,0.042,-56.2,-47.2,50.4,1023,2018,4,25,16,54,26.184,-0.3703,-0.3412,-0.4413,0.7426
-0.004,-0.372,-0.187,-55.1,-60,38.2,1023,2018,4,25,16,54,26.204,-0.3635,-0.3413,-0.4551,0.7377
-0.103,-0.601,-0.353,-43.5,-48.9,15.5,1023,2018,4,25,16,54,26.224,-0.3593,-0.342,-0.4669,0.7319
-0.24,-0.723,-0.438,-29.6,-18,-12.5,1023,2018,4,25,16,54,26.244,-0.3582,-0.3444,-0.4735,0.7271
-0.273,-0.57,-0.358,-12.4,-9.7,-49.7,1023,2018,4,25,16,54,26.284,-0.361,-0.3489,-0.4744,0.7229
-0.277,-0.487,-0.308,4.9,-4.5,-80.7,1023,2018,4,25,16,54,26.302,-0.3697,-0.3544,-0.4715,0.7178
-0.263,-0.274,-0.274,19.3,11.9,-94,1023,2018,4,25,16,54,26.306,-0.3817,-0.3603,-0.4646,0.713
-0.271,-0.055,-0.241,28.6,21.5,-94.8,1023,2018,4,25,16,54,26.321,-0.3943,-0.3661,-0.4547,0.7096
-0.253,0.183,-0.072,35.7,16.1,-90.6,1023,2018,4,25,16,54,26.36,-0.407,-0.3711,-0.4438,0.7067
-0.171,0.341,0.028,40.7,-10.2,-80.6,1023,2018,4,25,16,54,26.38,-0.4204,-0.3732,-0.435,0.7033
-0.154,0.466,0.059,43.3,-43.9,-56.1,1023,2018,4,25,16,54,26.384,-0.4338,-0.3712,-0.4307,0.6988
-0.202,0.556,0.073,39.7,-73,-18.4,1023,2018,4,25,16,54,26.404,-0.4453,-0.3643,-0.4324,0.6941
-0.22,0.603,0.137,26.7,-84.6,21.8,1023,2018,4,25,16,54,26.426,-0.4526,-0.3537,-0.4397,0.6903
-0.226,0.579,0.115,5.8,-81.4,59.6,0,2018,4,25,16,54,26.446,-0.4539,-0.3418,-0.4511,0.6881
-0.163,0.447,0.119,-16,-66.7,97.4,0,2018,4,25,16,54,26.465,-0.4483,-0.3302,-0.4652,0.688
-0.088,0.291,0.163,-36,-41.4,128.3,0,2018,4,25,16,54,26.484,-0.4353,-0.3199,-0.4803,0.6909
0.023,0.275,0.161,-49,-20.3,145.7,0,2018,4,25,16,54,26.523,-0.4165,-0.3111,-0.4948,0.6962
0.147,0.339,0.093,-51.4,-9.7,154.2,0,2018,4,25,16,54,26.542,-0.3943,-0.3032,-0.508,0.7031
0.168,0.227,-0.029,-45.7,-19.7,155,0,2018,4,25,16,54,26.546,-0.3715,-0.2942,-0.5212,0.7096
0.173,-0.077,-0.117,-37.9,-28.1,145.8,0,2018,4,25,16,54,26.562,-0.3501,-0.2839,-0.5345,0.7148
0.242,-0.303,-0.153,-25.7,-25.8,125.2,0,2018,4,25,16,54,26.6,-0.3315,-0.2734,-0.5466,0.7186
0.29,-0.475,-0.235,-10.8,-4.7,101.6,0,2018,4,25,16,54,26.621,-0.3163,-0.264,-0.5549,0.7226
