year	month	day	hour	minute	second	w	x	y	z	droll	dpitch	dyaw	ax	ay	az	heart
2018	5	11	13	17	2.825	-0.8331	0.4897	0.1678	-0.1942	-0.7	0	1.1	0.016	0.014	0.002	1023
2018	5	11	13	17	2.829	-0.8331	0.4897	0.1679	-0.1942	-0.9	0.2	0.8	0.015	0.01	0.006	1023
2018	5	11	13	17	2.847	-0.8331	0.4897	0.168	-0.1942	-0.4	0.1	0.8	0.018	0.012	0.002	1023
2018	5	11	13	17	2.885	-0.8331	0.4897	0.1679	-0.1943	-0.4	0.2	0.9	0.016	0.013	0.002	1023
2018	5	11	13	17	2.905	-0.8332	0.4895	0.1681	-0.1943	-0.5	0.2	1.1	0.015	0.012	0.008	1023
2018	5	11	13	17	2.909	-0.8332	0.4895	0.168	-0.1944	-0.8	0.1	0.9	0.017	0.013	0.007	1023
2018	5	11	13	17	2.925	-0.8332	0.4895	0.168	-0.1944	-0.9	0	1	0.015	0.014	0.003	0
2018	5	11	13	17	2.961	-0.8332	0.4894	0.1683	-0.1942	-0.9	0.1	1	0.017	0.013	0.008	0
2018	5	11	13	17	2.981	-0.8332	0.4895	0.1683	-0.1943	-0.8	0.1	1	0.015	0.013	0.005	0
2018	5	11	13	17	2.985	-0.8331	0.4896	0.1682	-0.1944	-0.4	0.1	1	0.015	0.011	0.004	0
2018	5	11	13	17	3.006	-0.8332	0.4895	0.1683	-0.1944	-0.1	0.2	1.1	0.015	0.005	0.002	0
2018	5	11	13	17	3.024	-0.8332	0.4894	0.1684	-0.1944	0.4	0.7	0.8	0.019	0.01	0.003	0
2018	5	11	13	17	3.064	-0.8333	0.4892	0.1684	-0.1945	-0.2	0.6	0.6	0.021	0.021	0.012	0
2018	5	11	13	17	3.083	-0.8332	0.4893	0.1682	-0.1947	-1.6	0	1	0.015	0.022	0.017	0
2018	5	11	13	17	3.087	-0.8331	0.4894	0.1683	-0.1946	-2.6	-0.2	1.3	0.011	0.013	0.004	0
2018	5	11	13	17	3.108	-0.8329	0.4898	0.1683	-0.1945	-1.8	0	1.1	0.012	0.004	-0.005	0
2018	5	11	13	17	3.128	-0.8328	0.49	0.1683	-0.1945	-0.6	0.3	0.8	0.013	0.003	-0.005	0
2018	5	11	13	17	3.147	-0.8328	0.49	0.1683	-0.1947	0.3	0.4	0.8	0.017	0.009	0.002	0
2018	5	11	13	17	3.167	-0.8329	0.4897	0.1684	-0.1947	0.4	0.3	1	0.022	0.015	0.009	0
2018	5	11	13	17	3.188	-0.833	0.4894	0.1686	-0.1947	-0.1	0.1	1.1	0.02	0.017	0.012	0
2018	5	11	13	17	3.225	-0.8331	0.4893	0.1686	-0.1947	-1	-0.1	1.1	0.016	0.015	0.008	0
2018	5	11	13	17	3.248	-0.8331	0.4893	0.1687	-0.1947	-1	-0.2	1.2	0.016	0.015	0.004	0
2018	5	11	13	17	3.252	-0.833	0.4894	0.1686	-0.1947	-0.9	0	1.1	0.015	0.008	0	0
2018	5	11	13	17	3.27	-0.833	0.4896	0.1685	-0.1948	-0.5	0	1	0.018	0.013	0.005	0
2018	5	11	13	17	3.289	-0.833	0.4895	0.1686	-0.1948	-0.7	0.1	1	0.017	0.014	0.004	0
2018	5	11	13	17	3.31	-0.833	0.4895	0.1686	-0.1948	-0.4	0	0.9	0.017	0.012	0.003	0
2018	5	11	13	17	3.331	-0.833	0.4895	0.1687	-0.1948	-0.4	0.2	1	0.017	0.01	0.005	0
2018	5	11	13	17	3.35	-0.8328	0.4897	0.1686	-0.195	-0.4	0.3	1	0.015	0.008	0	0
2018	5	11	13	17	3.367	-0.8328	0.4896	0.1688	-0.195	-0.1	0.4	0.8	0.019	0.01	0.003	0
2018	5	11	13	17	3.388	-0.8329	0.4895	0.1689	-0.195	-0.1	0.4	0.8	0.02	0.016	0.01	0
2018	5	11	13	17	3.408	-0.8329	0.4894	0.169	-0.195	-0.7	0.3	0.9	0.018	0.015	0.01	0
2018	5	11	13	17	3.446	-0.8329	0.4894	0.1691	-0.195	-1.2	0.1	0.9	0.019	0.015	0.008	0
2018	5	11	13	17	3.466	-0.8329	0.4894	0.1692	-0.195	-1.3	0	1.1	0.016	0.015	0	0
2018	5	11	13	17	3.47	-0.8328	0.4896	0.1692	-0.195	-1.2	0.1	1.1	0.016	0.01	0.003	0
2018	5	11	13	17	3.508	-0.8326	0.4898	0.1692	-0.195	-0.7	0.1	1	0.015	0.008	0	0
2018	5	11	13	17	3.53	-0.8326	0.4899	0.1691	-0.1951	-0.6	0.2	0.9	0.016	0.012	-0.002	0
2018	5	11	13	17	3.534	-0.8326	0.4899	0.1691	-0.1951	-0.4	0	1.1	0.017	0.014	0	0
2018	5	11	13	17	3.546	-0.8326	0.4898	0.1693	-0.1951	-0.4	0	1	0.015	0.011	0.004	0
2018	5	11	13	17	3.587	-0.8326	0.4899	0.1692	-0.1951	-0.5	0.1	1	0.015	0.01	0.004	0
2018	5	11	13	17	3.591	-0.8325	0.4899	0.1691	-0.1952	-0.4	0	1	0.016	0.011	0.002	0
2018	5	11	13	17	3.608	-0.8326	0.4897	0.1693	-0.1952	-0.4	0.3	1	0.014	0.015	0.001	0
2018	5	11	13	17	3.63	-0.8326	0.4898	0.1692	-0.1952	-0.6	0.1	1	0.014	0.016	0.007	0
2018	5	11	13	17	3.649	-0.8326	0.4897	0.1692	-0.1953	-0.3	0.1	0.9	0.017	0.012	0.007	0
2018	5	11	13	17	3.689	-0.8327	0.4895	0.1695	-0.1952	-0.4	0.3	1	0.018	0.012	0.003	0
2018	5	11	13	17	3.71	-0.8326	0.4897	0.1693	-0.1954	-0.4	0.2	0.8	0.02	0.013	0.003	0
2018	5	11	13	17	3.714	-0.8326	0.4897	0.1692	-0.1954	-0.5	0.1	1	0.019	0.012	0.008	0
2018	5	11	13	17	3.733	-0.8326	0.4896	0.1694	-0.1954	-0.4	0.2	1	0.015	0.015	0.008	0
2018	5	11	13	17	3.771	-0.8326	0.4896	0.1694	-0.1955	-0.7	0.1	1	0.017	0.016	0.005	0
2018	5	11	13	17	3.775	-0.8325	0.4898	0.1692	-0.1956	-1	0.1	1	0.018	0.014	0.003	0
2018	5	11	13	17	3.791	-0.8325	0.4898	0.1693	-0.1956	-0.9	0.2	0.9	0.016	0.011	0.004	0
2018	5	11	13	17	3.812	-0.8324	0.4898	0.1693	-0.1956	-0.9	0	1	0.018	0.012	0.011	0
2018	5	11	13	17	3.832	-0.8324	0.4898	0.1693	-0.1957	-0.7	0.1	1	0.015	0.013	0	1023
2018	5	11	13	17	3.849	-0.8324	0.4899	0.1692	-0.1957	-0.4	0.2	1	0.015	0.011	0.005	1023
2018	5	11	13	17	3.868	-0.8324	0.4898	0.1693	-0.1957	-0.4	0.3	1	0.016	0.014	0.003	1023
2018	5	11	13	17	3.893	-0.8324	0.4898	0.1693	-0.1958	-0.4	0.1	0.9	0.018	0.014	0.004	1023
2018	5	11	13	17	3.912	-0.8324	0.4898	0.1693	-0.1958	-0.6	0	1	0.015	0.013	0.008	1023
2018	5	11	13	17	3.932	-0.8324	0.4898	0.1693	-0.1959	-0.6	0	0.9	0.013	0.015	0.004	1023
2018	5	11	13	17	3.955	-0.8325	0.4896	0.1695	-0.1959	-0.4	0.2	1	0.016	0.013	0.003	1023
2018	5	11	13	17	3.975	-0.8324	0.4897	0.1695	-0.1959	-0.3	0.1	0.9	0.017	0.011	0.002	1023
2018	5	11	13	17	3.994	-0.8325	0.4895	0.1696	-0.196	-0.3	0.1	1	0.019	0.014	0.002	1023
2018	5	11	13	17	4.032	-0.8324	0.4897	0.1693	-0.1961	-0.8	0.2	1	0.015	0.011	0.005	1023
2018	5	11	13	17	4.052	-0.8323	0.4898	0.1692	-0.1962	-0.9	0	1	0.02	0.017	0.004	1023
2018	5	11	13	17	4.056	-0.8323	0.4898	0.1692	-0.1962	-0.8	0	1.1	0.017	0.017	0.005	1023
2018	5	11	13	17	4.073	-0.8323	0.4899	0.1691	-0.1963	-0.9	-0.1	1	0.014	0.012	0.002	1023
2018	5	11	13	17	4.093	-0.8322	0.49	0.1691	-0.1963	-0.4	0.1	1	0.015	0.013	0.006	1023
2018	5	11	13	17	4.114	-0.8322	0.4901	0.1691	-0.1963	-0.4	0	1	0.016	0.012	0.006	0
2018	5	11	13	17	4.151	-0.8322	0.4901	0.1691	-0.1964	0	0.4	1	0.014	0.005	0.005	0
2018	5	11	13	17	4.172	-0.8322	0.49	0.169	-0.1965	0.3	0.6	0.8	0.018	0.014	0.008	0
2018	5	11	13	17	4.176	-0.8322	0.4899	0.1689	-0.1967	-0.4	0.4	0.8	0.023	0.021	0.014	0
2018	5	11	13	17	4.194	-0.8323	0.4898	0.1689	-0.1968	-1.8	0	1	0.014	0.024	0.013	0
2018	5	11	13	17	4.231	-0.8322	0.49	0.169	-0.1967	-2.6	-0.2	1.2	0.01	0.012	0	0
2018	5	11	13	17	4.251	-0.832	0.4903	0.169	-0.1966	-1.5	0	1	0.013	0	-0.006	0
2018	5	11	13	17	4.256	-0.8319	0.4904	0.1692	-0.1966	0	0.4	0.6	0.017	0.002	-0.007	0
