ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.004,0.017,-0.01,0.3,0.7,0,1023,2018,4,24,22,0,0.02,0.1301,0.0008,0.4273,-0.8946
-0.007,0.017,-0.008,0,0,0,1023,2018,4,24,22,0,0.04,0.1301,0.0008,0.4272,-0.8947
-0.005,0.012,-0.008,0,0,0,1023,2018,4,24,22,0,0.06,0.1301,0.0008,0.4271,-0.8947
-0.005,0.004,-0.011,0,0,0,1023,2018,4,24,22,0,0.08,0.1301,0.0007,0.4272,-0.8947
-0.007,0.006,-0.012,0,0,0,1023,2018,4,24,22,0,0.1,0.1301,0.0007,0.4272,-0.8947
0.001,0.008,-0.009,0,0,0,1023,2018,4,24,22,0,0.12,0.13,0.0007,0.4273,-0.8946
-0.001,0.012,-0.009,0,0,0,1023,2018,4,24,22,0,0.14,0.1301,0.0007,0.4273,-0.8946
-0.001,0.018,-0.008,0,0,0,1023,2018,4,24,22,0,0.16,0.1301,0.0007,0.4272,-0.8947
-0.002,0.017,-0.008,0,0,0,1023,2018,4,24,22,0,0.18,0.1301,0.0007,0.4272,-0.8947
-0.001,0.013,-0.005,0,0,0,1023,2018,4,24,22,0,0.2,0.1301,0.0007,0.4272,-0.8947
-0.002,0.014,-0.009,-0.1,-0.6,0.4,1023,2018,4,24,22,0,0.22,0.1301,0.0007,0.4272,-0.8947
-0.001,0.003,-0.01,-0.1,-0.7,0.2,0,2018,4,24,22,0,0.24,0.13,0.0007,0.4273,-0.8946
-0.003,0.008,-0.006,0,0,0,0,2018,4,24,22,0,0.26,0.13,0.0007,0.4273,-0.8946
0,0.009,-0.006,0,0,0,0,2018,4,24,22,0,0.28,0.13,0.0007,0.4273,-0.8946
-0.001,0.014,-0.009,0,0,0,0,2018,4,24,22,0,0.3,0.13,0.0007,0.4273,-0.8946
-0.003,0.018,-0.01,0,0,0,0,2018,4,24,22,0,0.32,0.13,0.0007,0.4273,-0.8946
0,0.014,-0.008,0,0,0,0,2018,4,24,22,0,0.34,0.13,0.0007,0.4273,-0.8946
-0.001,0.01,-0.007,0,0,0,0,2018,4,24,22,0,0.36,0.13,0.0007,0.4273,-0.8947
-0.002,0.01,-0.008,0,0,0,0,2018,4,24,22,0,0.38,0.13,0.0007,0.4273,-0.8947
-0.002,0.01,-0.011,0,0,0,0,2018,4,24,22,0,0.4,0.13,0.0007,0.4273,-0.8946
0,0.015,-0.001,0,0,0,0,2018,4,24,22,0,0.42,0.13,0.0007,0.4272,-0.8947
0,0.012,-0.016,0,0,0,0,2018,4,24,22,0,0.44,0.13,0.0007,0.4272,-0.8947
-0.005,0.008,-0.007,0,0,0,0,2018,4,24,22,0,0.46,0.13,0.0007,0.4272,-0.8947
-0.006,0.01,-0.009,-0.1,0.6,0.2,0,2018,4,24,22,0,0.48,0.1299,0.0007,0.4272,-0.8947
0,0.013,-0.009,0,0,0,0,2018,4,24,22,0,0.5,0.1299,0.0006,0.4271,-0.8947
0.001,0.013,-0.01,0.3,-0.6,-0.2,0,2018,4,24,22,0,0.52,0.1299,0.0007,0.4271,-0.8948
-0.001,0.008,-0.006,0,0,0,0,2018,4,24,22,0,0.54,0.13,0.0006,0.4271,-0.8947
-0.003,0.015,-0.002,0,0,0,0,2018,4,24,22,0,0.56,0.13,0.0006,0.4271,-0.8947
-0.004,0.016,-0.006,0,0,0,0,2018,4,24,22,0,0.58,0.13,0.0006,0.427,-0.8948
