label,dataset,relpath,ext,delimiter,has_header,rows_used,data_rows,cols_mode,cols_min,cols_max,cols_stable,time_format,time_monotonic,median_dt_sec,schema_key
FALL,wrist_data,FALL/wrist_data/FALL/up_fall_wrist_fall.csv,.csv,",",1,2281,2280,12,12,12,1,ts_col0_s,0,1.000000,".csv|,|h1|c12|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_gyro_6_3.txt,.txt,",",0,1999,1999,4,4,4,1,ts_col0_us,1,4.997000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_gyro_6_2.txt,.txt,",",0,1999,1999,4,4,4,1,ts_col0_us,1,4.994500,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_ori_6_3.txt,.txt,",",0,1962,1962,4,4,4,1,ts_col0_us,1,4.998000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_gyro_6_1.txt,.txt,",",0,1999,1999,4,4,4,1,ts_col0_us,1,4.994500,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_acc_6_3.txt,.txt,",",0,840,840,4,4,4,1,ts_col0_ns,1,0.010965,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_acc_6_1.txt,.txt,",",0,950,950,4,4,4,1,ts_col0_ns,1,0.010267,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_ori_6_1.txt,.txt,",",0,1960,1960,4,4,4,1,ts_col0_us,1,4.995000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_ori_6_2.txt,.txt,",",0,1971,1971,4,4,4,1,ts_col0_us,1,4.996000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/FKL/FKL_acc_6_2.txt,.txt,",",0,854,854,4,4,4,1,ts_col0_ns,1,0.011017,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/SDL/SDL_acc_6_1.txt,.txt,",",0,784,784,4,4,4,1,ts_col0_ns,1,0.010718,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/SDL/SDL_ori_6_2.txt,.txt,",",0,1973,1973,4,4,4,1,ts_col0_us,1,4.997000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/SDL/SDL_acc_6_3.txt,.txt,",",0,896,896,4,4,4,1,ts_col0_ns,1,0.010524,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/SDL/SDL_gyro_6_2.txt,.txt,",",0,1999,1999,4,4,4,1,ts_col0_us,1,4.997000,".txt|,|h0|c4|stable1"
FALL,MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main,FALL/MobiAct_Dataset_v2.0-MobiFall_Dataset_v2.0-main/sub6/FALLS/SDL/SDL_ori_6_3.txt,.txt,",",0,1982,1982,4,4,4,1,ts_col0_us,1,4.997000,".txt|,|h0|c4|stable1"
