ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.235,0.228,-0.122,12.3,-54.8,72.8,0,2018,5,11,13,14,9.103,0.3343,0.3287,0.154,-0.8697
-0.312,0.21,0.06,7.3,-26.8,71.3,0,2018,5,11,13,14,9.123,0.3261,0.322,0.1626,-0.8737
-0.327,0.226,0.002,-1.7,-25.2,68.2,0,2018,5,11,13,14,9.138,0.3175,0.3167,0.1685,-0.8777
-0.317,0.097,-0.109,-4.4,-19.5,61,0,2018,5,11,13,14,9.176,0.3087,0.3126,0.1754,-0.8809
-0.34,0.163,-0.013,-7.4,7,55.5,0,2018,5,11,13,14,9.198,0.2997,0.3097,0.1803,-0.8841
-0.341,0.284,0.122,-13.7,25.8,53.9,0,2018,5,11,13,14,9.203,0.2904,0.3084,0.1793,-0.8878
-0.334,0.287,0.154,-22.7,21.1,49.9,0,2018,5,11,13,14,9.219,0.281,0.3088,0.1765,-0.8913
-0.345,0.191,0.119,-31.2,15.1,43.3,0,2018,5,11,13,14,9.257,0.2724,0.3099,0.1759,-0.8936
-0.331,0.131,0.004,-35,19.9,37.7,0,2018,5,11,13,14,9.262,0.2641,0.3122,0.1761,-0.8953
-0.284,0.141,-0.036,-33,25,32.4,0,2018,5,11,13,14,9.278,0.2561,0.3158,0.1756,-0.8965
-0.262,0.211,0.028,-35.4,21.8,28.8,0,2018,5,11,13,14,9.318,0.249,0.3198,0.1741,-0.8974
-0.244,0.256,0.029,-40.3,2.5,27.4,0,2018,5,11,13,14,9.34,0.2431,0.3241,0.1735,-0.8976
-0.164,0.178,-0.062,-40.5,-8.2,24.5,0,2018,5,11,13,14,9.345,0.2382,0.3288,0.1761,-0.8967
-0.114,0.12,-0.106,-35.2,-4.2,19.8,0,2018,5,11,13,14,9.362,0.2336,0.3339,0.1796,-0.8953
-0.082,0.07,-0.133,-28.3,12.9,14.8,0,2018,5,11,13,14,9.382,0.2293,0.339,0.1817,-0.894
-0.074,0.142,-0.03,-24.9,37.8,9.6,0,2018,5,11,13,14,9.401,0.2246,0.344,0.1796,-0.8937
0.002,0.233,-0.045,-23.5,35.3,6.3,0,2018,5,11,13,14,9.422,0.2205,0.3497,0.1743,-0.8936
