heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
0,0.658,-0.698,-0.2794,0.0408,-9.4,57.9,-124.2,-0.085,0.134,-0.014,2018,4,24,22,43,40.984
0,0.6612,-0.6934,-0.2856,0.0163,-16.8,59.8,-117.4,-0.112,0.132,-0.057,2018,4,24,22,43,41.006
0,0.664,-0.6887,-0.2908,-0.0069,-7.9,63.1,-111.4,-0.139,0.054,-0.041,2018,4,24,22,43,41.014
0,0.6684,-0.6821,-0.2949,-0.0288,4.5,64.3,-105,-0.148,0.119,-0.021,2018,4,24,22,43,41.032
0,0.6731,-0.6743,-0.2994,-0.0487,3.1,61.9,-99,-0.144,0.179,-0.018,2018,4,24,22,43,41.051
0,0.6768,-0.6669,-0.3042,-0.0671,1.4,59.6,-91.4,-0.128,0.195,0.021,2018,4,24,22,43,41.074
0,0.6807,-0.6591,-0.3082,-0.0839,10.8,56.5,-82.5,-0.135,0.17,0.015,2018,4,24,22,43,41.111
0,0.6851,-0.6509,-0.3121,-0.0974,20.1,52.6,-75,-0.139,0.194,0.026,2018,4,24,22,43,41.134
0,0.6885,-0.6436,-0.3159,-0.1084,14,46.3,-67.8,-0.138,0.238,0.051,2018,4,24,22,43,41.139
0,0.6893,-0.6396,-0.3191,-0.1175,2.5,39.5,-58.9,-0.125,0.22,0.056,2018,4,24,22,43,41.173
0,0.6896,-0.6366,-0.3219,-0.1241,5.4,34.6,-50,-0.112,0.15,0.037,2018,4,24,22,43,41.195
0,0.6921,-0.6313,-0.3246,-0.13,17.4,30.7,-43.4,-0.113,0.14,0.009,2018,4,24,22,43,41.198
0,0.695,-0.626,-0.3271,-0.134,12.9,26.1,-37.4,-0.113,0.195,0.008,2018,4,24,22,43,41.215
0,0.6959,-0.6232,-0.3294,-0.1366,-1.4,22.5,-31.1,-0.097,0.189,0.026,2018,4,24,22,43,41.238
0,0.696,-0.6219,-0.3307,-0.1388,-7.9,19.8,-26.6,-0.102,0.106,0.008,2018,4,24,22,43,41.254
0,0.6961,-0.621,-0.3317,-0.1402,-1.5,17.8,-22.9,-0.085,0.076,-0.001,2018,4,24,22,43,41.272
0,0.6975,-0.6186,-0.3331,-0.1404,11.5,15.9,-19.1,-0.069,0.096,0.035,2018,4,24,22,43,41.295
0,0.6994,-0.616,-0.3346,-0.1385,17,12.1,-14.8,-0.059,0.159,0.061,2018,4,24,22,43,41.315
0,0.6995,-0.6159,-0.3358,-0.1355,3.1,7,-9.4,-0.043,0.18,0.057,2018,4,24,22,43,41.338
0,0.699,-0.6164,-0.337,-0.1334,-9.2,3.7,-4.7,-0.025,0.124,0.035,2018,4,24,22,43,41.353
0,0.6985,-0.6174,-0.3373,-0.1306,-7.8,1.9,-0.8,-0.014,0.062,0.025,2018,4,24,22,43,41.377
0,0.6985,-0.6177,-0.3378,-0.1273,-4.2,-0.5,1.5,-0.02,0.103,0.053,2018,4,24,22,43,41.413
0,0.6969,-0.6203,-0.3384,-0.122,-7.3,-4.9,4.3,-0.026,0.144,0.077,2018,4,24,22,43,41.436
0,0.6938,-0.6245,-0.3389,-0.1164,-17.4,-10.1,10.2,-0.016,0.188,0.083,2018,4,24,22,43,41.441
0,0.6897,-0.6302,-0.3392,-0.1096,-21.8,-14.3,18.6,-0.017,0.208,0.088,2018,4,24,22,43,41.453
1023,0.6855,-0.636,-0.3391,-0.1018,-16.7,-18.2,27.9,-0.051,0.204,0.117,2018,4,24,22,43,41.489
1023,0.6821,-0.6415,-0.3384,-0.0923,-6.5,-22.8,38.2,-0.08,0.208,0.112,2018,4,24,22,43,41.512
1023,0.6794,-0.6466,-0.3373,-0.0803,-2,-28.2,48.8,-0.078,0.211,0.083,2018,4,24,22,43,41.516
1023,0.6764,-0.6519,-0.3357,-0.0674,-5.9,-32.8,58.3,-0.087,0.184,0.051,2018,4,24,22,43,41.535
1023,0.6744,-0.6561,-0.3338,-0.0549,-10.4,-36.5,65.8,-0.101,0.128,0.031,2018,4,24,22,43,41.558
1023,0.673,-0.6599,-0.3312,-0.0418,-1.8,-38.5,71.3,-0.106,0.063,0.031,2018,4,24,22,43,41.576
1023,0.674,-0.6611,-0.3282,-0.0271,31.5,-38.2,76.1,-0.096,0.025,0.036,2018,4,24,22,43,41.599
1023,0.6802,-0.657,-0.3248,-0.0087,80.8,-37.6,82.5,-0.099,0.034,0.021,2018,4,24,22,43,41.617
1023,0.6893,-0.6493,-0.3209,0.011,86.7,-36.5,87.2,-0.121,0.152,-0.046,2018,4,24,22,43,41.64
1023,0.6961,-0.6436,-0.3166,0.0303,56.9,-33.2,95.5,-0.112,0.184,-0.06,2018,4,24,22,43,41.658
1023,0.7003,-0.6408,-0.3106,0.049,47.4,-28.7,103.9,-0.104,0.115,0,2018,4,24,22,43,41.681
1023,0.7067,-0.6361,-0.3019,0.0683,85.9,-24.2,111.1,-0.085,0.026,0.016,2018,4,24,22,43,41.699
0,0.7185,-0.6251,-0.291,0.0907,142.6,-19.2,118.8,-0.053,-0.013,-0.058,2018,4,24,22,43,41.722
0,0.732,-0.6107,-0.2789,0.1151,140.6,-9.6,121.2,-0.049,0.198,-0.148,2018,4,24,22,43,41.759
0,0.7419,-0.6002,-0.2657,0.1361,78.1,-4.9,128,-0.101,0.331,-0.072,2018,4,24,22,43,41.759
0,0.7434,-0.5996,-0.2519,0.1559,24.8,-6.3,133.3,-0.108,0.238,0.041,2018,4,24,22,43,41.782
0,0.7412,-0.6024,-0.2382,0.1754,23,-10.3,139.1,-0.075,0.109,0.077,2018,4,24,22,43,41.798
0,0.7411,-0.602,-0.2242,0.1948,27.5,-13.5,141.2,-0.046,0.046,0.001,2018,4,24,22,43,41.834
0,0.7386,-0.6035,-0.2109,0.2134,-5.7,-14.5,141.6,-0.057,0.144,-0.069,2018,4,24,22,43,41.857
0,0.7309,-0.6108,-0.1987,0.2303,-50.4,-16.5,144.4,-0.07,0.139,-0.027,2018,4,24,22,43,41.863
0,0.7196,-0.6213,-0.1867,0.2471,-58.4,-20.7,146.9,-0.086,0.006,0.054,2018,4,24,22,43,41.879
0,0.7078,-0.6311,-0.1749,0.2644,-48.1,-24.9,141.9,-0.112,-0.25,-0.003,2018,4,24,22,43,41.901
0,0.6951,-0.6411,-0.1636,0.2808,-45.7,-23.5,129,-0.113,-0.33,-0.084,2018,4,24,22,43,41.92
0,0.6835,-0.6496,-0.1526,0.2957,-30.6,-20.3,120,-0.102,-0.277,-0.02,2018,4,24,22,43,41.943
0,0.676,-0.6537,-0.1415,0.309,6.2,-17.4,111.5,-0.033,-0.251,-0.008,2018,4,24,22,43,41.96
0,0.674,-0.6521,-0.1287,0.3221,53.9,-14.1,107.2,-0.002,-0.179,-0.072,2018,4,24,22,43,41.977
0,0.6732,-0.6492,-0.1152,0.3347,30.3,-10.6,99.7,-0.062,0.044,-0.142,2018,4,24,22,43,41.999
0,0.6669,-0.6518,-0.1038,0.3455,-28.9,-9.5,96,-0.091,0.113,-0.062,2018,4,24,22,43,42.017
0,0.6558,-0.659,-0.0964,0.3552,-68.8,-15.3,82.8,-0.202,-0.275,0.105,2018,4,24,22,43,42.041
0,0.6405,-0.6716,-0.0998,0.3585,-89.2,-31.4,-3.7,0.171,-2.508,0.131,2018,4,24,22,43,42.076
0,0.643,-0.6682,-0.1023,0.3596,78.3,-36.5,-16.3,0.056,-0.061,-0.096,2018,4,24,22,43,42.099
0,0.6506,-0.6601,-0.1058,0.36,26.4,-38.5,-25.1,0.023,0.219,-0.077,2018,4,24,22,43,42.104
0,0.6517,-0.6581,-0.1116,0.3601,-24.5,-36.7,-12.8,0.008,0.243,-0.042,2018,4,24,22,43,42.122
0,0.6486,-0.6599,-0.1185,0.3599,-34.5,-31.8,-8.9,0.048,-0.101,0.017,2018,4,24,22,43,42.16
0,0.6481,-0.6603,-0.124,0.3585,11.2,-24,-14.5,0.106,-0.258,-0.003,2018,4,24,22,43,42.183
0,0.6531,-0.6559,-0.1258,0.3567,44,-17,-12.8,0.058,0.037,-0.039,2018,4,24,22,43,42.187
0,0.6586,-0.6511,-0.1257,0.3555,27.4,-13.3,-6.1,0.019,0.153,0.013,2018,4,24,22,43,42.201
0,0.6615,-0.6486,-0.1255,0.3547,2.5,-7.8,1.6,0.025,0.174,0.056,2018,4,24,22,43,42.218
0,0.6624,-0.6485,-0.125,0.3535,0.1,-2.1,4.9,0.033,-0.032,0.106,2018,4,24,22,43,42.241
0,0.6639,-0.6481,-0.1236,0.3516,6.2,1.8,2.9,0.035,-0.07,0.069,2018,4,24,22,43,42.259
0,0.6653,-0.6483,-0.1224,0.3492,0.3,3.2,1.7,0.021,-0.056,0.015,2018,4,24,22,43,42.278
0,0.6657,-0.6496,-0.1215,0.3462,-9.1,2.5,0.5,0.01,0.002,0.005,2018,4,24,22,43,42.319
1023,0.665,-0.652,-0.1212,0.3431,-16,2.5,0.4,0.007,0.016,0.002,2018,4,24,22,43,42.341
1023,0.6642,-0.6544,-0.1211,0.3402,-12.8,3.9,1.3,0.016,0.017,-0.013,2018,4,24,22,43,42.343
1023,0.664,-0.6564,-0.1202,0.3371,-5.3,5.1,2.2,0.026,0.01,-0.026,2018,4,24,22,43,42.377
1023,0.6643,-0.6578,-0.119,0.3341,-3,4.6,2.5,0.026,0.012,-0.039,2018,4,24,22,43,42.401
1023,0.6646,-0.6591,-0.118,0.3314,-3.9,3.9,3,0.037,0.005,-0.016,2018,4,24,22,43,42.405
1023,0.665,-0.6602,-0.117,0.3286,-3.4,4.8,2.9,0.051,-0.034,0.001,2018,4,24,22,43,42.421
1023,0.6658,-0.6611,-0.1158,0.3256,-2.3,5.6,1.4,0.049,-0.065,0.032,2018,4,24,22,43,42.439
1023,0.6663,-0.6622,-0.1153,0.3226,-11.8,3.4,-1.9,0.038,-0.051,0.025,2018,4,24,22,43,42.462
1023,0.6649,-0.6651,-0.1163,0.3191,-36.4,1.7,-6.4,0.021,-0.025,0.014,2018,4,24,22,43,42.5
1023,0.6597,-0.672,-0.1198,0.314,-70.3,2.9,-13.3,0.002,-0.126,-0.044,2018,4,24,22,43,42.5
1023,0.6527,-0.6809,-0.1245,0.3077,-73.2,5.2,-22,-0.052,-0.218,-0.004,2018,4,24,22,43,42.524
1023,0.6463,-0.6893,-0.1302,0.3001,-67.3,4.3,-34.5,-0.029,-0.287,-0.008,2018,4,24,22,43,42.542
1023,0.6413,-0.6967,-0.1371,0.2905,-55,8.3,-50.6,0.003,-0.378,-0.072,2018,4,24,22,43,42.565
0,0.6397,-0.7014,-0.1443,0.2789,-25.5,14.6,-65.3,0.037,-0.407,-0.059,2018,4,24,22,43,42.583
0,0.642,-0.703,-0.1514,0.2655,-11.3,19.4,-79.8,0.04,-0.319,-0.039,2018,4,24,22,43,42.606
0,0.6448,-0.7044,-0.1596,0.2499,-24.5,23.7,-93,0.05,-0.239,-0.013,2018,4,24,22,43,42.643
0,0.6462,-0.7069,-0.1694,0.2319,-36.8,27.6,-104.2,0.055,-0.28,-0.007,2018,4,24,22,43,42.643
0,0.6479,-0.7091,-0.1797,0.212,-23.6,32.6,-114.5,0.042,-0.308,-0.011,2018,4,24,22,43,42.666
0,0.652,-0.7087,-0.1897,0.1909,-8.9,36.7,-123.4,0.03,-0.216,-0.005,2018,4,24,22,43,42.684
0,0.6565,-0.7073,-0.2003,0.1688,-18.1,39.1,-131.2,0.014,-0.146,-0.012,2018,4,24,22,43,42.703
0,0.659,-0.707,-0.2113,0.1449,-35.5,41.3,-135.5,0.003,-0.083,-0.003,2018,4,24,22,43,42.725
0,0.6598,-0.7076,-0.2224,0.1198,-36.4,46.4,-138.1,-0.013,-0.128,-0.031,2018,4,24,22,43,42.742
0,0.6614,-0.7066,-0.2327,0.0942,-20.3,52.2,-139.8,-0.029,-0.073,-0.003,2018,4,24,22,43,42.764
0,0.6648,-0.7033,-0.2421,0.0685,-15.1,55.1,-138.1,-0.034,0.026,-0.013,2018,4,24,22,43,42.801
0,0.6679,-0.6992,-0.251,0.0429,-11.2,59.3,-135.9,-0.062,0.01,-0.028,2018,4,24,22,43,42.824
0,0.6717,-0.6938,-0.2589,0.0179,-2.5,62.2,-132.3,-0.086,0.047,-0.03,2018,4,24,22,43,42.829
0,0.6766,-0.6864,-0.2663,-0.006,3.5,62.4,-128.4,-0.116,0.124,0.034,2018,4,24,22,43,42.847
0,0.6819,-0.6778,-0.2731,-0.0291,9.2,60.3,-122.2,-0.116,0.138,0.022,2018,4,24,22,43,42.865
0,0.6865,-0.6691,-0.2799,-0.0503,12.4,60.1,-117.1,-0.149,0.099,-0.063,2018,4,24,22,43,42.888
