heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
0,-0.4498,0.1897,0.3785,-0.7863,34.4,103.3,152.4,-0.071,0.019,-0.138,2018,4,24,22,50,1.849
0,-0.4372,0.2119,0.3602,-0.7963,36.8,112.9,148.7,-0.114,-0.001,-0.06,2018,4,24,22,50,1.871
0,-0.4259,0.2334,0.3389,-0.8057,60.7,119.5,142.6,-0.143,-0.081,-0.015,2018,4,24,22,50,1.882
0,-0.4156,0.2541,0.3168,-0.8137,36.9,116.1,131.3,-0.179,-0.022,0.025,2018,4,24,22,50,1.92
0,-0.4041,0.2766,0.3016,-0.818,-17.5,112.9,122.6,-0.192,0.017,0.028,2018,4,24,22,50,1.943
0,-0.3911,0.3015,0.2934,-0.8185,-55.4,112.1,113.5,-0.209,-0.042,0.05,2018,4,24,22,50,1.948
0,-0.3775,0.3273,0.2895,-0.8163,-72,108.2,105.2,-0.191,-0.124,0.056,2018,4,24,22,50,1.967
0,-0.3628,0.3531,0.2886,-0.8125,-100,93.9,96,-0.231,-0.248,0.135,2018,4,24,22,50,1.984
0,-0.3468,0.3773,0.2934,-0.8069,-117.4,76,86,-0.25,-0.33,0.173,2018,4,24,22,50,2.003
0,-0.3315,0.3979,0.3,-0.801,-104.2,61.2,70.7,-0.206,-0.4,0.193,2018,4,24,22,50,2.021
0,-0.3046,0.435,0.3119,-0.7877,-60.4,27,27.9,-0.051,-0.165,0.285,2018,4,24,22,50,2.044
0,-0.2974,0.4419,0.3178,-0.7843,-62.8,5.7,21.8,-0.086,-0.147,0.456,2018,4,24,22,50,2.082
1023,-0.2902,0.4454,0.3242,-0.7823,-47.8,-9,16,-0.057,-0.219,0.397,2018,4,24,22,50,2.105
1023,-0.2851,0.4463,0.3283,-0.782,-20,-13.2,12.1,-0.015,-0.195,0.245,2018,4,24,22,50,2.11
1023,-0.2822,0.4455,0.3294,-0.7831,-2.5,-10.8,9.7,0.014,-0.094,0.142,2018,4,24,22,50,2.124
1023,-0.2813,0.4437,0.3287,-0.7847,10.8,-8.8,6.6,-0.008,-0.117,0.104,2018,4,24,22,50,2.146
1023,-0.2821,0.4414,0.3261,-0.7868,27.9,-7.9,2.7,-0.021,-0.118,0.099,2018,4,24,22,50,2.182
1023,-0.2844,0.4381,0.3216,-0.7897,39.9,-7.6,-1.1,-0.033,-0.076,0.103,2018,4,24,22,50,2.205
