ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.037,-0.132,-0.265,74.6,-293.8,-31.8,1023,2018,5,17,22,39,10.048,0.4009,-0.3306,-0.4883,0.7009
0.031,-0.307,-0.308,69.3,-287.1,-33.3,1023,2018,5,17,22,39,10.072,0.3735,-0.3448,-0.5264,0.6814
0.101,-0.523,-0.387,63.5,-203.8,-26.4,1023,2018,5,17,22,39,10.081,0.348,-0.3562,-0.5581,0.6636
0.157,-0.51,-0.249,60.5,-8.5,-10.1,1023,2018,5,17,22,39,10.119,0.3332,-0.3574,-0.5727,0.658
0.106,0.027,0.377,39,160.3,4.2,0,2018,5,17,22,39,10.142,0.3327,-0.347,-0.5652,0.6703
0.086,0.192,0.225,25.8,198.9,-11.9,0,2018,5,17,22,39,10.144,0.342,-0.332,-0.5431,0.6912
0.106,0.331,-0.058,45.5,94.5,-26.9,0,2018,5,17,22,39,10.162,0.3441,-0.3211,-0.5256,0.7085
0.04,0.151,-0.039,57.7,20.8,-13.1,0,2018,5,17,22,39,10.186,0.339,-0.314,-0.5214,0.7172
-0.428,-0.019,0.77,24.9,74.3,1.1,0,2018,5,17,22,39,10.204,0.3359,-0.3053,-0.5184,0.7245
-0.122,-0.019,0.44,-56,-7.3,-9.9,0,2018,5,17,22,39,10.226,0.3483,-0.3059,-0.5031,0.7292
-0.132,0.127,0.233,-52.9,-73.5,-2,0,2018,5,17,22,39,10.245,0.3489,-0.3168,-0.5052,0.7228
-0.124,-0.244,-0.037,-49.2,-39.7,5.8,0,2018,5,17,22,39,10.267,0.3505,-0.3267,-0.5104,0.7139
0.018,0.036,0.077,-44.7,12.8,-6.1,0,2018,5,17,22,39,10.282,0.3545,-0.3327,-0.5082,0.7108
-0.121,0.209,0.375,-58.2,-30.1,-2.3,0,2018,5,17,22,39,10.32,0.3578,-0.3404,-0.5053,0.7076
-0.05,0.132,0.147,-68,-50.6,8.9,0,2018,5,17,22,39,10.343,0.3612,-0.3506,-0.507,0.6995
-0.042,0.106,0.083,-79.2,-55.4,17.4,0,2018,5,17,22,39,10.348,0.3666,-0.3611,-0.5088,0.69
-0.032,0.036,0.021,-89.3,-42.9,24.7,0,2018,5,17,22,39,10.363,0.3738,-0.3723,-0.5105,0.6789
-0.027,0.055,0.015,-96.3,-19.4,26.9,0,2018,5,17,22,39,10.387,0.3835,-0.3826,-0.5094,0.6685
-0.058,-0.006,-0.124,-97.1,-0.6,31.4,0,2018,5,17,22,39,10.405,0.395,-0.3918,-0.5064,0.6587
-0.053,-0.01,-0.215,-94.7,14.8,33.8,0,2018,5,17,22,39,10.443,0.4078,-0.3994,-0.501,0.6504
-0.054,0.132,-0.1,-95.3,11.6,34.7,0,2018,5,17,22,39,10.465,0.4211,-0.4061,-0.4951,0.6422
-0.092,0.091,-0.196,-90.8,-7.6,33.6,0,2018,5,17,22,39,10.47,0.4332,-0.4135,-0.4908,0.6327
-0.133,-0.1,-0.386,-77.7,-15.5,29.4,0,2018,5,17,22,39,10.488,0.4426,-0.4214,-0.488,0.623
-0.182,-0.167,-0.191,-75.5,-1.9,23.8,0,2018,5,17,22,39,10.505,0.451,-0.4284,-0.4847,0.6147
-0.168,-0.003,-0.166,-74.3,-3.7,14.7,1023,2018,5,17,22,39,10.523,0.4597,-0.4347,-0.48,0.6076
-0.089,-0.109,-0.41,-62.7,-28.1,6,1023,2018,5,17,22,39,10.545,0.4649,-0.4428,-0.4771,0.5999
0,-0.157,-0.408,-44.3,-5.8,1.5,1023,2018,5,17,22,39,10.563,0.4683,-0.4496,-0.4751,0.5938
0.039,-0.11,-0.363,-22,8,-8.6,1023,2018,5,17,22,39,10.585,0.471,-0.4529,-0.4716,0.5919
0.092,-0.037,-0.387,3.9,4.3,-10.9,1023,2018,5,17,22,39,10.605,0.4711,-0.4542,-0.4695,0.5926
0.096,-0.057,-0.381,31.4,7.5,-10.3,1023,2018,5,17,22,39,10.627,0.4689,-0.4527,-0.4696,0.5953
0.031,-0.067,-0.282,53.2,20.3,-12.4,1023,2018,5,17,22,39,10.645,0.4652,-0.4479,-0.4709,0.6008
-0.029,-0.098,-0.176,63.9,27.8,-17.1,1023,2018,5,17,22,39,10.668,0.4608,-0.4407,-0.4718,0.6088
-0.085,-0.069,-0.072,65.8,5.1,-25.4,1023,2018,5,17,22,39,10.686,0.4544,-0.4343,-0.4741,0.6163
-0.071,-0.007,-0.1,67.7,-32.6,-28.8,1023,2018,5,17,22,39,10.709,0.445,-0.4304,-0.4799,0.6215
-0.055,0.059,-0.081,71.2,-60.6,-27.2,1023,2018,5,17,22,39,10.728,0.4325,-0.429,-0.4893,0.624
-0.077,0.011,-0.003,69.9,-80.3,-32.2,1023,2018,5,17,22,39,10.751,0.4181,-0.4289,-0.5005,0.6249
-0.013,0.014,-0.024,66.9,-95.4,-35.7,1023,2018,5,17,22,39,10.769,0.402,-0.4307,-0.5126,0.6245
-0.015,0.103,0.026,64.6,-130.8,-32.3,1023,2018,5,17,22,39,10.792,0.3837,-0.4344,-0.5268,0.6216
-0.041,0.133,0.049,62.6,-168.9,-24.8,1023,2018,5,17,22,39,10.808,0.3636,-0.4396,-0.545,0.6142
-0.007,0.062,-0.034,66.3,-186.7,-26.5,1023,2018,5,17,22,39,10.828,0.3408,-0.4463,-0.5663,0.6031
0.018,-0.074,-0.1,69.7,-148.1,-16.3,1023,2018,5,17,22,39,10.845,0.3177,-0.4517,-0.5869,0.592
-0.026,-0.16,0.008,67.5,-69.6,-5.7,1023,2018,5,17,22,39,10.869,0.3012,-0.4515,-0.6012,0.5864
-0.054,-0.043,0.139,60.8,-9,-2.2,1023,2018,5,17,22,39,10.906,0.2916,-0.4469,-0.6076,0.5882
0.019,-0.082,0.265,46.7,42.7,-0.3,1023,2018,5,17,22,39,10.929,0.287,-0.4404,-0.6083,0.5945
0.087,-0.102,0.387,18.3,111.8,-2.1,1023,2018,5,17,22,39,10.933,0.2893,-0.4335,-0.6013,0.6055
0.148,0.001,0.327,-6.9,162.4,1.1,0,2018,5,17,22,39,10.965,0.2995,-0.426,-0.586,0.6207
0.168,0.25,0.324,-13.8,126.6,4.1,0,2018,5,17,22,39,10.988,0.3121,-0.4191,-0.5687,0.6351
0.169,0.333,0.303,-11.5,27.8,11,0,2018,5,17,22,39,10.993,0.3197,-0.4158,-0.5598,0.6413
0.18,0.028,0.235,-9.1,-12.1,17.5,0,2018,5,17,22,39,11.009,0.3221,-0.416,-0.56,0.6398
0.188,-0.134,0.044,-4.7,38.3,21.4,0,2018,5,17,22,39,11.032,0.3256,-0.4146,-0.5595,0.6395
0.131,-0.107,-0.017,0,103.5,25.2,0,2018,5,17,22,39,11.05,0.3328,-0.4093,-0.5521,0.6455
0.059,-0.01,-0.056,6,135.7,31.4,0,2018,5,17,22,39,11.073,0.344,-0.3997,-0.54,0.6558
0.033,0.319,0.019,11.1,96.1,37.8,0,2018,5,17,22,39,11.091,0.3553,-0.3884,-0.5284,0.6659
-0.023,0.274,-0.067,21.1,13.2,42.2,0,2018,5,17,22,39,11.109,0.3618,-0.3798,-0.5256,0.6696
-0.123,-0.103,-0.033,22.1,6.6,46,0,2018,5,17,22,39,11.128,0.365,-0.3732,-0.5308,0.6676
-0.362,-0.457,0.27,1.6,82.6,38.6,0,2018,5,17,22,39,11.151,0.3721,-0.3644,-0.5293,0.6696
-0.303,-0.148,-0.038,0,116.7,21,0,2018,5,17,22,39,11.187,0.3822,-0.3552,-0.5181,0.6776
-0.241,0.134,-0.193,14.4,68.7,10.8,0,2018,5,17,22,39,11.211,0.3895,-0.3465,-0.5078,0.6857
-0.277,0.119,-0.333,38.1,4,-3.9,0,2018,5,17,22,39,11.216,0.3892,-0.341,-0.506,0.6899
-0.392,-0.153,-0.114,38.6,-50.8,-25.4,0,2018,5,17,22,39,11.232,0.3822,-0.3396,-0.5106,0.6911
-0.254,0.168,0.041,34,-103.3,-34.6,0,2018,5,17,22,39,11.254,0.3709,-0.3431,-0.5198,0.6887
-0.131,0.359,-0.001,29.2,-221.8,-36.2,0,2018,5,17,22,39,11.274,0.3538,-0.353,-0.5388,0.678
0.002,0.165,-0.166,32,-307.9,-39,0,2018,5,17,22,39,11.29,0.3295,-0.3694,-0.5705,0.6552
0.081,-0.176,-0.274,31.6,-293.2,-37.7,0,2018,5,17,22,39,11.328,0.3014,-0.3867,-0.604,0.6282
0.237,-0.262,-0.118,23.2,-175.4,-31,0,2018,5,17,22,39,11.351,0.2788,-0.4004,-0.6281,0.606
0.143,-0.132,0.045,8.8,-100.6,-41.3,0,2018,5,17,22,39,11.356,0.2645,-0.4094,-0.6389,0.595
0.159,-0.036,0.026,2.1,-70.5,-28.8,1023,2018,5,17,22,39,11.371,0.254,-0.4168,-0.6457,0.5871
0.169,-0.216,-0.089,0.2,-6.9,-25.7,1023,2018,5,17,22,39,11.395,0.2473,-0.4224,-0.647,0.5845
0.154,-0.177,0.029,-9.1,70.9,-14.4,1023,2018,5,17,22,39,11.412,0.2477,-0.424,-0.6414,0.5893
0.191,0.049,0.056,-14.8,130.5,-4.9,1023,2018,5,17,22,39,11.435,0.2559,-0.422,-0.6289,0.6006
0.128,0.243,0.011,-7.2,127.6,-0.3,1023,2018,5,17,22,39,11.453,0.2668,-0.4174,-0.6138,0.6145
0.028,0.303,0.039,2.3,72.7,5.9,1023,2018,5,17,22,39,11.475,0.2742,-0.4129,-0.6029,0.625
-0.046,0.242,0.24,-3.3,9.9,16.3,1023,2018,5,17,22,39,11.493,0.2783,-0.4098,-0.5993,0.6287
-0.091,-0.098,0.042,-7.2,-19.9,13.4,1023,2018,5,17,22,39,11.516,0.2801,-0.4092,-0.6012,0.6264
-0.028,-0.053,-0.082,-6.1,0.7,8.8,1023,2018,5,17,22,39,11.533,0.2815,-0.4093,-0.6035,0.6237
-0.006,0.067,-0.041,-3.8,19.8,11,1023,2018,5,17,22,39,11.556,0.284,-0.4083,-0.6028,0.6238
0.005,0.15,-0.046,1.6,5.5,13.7,1023,2018,5,17,22,39,11.572,0.2864,-0.4068,-0.6022,0.6243
-0.032,0.01,-0.111,7.1,-14.4,15.2,1023,2018,5,17,22,39,11.61,0.2869,-0.4053,-0.6048,0.6224
-0.059,-0.231,-0.088,8.4,5,15.3,1023,2018,5,17,22,39,11.632,0.2872,-0.4033,-0.608,0.6204
-0.01,-0.063,-0.014,2.1,77.8,22.1,1023,2018,5,17,22,39,11.637,0.2919,-0.3984,-0.6054,0.6239
0.007,0.216,0.078,-2.2,105,21.1,1023,2018,5,17,22,39,11.655,0.3016,-0.391,-0.5955,0.6335
-0.06,0.3,0.105,0,44,21.7,1023,2018,5,17,22,39,11.69,0.3094,-0.3847,-0.5875,0.641
-0.117,0.034,0.05,-0.8,2.7,27.1,1023,2018,5,17,22,39,11.712,0.3141,-0.3806,-0.587,0.6417
-0.119,-0.116,-0.081,4.8,17.7,21.3,1023,2018,5,17,22,39,11.716,0.3181,-0.3768,-0.5883,0.6408
-0.129,-0.091,-0.062,9.9,26.5,7.2,1023,2018,5,17,22,39,11.754,0.3209,-0.3729,-0.587,0.6428
-0.116,-0.038,0.008,13.8,3.3,-1.3,0,2018,5,17,22,39,11.776,0.3216,-0.3698,-0.5866,0.6446
-0.062,-0.075,0.003,13.3,-14.2,-2.5,0,2018,5,17,22,39,11.781,0.3201,-0.3683,-0.5885,0.6445
-0.003,-0.086,0.001,9.7,-10.5,-5.8,0,2018,5,17,22,39,11.798,0.3179,-0.3682,-0.5903,0.644
0.044,-0.016,0.021,6.1,-0.5,-7.6,0,2018,5,17,22,39,11.834,0.3159,-0.3684,-0.5908,0.6444
0.066,0.059,0.036,4.4,-1.3,-5.6,0,2018,5,17,22,39,11.857,0.3145,-0.3688,-0.5902,0.6454
0.038,0.03,0.05,2.2,-13.3,-6.4,0,2018,5,17,22,39,11.862,0.3128,-0.3697,-0.5903,0.6456
0.019,-0.059,0.048,-0.3,-17.2,-9.4,0,2018,5,17,22,39,11.876,0.3107,-0.3714,-0.5913,0.6448
0.028,-0.051,0.041,-3,-7.6,-9.7,0,2018,5,17,22,39,11.911,0.3091,-0.3733,-0.5915,0.6442
0.027,-0.002,0.016,-1.8,-1.6,-9.7,0,2018,5,17,22,39,11.932,0.308,-0.3749,-0.591,0.6443
0.042,0.048,0.008,0.4,2.3,-8.3,0,2018,5,17,22,39,11.937,0.307,-0.3761,-0.59,0.6449
0.016,-0.01,0.015,3,16.7,-4,0,2018,5,17,22,39,11.975,0.3066,-0.3763,-0.5885,0.6464
0.011,-0.003,-0.008,4.1,43.7,0.4,0,2018,5,17,22,39,11.998,0.3081,-0.3744,-0.5851,0.6499
-0.012,0.019,0.009,4.6,59.7,2.4,0,2018,5,17,22,39,12.003,0.3113,-0.371,-0.5795,0.6554
-0.032,0.065,-0.027,6.9,63.9,4.5,0,2018,5,17,22,39,12.037,0.3156,-0.3663,-0.5727,0.6618
-0.059,0.09,-0.032,12.4,44.6,0.2,0,2018,5,17,22,39,12.037,0.3186,-0.3616,-0.5675,0.6674
-0.079,0.009,-0.011,15,17.1,-3.5,0,2018,5,17,22,39,12.059,0.3191,-0.3584,-0.5652,0.6709
-0.098,-0.192,-0.082,11.9,17.8,-9.7,0,2018,5,17,22,39,12.077,0.3187,-0.3562,-0.5641,0.6731
-0.058,-0.162,-0.145,15.6,24.1,-19.1,0,2018,5,17,22,39,12.114,0.3171,-0.3549,-0.5613,0.677
