ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.438,0.258,0.064,138.9,44.9,-159.9,1023,2018,5,17,22,38,32.957,-0.3076,-0.278,-0.6881,0.5953
-0.544,0.421,0.212,107.7,51.3,-127.2,1023,2018,5,17,22,38,32.979,-0.3349,-0.2849,-0.6689,0.5992
-0.514,0.326,-0.003,69.2,118.1,-85.4,1023,2018,5,17,22,38,32.994,-0.352,-0.2926,-0.6494,0.607
-0.449,0.766,0.118,34.3,145,-31.2,1023,2018,5,17,22,38,33.014,-0.3564,-0.3025,-0.6278,0.6222
-0.454,0.707,0.191,4.4,83.8,20,1023,2018,5,17,22,38,33.036,-0.3526,-0.308,-0.6137,0.6356
-0.4,0.307,0.049,-24.1,44.3,54.7,1023,2018,5,17,22,38,33.072,-0.3438,-0.3085,-0.6099,0.6438
-0.265,0.05,-0.101,-42.5,52.2,68.1,1023,2018,5,17,22,38,33.096,-0.3303,-0.3083,-0.6099,0.6509
-0.079,-0.099,-0.176,-48.3,71.3,65.8,1023,2018,5,17,22,38,33.1,-0.3141,-0.3099,-0.609,0.659
0.02,-0.018,-0.078,-46.8,63,50.2,1023,2018,5,17,22,38,33.117,-0.2983,-0.3131,-0.6068,0.6667
0.046,-0.082,-0.033,-47.9,38.8,33.4,1023,2018,5,17,22,38,33.14,-0.2856,-0.3169,-0.6063,0.671
0.09,-0.239,-0.122,-48.6,46.6,17.2,1023,2018,5,17,22,38,33.158,-0.275,-0.3218,-0.6058,0.6735
0.138,-0.181,-0.079,-43.6,82.1,4.3,1023,2018,5,17,22,38,33.181,-0.2649,-0.3292,-0.6013,0.678
0.112,-0.045,-0.058,-36.6,98.8,-4.4,1023,2018,5,17,22,38,33.2,-0.2551,-0.3386,-0.5924,0.6849
0.081,0.081,0.026,-27.7,79.9,-9.1,1023,2018,5,17,22,38,33.22,-0.2475,-0.3478,-0.5823,0.6918
0.085,0.155,0.023,-18.1,28.9,-11.7,1023,2018,5,17,22,38,33.243,-0.2434,-0.354,-0.5759,0.6954
0.05,0.001,-0.034,-10.5,-0.4,-13.9,1023,2018,5,17,22,38,33.261,-0.2434,-0.3581,-0.5743,0.6946
0.032,-0.008,-0.007,-6.4,-0.3,-17.7,1023,2018,5,17,22,38,33.283,-0.2446,-0.3608,-0.5741,0.693
0.008,0.009,-0.001,-5.8,8.4,-19.4,0,2018,5,17,22,38,33.301,-0.246,-0.3636,-0.5728,0.6921
0.023,0.078,0.002,-6.1,11.7,-19.9,0,2018,5,17,22,38,33.323,-0.2473,-0.3671,-0.5704,0.6918
0.009,0.172,0.005,-5.9,5.3,-15.7,0,2018,5,17,22,38,33.34,-0.249,-0.3707,-0.568,0.6912
-0.016,0.143,-0.059,-4.7,0,-8.5,0,2018,5,17,22,38,33.375,-0.2501,-0.3731,-0.567,0.6903
-0.033,0.143,-0.034,-3.7,3.5,-1.9,0,2018,5,17,22,38,33.398,-0.2508,-0.375,-0.5668,0.6893
-0.066,0.199,0.028,-6.1,0.9,6.6,0,2018,5,17,22,38,33.402,-0.2503,-0.3761,-0.5663,0.6892
-0.123,0.245,0.019,-10.2,-17.7,20.7,0,2018,5,17,22,38,33.438,-0.2485,-0.3754,-0.5687,0.6883
-0.152,0.305,0.009,-16.1,-19.7,43.9,0,2018,5,17,22,38,33.438,-0.2447,-0.3729,-0.5738,0.6868
-0.174,0.315,-0.03,-25.7,-7.2,72.7,0,2018,5,17,22,38,33.462,-0.2364,-0.3689,-0.5801,0.6865
-0.211,0.255,0.005,-39.1,15.9,102.5,0,2018,5,17,22,38,33.482,-0.2227,-0.3645,-0.5864,0.6881
-0.285,0.289,0.073,-54.3,51.3,134.3,0,2018,5,17,22,38,33.504,-0.2017,-0.3591,-0.5911,0.6934
-0.263,0.419,0.105,-65.5,70.5,168.6,0,2018,5,17,22,38,33.519,-0.1729,-0.3529,-0.5947,0.7012
-0.159,0.492,0.071,-72.5,63.8,203.9,0,2018,5,17,22,38,33.538,-0.1385,-0.3438,-0.5997,0.7091
-0.183,0.454,0.114,-79.7,59.8,235.8,0,2018,5,17,22,38,33.561,-0.0993,-0.3313,-0.6065,0.7158
-0.252,0.33,0.148,-82.5,77.1,265,0,2018,5,17,22,38,33.579,-0.0553,-0.3157,-0.6135,0.7216
-0.247,0.368,0.145,-77.3,104.9,287.5,0,2018,5,17,22,38,33.602,-0.0066,-0.2967,-0.6165,0.7292
-0.215,0.53,0.187,-64.6,101.5,303.8,0,2018,5,17,22,38,33.639,0.0441,-0.2737,-0.6171,0.7363
