ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.246,0.073,0.121,56.4,6.7,-27.2,0,2018,4,26,14,38,37.483,-0.0553,0.2211,0.133,-0.9645
-0.417,0.173,0.36,45.2,25.3,-6.2,0,2018,4,26,14,38,37.502,-0.052,0.2125,0.1302,-0.967
-0.51,0.246,0.448,18.1,35,11.9,0,2018,4,26,14,38,37.538,-0.053,0.2068,0.1252,-0.9688
-0.44,0.25,0.487,-9.9,25.9,28.3,0,2018,4,26,14,38,37.558,-0.0576,0.2056,0.1205,-0.9694
-0.388,0.125,0.351,-32.6,15.7,45.9,1023,2018,4,26,14,38,37.56,-0.0651,0.2083,0.1183,-0.9686
-0.328,-0.014,0.178,-54.2,20,59.7,1023,2018,4,26,14,38,37.595,-0.0757,0.2144,0.1169,-0.9667
-0.121,-0.062,-0.049,-71.8,31.9,62,1023,2018,4,26,14,38,37.614,-0.0884,0.2236,0.1139,-0.9639
0.108,-0.167,-0.27,-74.3,41.7,55.7,1023,2018,4,26,14,38,37.621,-0.1014,0.2343,0.1089,-0.9606
0.35,-0.107,-0.429,-65.5,36.6,43.3,1023,2018,4,26,14,38,37.656,-0.1127,0.2444,0.1028,-0.9575
0.623,-0.003,-0.546,-50.6,1,21,1023,2018,4,26,14,38,37.676,-0.12,0.2531,0.0996,-0.9547
0.667,-0.046,-0.609,-31.5,-33.6,-5.4,1023,2018,4,26,14,38,37.681,-0.1211,0.2602,0.1022,-0.9524
0.498,-0.1,-0.554,-7.6,-34.9,-24.8,1023,2018,4,26,14,38,37.718,-0.1169,0.2645,0.1073,-0.9512
0.354,-0.141,-0.258,24.6,0.1,-32.1,1023,2018,4,26,14,38,37.737,-0.111,0.264,0.1091,-0.9518
0.184,0.046,0.022,51.9,19.8,-36.4,1023,2018,4,26,14,38,37.739,-0.1052,0.2577,0.1061,-0.9545
-0.128,0.09,0.249,63.7,18.6,-39.6,1023,2018,4,26,14,38,37.773,-0.0983,0.248,0.1017,-0.9583
-0.342,0.188,0.324,46.9,11.2,-25.8,1023,2018,4,26,14,38,37.794,-0.0923,0.2389,0.0985,-0.9615
-0.488,0.344,0.487,18.5,-7.5,-2.9,1023,2018,4,26,14,38,37.801,-0.0895,0.2336,0.0982,-0.9631
-0.543,0.23,0.521,-10.1,-23.1,15,0,2018,4,26,14,38,37.834,-0.0899,0.2333,0.1016,-0.9628
-0.532,0.169,0.297,-35,-7.3,33.9,0,2018,4,26,14,38,37.855,-0.0938,0.237,0.105,-0.9612
-0.458,0.239,0.071,-57.9,4.1,54.2,0,2018,4,26,14,38,37.863,-0.1023,0.2441,0.106,-0.9584
-0.363,0.274,-0.178,-71.4,4.2,65.1,0,2018,4,26,14,38,37.897,-0.1139,0.254,0.1067,-0.9545
-0.056,0.203,-0.502,-65.9,-12.2,63.6,0,2018,4,26,14,38,37.92,-0.1258,0.2643,0.1083,-0.95
0.411,0.14,-0.804,-45.8,-68.2,64.2,0,2018,4,26,14,38,37.923,-0.1356,0.2734,0.1166,-0.9451
0.516,-0.195,-0.781,-9.3,-90.8,63.9,0,2018,4,26,14,38,37.959,-0.1425,0.2786,0.1333,-0.9403
0.374,-0.227,-0.638,21.5,-57.2,56.6,0,2018,4,26,14,38,37.981,-0.1487,0.2778,0.1488,-0.9373
0.186,-0.108,-0.279,39.9,-29.9,36.2,0,2018,4,26,14,38,37.983,-0.1535,0.2721,0.1585,-0.9366
-0.001,0.014,0.114,34.5,-37.3,15,0,2018,4,26,14,38,38.018,-0.1549,0.2662,0.1656,-0.9368
-0.132,-0.276,0.367,16.3,-44,6.3,0,2018,4,26,14,38,38.037,-0.1536,0.2626,0.1737,-0.9366
-0.074,-0.35,0.325,-6.2,-30.3,7.8,0,2018,4,26,14,38,38.044,-0.1529,0.2627,0.1803,-0.9354
0.014,-0.352,0.274,-25.5,-18.1,-5.2,0,2018,4,26,14,38,38.078,-0.1529,0.2658,0.1835,-0.9339
0.063,-0.328,0.293,-44.8,-53,-36.3,0,2018,4,26,14,38,38.098,-0.1493,0.2731,0.187,-0.9317
0.131,-0.528,0.28,-58.1,-82.4,-66.6,0,2018,4,26,14,38,38.105,-0.1387,0.2853,0.1949,-0.928
0.071,-0.387,0.21,-64.3,-66.3,-86.3,0,2018,4,26,14,38,38.138,-0.1245,0.2995,0.2015,-0.9241
0.046,0.06,0.011,-73.5,-84.9,-98.5,1023,2018,4,26,14,38,38.158,-0.1082,0.3155,0.2067,-0.9197
0.135,0.118,-0.237,-74,-117.2,-100.4,1023,2018,4,26,14,38,38.163,-0.0887,0.3332,0.2164,-0.9133
0.195,0.239,-0.465,-49.1,-89.4,-77.7,1023,2018,4,26,14,38,38.197,-0.0706,0.3483,0.2272,-0.9066
0.217,0.253,-0.4,-5.2,-47.9,-46.9,1023,2018,4,26,14,38,38.219,-0.0575,0.3559,0.2339,-0.9029
0.134,0.159,-0.132,19.1,-9.6,-31.3,1023,2018,4,26,14,38,38.227,-0.0497,0.356,0.2355,-0.9029
0.014,-0.061,0.395,11.2,-29.2,-31,1023,2018,4,26,14,38,38.246,-0.0433,0.3548,0.2361,-0.9035
-0.082,-0.529,0.62,-7.8,-54.8,-41.2,1023,2018,4,26,14,38,38.266,-0.0349,0.3562,0.2411,-0.902
-0.127,-0.857,0.801,-33,-67.9,-70,1023,2018,4,26,14,38,38.288,-0.0232,0.3624,0.2475,-0.8982
-0.129,-0.877,0.705,-47.8,-30.7,-102.3,1023,2018,4,26,14,38,38.308,-0.008,0.3727,0.25,-0.8935
-0.124,-0.457,0.444,-69.6,17.9,-128,1023,2018,4,26,14,38,38.345,0.0078,0.3869,0.2427,-0.8895
-0.165,0.093,0.095,-92.4,22.3,-135.8,1023,2018,4,26,14,38,38.364,0.0235,0.4052,0.23,-0.8844
-0.092,0.445,-0.386,-96.4,1.2,-122.3,1023,2018,4,26,14,38,38.368,0.039,0.4254,0.2194,-0.8771
-0.023,0.593,-0.923,-47.3,40.4,-83.3,1023,2018,4,26,14,38,38.403,0.0508,0.441,0.2098,-0.8711
-0.056,0.876,-1.159,35.9,93.6,-24.6,1023,2018,4,26,14,38,38.422,0.053,0.444,0.1946,-0.8729
-0.221,0.871,-0.932,102.9,61.1,27.6,0,2018,4,26,14,38,38.425,0.0487,0.4335,0.1816,-0.8813
-0.348,0.469,-0.346,139.1,23.2,70.4,0,2018,4,26,14,38,38.461,0.0416,0.4128,0.1784,-0.8921
-0.294,-0.182,0.362,138.4,30.6,79.5,0,2018,4,26,14,38,38.482,0.0321,0.3882,0.1793,-0.9033
-0.213,-0.674,0.854,91,27.3,47.5,0,2018,4,26,14,38,38.486,0.0231,0.3678,0.1778,-0.9124
-0.006,-0.986,1.089,21.9,4.5,-8.1,0,2018,4,26,14,38,38.521,0.0208,0.3584,0.1763,-0.9165
0.057,-0.818,1.061,-48.2,-12.2,-59.1,0,2018,4,26,14,38,38.542,0.0266,0.3619,0.1754,-0.9151
-0.049,-0.351,0.669,-110.4,13.9,-90.5,0,2018,4,26,14,38,38.547,0.0364,0.3773,0.1706,-0.9094
-0.12,0.12,0.05,-145.8,22.4,-98.5,0,2018,4,26,14,38,38.578,0.0466,0.4011,0.1619,-0.9003
-0.107,0.528,-0.532,-138.7,5.9,-86.7,0,2018,4,26,14,38,38.599,0.0561,0.4267,0.154,-0.8893
