ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.01,0.283,-0.093,-11.8,-62.4,10.3,0,2018,5,1,22,24,19.627,0.2174,0.4785,-0.3331,0.7827
0.006,0.32,-0.084,-10.6,-64.9,11.1,0,2018,5,1,22,24,19.648,0.2245,0.4753,-0.3407,0.7794
0.002,0.349,-0.075,-10.2,-65.9,18.9,0,2018,5,1,22,24,19.665,0.2322,0.4723,-0.3481,0.7757
0.026,0.335,-0.059,-10.6,-65.1,32.9,0,2018,5,1,22,24,19.701,0.2414,0.4699,-0.3545,0.7714
0.061,0.292,-0.037,-11.3,-66.2,47.7,1023,2018,5,1,22,24,19.723,0.253,0.4681,-0.3594,0.7665
0.089,0.244,-0.036,-12.5,-70.9,59.7,1023,2018,5,1,22,24,19.727,0.2662,0.467,-0.3637,0.7606
0.121,0.209,-0.07,-12.3,-75.2,67.4,1023,2018,5,1,22,24,19.766,0.2812,0.4661,-0.3676,0.7539
0.144,0.154,-0.081,-9.8,-75.9,70.8,1023,2018,5,1,22,24,19.785,0.2973,0.4654,-0.3713,0.7463
0.168,0.091,-0.081,-6.5,-70.5,72.7,1023,2018,5,1,22,24,19.789,0.3136,0.4657,-0.374,0.738
0.183,0.027,-0.06,-2.9,-60.7,74.3,1023,2018,5,1,22,24,19.81,0.3288,0.4663,-0.3761,0.7299
0.19,-0.013,-0.049,0.3,-51.2,76.4,1023,2018,5,1,22,24,19.83,0.3426,0.4677,-0.3772,0.7222
0.182,-0.042,-0.028,3.1,-44.5,78,1023,2018,5,1,22,24,19.869,0.3556,0.4696,-0.3772,0.7145
0.172,-0.065,-0.014,5.1,-42.1,78.3,1023,2018,5,1,22,24,19.873,0.3681,0.4718,-0.3768,0.7069
0.169,-0.09,0.001,6.7,-45,77.3,1023,2018,5,1,22,24,19.89,0.3806,0.4743,-0.3763,0.6988
0.178,-0.114,0.002,8.8,-51.6,74.9,1023,2018,5,1,22,24,19.909,0.3933,0.477,-0.3764,0.6898
0.142,-0.148,0.018,11.2,-57.1,69.9,0,2018,5,1,22,24,19.929,0.4059,0.4792,-0.3776,0.6803
0.126,-0.15,0.024,13.3,-65.3,62.8,0,2018,5,1,22,24,19.947,0.4181,0.4806,-0.3801,0.6705
0.102,-0.157,0.017,16.2,-75.2,53.3,0,2018,5,1,22,24,19.968,0.4297,0.481,-0.3845,0.6603
0.056,-0.15,0,20,-85.1,41.2,0,2018,5,1,22,24,20.007,0.4406,0.4802,-0.3911,0.6497
-0.02,-0.123,-0.017,25.5,-99.6,29.9,0,2018,5,1,22,24,20.027,0.4501,0.4773,-0.401,0.6391
-0.215,-0.117,-0.016,30,-108.1,22.3,0,2018,5,1,22,24,20.031,0.459,0.4736,-0.4135,0.6276
