ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.354,0.333,0.043,43,66.1,-151.1,0,2018,4,24,21,50,12.334,0.1884,-0.3258,-0.507,0.7753
-0.351,0.37,-0.004,29.7,65.1,-133.5,0,2018,4,24,21,50,12.357,0.1696,-0.3312,-0.491,0.7875
-0.351,0.388,-0.034,17.5,65.4,-115.3,0,2018,4,24,21,50,12.362,0.1541,-0.3367,-0.4755,0.7979
-0.336,0.442,-0.017,4.9,64.7,-93,0,2018,4,24,21,50,12.399,0.1422,-0.3418,-0.4607,0.8066
-0.296,0.396,-0.09,-5.2,60.5,-71.8,0,2018,4,24,21,50,12.399,0.1346,-0.3468,-0.4467,0.8136
-0.244,0.396,-0.121,-11.1,48.3,-51.4,0,2018,4,24,21,50,12.422,0.1301,-0.3516,-0.4349,0.8187
-0.192,0.33,-0.172,-11.3,24.9,-34.4,0,2018,4,24,21,50,12.441,0.1271,-0.3555,-0.4268,0.8217
-0.153,0.268,-0.172,-8.4,-2.6,-20.5,0,2018,4,24,21,50,12.479,0.1246,-0.359,-0.4234,0.8223
-0.117,0.223,-0.153,-4.7,-25.4,-7.4,0,2018,4,24,21,50,12.479,0.122,-0.3618,-0.4249,0.8207
-0.11,0.208,-0.078,-2.1,-36.5,7.8,0,2018,4,24,21,50,12.502,0.1201,-0.3632,-0.4295,0.8179
-0.116,0.227,-0.005,-3.2,-32.7,25.9,0,2018,4,24,21,50,12.522,0.1204,-0.3627,-0.4351,0.8151
-0.135,0.28,0.031,-8,-27.3,46.4,0,2018,4,24,21,50,12.541,0.1241,-0.3613,-0.4414,0.8118
-0.157,0.332,0.04,-14.1,-24.2,69.1,0,2018,4,24,21,50,12.563,0.1318,-0.359,-0.4483,0.8078
-0.221,0.262,0.026,-26.9,-29.2,113.2,0,2018,4,24,21,50,12.583,0.1575,-0.3515,-0.4665,0.7961
-0.244,0.173,0.098,-36.2,-7.2,136.5,0,2018,4,24,21,50,12.606,0.1762,-0.3461,-0.476,0.789
-0.238,0.03,0.112,-46.1,32.7,155.8,0,2018,4,24,21,50,12.621,0.2007,-0.339,-0.4815,0.7828
-0.162,0.084,-0.032,-49.3,59,168.1,1023,2018,4,24,21,50,12.659,0.2297,-0.33,-0.4828,0.7778
-0.144,0.131,-0.074,-47.4,72.9,179.4,1023,2018,4,24,21,50,12.682,0.2619,-0.3182,-0.4822,0.773
-0.146,0.02,-0.091,-42.8,81.3,184.1,1023,2018,4,24,21,50,12.686,0.2945,-0.305,-0.4798,0.768
-0.151,-0.093,-0.052,-35.1,72.1,179.2,1023,2018,4,24,21,50,12.704,0.3265,-0.2906,-0.4764,0.7628
-0.122,-0.157,0.024,-28.9,55.1,171.8,1023,2018,4,24,21,50,12.722,0.3555,-0.2764,-0.4748,0.7561
-0.109,-0.191,0.103,-24.9,30.4,159.9,1023,2018,4,24,21,50,12.745,0.3818,-0.2628,-0.4761,0.7472
-0.093,-0.184,0.054,-20.3,-1.8,142.6,1023,2018,4,24,21,50,12.764,0.4045,-0.2513,-0.4797,0.7369
-0.101,-0.273,-0.037,-16,-25.4,121.7,1023,2018,4,24,21,50,12.785,0.4221,-0.2436,-0.4868,0.7248
-0.057,-0.379,-0.002,-16.9,-13.2,107.2,1023,2018,4,24,21,50,12.805,0.4369,-0.2376,-0.4936,0.7133
-0.044,-0.487,0.002,-21.4,25.4,96.4,0,2018,4,24,21,50,12.824,0.4509,-0.2312,-0.4965,0.7046
-0.018,-0.612,0.027,-33.3,101.5,97.5,0,2018,4,24,21,50,12.844,0.4669,-0.2219,-0.4915,0.7007
0.018,-0.255,0.129,-48.6,167.6,101.7,0,2018,4,24,21,50,12.881,0.4875,-0.2071,-0.4748,0.7027
0.074,0.418,0.252,-53.8,154.1,101.3,0,2018,4,24,21,50,12.904,0.5106,-0.1908,-0.4525,0.7056
0.077,0.221,-0.022,-30.9,45.4,69.7,0,2018,4,24,21,50,12.909,0.5276,-0.1802,-0.4391,0.7044
0.149,0.183,-0.033,-15.5,-27.9,61.7,0,2018,4,24,21,50,12.925,0.537,-0.1783,-0.4387,0.698
0.1,0.003,-0.066,-3.4,-25.1,58.6,0,2018,4,24,21,50,12.944,0.5439,-0.178,-0.4432,0.6899
0.108,0.01,-0.088,2.5,-11.6,54.4,0,2018,4,24,21,50,12.967,0.5501,-0.1753,-0.447,0.6832
0.073,-0.024,0.002,11.1,-15.2,43.8,0,2018,4,24,21,50,12.986,0.5548,-0.1724,-0.4503,0.6778
0.025,-0.15,0.03,21.8,-42.9,25.8,0,2018,4,24,21,50,13.003,0.5564,-0.171,-0.4563,0.6729
-0.008,-0.133,0.082,29.4,-90.7,8.1,0,2018,4,24,21,50,13.027,0.554,-0.1736,-0.4672,0.6667
