ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.004,-0.001,0.025,1.5,2.5,1.1,0,2018,4,24,21,57,32.538,0.2872,0.0073,-0.3502,0.8915
0.01,0.008,0.009,1,-10,-1.9,0,2018,4,24,21,57,32.561,0.2869,0.0074,-0.3506,0.8914
0.022,0.01,-0.03,3.2,-18.9,-6,0,2018,4,24,21,57,32.573,0.286,0.0065,-0.3531,0.8907
0.018,-0.063,-0.087,10.1,-22.5,-10.2,0,2018,4,24,21,57,32.591,0.2839,0.0057,-0.3575,0.8896
0.01,-0.042,-0.067,14.2,-12.4,-13.2,0,2018,4,24,21,57,32.63,0.2809,0.0058,-0.3617,0.8889
-0.007,-0.005,-0.052,17.4,-6.8,-14.7,0,2018,4,24,21,57,32.653,0.2775,0.0069,-0.3644,0.8888
-0.012,0.015,-0.024,16.9,-3.1,-13.3,0,2018,4,24,21,57,32.657,0.274,0.0087,-0.3664,0.8891
-0.014,0.044,0.032,12.9,2.1,-9.4,0,2018,4,24,21,57,32.672,0.2712,0.0106,-0.367,0.8897
-0.019,0.081,0.055,8.3,8.1,-4.8,0,2018,4,24,21,57,32.689,0.2697,0.0122,-0.3657,0.8906
-0.019,0.08,0.075,2.6,11.1,-0.5,0,2018,4,24,21,57,32.708,0.2693,0.0137,-0.3633,0.8917
-0.021,0.093,0.1,-4.1,6.8,2.8,0,2018,4,24,21,57,32.748,0.2699,0.0144,-0.3606,0.8926
-0.023,0.061,0.09,-10.5,0.1,5.3,0,2018,4,24,21,57,32.77,0.2712,0.0141,-0.3587,0.893
-0.009,0.012,0.048,-14.4,-4.2,6.2,0,2018,4,24,21,57,32.772,0.2729,0.0126,-0.3579,0.8928
-0.008,-0.016,-0.002,-17.5,-2.4,7.4,0,2018,4,24,21,57,32.807,0.275,0.0104,-0.3575,0.8924
-0.007,-0.036,-0.026,-18.9,5.5,8.3,0,2018,4,24,21,57,32.829,0.2772,0.0081,-0.3566,0.892
-0.005,-0.017,-0.016,-19.8,10.1,8.5,0,2018,4,24,21,57,32.834,0.2796,0.006,-0.3547,0.8921
0.012,-0.032,-0.052,-18,8.6,8.9,0,2018,4,24,21,57,32.855,0.2818,0.004,-0.3527,0.8922
0.016,-0.006,-0.079,-15.5,18.3,11.3,0,2018,4,24,21,57,32.872,0.2843,0.0024,-0.3503,0.8924
0.023,0.048,-0.046,-13.4,21.6,11.9,0,2018,4,24,21,57,32.889,0.2869,0.0017,-0.3464,0.893
0.008,0.036,-0.014,-11.1,14.8,11.1,0,2018,4,24,21,57,32.912,0.2891,0.0016,-0.3429,0.8937
0.01,0.012,0,-8.6,4.3,10.3,0,2018,4,24,21,57,32.931,0.2913,0.0012,-0.3408,0.8938
0.006,-0.009,0.015,-7.3,-3,8.6,1023,2018,4,24,21,57,32.954,0.2932,0.0005,-0.3402,0.8934
0.021,0.025,-0.011,-5.4,-9.5,7.6,1023,2018,4,24,21,57,32.973,0.2946,-0.0003,-0.3408,0.8927
0.029,0.018,-0.083,-1.6,-15.4,5.6,1023,2018,4,24,21,57,33.009,0.2957,-0.0012,-0.3427,0.8916
0.016,-0.048,-0.051,0.2,-12.6,3.3,1023,2018,4,24,21,57,33.028,0.2961,-0.0019,-0.3456,0.8903
