ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.087,0.082,-0.079,20.7,-60,22.1,1023,2018,5,17,21,47,13.202,0.0925,0.6221,-0.2164,0.7466
0.074,0.021,-0.064,30.6,-50.6,26.6,1023,2018,5,17,21,47,13.213,0.1011,0.6261,-0.2214,0.7407
0.067,-0.014,-0.027,38.2,-24.2,34.5,1023,2018,5,17,21,47,13.232,0.1077,0.6313,-0.2238,0.7346
0.087,-0.013,-0.011,42.3,8,43.6,1023,2018,5,17,21,47,13.255,0.1118,0.6378,-0.2213,0.7291
0.129,0.025,-0.048,48.1,34,49.4,1023,2018,5,17,21,47,13.271,0.1135,0.6459,-0.2142,0.7238
0.148,0.047,-0.049,53.1,49.3,48.7,1023,2018,5,17,21,47,13.308,0.1132,0.6554,-0.2041,0.7182
0.154,0.056,-0.018,56,54.9,43.1,1023,2018,5,17,21,47,13.332,0.1116,0.6651,-0.193,0.7126
0.175,0.049,0.019,55.8,55.5,35.5,0,2018,5,17,21,47,13.337,0.1086,0.6743,-0.1822,0.7072
0.259,0.059,0.022,53.1,52.7,25.4,0,2018,5,17,21,47,13.353,0.1048,0.6828,-0.1725,0.7021
0.379,0.052,0.036,51.8,48.2,14.1,0,2018,5,17,21,47,13.375,0.1002,0.6904,-0.1645,0.6972
0.466,0.039,0.082,53.4,41.5,0,0,2018,5,17,21,47,13.393,0.0944,0.6971,-0.1589,0.6927
0.482,0.059,0.142,54.8,34.9,-11.3,1023,2018,5,17,21,47,13.411,0.0878,0.7034,-0.1558,0.6878
0.475,0.089,0.197,54,21.3,-21.8,1023,2018,5,17,21,47,13.437,0.0812,0.7098,-0.1551,0.6822
0.484,0.083,0.2,50.6,6,-28.5,1023,2018,5,17,21,47,13.456,0.075,0.7155,-0.1575,0.6764
0.349,0.017,0.186,47.7,-13.4,-31.1,1023,2018,5,17,21,47,13.475,0.0705,0.7204,-0.1623,0.6705
-0.136,-0.241,0.238,36.2,-22.2,-23,1023,2018,5,17,21,47,13.498,0.0686,0.7244,-0.1688,0.6648
-0.518,-0.424,0.125,6.3,0,-3.2,1023,2018,5,17,21,47,13.515,0.0679,0.7263,-0.1721,0.6619
-1.062,-0.472,-0.125,-20.9,11.6,17,1023,2018,5,17,21,47,13.539,0.0679,0.7256,-0.1705,0.6631
-1.224,-0.521,-0.268,-50.9,21.1,17.6,0,2018,5,17,21,47,13.553,0.0683,0.722,-0.1661,0.668
