ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.114,-0.698,-0.065,40.9,-54.2,52,0,2018,4,25,20,16,59.359,-0.7546,0.3192,0.1526,-0.5525
-0.107,-0.737,-0.014,36.4,39.8,20.7,0,2018,4,25,20,16,59.364,-0.7562,0.3129,0.1643,-0.5505
-0.046,-0.423,0.037,32.7,69.3,-8.6,0,2018,4,25,20,16,59.366,-0.7587,0.2988,0.1666,-0.5542
-0.063,-0.323,0.094,26.1,14.3,-36.5,0,2018,4,25,20,16,59.383,-0.7572,0.2886,0.1692,-0.5608
-0.064,-0.442,0.06,22,-33.2,-63.9,0,2018,4,25,20,16,59.402,-0.7503,0.2876,0.1752,-0.5688
-0.084,-0.645,0.029,20,-35.6,-100.5,0,2018,4,25,20,16,59.423,-0.7388,0.2909,0.1812,-0.5801
-0.027,-0.599,0.036,23.5,-21,-136.8,0,2018,4,25,20,16,59.459,-0.7237,0.294,0.1848,-0.5962
-0.035,-0.388,0.168,20.1,-9.4,-164.7,0,2018,4,25,20,16,59.481,-0.7055,0.2965,0.185,-0.6164
-0.052,-0.223,0.238,7.6,-14.3,-186.7,0,2018,4,25,20,16,59.483,-0.6845,0.3,0.1824,-0.6388
0.02,-0.023,0.225,-4.3,-33.2,-197.5,1023,2018,4,25,20,16,59.526,-0.6608,0.3067,0.1778,-0.6614
0.027,0.133,0.248,-14.1,-45.2,-200,1023,2018,4,25,20,16,59.545,-0.6348,0.3167,0.1737,-0.6829
0.005,0.251,0.259,-25.4,-40.7,-193.2,1023,2018,4,25,20,16,59.549,-0.6085,0.3284,0.1691,-0.7022
-0.008,0.262,0.248,-38.2,-14.5,-180.9,1023,2018,4,25,20,16,59.569,-0.584,0.3395,0.1616,-0.7193
0.07,0.518,0.229,-51,12.3,-161.9,1023,2018,4,25,20,16,59.588,-0.5629,0.3485,0.1497,-0.7342
0.055,0.568,0.17,-60.9,20.7,-133.6,1023,2018,4,25,20,16,59.628,-0.5458,0.3569,0.1361,-0.7457
0.019,0.622,0.1,-63,23.6,-102.5,1023,2018,4,25,20,16,59.648,-0.5328,0.3645,0.1229,-0.7536
-0.011,0.608,0.038,-63,23.5,-70.8,1023,2018,4,25,20,16,59.652,-0.5238,0.3714,0.1115,-0.7583
-0.046,0.553,0.033,-62.6,33.7,-40.2,0,2018,4,25,20,16,59.666,-0.5191,0.3773,0.1015,-0.7601
-0.043,0.63,0.002,-65.1,59.3,-6.5,0,2018,4,25,20,16,59.686,-0.5198,0.3812,0.0909,-0.759
-0.051,0.642,-0.133,-61.8,83.3,27.8,0,2018,4,25,20,16,59.724,-0.5268,0.3819,0.0791,-0.7551
-0.084,0.625,-0.269,-46.1,87.8,62,0,2018,4,25,20,16,59.747,-0.5389,0.3795,0.0684,-0.7488
-0.121,0.546,-0.348,-24.3,86.4,93.9,0,2018,4,25,20,16,59.751,-0.555,0.3739,0.0615,-0.7404
-0.171,0.536,-0.388,1.1,64.6,122.4,0,2018,4,25,20,16,59.769,-0.5739,0.3657,0.06,-0.7301
-0.194,0.474,-0.416,26.3,24.7,146.9,0,2018,4,25,20,16,59.789,-0.5934,0.357,0.0669,-0.7182
-0.242,0.407,-0.422,51.2,-10,171.6,0,2018,4,25,20,16,59.808,-0.6128,0.3484,0.0826,-0.7044
-0.398,-0.025,-0.268,71.8,-12,179.1,0,2018,4,25,20,16,59.847,-0.6321,0.3385,0.1038,-0.6891
-0.513,-0.513,-0.135,78.1,5,155,0,2018,4,25,20,16,59.869,-0.6503,0.3252,0.1241,-0.6751
-0.437,-0.63,-0.11,76.1,41,127.1,0,2018,4,25,20,16,59.873,-0.6661,0.3092,0.1398,-0.6641
-0.433,-0.741,0.028,76.7,66.7,96.7,0,2018,4,25,20,16,59.886,-0.6798,0.2894,0.1502,-0.6568
-0.362,-0.823,0.195,72.6,32.9,50.3,0,2018,4,25,20,16,59.925,-0.6884,0.2711,0.1588,-0.6536
-0.255,-0.675,0.484,64,-35.6,4.5,0,2018,4,25,20,16,59.946,-0.6889,0.2616,0.1707,-0.654
0,-0.255,0.939,30.8,-104.8,-23.4,0,2018,4,25,20,16,59.95,-0.6824,0.2638,0.1864,-0.6557
0.392,-0.347,1.204,-27.7,-146.3,-46.1,0,2018,4,25,20,16,59.97,-0.6719,0.2788,0.2018,-0.6557
0.655,-0.634,1.045,-73.8,-145.8,-81.8,0,2018,4,25,20,16,59.99,-0.6583,0.3033,0.2121,-0.6553
0.57,-0.739,1.009,-114,-84.6,-130.9,0,2018,4,25,20,17,0.025,-0.6423,0.331,0.2095,-0.6587
0.474,-0.397,0.996,-153.4,-13.4,-166.6,0,2018,4,25,20,17,0.045,-0.6264,0.3556,0.1912,-0.6667
0.299,-0.055,0.812,-185.8,-14.3,-185.2,0,2018,4,25,20,17,0.052,-0.6101,0.3809,0.1646,-0.6749
0.209,0.028,0.481,-195.2,-54.9,-193.8,0,2018,4,25,20,17,0.09,-0.5901,0.4113,0.1374,-0.6808
0.08,-0.023,0.187,-181.5,-88.1,-200.7,0,2018,4,25,20,17,0.094,-0.565,0.4447,0.1143,-0.6854
-0.033,-0.113,0.003,-156.5,-92.7,-204.7,0,2018,4,25,20,17,0.111,-0.5356,0.4772,0.0935,-0.6903
-0.123,-0.192,-0.15,-128.6,-71.4,-203.1,0,2018,4,25,20,17,0.131,-0.5058,0.5043,0.0747,-0.6957
-0.1,-0.124,-0.356,-93.2,-53.5,-197.2,1023,2018,4,25,20,17,0.15,-0.4773,0.5247,0.0559,-0.7026
-0.018,0.055,-0.49,-47.5,-53.9,-183.6,1023,2018,4,25,20,17,0.188,-0.4494,0.5387,0.0404,-0.7113
-0.068,0.178,-0.489,-1.2,-72.2,-161.9,1023,2018,4,25,20,17,0.208,-0.4224,0.5468,0.0308,-0.7222
-0.174,0.249,-0.439,33,-112.6,-132.8,1023,2018,4,25,20,17,0.212,-0.3947,0.5516,0.0307,-0.734
-0.273,0.155,-0.362,55,-145.8,-103.8,1023,2018,4,25,20,17,0.23,-0.3663,0.5552,0.0406,-0.7455
-0.449,0.018,-0.321,66.3,-157.6,-80,0,2018,4,25,20,17,0.252,-0.3389,0.5571,0.0565,-0.7559
-0.599,-0.115,-0.37,67.1,-137.9,-63,0,2018,4,25,20,17,0.273,-0.3141,0.5574,0.0742,-0.7648
-0.721,-0.167,-0.35,67,-97.3,-58.2,0,2018,4,25,20,17,0.293,-0.2939,0.5552,0.0883,-0.7729
-0.712,0.029,-0.397,67.3,-84.9,-58.3,0,2018,4,25,20,17,0.313,-0.2764,0.5513,0.0989,-0.7808
