ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.016,0,-0.154,-44.1,-127.9,36.1,0,2018,5,16,19,15,3.841,0.2397,0.5335,-0.4492,0.6752
-0.019,-0.009,-0.194,-49.5,-139.9,40.8,0,2018,5,16,19,15,3.86,0.2603,0.5252,-0.4593,0.6673
-0.069,-0.028,-0.226,-55.2,-153.5,44.6,0,2018,5,16,19,15,3.864,0.2829,0.5156,-0.4699,0.6581
-0.089,-0.03,-0.279,-60.4,-166.5,47.8,0,2018,5,16,19,15,3.882,0.3072,0.5046,-0.4811,0.6476
-0.069,-0.031,-0.356,-63.2,-180.1,51.3,0,2018,5,16,19,15,3.903,0.3332,0.4922,-0.4927,0.6354
-0.076,-0.007,-0.411,-62.3,-195.6,54.7,0,2018,5,16,19,15,3.923,0.3604,0.4785,-0.505,0.6212
-0.102,-0.024,-0.41,-61.2,-209.4,58.3,0,2018,5,16,19,15,3.944,0.3887,0.4637,-0.518,0.6044
-0.084,-0.04,-0.421,-61.5,-217.1,61.5,0,2018,5,16,19,15,3.982,0.4176,0.4478,-0.5311,0.5855
-0.034,-0.007,-0.486,-59.2,-222.4,65,0,2018,5,16,19,15,4.003,0.4465,0.4311,-0.5438,0.5647
0.035,0.019,-0.534,-52.1,-225.2,68.3,0,2018,5,16,19,15,4.007,0.4748,0.4141,-0.556,0.542
0.03,-0.002,-0.511,-43.7,-223.2,71.6,0,2018,5,16,19,15,4.023,0.5019,0.3974,-0.5677,0.5174
0.01,-0.039,-0.445,-36,-214.9,75.9,0,2018,5,16,19,15,4.063,0.5272,0.3817,-0.5784,0.4915
0,-0.077,-0.402,-29.3,-200.1,81.9,0,2018,5,16,19,15,4.067,0.5507,0.3675,-0.5875,0.4651
-0.003,-0.089,-0.415,-21,-182.9,88.2,0,2018,5,16,19,15,4.082,0.5721,0.3556,-0.5948,0.4386
0.008,-0.12,-0.419,-11,-166.6,91.3,0,2018,5,16,19,15,4.101,0.5911,0.3462,-0.6005,0.4123
-0.015,-0.153,-0.388,-1.2,-152.9,91,0,2018,5,16,19,15,4.123,0.6076,0.3387,-0.6055,0.3863
-0.032,-0.179,-0.362,6.6,-141.8,89.1,0,2018,5,16,19,15,4.142,0.6218,0.3327,-0.6101,0.3609
-0.052,-0.203,-0.331,13.4,-133.8,85,0,2018,5,16,19,15,4.166,0.6338,0.3276,-0.6146,0.3361
-0.047,-0.228,-0.323,18.9,-129.5,80.2,0,2018,5,16,19,15,4.185,0.6442,0.3228,-0.6192,0.3118
-0.039,-0.245,-0.31,23.8,-128.2,75.6,0,2018,5,16,19,15,4.205,0.6532,0.3178,-0.624,0.2878
-0.073,-0.288,-0.281,29.3,-125.6,70.3,0,2018,5,16,19,15,4.224,0.6608,0.3124,-0.6292,0.2641
-0.067,-0.305,-0.253,34.3,-117.6,64.3,0,2018,5,16,19,15,4.245,0.6666,0.3074,-0.6347,0.2411
-0.039,-0.281,-0.238,38.5,-110.9,58.3,0,2018,5,16,19,15,4.285,0.6711,0.3024,-0.6403,0.2193
-0.009,-0.279,-0.219,42.1,-106.3,52.7,1023,2018,5,16,19,15,4.289,0.6742,0.2973,-0.6461,0.1985
-0.002,-0.276,-0.199,44.7,-102,48.1,1023,2018,5,16,19,15,4.305,0.6763,0.2922,-0.652,0.1786
-0.009,-0.262,-0.184,46.1,-96.8,43.9,1023,2018,5,16,19,15,4.323,0.6775,0.287,-0.6581,0.1595
0.002,-0.247,-0.179,46.1,-94.3,40.8,1023,2018,5,16,19,15,4.36,0.6779,0.2821,-0.6639,0.1411
0.009,-0.241,-0.173,45.8,-93.7,36.9,1023,2018,5,16,19,15,4.381,0.6779,0.2768,-0.6697,0.1232
0.025,-0.258,-0.155,45.4,-90.5,32.9,1023,2018,5,16,19,15,4.385,0.6776,0.2711,-0.6753,0.1059
0.042,-0.219,-0.158,45.2,-88.4,26.3,1023,2018,5,16,19,15,4.407,0.6767,0.2653,-0.6808,0.0895
0.076,-0.212,-0.166,46.2,-88,18.5,1023,2018,5,16,19,15,4.426,0.6755,0.2587,-0.6864,0.074
0.091,-0.196,-0.156,47.7,-83.6,10.8,1023,2018,5,16,19,15,4.464,0.6736,0.2512,-0.6924,0.0597
0.101,-0.139,-0.119,45.5,-84.6,4.7,1023,2018,5,16,19,15,4.484,0.6715,0.243,-0.6984,0.0466
0.135,-0.118,-0.098,39.1,-94.5,0,1023,2018,5,16,19,15,4.488,0.6699,0.2334,-0.7039,0.0335
0.225,-0.1,-0.119,32.2,-107.7,-4.8,1023,2018,5,16,19,15,4.509,0.6695,0.2216,-0.7086,0.0197
0.233,-0.132,-0.169,27.1,-118.7,-9.6,1023,2018,5,16,19,15,4.529,0.6701,0.2076,-0.7125,0.0052
0.251,-0.123,-0.182,21.6,-127.3,-13,0,2018,5,16,19,15,4.567,0.6713,0.1918,-0.7157,-0.0096
0.308,-0.149,-0.183,15.8,-133.7,-17.9,0,2018,5,16,19,15,4.588,0.6732,0.1746,-0.718,-0.0249
0.298,-0.184,-0.186,12.2,-142,-23.8,0,2018,5,16,19,15,4.592,0.6755,0.1558,-0.7194,-0.0403
0.196,-0.258,-0.263,12.9,-143.5,-27.4,0,2018,5,16,19,15,4.606,0.6779,0.1356,-0.7203,-0.0556
0.138,-0.307,-0.317,17.2,-138.1,-26.3,0,2018,5,16,19,15,4.645,0.6793,0.1154,-0.7212,-0.0705
0.127,-0.344,-0.264,21.5,-134.2,-23,0,2018,5,16,19,15,4.665,0.6797,0.0958,-0.7221,-0.0849
0.096,-0.429,-0.255,25.9,-126.6,-21.5,0,2018,5,16,19,15,4.669,0.6791,0.0768,-0.7232,-0.0992
0.077,-0.502,-0.311,35.5,-102.9,-23.3,0,2018,5,16,19,15,4.69,0.677,0.0596,-0.725,-0.1112
0.036,-0.526,-0.27,44.2,-79.9,-24.1,0,2018,5,16,19,15,4.71,0.6732,0.045,-0.7282,-0.1202
0.002,-0.492,-0.196,47.4,-55.6,-24,0,2018,5,16,19,15,4.73,0.6682,0.0331,-0.7323,-0.1263
-0.01,-0.463,-0.16,47.3,-29,-29.2,0,2018,5,16,19,15,4.766,0.6629,0.0237,-0.737,-0.1289
-0.009,-0.393,-0.098,46.1,-15.5,-37.4,0,2018,5,16,19,15,4.786,0.6577,0.016,-0.7421,-0.1276
0.005,-0.375,0.012,37.6,-22.9,-46.3,0,2018,5,16,19,15,4.79,0.6532,0.0075,-0.7466,-0.1255
-0.023,-0.348,0.075,22.6,-34.8,-51.8,0,2018,5,16,19,15,4.806,0.6503,-0.0027,-0.7494,-0.1236
-0.022,-0.333,0.033,4.2,-54.8,-56,0,2018,5,16,19,15,4.827,0.6497,-0.0152,-0.7498,-0.1234
0.006,-0.359,0.053,-8.1,-65.2,-60.7,0,2018,5,16,19,15,4.848,0.6511,-0.0294,-0.7479,-0.1252
0.005,-0.316,0.215,-23.2,-67.6,-65.2,0,2018,5,16,19,15,4.867,0.654,-0.0443,-0.7444,-0.1269
0.014,-0.259,0.313,-49.4,-81.4,-62.2,0,2018,5,16,19,15,4.89,0.6595,-0.0598,-0.7379,-0.1299
0.004,-0.216,0.36,-73.5,-113.2,-58.9,0,2018,5,16,19,15,4.91,0.6677,-0.0768,-0.7277,-0.1363
0.009,-0.501,0.181,-83,-140.6,-64.2,0,2018,5,16,19,15,4.931,0.6773,-0.0973,-0.7141,-0.1473
-0.238,-0.428,-0.344,-72.9,-90.4,-63.9,0,2018,5,16,19,15,4.95,0.6863,-0.1169,-0.7004,-0.1566
-0.621,-0.313,1.427,-193.4,-252.5,-103.9,0,2018,5,16,19,15,4.987,0.7012,-0.1437,-0.6773,-0.1696
-0.139,-0.402,0.627,-177.6,-172.7,-85.2,0,2018,5,16,19,15,5.008,0.7198,-0.1773,-0.6436,-0.1899
-0.052,0.321,0.591,-172,-113.4,-66.1,1023,2018,5,16,19,15,5.012,0.737,-0.1951,-0.6151,-0.2008
0.078,-0.183,0.142,-135.6,-0.5,-54.4,1023,2018,5,16,19,15,5.03,0.7534,-0.204,-0.5903,-0.2053
-0.273,-0.163,0.442,-132.4,5.3,-59.6,1023,2018,5,16,19,15,5.066,0.7691,-0.2028,-0.5716,-0.2009
-0.555,-0.204,0.425,-136.3,6.6,-66.4,1023,2018,5,16,19,15,5.086,0.7848,-0.2038,-0.5511,-0.1967
-0.482,0.274,0.148,-137.5,1.9,-60.4,1023,2018,5,16,19,15,5.09,0.8003,-0.2044,-0.5296,-0.1924
-0.23,-0.128,0.25,-131,-0.6,-62.8,1023,2018,5,16,19,15,5.111,0.8148,-0.2055,-0.5081,-0.1885
-0.063,-0.136,0.177,-124.5,7.6,-64.4,1023,2018,5,16,19,15,5.128,0.8282,-0.2062,-0.4875,-0.1837
0.025,0.034,0.028,-113.5,13.7,-65.8,1023,2018,5,16,19,15,5.17,0.8408,-0.2062,-0.4678,-0.1775
0.065,-0.028,0.047,-105.1,12.7,-66.3,0,2018,5,16,19,15,5.189,0.8521,-0.2065,-0.4495,-0.1706
-0.086,-0.163,0.195,-98.3,19.8,-66.5,0,2018,5,16,19,15,5.193,0.8625,-0.2063,-0.4323,-0.163
-0.159,-0.022,0.056,-93.8,21.8,-64.8,0,2018,5,16,19,15,5.214,0.8723,-0.2057,-0.4156,-0.1545
-0.097,0.149,-0.061,-86,16,-60.2,0,2018,5,16,19,15,5.232,0.881,-0.2048,-0.4003,-0.1469
-0.047,-0.018,0.066,-75.6,15.5,-57.5,0,2018,5,16,19,15,5.269,0.8884,-0.2042,-0.3866,-0.1397
