ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.047,0.304,-0.28,-8.8,-53.1,33.9,0,2018,5,16,19,11,38.722,-0.3236,0.5618,-0.1272,0.7505
-0.045,0.281,-0.262,-1,-53.4,47.6,1023,2018,5,16,19,11,38.741,-0.3131,0.5651,-0.1305,0.752
-0.054,0.263,-0.256,6.1,-55.5,62,1023,2018,5,16,19,11,38.749,-0.3007,0.5696,-0.132,0.7534
-0.074,0.239,-0.265,13.7,-60.1,76.7,1023,2018,5,16,19,11,38.769,-0.2861,0.5754,-0.1322,0.7546
-0.099,0.205,-0.257,20.7,-66.5,90.9,1023,2018,5,16,19,11,38.789,-0.2694,0.5827,-0.1313,0.7553
-0.124,0.16,-0.237,27.2,-72.9,104.6,1023,2018,5,16,19,11,38.83,-0.2502,0.5912,-0.1294,0.7556
-0.144,0.104,-0.237,33.4,-79.1,117.7,0,2018,5,16,19,11,38.834,-0.2285,0.6008,-0.1266,0.7554
-0.167,0.047,-0.211,40.9,-83,129.7,0,2018,5,16,19,11,38.849,-0.2047,0.6115,-0.1229,0.7543
-0.2,-0.023,-0.174,47.5,-83.8,140.8,0,2018,5,16,19,11,38.868,-0.179,0.623,-0.1179,0.7522
-0.235,-0.104,-0.135,54.2,-80.7,150,0,2018,5,16,19,11,38.887,-0.152,0.6353,-0.1113,0.7488
-0.272,-0.173,-0.101,59.7,-74.4,156.8,0,2018,5,16,19,11,38.908,-0.1244,0.6482,-0.103,0.744
-0.268,-0.244,-0.065,65,-66.7,161.6,0,2018,5,16,19,11,38.926,-0.0968,0.6604,-0.0927,0.7388
-0.268,-0.333,-0.005,71,-56.1,163,0,2018,5,16,19,11,38.967,-0.0698,0.6725,-0.0807,0.7323
-0.258,-0.418,0.075,76.2,-41.7,161.4,0,2018,5,16,19,11,38.987,-0.0443,0.6845,-0.0669,0.7245
-0.241,-0.482,0.166,78.4,-28.5,156,0,2018,5,16,19,11,38.992,-0.021,0.6961,-0.0517,0.7157
-0.193,-0.559,0.23,77.8,-13.8,148.1,0,2018,5,16,19,11,39.012,-0.0001,0.707,-0.0355,0.7062
-0.125,-0.614,0.277,76.9,0.3,136.6,0,2018,5,16,19,11,39.033,0.0176,0.7171,-0.0187,0.6964
-0.048,-0.646,0.323,75.9,11.2,121.3,0,2018,5,16,19,11,39.051,0.0322,0.7266,-0.002,0.6862
-0.05,-0.68,0.403,74.7,17,104.1,0,2018,5,16,19,11,39.07,0.0438,0.7356,0.0134,0.6758
-0.124,-0.748,0.496,70.3,24,88,0,2018,5,16,19,11,39.089,0.0526,0.7439,0.0276,0.6655
-0.174,-0.833,0.643,60.2,29.5,71.9,0,2018,5,16,19,11,39.107,0.0586,0.7513,0.0404,0.656
-0.146,-0.898,0.752,43.9,40.2,55.5,0,2018,5,16,19,11,39.149,0.0617,0.7571,0.0521,0.6482
-0.036,-0.881,0.737,25.3,48.4,36.5,0,2018,5,16,19,11,39.169,0.0612,0.7609,0.0629,0.6428
0.075,-0.857,0.666,11.1,58.1,13.8,0,2018,5,16,19,11,39.173,0.0572,0.7631,0.072,0.6396
0.163,-0.808,0.644,0,72.2,-11.4,0,2018,5,16,19,11,39.191,0.0486,0.7643,0.0793,0.638
0.219,-0.748,0.641,-10.8,87.7,-36.6,0,2018,5,16,19,11,39.211,0.035,0.7646,0.085,0.6378
0.24,-0.683,0.589,-22.3,100.8,-57.7,0,2018,5,16,19,11,39.231,0.0167,0.7639,0.0891,0.6388
0.21,-0.634,0.534,-31.3,115.2,-72.7,0,2018,5,16,19,11,39.247,-0.0054,0.762,0.0924,0.6408
0.133,-0.591,0.499,-38.8,131.5,-81.3,0,2018,5,16,19,11,39.268,-0.0311,0.7589,0.0958,0.6432
0.013,-0.568,0.49,-46.3,151.1,-83.3,0,2018,5,16,19,11,39.286,-0.0599,0.7544,0.1005,0.6457
-0.137,-0.548,0.482,-56.5,170.9,-79,0,2018,5,16,19,11,39.326,-0.0912,0.748,0.1074,0.6485
-0.273,-0.528,0.437,-69.9,187.2,-70.8,0,2018,5,16,19,11,39.346,-0.1245,0.7388,0.1168,0.6518
-0.363,-0.48,0.344,-86,194.8,-60.9,0,2018,5,16,19,11,39.351,-0.1585,0.7265,0.1284,0.6561
-0.402,-0.42,0.218,-102.6,188.1,-51.1,0,2018,5,16,19,11,39.373,-0.1916,0.7109,0.1406,0.6618
-0.432,-0.37,0.114,-117,169.9,-44.7,1023,2018,5,16,19,11,39.392,-0.2221,0.6928,0.1516,0.669
-0.472,-0.345,0.044,-130.3,143.7,-42.7,1023,2018,5,16,19,11,39.427,-0.2494,0.6729,0.1597,0.6778
-0.488,-0.318,-0.026,-143.1,112.6,-45,1023,2018,5,16,19,11,39.448,-0.2735,0.6521,0.1631,0.6879
-0.504,-0.316,-0.112,-153.7,80,-51.3,1023,2018,5,16,19,11,39.451,-0.2943,0.6307,0.1619,0.6994
-0.549,-0.294,-0.177,-161.8,47.7,-60.3,1023,2018,5,16,19,11,39.49,-0.3124,0.6094,0.1553,0.7119
-0.56,-0.277,-0.225,-168,16.3,-73.2,1023,2018,5,16,19,11,39.511,-0.3282,0.5887,0.143,0.7246
