ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.147,-0.029,0.069,-20.5,-110.2,-35.7,1023,2018,5,17,19,22,31.987,0.8343,-0.2616,-0.3968,0.2793
-0.124,-0.07,0.025,-22.9,-147.1,-43.9,1023,2018,5,17,19,22,32.005,0.8278,-0.2836,-0.3983,0.2748
-0.114,-0.233,-0.01,-25,-181.6,-57.3,1023,2018,5,17,19,22,32.019,0.8179,-0.3128,-0.4009,0.2688
-0.062,-0.512,0.032,-27.2,-136.8,-74.2,1023,2018,5,17,19,22,32.039,0.8073,-0.3419,-0.4011,0.2651
-0.073,-0.538,0.16,-31.8,-77.6,-95,1023,2018,5,17,19,22,32.059,0.7991,-0.3636,-0.3966,0.268
-0.03,-0.51,0.19,-36.5,-63.6,-120.5,1023,2018,5,17,19,22,32.099,0.792,-0.3819,-0.3878,0.2763
0.008,-0.516,0.161,-39.2,-81,-144.3,1023,2018,5,17,19,22,32.119,0.7827,-0.4033,-0.3765,0.2877
0.025,-0.579,0.155,-39.1,-76.9,-168.9,1023,2018,5,17,19,22,32.124,0.7713,-0.4265,-0.3639,0.301
-0.022,-0.61,0.148,-41.1,-32.4,-193.1,1023,2018,5,17,19,22,32.144,0.7594,-0.4479,-0.3476,0.319
-0.013,-0.473,0.151,-44.5,-3.5,-217.7,1023,2018,5,17,19,22,32.164,0.7487,-0.4647,-0.326,0.3421
-0.083,-0.442,0.117,-45.8,-13.4,-244.6,1023,2018,5,17,19,22,32.183,0.7361,-0.4812,-0.3014,0.368
-0.099,-0.501,0.064,-45,-7,-267.9,1023,2018,5,17,19,22,32.204,0.7199,-0.4993,-0.2752,0.3957
-0.15,-0.294,0.067,-43.5,32.5,-284.7,0,2018,5,17,19,22,32.241,0.7032,-0.5133,-0.245,0.4264
-0.218,-0.086,0.006,-42.8,42.2,-301.8,0,2018,5,17,19,22,32.261,0.6859,-0.5233,-0.2099,0.4598
-0.184,0.031,-0.071,-38.1,21.1,-309.9,0,2018,5,17,19,22,32.265,0.6646,-0.5333,-0.1743,0.4933
-0.164,0.115,-0.142,-26.5,14.9,-314.4,0,2018,5,17,19,22,32.287,0.6391,-0.5429,-0.1398,0.5264
-0.224,0.105,-0.159,-16,38,-310,0,2018,5,17,19,22,32.307,0.6123,-0.5488,-0.1054,0.5591
-0.248,0.264,-0.162,-7.3,61.6,-302.4,0,2018,5,17,19,22,32.323,0.5868,-0.5492,-0.0698,0.5907
-0.271,0.333,-0.152,0.8,38,-292,0,2018,5,17,19,22,32.359,0.5606,-0.5467,-0.0355,0.6208
-0.242,0.346,-0.192,8.9,-2.4,-276.6,0,2018,5,17,19,22,32.379,0.5304,-0.5453,-0.0066,0.6489
-0.172,0.25,-0.149,18.5,-24.3,-254.6,0,2018,5,17,19,22,32.384,0.4983,-0.5449,0.0154,0.6741
-0.206,0.208,-0.071,24.6,-19,-233.5,0,2018,5,17,19,22,32.406,0.4666,-0.5429,0.0347,0.6972
-0.147,0.152,0.01,24.4,-22.3,-217.4,0,2018,5,17,19,22,32.426,0.4372,-0.5394,0.0516,0.7177
-0.144,0.127,-0.021,21.8,-29.1,-202.2,0,2018,5,17,19,22,32.448,0.4084,-0.536,0.0664,0.7357
-0.149,0.187,-0.091,23.2,-48.1,-187.3,0,2018,5,17,19,22,32.467,0.3796,-0.5331,0.0784,0.7519
-0.19,0.156,-0.112,25.6,-45.6,-167.9,0,2018,5,17,19,22,32.488,0.3515,-0.5304,0.0871,0.7664
-0.194,0.129,-0.067,25.5,-24.7,-146.9,0,2018,5,17,19,22,32.509,0.3271,-0.5262,0.0963,0.7789
-0.261,0.123,-0.022,21.2,-16.4,-125.9,0,2018,5,17,19,22,32.524,0.3072,-0.5214,0.1052,0.789
-0.285,0.079,-0.045,15.2,-28.7,-103.9,0,2018,5,17,19,22,32.546,0.2896,-0.5179,0.1115,0.7971
-0.375,-0.035,-0.119,12.4,-35,-82.5,0,2018,5,17,19,22,32.566,0.274,-0.5152,0.1143,0.8039
-0.433,-0.107,-0.146,11.4,-12.7,-67.7,0,2018,5,17,19,22,32.604,0.2615,-0.5131,0.1171,0.809
-0.56,0.081,-0.09,8.4,-11.4,-49.3,0,2018,5,17,19,22,32.624,0.2527,-0.5107,0.1208,0.8127
-0.569,0.273,0.056,-3.9,-69,-17.1,0,2018,5,17,19,22,32.628,0.2444,-0.5115,0.1178,0.8152
