ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.002,0.009,-0.002,-0.3,0.5,0.1,0,2018,4,25,17,2,13.5,0.2133,0.2025,-0.5498,0.7817
0.004,0.007,0.003,0,0,0,0,2018,4,25,17,2,13.521,0.2133,0.2025,-0.5498,0.7817
0.003,0.007,0.002,0,0,0,0,2018,4,25,17,2,13.525,0.2133,0.2025,-0.5497,0.7817
0.004,0.007,-0.004,0,0,0,0,2018,4,25,17,2,13.545,0.2133,0.2024,-0.5497,0.7818
0.007,0.006,0,0,0,0,1023,2018,4,25,17,2,13.563,0.2134,0.2024,-0.5497,0.7818
0.004,0.01,-0.005,0,0,0,1023,2018,4,25,17,2,13.584,0.2133,0.2024,-0.5496,0.7818
0.006,0.006,-0.001,0,0,0,1023,2018,4,25,17,2,13.601,0.2133,0.2024,-0.5496,0.7819
0.003,0.005,0.001,-0.5,0.4,-0.3,1023,2018,4,25,17,2,13.64,0.2134,0.2023,-0.5495,0.7819
0.003,0.007,-0.004,-0.5,0.4,-0.2,1023,2018,4,25,17,2,13.66,0.2134,0.2022,-0.5494,0.782
0.007,0.002,0,-0.5,0,0,1023,2018,4,25,17,2,13.662,0.2134,0.2022,-0.5494,0.782
0.007,0.002,-0.004,0,0,0,1023,2018,4,25,17,2,13.701,0.2134,0.2021,-0.5494,0.7821
0.007,0.003,0,0,0,0,1023,2018,4,25,17,2,13.72,0.2134,0.2021,-0.5494,0.7821
0.007,0.004,0,0,0.5,0.4,1023,2018,4,25,17,2,13.723,0.2134,0.2021,-0.5493,0.7821
0.006,0.005,0,0,0.7,0.5,0,2018,4,25,17,2,13.763,0.2134,0.2021,-0.5492,0.7822
0.008,0.006,0,0,0.5,0.3,0,2018,4,25,17,2,13.783,0.2134,0.2022,-0.5491,0.7823
0.002,0.006,0,0,0,0,0,2018,4,25,17,2,13.786,0.2135,0.2022,-0.5489,0.7823
0,0.01,0,0,0,0,0,2018,4,25,17,2,13.823,0.2135,0.2022,-0.5489,0.7824
0,0.009,0.002,0,0,0,0,2018,4,25,17,2,13.842,0.2135,0.2023,-0.5488,0.7824
0.003,0.008,0,0,0,0,0,2018,4,25,17,2,13.845,0.2136,0.2023,-0.5488,0.7824
0.005,0.004,-0.005,0,0,0,0,2018,4,25,17,2,13.878,0.2136,0.2023,-0.5488,0.7824
0.004,0.006,-0.005,0,0,0,0,2018,4,25,17,2,13.897,0.2136,0.2022,-0.5488,0.7824
0.003,0.006,0.003,-0.4,0.5,-0.3,0,2018,4,25,17,2,13.902,0.2136,0.2022,-0.5487,0.7824
0.005,0.007,0.005,-0.6,0.1,-0.3,0,2018,4,25,17,2,13.939,0.2136,0.2022,-0.5487,0.7825
0.002,0.006,-0.001,0,0,0,0,2018,4,25,17,2,13.959,0.2136,0.2021,-0.5486,0.7826
0.004,0.004,-0.002,-0.5,0,-0.2,0,2018,4,25,17,2,13.965,0.2136,0.202,-0.5486,0.7826
0.005,0.005,-0.001,0,0,0,0,2018,4,25,17,2,14,0.2135,0.202,-0.5486,0.7826
0.008,0.008,0,0,0,0,0,2018,4,25,17,2,14.022,0.2135,0.2019,-0.5485,0.7827
0.007,0.005,0,0,0,0,0,2018,4,25,17,2,14.025,0.2135,0.2019,-0.5485,0.7827
0.006,0.004,0.005,0,0,0,0,2018,4,25,17,2,14.065,0.2135,0.2019,-0.5485,0.7827
0.004,0.008,0,0,0,0,0,2018,4,25,17,2,14.068,0.2135,0.2018,-0.5484,0.7828
0.002,0.006,-0.005,0,0,0,0,2018,4,25,17,2,14.085,0.2135,0.2018,-0.5484,0.7828
0.005,0.006,0,0,0,0,0,2018,4,25,17,2,14.105,0.2135,0.2018,-0.5484,0.7828
0.004,0.005,-0.005,0,0,0,0,2018,4,25,17,2,14.125,0.2136,0.2018,-0.5484,0.7828
0.008,0.007,0.003,0,0,0,0,2018,4,25,17,2,14.146,0.2136,0.2018,-0.5483,0.7828
0.004,0.005,-0.001,0,0,0,0,2018,4,25,17,2,14.167,0.2136,0.2018,-0.5483,0.7828
0.004,0.002,0,0,0,0,0,2018,4,25,17,2,14.206,0.2136,0.2018,-0.5483,0.7828
0.004,0.008,-0.002,0,0,0,0,2018,4,25,17,2,14.225,0.2136,0.2018,-0.5483,0.7829
0.004,0.006,0,0,0,0,0,2018,4,25,17,2,14.227,0.2136,0.2018,-0.5483,0.7829
0.005,0.007,0,0,0,0,0,2018,4,25,17,2,14.268,0.2136,0.2018,-0.5483,0.7829
0.007,0.007,-0.001,0,0,0,1023,2018,4,25,17,2,14.271,0.2136,0.2018,-0.5482,0.7829
0.007,0.01,0,0,0,0,1023,2018,4,25,17,2,14.29,0.2136,0.2018,-0.5482,0.7829
0.006,0.006,0,0,0,0,1023,2018,4,25,17,2,14.324,0.2136,0.2017,-0.5482,0.783
0.002,0.005,-0.001,-0.1,0,-0.5,1023,2018,4,25,17,2,14.346,0.2135,0.2017,-0.5482,0.783
0.003,0.007,0.002,0,0,0,1023,2018,4,25,17,2,14.35,0.2135,0.2017,-0.5482,0.783
0.005,0.005,0,0,0,0,1023,2018,4,25,17,2,14.368,0.2135,0.2017,-0.5482,0.783
0.007,0.007,0,-0.4,-0.6,-0.3,1023,2018,4,25,17,2,14.389,0.2135,0.2015,-0.5482,0.783
0.007,0.006,0.002,0,0,0,1023,2018,4,25,17,2,14.411,0.2135,0.2014,-0.5483,0.783
0.009,0.004,-0.001,0,0,0,1023,2018,4,25,17,2,14.43,0.2135,0.2014,-0.5483,0.783
0.006,0.004,-0.002,0,0,0,1023,2018,4,25,17,2,14.465,0.2135,0.2014,-0.5482,0.783
0.006,0.007,0,0,0,0,0,2018,4,25,17,2,14.485,0.2135,0.2014,-0.5482,0.783
0.005,0.007,0,0,0,0,0,2018,4,25,17,2,14.49,0.2135,0.2013,-0.5482,0.7831
0.005,0.006,-0.002,0,0,0,0,2018,4,25,17,2,14.531,0.2135,0.2013,-0.5482,0.7831
0.002,0.007,0,0,0,0,0,2018,4,25,17,2,14.549,0.2135,0.2013,-0.5481,0.7831
0.004,0.008,-0.001,-0.2,-0.5,-0.3,0,2018,4,25,17,2,14.554,0.2136,0.2013,-0.5481,0.7831
0.004,0.007,0,-0.2,-0.6,-0.2,0,2018,4,25,17,2,14.568,0.2136,0.2013,-0.5481,0.7831
