ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.15,-0.179,-0.385,-103.1,254.5,71.1,0,2018,5,17,20,5,12.855,0.7244,-0.2733,-0.4996,0.3884
0.167,-0.131,-0.382,-79.7,245.3,67.7,0,2018,5,17,20,5,12.876,0.7483,-0.2411,-0.4736,0.3968
0.15,-0.098,-0.315,-52.9,207,55.5,1023,2018,5,17,20,5,12.891,0.7668,-0.2109,-0.4515,0.4043
0.145,-0.077,-0.26,-26.5,157.1,38.3,1023,2018,5,17,20,5,12.91,0.7795,-0.1853,-0.435,0.4107
0.122,-0.11,-0.186,-2.6,103.4,16.5,1023,2018,5,17,20,5,12.948,0.7864,-0.1667,-0.4247,0.4162
0.11,-0.153,-0.135,16.3,53.1,-6,1023,2018,5,17,20,5,12.972,0.7883,-0.1552,-0.4203,0.4214
0.107,-0.197,-0.095,26.8,10.1,-24.7,1023,2018,5,17,20,5,12.975,0.7862,-0.1506,-0.4209,0.4264
0.126,-0.203,-0.106,34.8,-21.5,-38.6,1023,2018,5,17,20,5,12.993,0.7813,-0.1516,-0.4248,0.4311
0.125,-0.226,-0.121,41.5,-43.8,-50.8,1023,2018,5,17,20,5,13.017,0.7741,-0.1565,-0.4316,0.4357
0.126,-0.222,-0.123,44.8,-49.2,-59.1,1023,2018,5,17,20,5,13.033,0.7652,-0.1637,-0.4397,0.4407
0.121,-0.2,-0.102,46.8,-45.2,-66.1,1023,2018,5,17,20,5,13.056,0.7553,-0.171,-0.4479,0.4466
0.104,-0.206,-0.101,48,-29.2,-71.3,0,2018,5,17,20,5,13.075,0.7451,-0.1773,-0.4551,0.454
0.101,-0.183,-0.072,51.3,-13.8,-77.6,0,2018,5,17,20,5,13.098,0.7344,-0.1818,-0.461,0.4636
0.089,-0.141,-0.03,53.7,-4,-81.1,0,2018,5,17,20,5,13.134,0.7234,-0.1846,-0.466,0.4747
0.081,-0.077,-0.021,55.8,-2.4,-81.6,0,2018,5,17,20,5,13.134,0.7118,-0.187,-0.4706,0.4865
0.064,-0.012,-0.007,57.1,-3.4,-78.7,0,2018,5,17,20,5,13.156,0.6998,-0.1896,-0.4751,0.4984
0.064,0.009,-0.007,58.9,-3.8,-75.8,0,2018,5,17,20,5,13.174,0.6879,-0.1916,-0.4797,0.5096
0.035,-0.005,0.005,61.1,-0.7,-72.7,0,2018,5,17,20,5,13.212,0.676,-0.193,-0.4844,0.5205
0,0.013,0.014,61.4,4.4,-70.4,0,2018,5,17,20,5,13.236,0.6643,-0.1932,-0.4888,0.5313
0.007,0.051,0.023,60,9.2,-66.1,0,2018,5,17,20,5,13.24,0.6531,-0.1922,-0.4928,0.5418
0.018,0.074,0.061,56.7,18.5,-58.3,0,2018,5,17,20,5,13.254,0.6428,-0.19,-0.4956,0.5521
-0.002,0.103,0.079,51.7,35.2,-49,0,2018,5,17,20,5,13.277,0.6343,-0.1858,-0.4966,0.5625
-0.028,0.152,0.096,44.6,50.1,-41,0,2018,5,17,20,5,13.314,0.6272,-0.1797,-0.4961,0.5728
-0.012,0.16,0.093,39.2,54.2,-34.7,0,2018,5,17,20,5,13.337,0.6215,-0.1729,-0.4941,0.5827
0.012,0.157,0.056,35,61.6,-25.2,0,2018,5,17,20,5,13.342,0.6168,-0.1657,-0.4914,0.592
0.001,0.164,0.066,31.7,71.2,-16.3,0,2018,5,17,20,5,13.356,0.6137,-0.1566,-0.4875,0.6008
-0.041,0.163,0.079,26.1,79.6,-8.4,0,2018,5,17,20,5,13.375,0.6119,-0.1465,-0.4823,0.6093
-0.058,0.162,0.112,17.4,89.1,-1.1,0,2018,5,17,20,5,13.394,0.6118,-0.1354,-0.4753,0.6175
-0.079,0.18,0.137,11.6,79,1.8,0,2018,5,17,20,5,13.417,0.6126,-0.1248,-0.4675,0.6248
-0.061,0.147,0.12,6.7,66,7.8,0,2018,5,17,20,5,13.453,0.614,-0.1157,-0.4607,0.6302
-0.074,0.151,0.137,2.8,56.9,11.8,0,2018,5,17,20,5,13.474,0.616,-0.1077,-0.4546,0.6342
-0.074,0.1,0.095,1,57.1,15.4,0,2018,5,17,20,5,13.479,0.6183,-0.1004,-0.4489,0.6371
-0.091,-0.008,0.036,-9.8,86.4,21.1,0,2018,5,17,20,5,13.498,0.622,-0.0917,-0.4411,0.6403
-0.019,0.071,0.037,-15.5,129.3,27,0,2018,5,17,20,5,13.535,0.6277,-0.0789,-0.4273,0.6457
-0.001,0.074,0.022,-14.9,154.1,32.4,0,2018,5,17,20,5,13.558,0.6342,-0.0622,-0.4092,0.6529
0.01,0.057,0.028,-12.7,172.3,38,0,2018,5,17,20,5,13.563,0.6411,-0.0427,-0.3886,0.6603
0,0.011,0.024,-9.6,185.6,39.6,0,2018,5,17,20,5,13.577,0.6474,-0.0211,-0.3663,0.6679
0.073,0.042,-0.004,-0.6,170.1,37.4,0,2018,5,17,20,5,13.595,0.6527,0.0009,-0.3441,0.6748
0.046,-0.051,-0.001,9,146.2,31.7,0,2018,5,17,20,5,13.619,0.6563,0.021,-0.3256,0.6802
0.021,-0.176,0.034,11.8,143.1,21.5,0,2018,5,17,20,5,13.636,0.658,0.0397,-0.3097,0.6851
0.038,-0.1,0.045,15.3,131.1,9.9,1023,2018,5,17,20,5,13.658,0.6577,0.058,-0.2948,0.6906
0.08,-0.028,0.028,17.1,100.1,-0.8,1023,2018,5,17,20,5,13.675,0.6559,0.0726,-0.2823,0.6961
0.092,0.002,0.059,18.6,59,-8.3,1023,2018,5,17,20,5,13.698,0.6534,0.0828,-0.2742,0.7006
0.095,0.003,0.085,14.7,28.6,-13.3,1023,2018,5,17,20,5,13.735,0.6507,0.0885,-0.2702,0.7039
0.126,0.015,0.1,10.2,-4.9,-14.5,1023,2018,5,17,20,5,13.758,0.6483,0.0903,-0.2701,0.706
0.125,-0.002,0.085,5.6,-31,-14.2,1023,2018,5,17,20,5,13.762,0.6464,0.0884,-0.2736,0.7066
0.144,-0.006,0.039,0.4,-49.2,-15,1023,2018,5,17,20,5,13.781,0.6452,0.0823,-0.2782,0.7067
0.146,0.063,0.075,-3.4,-76.5,-15,1023,2018,5,17,20,5,13.818,0.6443,0.0743,-0.2858,0.7054
0.158,0.002,-0.012,-4.1,-102.3,-16.4,1023,2018,5,17,20,5,13.841,0.6436,0.0623,-0.2964,0.7028
0.157,-0.022,-0.037,-2.6,-118.8,-16,0,2018,5,17,20,5,13.846,0.6429,0.0484,-0.3096,0.6988
0.128,-0.119,-0.1,-4.2,-103.3,-13,0,2018,5,17,20,5,13.859,0.642,0.0342,-0.3233,0.6943
0.073,0.042,-0.043,-2.5,-87.6,-10.4,0,2018,5,17,20,5,13.877,0.6414,0.0229,-0.3336,0.6904
0.052,0.12,0.011,-2.7,-124.8,-11.1,0,2018,5,17,20,5,13.901,0.6408,0.0103,-0.3452,0.6855
0.066,-0.08,-0.042,1.4,-145.2,-17.7,0,2018,5,17,20,5,13.937,0.6393,-0.0065,-0.3612,0.6787
0.09,-0.155,-0.122,8.4,-118.1,-21.6,0,2018,5,17,20,5,13.959,0.6361,-0.0223,-0.3776,0.6724
0.085,-0.105,-0.132,17.4,-73.5,-21.6,0,2018,5,17,20,5,13.963,0.6322,-0.0322,-0.3901,0.6686
0.038,-0.032,-0.041,25.7,-53.7,-20.3,0,2018,5,17,20,5,13.979,0.6275,-0.0384,-0.3998,0.6669
0.022,0.025,0.049,27.1,-36.2,-11.9,0,2018,5,17,20,5,14.003,0.6235,-0.0415,-0.4076,0.6658
0.015,0.056,0.108,32.1,-31.8,-4.1,0,2018,5,17,20,5,14.02,0.6206,-0.0421,-0.4136,0.6647
-0.013,0.156,0.112,33.4,-34,-0.7,0,2018,5,17,20,5,14.043,0.6178,-0.0417,-0.4205,0.663
-0.063,0.18,0.114,28.7,-41.4,3.6,0,2018,5,17,20,5,14.06,0.6154,-0.0421,-0.4284,0.6602
-0.16,0.081,0.201,15.8,-31.4,0.3,0,2018,5,17,20,5,14.077,0.6137,-0.0434,-0.4352,0.6572
-0.009,0.224,0.207,12,-59.8,-1.7,0,2018,5,17,20,5,14.1,0.6118,-0.0471,-0.4418,0.6543
-0.046,-0.005,0.09,9.7,-65.2,1.6,0,2018,5,17,20,5,14.119,0.6106,-0.0525,-0.4503,0.6492
-0.005,0.002,0.065,7.2,-47.9,2.1,0,2018,5,17,20,5,14.143,0.6097,-0.0574,-0.457,0.6449
0.023,0.005,0.017,5.6,-36.9,4.1,0,2018,5,17,20,5,14.159,0.6093,-0.0608,-0.462,0.6414
0.059,-0.017,0.003,4.4,-25.1,7.4,0,2018,5,17,20,5,14.183,0.6091,-0.0635,-0.4659,0.6385
0.062,-0.066,0.018,1.4,-1.5,13.5,0,2018,5,17,20,5,14.217,0.6097,-0.0645,-0.4676,0.6367
0.08,-0.082,-0.016,-2.1,34.3,16.1,0,2018,5,17,20,5,14.239,0.6112,-0.0624,-0.4658,0.6367
0.11,-0.025,-0.047,-2.3,59.9,18.5,0,2018,5,17,20,5,14.244,0.6134,-0.0571,-0.4602,0.6392
0.07,-0.007,-0.024,-1.4,73.5,20.4,0,2018,5,17,20,5,14.261,0.6162,-0.0491,-0.4522,0.6428
0.065,0.016,-0.024,0.5,75.9,18.8,0,2018,5,17,20,5,14.278,0.6189,-0.04,-0.4436,0.6468
0.019,-0.008,-0.004,2.9,66.2,16.7,0,2018,5,17,20,5,14.302,0.6212,-0.0309,-0.4357,0.6505
0.008,-0.037,-0.029,5,59.7,10.7,0,2018,5,17,20,5,14.319,0.6226,-0.023,-0.4292,0.6538
