heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
1023,0.6092,-0.5286,0.2986,0.51,-0.1,0,-1.9,0.007,0.01,-0.014,2018,4,24,22,52,8.193
1023,0.6094,-0.5287,0.2985,0.5097,0,0.3,-1.8,0.007,0.01,-0.012,2018,4,24,22,52,8.216
1023,0.6095,-0.5288,0.2988,0.5093,0.6,0.9,-1.2,0.004,0.009,-0.016,2018,4,24,22,52,8.218
1023,0.6096,-0.5288,0.2991,0.5089,0.8,1.4,-0.6,0.002,0.012,-0.014,2018,4,24,22,52,8.235
1023,0.6097,-0.5288,0.2995,0.5087,0.6,1.8,-0.3,-0.002,0.013,-0.009,2018,4,24,22,52,8.258
1023,0.6097,-0.5289,0.2999,0.5084,0,1.7,-0.2,0,0.011,-0.004,2018,4,24,22,52,8.275
1023,0.6097,-0.529,0.3002,0.508,-0.6,1.5,-0.4,0.005,0.011,0.001,2018,4,24,22,52,8.297
1023,0.6096,-0.5292,0.3004,0.5078,-1.2,1.4,-0.6,0.008,0.01,0.002,2018,4,24,22,52,8.333
1023,0.6096,-0.5293,0.3004,0.5077,-1.2,1.5,-0.8,0.009,0.013,-0.004,2018,4,24,22,52,8.353
0,0.6096,-0.5295,0.3005,0.5075,-1.2,1.2,-0.3,0.006,0.009,0.002,2018,4,24,22,52,8.359
0,0.6095,-0.5296,0.3006,0.5075,-1.3,1.1,0.4,0.005,0.011,0.004,2018,4,24,22,52,8.396
0,0.6093,-0.5296,0.3008,0.5075,-1.8,1,1,0.003,0.009,0.005,2018,4,24,22,52,8.419
0,0.6091,-0.5297,0.3008,0.5077,-2.6,0.4,1,0.006,0.003,0.004,2018,4,24,22,52,8.423
0,0.6089,-0.5299,0.3007,0.5078,-3.2,0,0.7,0.002,0,0.001,2018,4,24,22,52,8.458
0,0.6087,-0.5301,0.3004,0.508,-3.6,-0.3,0.2,0.002,-0.001,-0.002,2018,4,24,22,52,8.458
0,0.6085,-0.5304,0.3001,0.5081,-4.2,-0.3,-0.2,0,0,-0.003,2018,4,24,22,52,8.482
