ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.005,-0.016,0.011,-1.9,-11.3,2.2,0,2018,5,17,22,46,3.691,-0.5055,-0.4236,0.5028,-0.5586
0.012,-0.015,0.007,-1.9,-10.7,1.4,0,2018,5,17,22,46,3.713,-0.5066,-0.4224,0.5036,-0.5578
0.009,-0.014,0.008,-2.1,-10.4,0.2,0,2018,5,17,22,46,3.717,-0.5076,-0.4212,0.5044,-0.5571
0.004,-0.013,0.007,-2.1,-9.8,-0.3,0,2018,5,17,22,46,3.754,-0.5084,-0.42,0.5053,-0.5564
-0.003,-0.021,0.006,-2.1,-8,-0.2,0,2018,5,17,22,46,3.777,-0.5091,-0.4189,0.5061,-0.5559
0,-0.019,0.011,-2.2,-5.4,0.5,0,2018,5,17,22,46,3.782,-0.5097,-0.418,0.5066,-0.5556
0.008,-0.018,0.002,-2.3,-3,1.1,0,2018,5,17,22,46,3.799,-0.5102,-0.4174,0.5067,-0.5554
0.011,-0.011,0.002,-2.1,-2.2,1,0,2018,5,17,22,46,3.817,-0.5107,-0.4169,0.5067,-0.5553
0.004,-0.012,0.002,-2,-2.3,0.4,1023,2018,5,17,22,46,3.841,-0.5111,-0.4165,0.5067,-0.5553
-0.001,-0.011,0.01,-1.9,-1.9,0,1023,2018,5,17,22,46,3.856,-0.5114,-0.4161,0.5068,-0.5553
0.002,-0.012,0.008,-1.8,-0.4,-0.3,1023,2018,5,17,22,46,3.878,-0.5114,-0.4158,0.5069,-0.5554
0.006,-0.012,0.007,-2.1,0.5,-0.2,1023,2018,5,17,22,46,3.894,-0.5114,-0.4155,0.5067,-0.5557
0.01,-0.008,0.003,-2.6,0.5,-0.5,1023,2018,5,17,22,46,3.916,-0.5115,-0.4153,0.5065,-0.5561
0,-0.004,0.001,-3,0.2,-1.4,1023,2018,5,17,22,46,3.941,-0.5115,-0.4149,0.5063,-0.5564
-0.002,-0.004,0.002,-3.1,0.3,-2.4,1023,2018,5,17,22,46,3.959,-0.5116,-0.4144,0.5061,-0.5569
0.008,0,0.002,-3.1,0,-2.8,1023,2018,5,17,22,46,3.977,-0.5116,-0.4139,0.506,-0.5574
0.015,0.004,-0.002,-3,0.1,-3.3,1023,2018,5,17,22,46,4,-0.5115,-0.4134,0.506,-0.5579
-0.008,0.006,-0.014,-2.5,0.9,-3.6,1023,2018,5,17,22,46,4.018,-0.5113,-0.4129,0.5059,-0.5585
-0.025,0.001,0,-2.4,4,-3,1023,2018,5,17,22,46,4.041,-0.5111,-0.4126,0.5057,-0.5591
-0.008,0,0.012,-2.8,7.8,-0.8,1023,2018,5,17,22,46,4.077,-0.5108,-0.4127,0.505,-0.56
0.007,0.012,0.014,-3.8,9.5,0.8,1023,2018,5,17,22,46,4.1,-0.5105,-0.4131,0.5037,-0.5611
0.005,0.026,0.013,-5.7,8.6,0.6,1023,2018,5,17,22,46,4.105,-0.5105,-0.4137,0.5021,-0.5622
-0.02,0.031,0.014,-8,5.7,-1.4,1023,2018,5,17,22,46,4.121,-0.5107,-0.4137,0.5006,-0.5632
-0.026,0.045,0.024,-10.7,1,-4.2,1023,2018,5,17,22,46,4.143,-0.5112,-0.4131,0.4994,-0.5644
-0.013,0.059,0.047,-13,-4.2,-7.7,1023,2018,5,17,22,46,4.162,-0.512,-0.4115,0.4985,-0.5655
-0.024,0.082,0.048,-14.8,-13.1,-11.8,1023,2018,5,17,22,46,4.184,-0.5134,-0.4087,0.4982,-0.5666
-0.049,0.097,0.046,-17.4,-29,-15.7,0,2018,5,17,22,46,4.2,-0.5155,-0.4044,0.4991,-0.5669
-0.046,0.107,0.092,-21.3,-47.4,-19.4,0,2018,5,17,22,46,4.219,-0.5186,-0.3979,0.5018,-0.5663
-0.021,0.127,0.124,-26.8,-68.6,-23.5,0,2018,5,17,22,46,4.242,-0.5224,-0.3884,0.5069,-0.5648
-0.008,0.138,0.114,-31.9,-94.9,-26.3,0,2018,5,17,22,46,4.258,-0.528,-0.3759,0.5141,-0.5617
-0.028,0.113,0.086,-36.1,-118.1,-30,0,2018,5,17,22,46,4.28,-0.5351,-0.3601,0.5233,-0.5567
-0.026,0.122,0.165,-42.6,-133.6,-32.9,0,2018,5,17,22,46,4.299,-0.5433,-0.3416,0.5339,-0.5503
0.025,0.127,0.226,-52.6,-148.9,-33.6,0,2018,5,17,22,46,4.323,-0.5528,-0.3204,0.5448,-0.5429
-0.02,0.112,0.19,-57.4,-166.6,-33.3,0,2018,5,17,22,46,4.357,-0.5634,-0.2967,0.5561,-0.5339
-0.055,0.108,0.131,-61.4,-182.3,-32.7,0,2018,5,17,22,46,4.381,-0.5748,-0.2706,0.5681,-0.5229
-0.079,0.089,0.113,-66.2,-188.1,-33.2,0,2018,5,17,22,46,4.385,-0.5865,-0.2429,0.58,-0.5104
-0.076,0.08,0.127,-75.7,-184.3,-34.7,0,2018,5,17,22,46,4.4,-0.5981,-0.214,0.5905,-0.4976
-0.074,0.114,0.073,-83.7,-186.3,-37.5,0,2018,5,17,22,46,4.42,-0.6097,-0.1841,0.5991,-0.4851
-0.057,0.145,-0.003,-86,-201.7,-41,0,2018,5,17,22,46,4.443,-0.6214,-0.1526,0.6071,-0.471
-0.034,0.128,-0.088,-82.7,-211.3,-52.3,0,2018,5,17,22,46,4.478,-0.6409,-0.0831,0.624,-0.439
-0.05,0.127,-0.12,-79.3,-196.7,-57.4,0,2018,5,17,22,46,4.5,-0.648,-0.048,0.6309,-0.4238
-0.098,0.136,-0.141,-75.8,-174.7,-57.5,1023,2018,5,17,22,46,4.504,-0.6533,-0.0148,0.636,-0.4103
-0.151,0.166,-0.157,-75.6,-149.1,-51.7,1023,2018,5,17,22,46,4.521,-0.6579,0.0151,0.6387,-0.3986
-0.181,0.204,-0.184,-77.7,-125.3,-41.3,1023,2018,5,17,22,46,4.544,-0.6625,0.0414,0.639,-0.3885
-0.166,0.236,-0.207,-79.9,-103.9,-28.8,1023,2018,5,17,22,46,4.562,-0.6679,0.0639,0.6371,-0.3792
-0.143,0.283,-0.229,-81.3,-88.5,-15.8,1023,2018,5,17,22,46,4.586,-0.6742,0.0829,0.6335,-0.3702
-0.147,0.333,-0.215,-84.5,-80.6,-2.7,1023,2018,5,17,22,46,4.603,-0.6814,0.0993,0.6288,-0.3608
-0.135,0.387,-0.249,-88.9,-83,10.3,1023,2018,5,17,22,46,4.626,-0.6897,0.1143,0.6234,-0.3499
-0.088,0.406,-0.302,-90.7,-91.6,23.8,1023,2018,5,17,22,46,4.662,-0.6987,0.1287,0.618,-0.3365
-0.034,0.397,-0.327,-89.1,-96.8,36.9,1023,2018,5,17,22,46,4.686,-0.7078,0.1425,0.613,-0.3204
-0.053,0.398,-0.312,-89.1,-96.1,50,1023,2018,5,17,22,46,4.69,-0.7172,0.155,0.6083,-0.3024
-0.068,0.399,-0.329,-90.3,-96,64.9,1023,2018,5,17,22,46,4.704,-0.7269,0.1658,0.6034,-0.2826
-0.113,0.367,-0.348,-89.9,-94.6,82.2,1023,2018,5,17,22,46,4.721,-0.737,0.1749,0.5985,-0.2605
-0.197,0.339,-0.35,-89.3,-89,102.7,0,2018,5,17,22,46,4.744,-0.7474,0.1812,0.5937,-0.2362
-0.284,0.308,-0.352,-89,-81.1,123.4,0,2018,5,17,22,46,4.763,-0.7583,0.1844,0.5889,-0.2097
-0.321,0.265,-0.34,-87.8,-75.2,139.9,0,2018,5,17,22,46,4.787,-0.7694,0.1847,0.5839,-0.1813
-0.362,0.238,-0.32,-85.4,-72.1,151,0,2018,5,17,22,46,4.803,-0.78,0.1825,0.579,-0.1513
-0.41,0.219,-0.306,-80.4,-70.8,155.9,0,2018,5,17,22,46,4.827,-0.7897,0.1791,0.5741,-0.1205
-0.407,0.193,-0.287,-73.9,-72.4,154.1,0,2018,5,17,22,46,4.862,-0.798,0.1753,0.5695,-0.0895
-0.381,0.154,-0.291,-67.3,-75,147.2,0,2018,5,17,22,46,4.885,-0.8046,0.172,0.5651,-0.059
-0.309,0.134,-0.311,-59.9,-78.9,136.4,0,2018,5,17,22,46,4.889,-0.8096,0.1697,0.561,-0.0296
-0.247,0.126,-0.325,-50.2,-83.7,125.3,0,2018,5,17,22,46,4.906,-0.8129,0.1686,0.5573,-0.0016
-0.163,0.107,-0.293,-41,-88.6,114.1,0,2018,5,17,22,46,4.923,-0.8145,0.1695,0.5542,0.025
-0.058,0.076,-0.274,-33.2,-92.4,103.5,0,2018,5,17,22,46,4.947,-0.8146,0.172,0.5516,0.0502
-0.04,0.058,-0.275,-24.7,-92.9,96.8,0,2018,5,17,22,46,4.983,-0.8133,0.1758,0.5495,0.0741
-0.097,0.021,-0.287,-18,-88.9,94.5,0,2018,5,17,22,46,4.983,-0.8109,0.1799,0.5481,0.0969
-0.163,-0.018,-0.277,-13.5,-79.6,98.2,0,2018,5,17,22,46,5.007,-0.8078,0.1828,0.5474,0.119
-0.165,-0.037,-0.255,-12,-71.1,103.2,0,2018,5,17,22,46,5.043,-0.8043,0.1838,0.5472,0.1406
-0.116,-0.063,-0.218,-11.1,-64.2,106.5,0,2018,5,17,22,46,5.066,-0.8003,0.1831,0.5472,0.1622
-0.074,-0.078,-0.183,-10.7,-56.1,105.2,0,2018,5,17,22,46,5.07,-0.7962,0.1813,0.5473,0.183
-0.014,-0.072,-0.168,-9.9,-54.2,101.4,0,2018,5,17,22,46,5.087,-0.792,0.1788,0.5473,0.2028
0.017,-0.074,-0.146,-9.2,-59.6,94.9,0,2018,5,17,22,46,5.122,-0.7874,0.1771,0.547,0.222
0.046,-0.058,-0.134,-8.3,-69.7,86.1,0,2018,5,17,22,46,5.122,-0.7825,0.1773,0.546,0.2407
0.046,-0.017,-0.164,-7.4,-87.6,79.6,1023,2018,5,17,22,46,5.143,-0.7764,0.1807,0.5451,0.2592
0.026,-0.025,-0.198,-6.4,-112.5,73.1,1023,2018,5,17,22,46,5.179,-0.7696,0.1871,0.5428,0.2791
0.019,-0.07,-0.214,-6.9,-132.6,69.6,1023,2018,5,17,22,46,5.202,-0.7624,0.1969,0.5381,0.3004
-0.01,-0.083,-0.234,-7.4,-142.7,68.3,1023,2018,5,17,22,46,5.207,-0.7544,0.2086,0.5321,0.3227
-0.027,-0.062,-0.273,-9.7,-150.9,69.3,1023,2018,5,17,22,46,5.227,-0.7455,0.2213,0.525,0.3455
-0.004,-0.08,-0.32,-10.2,-163.1,70.4,1023,2018,5,17,22,46,5.25,-0.7358,0.2346,0.5167,0.3693
0.047,-0.085,-0.401,-6,-174,72.6,1023,2018,5,17,22,46,5.27,-0.7246,0.2493,0.5075,0.3938
0.041,-0.007,-0.508,2.3,-181.1,76.1,1023,2018,5,17,22,46,5.287,-0.7113,0.2655,0.498,0.4188
-0.058,-0.043,-0.652,2.2,-178,74.9,1023,2018,5,17,22,46,5.31,-0.6965,0.2816,0.4885,0.4436
-0.03,-0.198,-0.702,6.6,-145.3,75.2,1023,2018,5,17,22,46,5.347,-0.6818,0.2957,0.4798,0.4662
0.092,-0.222,-0.518,13.4,-79.3,76,1023,2018,5,17,22,46,5.37,-0.6687,0.3038,0.4756,0.4839
0.081,0.015,-0.45,16.5,-31.2,77.2,1023,2018,5,17,22,46,5.374,-0.6578,0.3048,0.4777,0.496
-0.14,-0.12,-0.443,14.7,-15.4,56.7,1023,2018,5,17,22,46,5.39,-0.6493,0.3036,0.4812,0.5046
-0.045,-0.192,-0.259,37.1,10.4,60.2,1023,2018,5,17,22,46,5.413,-0.6414,0.3008,0.4876,0.5101
0.14,0.034,-0.164,58.8,-3.5,56.1,1023,2018,5,17,22,46,5.431,-0.632,0.2998,0.4969,0.5134
0.086,-0.07,-0.188,71.5,-3.4,45.8,0,2018,5,17,22,46,5.455,-0.6209,0.3025,0.5064,0.5161
0.062,-0.151,-0.048,72.5,61.1,50,0,2018,5,17,22,46,5.471,-0.6113,0.3024,0.5193,0.5148
0.052,-0.147,0.114,66.3,128,59.9,0,2018,5,17,22,46,5.507,-0.6051,0.293,0.5383,0.5079
0.05,-0.215,0.175,66.7,147.1,60.4,0,2018,5,17,22,46,5.53,-0.6004,0.2784,0.5608,0.4973
0.067,-0.295,0.251,71.7,138.2,53,0,2018,5,17,22,46,5.535,-0.5954,0.2637,0.5833,0.4854
0.03,-0.32,0.371,68.9,135,41.6,0,2018,5,17,22,46,5.552,-0.5899,0.251,0.6044,0.4728
0.011,-0.257,0.428,56.6,119.9,26.3,0,2018,5,17,22,46,5.589,-0.5858,0.2397,0.6227,0.4599
0.022,-0.315,0.37,41.2,127.1,10.5,0,2018,5,17,22,46,5.589,-0.5839,0.2293,0.638,0.4464
0.073,-0.265,0.268,28.4,147.3,-1.7,0,2018,5,17,22,46,5.612,-0.5852,0.2174,0.6523,0.4297
0.125,-0.219,0.175,20.3,156.2,-12.1,0,2018,5,17,22,46,5.65,-0.5885,0.2046,0.6656,0.4105
0.156,-0.148,-0.108,17.8,165.6,-13.5,0,2018,5,17,22,46,5.65,-0.593,0.1911,0.678,0.3898
-0.481,0.358,0.182,18.9,35.9,-53.2,0,2018,5,17,22,46,5.674,-0.5964,0.182,0.6886,0.3698
-0.321,-0.437,0.387,-20.8,-11.8,-46.9,0,2018,5,17,22,46,5.689,-0.5997,0.1893,0.6847,0.3682
-0.312,-0.214,-0.461,8.1,-20.5,-80.5,0,2018,5,17,22,46,5.713,-0.6048,0.1969,0.681,0.3627
-0.463,-0.018,0.34,-17.2,-26.2,-92.5,0,2018,5,17,22,46,5.748,-0.61,0.211,0.6742,0.3588
-0.821,0.424,0.069,-62.2,-12.5,-95.4,0,2018,5,17,22,46,5.771,-0.6198,0.2205,0.6652,0.3528
-0.381,0.175,0.186,-69.5,-23.9,-124.4,0,2018,5,17,22,46,5.773,-0.6333,0.2316,0.6518,0.3466
-0.081,0.015,0.026,-54.9,-8.9,-125.5,1023,2018,5,17,22,46,5.792,-0.6477,0.2433,0.6382,0.3374
0.087,-0.055,-0.065,-50.4,-1.2,-114.6,1023,2018,5,17,22,46,5.816,-0.6606,0.2546,0.6264,0.3259
0.115,-0.097,-0.078,-54.2,-15.3,-95.7,1023,2018,5,17,22,46,5.833,-0.6719,0.264,0.6154,0.3162
0.052,-0.144,0.115,-42.1,-21.7,-67.6,1023,2018,5,17,22,46,5.871,-0.6805,0.2722,0.605,0.3107
-0.131,-0.259,0.196,-27.9,2.2,-36.6,1023,2018,5,17,22,46,5.895,-0.6864,0.2772,0.5976,0.3076
-0.064,0.163,0.04,-13.3,20,-22.9,1023,2018,5,17,22,46,5.899,-0.6909,0.277,0.5944,0.3039
-0.007,0.002,0.046,-2.1,10.5,-24.9,1023,2018,5,17,22,46,5.912,-0.6936,0.277,0.5932,0.3002
-0.039,-0.032,0.029,5.2,21.1,-22.8,1023,2018,5,17,22,46,5.93,-0.6958,0.2772,0.5928,0.2956
0.069,-0.021,-0.117,1.3,20.8,-17.8,1023,2018,5,17,22,46,5.953,-0.6974,0.2772,0.5935,0.2905
0.073,0.057,-0.064,-1.8,17.4,-15.2,1023,2018,5,17,22,46,5.988,-0.6988,0.2766,0.5941,0.2864
-0.075,-0.017,-0.01,-5.3,17,-12.7,1023,2018,5,17,22,46,6.011,-0.7004,0.2761,0.594,0.2831
-0.115,0.118,-0.006,-9.6,15.7,-16.2,1023,2018,5,17,22,46,6.016,-0.7025,0.2744,0.5937,0.2804
0.064,0.112,0.018,-10.2,12.6,-22.1,1023,2018,5,17,22,46,6.036,-0.7048,0.2736,0.5925,0.2778
-0.043,-0.071,0.009,-8.3,15.3,-17.1,1023,2018,5,17,22,46,6.053,-0.7075,0.2735,0.5909,0.2744
-0.034,-0.016,0.01,-10.8,27.2,-9,1023,2018,5,17,22,46,6.076,-0.7104,0.2717,0.5898,0.2708
0.055,0.056,0.013,-11.8,30,-11.7,1023,2018,5,17,22,46,6.094,-0.7135,0.2681,0.5894,0.2673
-0.013,0.042,0.025,-9.9,22.8,-15.8,0,2018,5,17,22,46,6.117,-0.7162,0.2654,0.5889,0.2638
-0.013,-0.018,-0.005,-11.9,21.4,-10.2,0,2018,5,17,22,46,6.136,-0.7187,0.2638,0.588,0.2607
0.072,-0.002,-0.069,-15.3,26.8,-3.6,0,2018,5,17,22,46,6.159,-0.7213,0.2609,0.5874,0.2577
-0.029,0.044,0.008,-14.4,27.1,2.5,0,2018,5,17,22,46,6.177,-0.7241,0.2567,0.5868,0.2555
-0.107,0.031,0.01,-12.6,16.6,7.1,0,2018,5,17,22,46,6.2,-0.726,0.2527,0.5865,0.2549
-0.076,-0.051,0.02,-9.4,3.9,16.9,0,2018,5,17,22,46,6.217,-0.727,0.2495,0.586,0.2561
-0.089,-0.076,0.038,-6.3,13.2,29.9,0,2018,5,17,22,46,6.233,-0.7273,0.246,0.5861,0.2585
-0.11,0.033,-0.003,-5.4,14.1,38.1,0,2018,5,17,22,46,6.256,-0.7272,0.2397,0.5876,0.2613
-0.095,0.063,-0.045,-13.3,14.4,36.1,0,2018,5,17,22,46,6.274,-0.7267,0.2335,0.5889,0.2652
-0.008,0.122,-0.009,-19.4,12.5,23.3,0,2018,5,17,22,46,6.298,-0.7273,0.2271,0.5892,0.2687
0.119,0.141,-0.049,-21.1,14.1,5.2,0,2018,5,17,22,46,6.315,-0.7289,0.2226,0.588,0.2708
0.181,0.206,-0.055,-26.4,-1.1,-21.4,0,2018,5,17,22,46,6.338,-0.7319,0.2213,0.585,0.27
0.016,0.134,-0.016,-30.7,-34.6,-43.5,0,2018,5,17,22,46,6.357,-0.7356,0.2255,0.5794,0.2686
-0.113,0.086,-0.003,-40.3,-44.7,-64.2,0,2018,5,17,22,46,6.379,-0.7395,0.2341,0.5712,0.268
-0.181,0.113,-0.006,-60.5,-40,-88.9,0,2018,5,17,22,46,6.398,-0.746,0.2443,0.56,0.2646
-0.096,0.283,-0.081,-79.1,-48.9,-118.5,0,2018,5,17,22,46,6.421,-0.7558,0.2568,0.5443,0.2578
-0.037,0.15,0.065,-79.2,-67,-140.5,0,2018,5,17,22,46,6.435,-0.7663,0.273,0.525,0.25
0.064,-0.019,0.097,-80.2,-76.1,-149.7,0,2018,5,17,22,46,6.474,-0.7765,0.2918,0.5039,0.2404
-0.404,-0.041,-0.014,-90.5,-40.3,-188.2,0,2018,5,17,22,46,6.474,-0.7873,0.3113,0.4808,0.2278
-0.09,0.111,0.153,-95.5,-14.9,-190.8,0,2018,5,17,22,46,6.497,-0.8013,0.3259,0.4565,0.2078
-0.069,-0.047,0.292,-97.1,-31.1,-180.2,0,2018,5,17,22,46,6.534,-0.814,0.3396,0.4317,0.1887
-0.24,-0.089,0.383,-84.6,-73.3,-165.7,1023,2018,5,17,22,46,6.558,-0.8235,0.3563,0.4062,0.1724
-0.123,0.018,0.319,-70,-157.8,-127.1,1023,2018,5,17,22,46,6.561,-0.8252,0.3812,0.3827,0.1647
0.137,-0.377,0.084,-64.9,-183.1,-113.9,1023,2018,5,17,22,46,6.579,-0.8208,0.412,0.3598,0.1641
0.192,-0.57,-0.006,-61.4,-134.1,-108.4,1023,2018,5,17,22,46,6.618,-0.8156,0.44,0.3382,0.163
0.281,-0.448,-0.017,-63,-67.1,-108.8,1023,2018,5,17,22,46,6.639,-0.8147,0.4584,0.3178,0.158
0.308,-0.138,-0.108,-59.2,-34.2,-104.5,1023,2018,5,17,22,46,6.643,-0.8174,0.4684,0.2994,0.1502
0.308,-0.13,-0.239,-48.8,-50.5,-104.6,1023,2018,5,17,22,46,6.662,-0.8195,0.4781,0.2821,0.1419
0.267,-0.168,-0.242,-38,-68.1,-111.1,1023,2018,5,17,22,46,6.678,-0.8191,0.4908,0.2653,0.1331
0.242,-0.116,-0.234,-27.6,-67.1,-115.3,1023,2018,5,17,22,46,6.695,-0.8172,0.5048,0.2492,0.1228
0.22,-0.097,-0.274,-18.9,-42.8,-118,1023,2018,5,17,22,46,6.718,-0.8156,0.5171,0.2345,0.1107
0.215,-0.016,-0.324,-7.5,-15,-123.4,1023,2018,5,17,22,46,6.756,-0.816,0.5253,0.221,0.0957
0.178,0.037,-0.321,4.9,5.3,-123.8,1023,2018,5,17,22,46,6.779,-0.8177,0.5304,0.2093,0.0783
0.102,0.03,-0.255,19.1,16.9,-118.2,1023,2018,5,17,22,46,6.784,-0.8199,0.5331,0.2,0.0594
0.047,0.15,-0.16,33,13.8,-109.4,1023,2018,5,17,22,46,6.8,-0.8215,0.5348,0.1935,0.0399
0.002,0.26,-0.075,46.3,-33,-97.2,1023,2018,5,17,22,46,6.818,-0.8198,0.5394,0.1904,0.0222
-0.031,0.339,-0.081,65.8,-112,-90.4,1023,2018,5,17,22,46,6.842,-0.8113,0.5528,0.1896,0.0059
-0.048,0.413,-0.11,81.7,-187.2,-73.2,1023,2018,5,17,22,46,6.86,-0.7939,0.5767,0.1921,-0.0078
-0.1,0.414,-0.087,88.1,-234.1,-44.3,1023,2018,5,17,22,46,6.883,-0.769,0.6074,0.1983,-0.0173
-0.151,0.318,-0.19,91.4,-254.4,-20.5,1023,2018,5,17,22,46,6.92,-0.7389,0.6405,0.2077,-0.0226
-0.199,0.239,-0.158,91.4,-245.1,-2.3,1023,2018,5,17,22,46,6.943,-0.7068,0.672,0.2192,-0.0249
-0.174,0.264,-0.076,82.8,-214.6,19.1,0,2018,5,17,22,46,6.947,-0.6757,0.6992,0.2318,-0.0254
-0.255,0.25,0.11,67.1,-155,43.8,0,2018,5,17,22,46,6.963,-0.65,0.7188,0.2455,-0.0232
-0.272,0.188,0.134,43.8,-96.9,59.2,0,2018,5,17,22,46,6.986,-0.6323,0.7299,0.2586,-0.019
-0.228,0.273,0.135,27.5,-69.2,74.5,0,2018,5,17,22,46,7.002,-0.6206,0.7355,0.2712,-0.0123
-0.208,0.317,0.151,19.1,-64.6,93.9,0,2018,5,17,22,46,7.021,-0.6109,0.7387,0.2845,-0.003
-0.436,-0.09,0.208,-6.1,-54.1,93.2,0,2018,5,17,22,46,7.043,-0.6026,0.7401,0.2982,0.0092
-0.244,-1.027,0.173,-18,-44.9,41,0,2018,5,17,22,46,7.062,-0.5961,0.7422,0.3053,0.0211
-0.244,-0.765,0.093,-17.2,-30.1,-11.8,0,2018,5,17,22,46,7.083,-0.5915,0.7459,0.3047,0.0264
-0.099,-0.271,0.145,-20.3,-15.2,-36.4,0,2018,5,17,22,46,7.121,-0.5901,0.7493,0.2989,0.0272
0.003,0.139,0.117,-14.9,-32.7,-35.8,0,2018,5,17,22,46,7.144,-0.5887,0.7532,0.292,0.0269
0.034,0.316,0.1,-9.4,-60.3,-22.4,0,2018,5,17,22,46,7.149,-0.5834,0.759,0.2872,0.0288
0.053,0.307,0.077,-5.8,-72.4,-5,0,2018,5,17,22,46,7.166,-0.5746,0.7664,0.285,0.0327
0.032,0.209,0.039,-4.9,-85.7,7.4,0,2018,5,17,22,46,7.187,-0.5638,0.7742,0.2849,0.0382
0.002,0.024,-0.018,-5.8,-105.2,6,0,2018,5,17,22,46,7.201,-0.5506,0.7832,0.2849,0.0448
-0.013,-0.135,-0.074,-7.4,-108.8,-0.5,0,2018,5,17,22,46,7.222,-0.5358,0.7935,0.2837,0.0512
-0.012,-0.186,-0.135,-8.2,-93,-6.9,0,2018,5,17,22,46,7.243,-0.5218,0.8033,0.2812,0.0566
0.002,-0.097,-0.129,-7.8,-61,-8,1023,2018,5,17,22,46,7.278,-0.5111,0.8109,0.2783,0.0602
0.011,0.004,-0.092,-6.9,-26.2,-5.2,1023,2018,5,17,22,46,7.302,-0.5049,0.8153,0.2762,0.0624
0.013,0.082,-0.041,-6.4,-3.6,-2.4,1023,2018,5,17,22,46,7.305,-0.5025,0.8171,0.2751,0.0636
0.016,0.072,-0.029,-5,0.1,-0.1,1023,2018,5,17,22,46,7.323,-0.5019,0.8176,0.2745,0.0645
0.001,-0.009,-0.037,-3.3,-0.2,0.3,1023,2018,5,17,22,46,7.347,-0.5016,0.8178,0.2743,0.0651
-0.001,-0.049,-0.031,-2.1,2.5,-0.3,1023,2018,5,17,22,46,7.383,-0.5017,0.8178,0.2739,0.0653
0.005,-0.024,-0.018,-0.7,6.4,0,1023,2018,5,17,22,46,7.405,-0.5022,0.8176,0.2737,0.065
0.006,0.013,0.01,0.3,7.4,1.1,1023,2018,5,17,22,46,7.41,-0.5031,0.8171,0.2737,0.0647
0.006,0.042,0.024,1.6,4.7,2.5,1023,2018,5,17,22,46,7.427,-0.5037,0.8166,0.2741,0.0645
0,0.032,0.022,1.9,0.7,3.3,1023,2018,5,17,22,46,7.465,-0.5039,0.8162,0.2748,0.0645
-0.011,0.015,0.012,1.4,-2.2,2.9,1023,2018,5,17,22,46,7.488,-0.5036,0.8162,0.2754,0.0646
-0.012,-0.002,0.005,1.1,-3.8,2,1023,2018,5,17,22,46,7.492,-0.5032,0.8163,0.2759,0.0649
-0.014,0,0.004,0.6,-5,0.9,1023,2018,5,17,22,46,7.507,-0.5024,0.8166,0.2761,0.0652
-0.01,0.011,0.001,-0.2,-5.5,-0.2,1023,2018,5,17,22,46,7.543,-0.5015,0.8172,0.2761,0.0656
-0.005,0.01,-0.005,-0.8,-5.2,-1,1023,2018,5,17,22,46,7.564,-0.5007,0.8177,0.276,0.066
0.003,0.009,-0.008,-0.8,-3.6,-1.1,1023,2018,5,17,22,46,7.568,-0.4999,0.8183,0.2756,0.0663
0.006,0.002,-0.005,-0.5,-1.1,-0.9,1023,2018,5,17,22,46,7.586,-0.4993,0.8187,0.2753,0.0664
0.004,0,0.001,-0.6,1.5,0,1023,2018,5,17,22,46,7.624,-0.4993,0.8188,0.2751,0.0663
0.001,-0.003,0.002,-1.1,3.4,0.5,0,2018,5,17,22,46,7.648,-0.4996,0.8187,0.275,0.0663
0.005,0.005,0.003,-0.8,2.6,1.4,0,2018,5,17,22,46,7.652,-0.5,0.8184,0.275,0.0664
0.001,0.006,0.001,-0.3,0.9,1.4,0,2018,5,17,22,46,7.67,-0.4999,0.8184,0.2751,0.0665
0,0.008,0.001,0,0.2,1.4,0,2018,5,17,22,46,7.706,-0.4999,0.8183,0.2753,0.0667
-0.001,0.013,0.002,0,1.1,1.7,0,2018,5,17,22,46,7.729,-0.4999,0.8183,0.2755,0.0668
-0.003,0.013,0.005,0,1.9,1.6,0,2018,5,17,22,46,7.734,-0.5,0.8181,0.2757,0.067
-0.002,0.004,-0.001,-0.4,2.5,1.3,0,2018,5,17,22,46,7.748,-0.5002,0.8179,0.2759,0.0671
0,0.004,-0.003,-0.6,2.8,1,0,2018,5,17,22,46,7.765,-0.5006,0.8176,0.276,0.0671
0.002,0.014,0.005,-0.7,1.3,0.7,0,2018,5,17,22,46,7.789,-0.5007,0.8175,0.2761,0.0672
0.002,0.008,0.001,-1,-0.3,0.4,0,2018,5,17,22,46,7.824,-0.5007,0.8176,0.276,0.0675
0.003,0.009,0.005,-1.1,0,0.6,0,2018,5,17,22,46,7.847,-0.5006,0.8176,0.276,0.0677
0.007,0.007,0.002,-0.9,0.3,1.2,0,2018,5,17,22,46,7.851,-0.5006,0.8176,0.2759,0.0679
0.007,-0.003,0,-0.5,1.1,1.7,0,2018,5,17,22,46,7.869,-0.5005,0.8176,0.276,0.0681
0,-0.005,0.006,-0.7,1.8,1.6,0,2018,5,17,22,46,7.906,-0.5006,0.8175,0.2761,0.0682
