ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.077,0.129,0.026,-77.3,3.1,-16.3,1023,2018,5,1,18,36,40.614,-0.0541,0.1674,-0.6414,0.7467
0.088,0.147,-0.009,-74.1,-11.2,-10.9,0,2018,5,1,18,36,40.63,-0.0477,0.1554,-0.6435,0.7479
0.037,0.077,-0.079,-66.9,-7.3,-3.1,0,2018,5,1,18,36,40.669,-0.0408,0.1453,-0.6461,0.748
-0.021,0.078,-0.204,-53.8,0,4.1,0,2018,5,1,18,36,40.688,-0.034,0.1377,-0.6475,0.7487
-0.051,-0.12,-0.263,-33.1,26.7,10.1,0,2018,5,1,18,36,40.692,-0.0285,0.133,-0.6465,0.7506
-0.132,-0.197,-0.237,-11.4,102.3,11,0,2018,5,1,18,36,40.713,-0.0263,0.1312,-0.6384,0.7579
-0.127,-0.348,-0.255,8.7,232.2,7.7,0,2018,5,1,18,36,40.732,-0.0286,0.1314,-0.6154,0.7766
-0.154,-0.032,-0.245,26.3,317.2,7.4,0,2018,5,1,18,36,40.749,-0.0361,0.1332,-0.576,0.8056
-0.144,0.061,-0.202,38.9,335.4,2.7,0,2018,5,1,18,36,40.77,-0.0465,0.1361,-0.5283,0.8367
-0.07,-0.027,-0.28,53.6,324.7,-7.8,0,2018,5,1,18,36,40.788,-0.0592,0.1399,-0.4791,0.8644
-0.047,0.086,-0.235,64.5,304,-12.1,0,2018,5,1,18,36,40.827,-0.0734,0.1447,-0.4304,0.8879
-0.006,0.258,-0.109,68.8,233.7,-16.3,0,2018,5,1,18,36,40.848,-0.0875,0.1507,-0.3872,0.9053
0.007,0.314,-0.052,69.5,116.5,-17.6,0,2018,5,1,18,36,40.852,-0.0995,0.1578,-0.3588,0.9145
0.046,0.259,-0.083,70,17.3,-10.7,0,2018,5,1,18,36,40.87,-0.1075,0.1669,-0.3482,0.9161
0.084,0.13,-0.187,70,-39,-5.1,0,2018,5,1,18,36,40.891,-0.1123,0.1777,-0.3489,0.9132
0.076,-0.088,-0.035,67.7,-34.1,-0.6,0,2018,5,1,18,36,40.91,-0.1155,0.1896,-0.3546,0.9082
-0.024,0.068,0.393,49.8,-14.3,-0.8,0,2018,5,1,18,36,40.945,-0.1186,0.199,-0.356,0.9052
0.058,0.026,0.309,29.8,-29.4,6.1,0,2018,5,1,18,36,40.965,-0.1196,0.2057,-0.3584,0.9026
0.064,-0.173,0.095,19.5,-14,4.7,0,2018,5,1,18,36,40.969,-0.119,0.2097,-0.3618,0.9004
0.105,0.186,0.001,18.6,-12.8,8.6,0,2018,5,1,18,36,40.992,-0.1189,0.2127,-0.3622,0.8996
0.066,0.219,0.013,15,-48.5,14,0,2018,5,1,18,36,41.012,-0.1167,0.2167,-0.3663,0.8973
0.036,0.123,-0.002,17.1,-56.7,18.4,0,2018,5,1,18,36,41.049,-0.1127,0.2209,-0.3729,0.894
-0.082,-0.143,0.086,12.9,-56.4,16.3,0,2018,5,1,18,36,41.069,-0.1086,0.2256,-0.3806,0.8901
-0.084,-0.202,0.139,6.4,-5.5,12.8,1023,2018,5,1,18,36,41.074,-0.1055,0.2287,-0.3854,0.8876
-0.173,0.075,0.055,4.9,27.8,11.1,1023,2018,5,1,18,36,41.092,-0.1047,0.2303,-0.3817,0.8889
-0.112,0.291,0.079,4.3,-36.2,13.5,1023,2018,5,1,18,36,41.131,-0.1032,0.2319,-0.3811,0.8889
-0.111,0.012,0.129,-1.4,-83.4,19.4,1023,2018,5,1,18,36,41.15,-0.0977,0.2344,-0.3908,0.8847
0,0.047,0.288,-11.8,-99.6,15.7,1023,2018,5,1,18,36,41.154,-0.0909,0.2363,-0.4035,0.8792
0.021,-0.079,0.197,-26,-112.8,13.7,1023,2018,5,1,18,36,41.191,-0.0826,0.236,-0.42,0.8723
0.06,-0.116,-0.121,-21.7,-71.7,7,1023,2018,5,1,18,36,41.195,-0.0756,0.234,-0.4339,0.8667
0.041,-0.016,-0.159,-11.8,-45.4,0.9,1023,2018,5,1,18,36,41.211,-0.0716,0.2325,-0.4432,0.8627
0.041,-0.022,0.013,1.9,-7.8,-4.2,1023,2018,5,1,18,36,41.231,-0.0708,0.2323,-0.4469,0.8609
0.033,-0.022,0.01,5.5,-13,-8.8,1023,2018,5,1,18,36,41.271,-0.072,0.2327,-0.4487,0.8597
-0.039,0.064,-0.009,0,-17.7,-1,1023,2018,5,1,18,36,41.29,-0.0723,0.2329,-0.4511,0.8584
-0.057,0,0.071,-9.8,-18.1,0.3,1023,2018,5,1,18,36,41.294,-0.0712,0.2323,-0.454,0.8571
-0.047,-0.028,-0.098,-10.5,-11.7,1.5,1023,2018,5,1,18,36,41.314,-0.0693,0.2315,-0.4564,0.8562
0.052,-0.014,-0.255,-5.5,-7.5,2.1,1023,2018,5,1,18,36,41.332,-0.0681,0.2308,-0.4584,0.8555
0.005,-0.128,0.078,-11.1,-32.3,-4.5,1023,2018,5,1,18,36,41.354,-0.0668,0.2296,-0.4624,0.8537
0.017,-0.056,0.074,-18.1,-20.4,-7,1023,2018,5,1,18,36,41.392,-0.0658,0.2268,-0.4664,0.8524
0.027,-0.067,0.069,-23.2,-14.2,-10.6,1023,2018,5,1,18,36,41.413,-0.065,0.2227,-0.4697,0.8517
0.04,-0.004,0.051,-25.9,-8.4,-11.8,0,2018,5,1,18,36,41.417,-0.0646,0.2178,-0.472,0.8517
0.016,0.041,0.035,-27,-3.5,-11.3,0,2018,5,1,18,36,41.438,-0.0643,0.2126,-0.4733,0.8523
-0.028,0.045,0.066,-28.5,1.5,-9.2,0,2018,5,1,18,36,41.457,-0.0636,0.2077,-0.4737,0.8534
-0.055,0.025,0.075,-31.9,5.2,-8.3,0,2018,5,1,18,36,41.474,-0.0624,0.2027,-0.4731,0.855
-0.02,0.006,0.081,-39.2,6.2,-7.7,0,2018,5,1,18,36,41.495,-0.0609,0.1968,-0.4724,0.8569
0.006,0.016,0.132,-48.4,-0.2,-7.9,0,2018,5,1,18,36,41.516,-0.0587,0.1893,-0.4719,0.859
0.012,0.038,0.083,-59.6,-9.3,-5.9,0,2018,5,1,18,36,41.535,-0.0554,0.1803,-0.4727,0.8607
0.026,0.052,0.036,-65.1,-15.5,-6.6,0,2018,5,1,18,36,41.557,-0.0511,0.1703,-0.4749,0.8618
0.013,0.091,0.094,-70.2,-22.9,-8.9,0,2018,5,1,18,36,41.577,-0.0463,0.1596,-0.478,0.8624
0.039,-0.055,0.063,-72.4,-30.7,-16.4,0,2018,5,1,18,36,41.597,-0.0415,0.1476,-0.4824,0.8624
0.083,-0.027,-0.017,-72.9,-25.6,-21.4,0,2018,5,1,18,36,41.617,-0.0382,0.1347,-0.488,0.8614
0.104,-0.066,-0.076,-73.1,-9.7,-22.8,0,2018,5,1,18,36,41.636,-0.0353,0.1217,-0.4923,0.8611
0.093,0.004,-0.137,-71.2,13.8,-23,0,2018,5,1,18,36,41.675,-0.0329,0.1089,-0.4928,0.8626
0.091,0.058,-0.103,-72.9,19.5,-22.8,0,2018,5,1,18,36,41.694,-0.0309,0.0958,-0.4914,0.865
0.081,0.123,-0.068,-72.9,3,-19.6,0,2018,5,1,18,36,41.698,-0.0287,0.0823,-0.4906,0.8669
0.085,0.149,-0.061,-73.6,-17.9,-13.1,0,2018,5,1,18,36,41.715,-0.0252,0.0693,-0.4924,0.8672
0.021,0.043,0.05,-79.6,-30.6,-13.9,0,2018,5,1,18,36,41.752,-0.0204,0.0563,-0.4961,0.8661
0.008,-0.085,0.15,-84.6,-25.2,-14.1,0,2018,5,1,18,36,41.772,-0.0154,0.0426,-0.5005,0.8645
0,-0.092,0.12,-85.4,15.9,-12.8,0,2018,5,1,18,36,41.777,-0.0101,0.0284,-0.5013,0.8647
0.029,-0.088,0.069,-83.7,92.6,-12.9,0,2018,5,1,18,36,41.796,-0.0048,0.0143,-0.4926,0.8701
0.041,-0.024,0.067,-78.4,131.1,-15.5,0,2018,5,1,18,36,41.815,-0.0005,0.0002,-0.4745,0.8802
