ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.291,0.29,0.247,-57.2,-190.8,137.6,0,2018,5,1,18,35,31.784,-0.4888,-0.4992,-0.2037,0.6857
-0.279,-1.146,-1.09,-27.7,-126.5,128.8,0,2018,5,1,18,35,31.804,-0.4846,-0.4856,-0.2394,0.6869
-0.4,-1.98,-0.869,28.9,17,62.1,0,2018,5,1,18,35,31.818,-0.4767,-0.4773,-0.2527,0.6935
-0.188,-1.916,0.381,27.1,56.4,-33.9,0,2018,5,1,18,35,31.859,-0.4743,-0.4749,-0.2474,0.6987
-0.252,-0.503,0.74,-30,194.1,-101.4,0,2018,5,1,18,35,31.879,-0.471,-0.4902,-0.2235,0.6984
-0.181,-0.107,-0.121,-67.1,147.1,-114.5,0,2018,5,1,18,35,31.883,-0.4672,-0.515,-0.1974,0.6909
0.057,0.487,-0.798,-31.2,123.4,-105.6,0,2018,5,1,18,35,31.902,-0.467,-0.5356,-0.1756,0.6812
0.301,1.481,-0.711,14.1,73.1,-56.7,0,2018,5,1,18,35,31.922,-0.4675,-0.547,-0.1568,0.6763
0.314,2.048,0.07,37.2,42.6,24,0,2018,5,1,18,35,31.937,-0.4636,-0.5496,-0.1454,0.6795
0.043,1.151,0.839,6.2,-149,95.7,0,2018,5,1,18,35,31.957,-0.4622,-0.5402,-0.1568,0.6854
-0.169,0.345,0.11,-27.1,-176.1,130.3,0,2018,5,1,18,35,31.977,-0.4631,-0.525,-0.1885,0.6886
-0.173,-1.035,-1.118,-2.6,-118.6,115.8,0,2018,5,1,18,35,32.019,-0.461,-0.5101,-0.2204,0.6917
-0.232,-1.896,-0.698,47.5,20.7,47.6,1023,2018,5,1,18,35,32.038,-0.456,-0.5,-0.2312,0.6989
-0.194,-1.512,0.533,31.2,94,-41.3,1023,2018,5,1,18,35,32.042,-0.4535,-0.4986,-0.2211,0.7048
-0.259,0.127,0.851,-25.2,180.7,-81.4,1023,2018,5,1,18,35,32.062,-0.4474,-0.5136,-0.1946,0.7057
-0.12,-0.185,-0.14,-56.2,110.3,-87.8,1023,2018,5,1,18,35,32.081,-0.4442,-0.5323,-0.1743,0.6992
0.019,0.405,-0.694,-27.4,99.5,-81,1023,2018,5,1,18,35,32.102,-0.443,-0.5486,-0.1562,0.6916
0.052,0.515,-0.529,4.6,93.1,-63.6,1023,2018,5,1,18,35,32.122,-0.4428,-0.5586,-0.1391,0.6873
0.057,1.154,0.011,10,95.6,-25.2,1023,2018,5,1,18,35,32.16,-0.4381,-0.5665,-0.1212,0.6872
0.156,1.463,0.271,-6.4,-29.8,31.2,1023,2018,5,1,18,35,32.181,-0.4345,-0.5689,-0.1179,0.6881
0.1,0.956,0.232,-21.5,-139.9,78.2,1023,2018,5,1,18,35,32.186,-0.4359,-0.5626,-0.1357,0.6891
-0.088,0.151,-0.098,-24,-150.6,106.1,1023,2018,5,1,18,35,32.2,-0.4398,-0.5507,-0.1662,0.6896
-0.033,-0.54,-0.285,-7.3,-100.8,103.5,1023,2018,5,1,18,35,32.221,-0.4381,-0.5397,-0.1925,0.6925
-0.181,-0.964,-0.278,13.7,-88.4,70.3,1023,2018,5,1,18,35,32.241,-0.4357,-0.5294,-0.2112,0.6965
-0.095,-1.72,0.048,18.2,-33.1,5.7,1023,2018,5,1,18,35,32.28,-0.4381,-0.5205,-0.2224,0.6982
-0.116,-0.969,0.412,1.5,107,-57,1023,2018,5,1,18,35,32.298,-0.4384,-0.5234,-0.214,0.6985
0.026,-0.23,0.146,-15.4,118.4,-86.1,1023,2018,5,1,18,35,32.302,-0.4357,-0.5366,-0.1931,0.6963
0.136,-0.036,-0.205,-9.8,73.9,-97.4,1023,2018,5,1,18,35,32.323,-0.4374,-0.5486,-0.1737,0.6909
0.146,0.574,-0.087,8.5,54.4,-92.7,0,2018,5,1,18,35,32.362,-0.4428,-0.5564,-0.1565,0.6853
0.107,0.537,0.039,11.9,55.9,-74.3,0,2018,5,1,18,35,32.382,-0.4483,-0.5612,-0.1417,0.6811
0.106,0.498,0.095,11.2,78.2,-52.7,0,2018,5,1,18,35,32.386,-0.4491,-0.5668,-0.1261,0.679
0.065,0.493,0.156,6.3,64.7,-32.7,0,2018,5,1,18,35,32.406,-0.4468,-0.5725,-0.1126,0.6781
