ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.012,0.019,0.012,-3.4,-1.3,1.1,0,2018,5,1,22,19,54.809,-0.5343,0.3006,-0.6188,0.4911
0.013,0.023,0,-3.3,-2.7,1.3,0,2018,5,1,22,19,54.829,-0.5338,0.3005,-0.6192,0.4911
0.014,0.021,-0.01,-3.2,-2.2,1.3,0,2018,5,1,22,19,54.833,-0.5332,0.3005,-0.6198,0.491
0.007,0.014,-0.006,-3.3,-1,1.2,0,2018,5,1,22,19,54.846,-0.5327,0.3004,-0.6202,0.491
0.008,0.013,-0.004,-2.9,-0.1,1.1,0,2018,5,1,22,19,54.887,-0.5323,0.3002,-0.6205,0.4912
0.013,0.014,-0.013,-2.4,-0.2,1.1,0,2018,5,1,22,19,54.891,-0.5319,0.3001,-0.6209,0.4913
0.011,0.011,-0.014,-1.7,-0.8,1.6,0,2018,5,1,22,19,54.908,-0.5315,0.3001,-0.6211,0.4914
0.018,0.012,-0.005,-0.9,-1.6,1.4,0,2018,5,1,22,19,54.944,-0.5312,0.3002,-0.6214,0.4913
0.015,0.012,-0.002,-0.1,0,1,0,2018,5,1,22,19,54.964,-0.531,0.3003,-0.6216,0.4912
0.014,0.01,0.007,0.1,2.1,0.8,0,2018,5,1,22,19,54.967,-0.5311,0.3002,-0.6215,0.4914
0.01,0.018,0.004,0.6,2.1,0.5,0,2018,5,1,22,19,55.005,-0.5313,0.3,-0.6212,0.4916
0.013,0.019,0.005,0.9,1.2,0.6,0,2018,5,1,22,19,55.025,-0.5315,0.2998,-0.621,0.4917
0.013,0.019,0.001,0.5,0.6,1.1,0,2018,5,1,22,19,55.032,-0.5317,0.2998,-0.6208,0.4918
0.01,0.02,0.001,0.4,0.1,1.4,0,2018,5,1,22,19,55.049,-0.5317,0.2998,-0.6207,0.4919
0.007,0.013,-0.005,0.4,-0.7,1.1,0,2018,5,1,22,19,55.086,-0.5317,0.2999,-0.6207,0.4919
0.002,0.015,-0.008,0.3,0.9,1.1,0,2018,5,1,22,19,55.107,-0.5316,0.3,-0.6207,0.4919
0.009,0.016,-0.016,0.4,1.3,1,0,2018,5,1,22,19,55.111,-0.5317,0.3,-0.6206,0.492
0.016,0.023,-0.015,0.8,0.8,1,0,2018,5,1,22,19,55.132,-0.5317,0.3,-0.6205,0.492
0.021,0.02,-0.006,1.2,0,1.3,0,2018,5,1,22,19,55.151,-0.5318,0.3,-0.6204,0.492
0.017,0.027,0.004,1.7,-0.4,1.6,0,2018,5,1,22,19,55.186,-0.5319,0.3002,-0.6203,0.4919
0.014,0.02,0.005,1.7,-0.8,2.1,0,2018,5,1,22,19,55.207,-0.532,0.3005,-0.6201,0.4918
0.011,0.017,0.015,1.4,0.1,2.2,0,2018,5,1,22,19,55.21,-0.5322,0.3008,-0.6199,0.4919
0.01,0.011,0.016,1.1,0.2,2,0,2018,5,1,22,19,55.245,-0.5323,0.3009,-0.6195,0.492
0.005,0.003,0.016,0.7,-0.1,1.6,1023,2018,5,1,22,19,55.268,-0.5324,0.3011,-0.6192,0.4922
0.012,0.01,0.022,0.1,-0.1,1.2,1023,2018,5,1,22,19,55.272,-0.5324,0.3012,-0.6191,0.4923
0.016,0.01,0.018,-0.2,0.4,1,1023,2018,5,1,22,19,55.291,-0.5325,0.3011,-0.6189,0.4925
0.015,0.012,0.02,-0.9,1.4,0.8,1023,2018,5,1,22,19,55.328,-0.5326,0.3009,-0.6188,0.4927
0.012,0.02,0.019,-1.2,0.8,0.3,1023,2018,5,1,22,19,55.35,-0.5327,0.3005,-0.6186,0.493
0.015,0.022,0.009,-1.4,0.1,0.2,1023,2018,5,1,22,19,55.354,-0.5327,0.3002,-0.6187,0.4931
0.018,0.023,0.01,-2,0,0.5,1023,2018,5,1,22,19,55.389,-0.5326,0.2999,-0.6188,0.4932
0.017,0.02,0.002,-1.9,-0.5,0.9,1023,2018,5,1,22,19,55.408,-0.5325,0.2997,-0.619,0.4933
0.008,0.013,-0.007,-2,-0.8,1,1023,2018,5,1,22,19,55.414,-0.5322,0.2996,-0.6193,0.4933
0.002,0.011,0,-2,0.3,0.9,1023,2018,5,1,22,19,55.436,-0.5319,0.2995,-0.6194,0.4934
0.009,0.015,0.005,-2.1,0.9,0.5,1023,2018,5,1,22,19,55.456,-0.5317,0.2993,-0.6195,0.4936
0.012,0.018,0.004,-2,1,0.3,0,2018,5,1,22,19,55.474,-0.5316,0.299,-0.6196,0.4938
0.021,0.022,0.006,-1.8,0.4,0.3,0,2018,5,1,22,19,55.495,-0.5315,0.2986,-0.6197,0.494
0.016,0.025,0.008,-1.4,0.3,0.3,0,2018,5,1,22,19,55.533,-0.5315,0.2983,-0.6199,0.494
0.01,0.017,0.018,-1.8,0.2,0.3,0,2018,5,1,22,19,55.553,-0.5315,0.298,-0.62,0.4941
0.003,0.015,0.002,-2.5,-0.1,0.3,0,2018,5,1,22,19,55.558,-0.5313,0.2977,-0.6201,0.4943
0.001,0.021,0.003,-2.9,-0.9,0.1,0,2018,5,1,22,19,55.572,-0.531,0.2975,-0.6204,0.4944
0.009,0.024,-0.001,-2.7,-0.1,0.3,0,2018,5,1,22,19,55.61,-0.5307,0.2972,-0.6207,0.4945
0.01,0.02,-0.006,-2.9,0.8,0.7,0,2018,5,1,22,19,55.631,-0.5305,0.2969,-0.621,0.4946
0.009,0.022,-0.002,-2.7,-0.2,1.1,0,2018,5,1,22,19,55.635,-0.5301,0.2966,-0.6212,0.4949
0.01,0.022,-0.003,-2.1,-1.5,1.4,0,2018,5,1,22,19,55.655,-0.5298,0.2966,-0.6215,0.4949
0.011,0.012,0.016,-1.8,0.1,1,0,2018,5,1,22,19,55.674,-0.5295,0.2965,-0.6217,0.495
0.013,0.004,0.051,-3.5,2.2,0.7,0,2018,5,1,22,19,55.712,-0.5294,0.296,-0.6216,0.4954
0.015,0.006,0.063,-6.4,3.4,0.2,0,2018,5,1,22,19,55.733,-0.5294,0.2951,-0.6215,0.4963
0.011,0.006,0.062,-9,1.5,-0.5,0,2018,5,1,22,19,55.737,-0.529,0.2939,-0.6216,0.4971
0.014,0.006,0.073,-11.3,0.1,-1.1,0,2018,5,1,22,19,55.756,-0.5284,0.2925,-0.6222,0.4979
0.016,0.001,0.08,-14.5,1.2,-2.4,0,2018,5,1,22,19,55.776,-0.5277,0.2908,-0.6229,0.4987
