ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.111,-0.683,0.194,14.6,2,49.2,0,2018,5,1,22,23,12.73,0.7571,0.1098,-0.6306,-0.13
0.057,-0.713,0.169,11.9,4.2,40,0,2018,5,1,22,23,12.752,0.7546,0.1146,-0.6316,-0.1356
-0.05,-0.767,0.187,8.6,7.9,31.6,0,2018,5,1,22,23,12.768,0.7525,0.1188,-0.6324,-0.1398
-0.143,-0.838,0.245,2.5,20.4,22.2,0,2018,5,1,22,23,12.806,0.7509,0.1234,-0.6329,-0.1419
-0.213,-0.846,0.262,-4.7,30.4,9.2,0,2018,5,1,22,23,12.828,0.7501,0.1287,-0.6331,-0.141
-0.227,-0.848,0.232,-10,32.9,-9.9,0,2018,5,1,22,23,12.831,0.7502,0.1329,-0.6329,-0.1372
-0.152,-0.841,0.2,-12.4,37.7,-36,0,2018,5,1,22,23,12.848,0.7512,0.1347,-0.6328,-0.1298
-0.046,-0.787,0.181,-12.9,49.9,-70,0,2018,5,1,22,23,12.871,0.7528,0.1345,-0.6335,-0.1175
0.002,-0.678,0.211,-16.7,63.3,-103.3,0,2018,5,1,22,23,12.908,0.7547,0.1324,-0.6347,-0.0992
-0.016,-0.541,0.212,-22.6,61.8,-132.7,0,2018,5,1,22,23,12.911,0.7573,0.1277,-0.6359,-0.0758
-0.109,-0.499,0.222,-30.2,51.9,-154.6,0,2018,5,1,22,23,12.928,0.7606,0.1196,-0.6361,-0.0499
-0.271,-0.436,0.246,-40.7,48.7,-168.7,0,2018,5,1,22,23,12.948,0.7645,0.1086,-0.6349,-0.0221
-0.484,-0.358,0.254,-54.1,50.5,-174.9,1023,2018,5,1,22,23,12.968,0.7691,0.0964,-0.6317,0.0072
-0.6,-0.257,0.195,-67.6,45.3,-173.5,1023,2018,5,1,22,23,12.988,0.7743,0.0838,-0.626,0.0369
-0.623,-0.179,0.104,-76.5,31.7,-169.2,1023,2018,5,1,22,23,13.01,0.7802,0.0682,-0.6181,0.0667
-0.591,-0.107,0.017,-81,20.8,-166,1023,2018,5,1,22,23,13.029,0.7857,0.0516,-0.609,0.094
-0.547,-0.01,-0.046,-81.2,9.5,-165.8,1023,2018,5,1,22,23,13.05,0.7906,0.0344,-0.5994,0.1194
-0.502,0.071,-0.104,-77.8,-2.6,-169.7,1023,2018,5,1,22,23,13.071,0.795,0.0157,-0.5891,0.1432
-0.452,0.14,-0.154,-72.3,-12.7,-175.3,1023,2018,5,1,22,23,13.108,0.798,-0.0049,-0.5791,0.1665
-0.407,0.193,-0.201,-65.3,-17.6,-180.2,1023,2018,5,1,22,23,13.128,0.7993,-0.0271,-0.5695,0.1896
