ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.594,0.491,-0.065,125,181,-231.4,1023,2018,5,17,20,38,42.239,0.073,-0.4858,-0.3321,0.8051
-0.554,0.627,-0.016,108.8,156.5,-195.3,1023,2018,5,17,20,38,42.261,0.0506,-0.4789,-0.291,0.8266
-0.432,0.47,-0.115,92.7,149,-156.2,1023,2018,5,17,20,38,42.271,0.0327,-0.4713,-0.2554,0.8435
-0.287,0.649,-0.182,69.7,161.7,-126,1023,2018,5,17,20,38,42.289,0.0214,-0.4644,-0.2212,0.8572
-0.371,0.675,-0.115,54.7,154.6,-97.5,1023,2018,5,17,20,38,42.312,0.0153,-0.4587,-0.188,0.8683
-0.298,0.742,-0.094,37.1,120.6,-64.1,1023,2018,5,17,20,38,42.329,0.0127,-0.4538,-0.1606,0.8763
-0.307,0.82,-0.027,19.6,76,-36.7,1023,2018,5,17,20,38,42.347,0.0123,-0.4506,-0.1416,0.8812
-0.259,0.801,-0.013,5.3,19,-20.2,1023,2018,5,17,20,38,42.37,0.0114,-0.4494,-0.1324,0.8833
-0.278,0.723,0.023,-5.3,-27.5,0,1023,2018,5,17,20,38,42.406,0.0093,-0.4497,-0.1326,0.8831
-0.322,0.639,0.02,-20.8,-59,29.1,1023,2018,5,17,20,38,42.43,0.0082,-0.4514,-0.1407,0.881
-0.349,0.566,0.01,-39.6,-73,69.7,1023,2018,5,17,20,38,42.435,0.0113,-0.4549,-0.1551,0.8768
-0.357,0.462,-0.076,-54.4,-76.7,109.5,0,2018,5,17,20,38,42.452,0.0206,-0.4598,-0.1737,0.8705
-0.302,0.389,-0.154,-60.8,-73.2,139,0,2018,5,17,20,38,42.47,0.0354,-0.4649,-0.195,0.8628
-0.23,0.409,-0.207,-63,-57.9,167.1,0,2018,5,17,20,38,42.493,0.0551,-0.4693,-0.217,0.8541
-0.213,0.394,-0.06,-49.3,-21.9,202.4,0,2018,5,17,20,38,42.512,0.0816,-0.4708,-0.2375,0.8456
-0.342,0.438,-0.279,-37.5,-1.4,240,0,2018,5,17,20,38,42.535,0.1154,-0.4674,-0.2561,0.8381
-0.365,0.517,-0.536,-35.3,-39.7,269.1,0,2018,5,17,20,38,42.553,0.153,-0.4612,-0.2786,0.8283
-0.315,0.476,-0.438,-20.9,-72.7,289.9,0,2018,5,17,20,38,42.576,0.1899,-0.453,-0.3089,0.8143
-0.419,0.25,-0.109,13.9,-37.8,312,0,2018,5,17,20,38,42.592,0.2277,-0.4384,-0.3407,0.7998
-0.573,0.302,0.057,37.1,26.4,352.4,0,2018,5,17,20,38,42.611,0.2716,-0.414,-0.3671,0.7873
-0.571,0.533,-0.125,40.4,59,398.5,0,2018,5,17,20,38,42.633,0.3237,-0.381,-0.3888,0.7738
-0.667,0.75,-0.323,26.3,-25.7,414.4,0,2018,5,17,20,38,42.652,0.3776,-0.3464,-0.4136,0.7524
-0.635,0.339,-0.256,29.8,-82,406.9,0,2018,5,17,20,38,42.672,0.4247,-0.317,-0.4477,0.7201
-0.634,-0.021,-0.108,69.8,10.3,401.4,0,2018,5,17,20,38,42.709,0.4677,-0.2817,-0.4781,0.6878
-0.757,-0.621,-0.23,75.5,79.9,392.1,0,2018,5,17,20,38,42.731,0.5109,-0.233,-0.495,0.6629
-0.832,-0.466,-0.019,53,-54.3,336.3,0,2018,5,17,20,38,42.737,0.5476,-0.1927,-0.5122,0.6328
-0.66,-0.908,0.13,62.6,-105.6,245.7,0,2018,5,17,20,38,42.752,0.5706,-0.1696,-0.5372,0.5974
-0.382,-0.978,0.122,59.9,-29.7,180.4,0,2018,5,17,20,38,42.774,0.5831,-0.1506,-0.5571,0.5716
-0.38,-0.991,0.108,18.7,13.3,168.6,0,2018,5,17,20,38,42.792,0.5964,-0.129,-0.565,0.5552
-0.621,-0.943,0.202,-15.7,-53,138.4,0,2018,5,17,20,38,42.81,0.6107,-0.1157,-0.5703,0.5369
-0.414,-0.866,0.321,-29.9,-114.6,63.8,1023,2018,5,17,20,38,42.834,0.6205,-0.1174,-0.578,0.5167
-0.223,-0.841,0.121,-36.9,-136.9,-5,1023,2018,5,17,20,38,42.85,0.6229,-0.132,-0.5866,0.5002
-0.073,-0.542,0.021,-55.4,-120.1,-31.4,1023,2018,5,17,20,38,42.873,0.6227,-0.152,-0.5925,0.4877
-0.014,-0.222,0.028,-67.8,-99,-42.4,1023,2018,5,17,20,38,42.892,0.6226,-0.173,-0.5939,0.479
0.015,-0.059,0.027,-69.5,-89.5,-41.7,1023,2018,5,17,20,38,42.915,0.6231,-0.1936,-0.5928,0.472
-0.035,-0.047,0.02,-64.6,-86.5,-38.7,1023,2018,5,17,20,38,42.932,0.6237,-0.2124,-0.5913,0.4649
-0.023,-0.131,-0.003,-56.9,-67.9,-34.6,1023,2018,5,17,20,38,42.955,0.6239,-0.2295,-0.5897,0.4584
-0.021,-0.154,0.006,-45.3,-41.3,-29.6,1023,2018,5,17,20,38,42.991,0.6241,-0.2429,-0.5874,0.4543
-0.044,-0.279,0.039,-29.1,-25.8,-30.6,1023,2018,5,17,20,38,43.014,0.624,-0.2526,-0.5844,0.4529
-0.132,-0.484,0.06,-1.8,-10.1,-40.6,1023,2018,5,17,20,38,43.02,0.6215,-0.2601,-0.5826,0.4544
-0.221,-0.546,0.098,14.2,33.6,-56.6,1023,2018,5,17,20,38,43.037,0.6169,-0.2635,-0.5803,0.4616
