ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.09,0.174,-0.057,-17,-77.3,-3.5,0,2018,4,25,20,35,57.451,-0.3513,-0.4393,0.3764,-0.736
-0.035,0.207,-0.072,-19.3,-80.5,3.6,0,2018,4,25,20,35,57.471,-0.3583,-0.4323,0.3855,-0.7321
0.011,0.231,-0.096,-21.2,-91.5,9.3,0,2018,4,25,20,35,57.476,-0.3666,-0.4249,0.3947,-0.7274
-0.017,0.236,-0.116,-21.5,-104.8,14.4,0,2018,4,25,20,35,57.494,-0.3766,-0.4168,0.405,-0.7213
-0.065,0.207,-0.12,-21,-113.4,21.7,0,2018,4,25,20,35,57.515,-0.388,-0.4083,0.4162,-0.7136
-0.104,0.195,-0.114,-20.2,-114.3,29.9,0,2018,4,25,20,35,57.535,-0.4005,-0.4,0.4273,-0.7048
-0.091,0.186,-0.128,-19,-109.6,38.2,0,2018,4,25,20,35,57.571,-0.4137,-0.3924,0.4374,-0.6953
-0.102,0.166,-0.123,-15.9,-103.1,46.1,0,2018,4,25,20,35,57.593,-0.427,-0.3861,0.4463,-0.6851
-0.131,0.141,-0.099,-13.5,-90.6,55,0,2018,4,25,20,35,57.597,-0.4402,-0.3814,0.4534,-0.6745
-0.145,0.119,-0.095,-14.2,-75.4,63.2,0,2018,4,25,20,35,57.636,-0.4534,-0.3784,0.4583,-0.6641
-0.161,0.106,-0.109,-17.3,-64,70.2,1023,2018,4,25,20,35,57.656,-0.4666,-0.3767,0.4608,-0.6541
-0.171,0.108,-0.133,-21.3,-58.8,75.3,1023,2018,4,25,20,35,57.66,-0.4801,-0.3756,0.4614,-0.6445
-0.186,0.112,-0.159,-25.7,-63.2,80.2,1023,2018,4,25,20,35,57.676,-0.4944,-0.3744,0.4611,-0.6345
-0.182,0.103,-0.17,-29.7,-75,83.9,1023,2018,4,25,20,35,57.696,-0.5099,-0.3722,0.461,-0.6235
-0.136,0.073,-0.201,-32.4,-91.7,85.3,1023,2018,4,25,20,35,57.735,-0.5267,-0.3684,0.4619,-0.611
-0.079,0.059,-0.236,-33.2,-111,83.5,1023,2018,4,25,20,35,57.756,-0.5445,-0.3625,0.4643,-0.597
-0.023,0.026,-0.268,-32,-123.4,79.2,1023,2018,4,25,20,35,57.76,-0.5626,-0.3546,0.4683,-0.5815
-0.019,-0.001,-0.278,-30.4,-128.1,74.7,1023,2018,4,25,20,35,57.778,-0.5803,-0.3456,0.4734,-0.5653
-0.017,-0.036,-0.291,-29.8,-126.6,70.5,0,2018,4,25,20,35,57.815,-0.5972,-0.3359,0.4785,-0.549
-0.042,-0.056,-0.304,-30.1,-120.4,67.5,0,2018,4,25,20,35,57.835,-0.613,-0.3261,0.4832,-0.5331
-0.075,-0.064,-0.325,-31.8,-113.4,66.6,0,2018,4,25,20,35,57.839,-0.6281,-0.3166,0.4869,-0.5177
-0.119,-0.056,-0.331,-33.6,-108.7,67.2,0,2018,4,25,20,35,57.861,-0.6425,-0.3075,0.4896,-0.5026
-0.197,-0.038,-0.342,-36.1,-112.9,70.2,0,2018,4,25,20,35,57.879,-0.6571,-0.2982,0.4916,-0.4872
-0.245,-0.022,-0.36,-38.1,-127.8,74.6,0,2018,4,25,20,35,57.918,-0.6722,-0.2879,0.4938,-0.4704
-0.228,-0.023,-0.364,-39.5,-147.9,78.4,0,2018,4,25,20,35,57.923,-0.6883,-0.2753,0.4966,-0.4513
-0.169,-0.029,-0.361,-40.2,-168.4,80.1,0,2018,4,25,20,35,57.939,-0.7052,-0.2601,0.5003,-0.4296
-0.126,-0.028,-0.377,-40.4,-184.9,79.1,0,2018,4,25,20,35,57.957,-0.7222,-0.2423,0.5048,-0.4059
-0.136,-0.035,-0.387,-39.3,-196.2,77.5,0,2018,4,25,20,35,57.979,-0.7387,-0.2224,0.5098,-0.3805
-0.152,-0.05,-0.363,-37.7,-198.5,76.3,0,2018,4,25,20,35,58.017,-0.7543,-0.2013,0.5147,-0.3542
-0.131,-0.046,-0.339,-36.3,-194.6,75.9,0,2018,4,25,20,35,58.039,-0.7686,-0.1801,0.519,-0.3276
-0.127,-0.054,-0.325,-34.3,-188.4,77.2,0,2018,4,25,20,35,58.043,-0.7816,-0.1594,0.5225,-0.3009
-0.139,-0.07,-0.323,-29.6,-181.4,81.1,0,2018,4,25,20,35,58.061,-0.7933,-0.1397,0.5253,-0.274
-0.122,-0.095,-0.303,-22.1,-173.5,87.1,0,2018,4,25,20,35,58.082,-0.8035,-0.1218,0.5278,-0.2465
-0.061,-0.118,-0.28,-11.5,-163.6,93,0,2018,4,25,20,35,58.121,-0.812,-0.1061,0.5306,-0.2185
0.023,-0.139,-0.256,-0.4,-153.9,97.9,0,2018,4,25,20,35,58.14,-0.8187,-0.0922,0.5337,-0.1903
0.091,-0.165,-0.22,11.1,-142.4,100.7,0,2018,4,25,20,35,58.144,-0.8234,-0.0806,0.5376,-0.162
0.099,-0.207,-0.17,21,-122.9,102.4,0,2018,4,25,20,35,58.159,-0.8262,-0.072,0.5422,-0.1346
0.099,-0.246,-0.115,25.4,-99.7,102.3,0,2018,4,25,20,35,58.18,-0.8274,-0.0663,0.5468,-0.1089
0.096,-0.265,-0.085,24.5,-76.8,99.7,0,2018,4,25,20,35,58.2,-0.8276,-0.0642,0.5508,-0.0856
0.066,-0.252,-0.078,20.9,-61.3,95,1023,2018,4,25,20,35,58.237,-0.8275,-0.0642,0.5539,-0.0647
0.025,-0.217,-0.076,17.6,-58.5,89.2,1023,2018,4,25,20,35,58.257,-0.8271,-0.0652,0.5562,-0.0455
0.026,-0.178,-0.084,14.6,-71.3,82.4,1023,2018,4,25,20,35,58.261,-0.8268,-0.0648,0.558,-0.0267
0.013,-0.156,-0.088,13.3,-98.4,75,0,2018,4,25,20,35,58.281,-0.8266,-0.0607,0.5594,-0.0069
0.009,-0.186,-0.061,15,-156.3,58.9,0,2018,4,25,20,35,58.302,-0.8257,-0.0363,0.5615,0.0383
0.013,-0.198,-0.055,15.1,-168.5,50.6,0,2018,4,25,20,35,58.323,-0.8245,-0.0182,0.5619,0.0623
0.065,-0.229,-0.071,15.2,-166.3,41.6,0,2018,4,25,20,35,58.343,-0.8227,0.0013,0.5618,0.0856
0.109,-0.235,-0.095,15.2,-148.5,31.2,0,2018,4,25,20,35,58.363,-0.8203,0.0205,0.5614,0.1063
0.13,-0.202,-0.103,15.1,-123.2,20.2,0,2018,4,25,20,35,58.38,-0.8177,0.0373,0.561,0.1232
0.156,-0.161,-0.12,15.3,-101,11.4,0,2018,4,25,20,35,58.417,-0.815,0.0517,0.5607,0.1362
0.159,-0.118,-0.13,17,-82.5,6.7,0,2018,4,25,20,35,58.438,-0.8123,0.064,0.5608,0.1462
0.102,-0.057,-0.137,20.2,-71.4,9,0,2018,4,25,20,35,58.442,-0.8093,0.0747,0.5617,0.1543
-0.035,-0.046,-0.084,21.4,-62.1,18.2,0,2018,4,25,20,35,58.463,-0.8053,0.0841,0.5639,0.1619
-0.085,-0.042,-0.046,13.7,-52.8,26.4,0,2018,4,25,20,35,58.483,-0.8016,0.0908,0.5657,0.1699
-0.012,0.014,-0.097,3,-53,28.8,0,2018,4,25,20,35,58.502,-0.7987,0.0959,0.5664,0.1785
0.065,0.057,-0.155,-6,-62.9,25.9,0,2018,4,25,20,35,58.522,-0.7965,0.1011,0.5655,0.188
0.112,0.067,-0.195,-11.5,-73.4,18.6,0,2018,4,25,20,35,58.544,-0.7955,0.108,0.5623,0.1981
0.05,0.05,-0.184,-13.4,-78.8,12.4,0,2018,4,25,20,35,58.563,-0.7947,0.1166,0.5581,0.208
-0.105,0.004,-0.14,-17,-79.2,9.7,0,2018,4,25,20,35,58.58,-0.7936,0.1261,0.5539,0.2174
-0.204,-0.012,-0.12,-25.4,-76,9.4,0,2018,4,25,20,35,58.618,-0.7926,0.1357,0.5495,0.2262
-0.178,0.029,-0.145,-33.9,-74.5,11,0,2018,4,25,20,35,58.637,-0.7924,0.1444,0.5439,0.2351
-0.139,0.107,-0.2,-39.5,-78.8,14.3,0,2018,4,25,20,35,58.641,-0.7934,0.1521,0.5358,0.245
-0.169,0.181,-0.27,-42.5,-88.5,18.7,0,2018,4,25,20,35,58.681,-0.7943,0.1602,0.5269,0.2563
-0.255,0.173,-0.289,-45,-92.3,22.2,0,2018,4,25,20,35,58.702,-0.7946,0.1691,0.5172,0.2688
-0.387,0.152,-0.331,-50.2,-83.6,23.5,0,2018,4,25,20,35,58.706,-0.7951,0.1771,0.5071,0.2813
-0.452,0.243,-0.387,-54.7,-74.5,29.2,0,2018,4,25,20,35,58.725,-0.7961,0.1827,0.4966,0.2935
-0.485,0.347,-0.448,-54.5,-79.6,43.3,1023,2018,4,25,20,35,58.762,-0.7965,0.1871,0.486,0.3068
-0.523,0.353,-0.477,-51.8,-93.1,61.4,1023,2018,4,25,20,35,58.783,-0.7952,0.1916,0.4756,0.3233
-0.492,0.269,-0.497,-50.3,-104,76.9,1023,2018,4,25,20,35,58.787,-0.7919,0.1968,0.4652,0.3428
-0.446,0.196,-0.524,-48.9,-106.2,88.2,1023,2018,4,25,20,35,58.807,-0.7872,0.2016,0.4547,0.3645
-0.418,0.121,-0.555,-45.2,-100.9,96.4,1023,2018,4,25,20,35,58.827,-0.7811,0.2054,0.4446,0.3871
-0.458,0.021,-0.594,-33,-86.2,104.3,1023,2018,4,25,20,35,58.843,-0.7737,0.2079,0.4363,0.4094
-0.524,-0.138,-0.527,-22.7,-58.7,111.2,1023,2018,4,25,20,35,58.88,-0.7652,0.2074,0.4314,0.4304
-0.574,-0.198,-0.397,-13.2,-40.9,118.6,1023,2018,4,25,20,35,58.9,-0.7559,0.2038,0.4295,0.4499
-0.649,-0.211,-0.327,-0.9,-51.1,130,0,2018,4,25,20,35,58.904,-0.7449,0.1997,0.4295,0.4697
-0.576,-0.3,-0.297,20.1,-77.9,144.4,0,2018,4,25,20,35,58.926,-0.7302,0.1989,0.4302,0.4919
-0.445,-0.428,-0.246,49.7,-102.4,158.4,0,2018,4,25,20,35,58.944,-0.7108,0.2026,0.4321,0.5166
-0.301,-0.592,-0.212,84.1,-110.9,166.3,0,2018,4,25,20,35,58.984,-0.6864,0.2102,0.4365,0.5422
-0.094,-0.761,-0.107,108.6,-94,161.6,0,2018,4,25,20,35,59.004,-0.6587,0.2197,0.4444,0.5659
0.021,-0.813,0.128,116,-49.6,143.4,0,2018,4,25,20,35,59.008,-0.6312,0.2277,0.4563,0.5842
0.089,-0.723,0.263,110.3,-7.6,122.3,0,2018,4,25,20,35,59.028,-0.6071,0.232,0.4715,0.5959
0.188,-0.666,0.196,100.9,13.6,103.8,0,2018,4,25,20,35,59.047,-0.5865,0.2334,0.4878,0.6028
0.224,-0.692,0.206,91.6,18.4,86.6,0,2018,4,25,20,35,59.065,-0.5687,0.2339,0.5034,0.6069
