ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.416,-0.022,0.471,-58.1,8.3,18.2,0,2018,5,16,18,59,9.656,0.8096,-0.4421,0.3838,-0.0412
-0.296,-0.098,0.387,-65.7,31.2,32,0,2018,5,16,18,59,9.674,0.8066,-0.4406,0.3905,-0.0512
-0.144,-0.105,0.228,-68.4,55.9,41.4,0,2018,5,16,18,59,9.678,0.805,-0.4362,0.3967,-0.0648
0.012,-0.066,0,-64.3,67.3,45.3,0,2018,5,16,18,59,9.716,0.8046,-0.4296,0.4018,-0.0807
0.166,-0.043,-0.204,-55.5,67.5,47.2,0,2018,5,16,18,59,9.719,0.8046,-0.4224,0.4059,-0.0965
0.324,-0.014,-0.397,-43.7,60.8,44.1,0,2018,5,16,18,59,9.737,0.8048,-0.4158,0.4083,-0.1114
0.422,-0.021,-0.569,-24.5,54.2,34.3,0,2018,5,16,18,59,9.775,0.8056,-0.4101,0.4092,-0.1236
0.468,0.079,-0.737,-0.3,43.7,19.7,0,2018,5,16,18,59,9.796,0.8077,-0.4046,0.4078,-0.132
0.435,0.184,-0.816,26.4,1.7,2.5,0,2018,5,16,18,59,9.8,0.81,-0.4024,0.4046,-0.1345
0.364,0.153,-0.786,52.9,-46.2,-11.5,0,2018,5,16,18,59,9.822,0.8112,-0.4065,0.3998,-0.1292
0.208,0.044,-0.494,78.2,-71.9,-23.7,0,2018,5,16,18,59,9.841,0.8117,-0.4156,0.393,-0.1175
0,-0.018,-0.097,89.4,-71.6,-32.2,0,2018,5,16,18,59,9.863,0.8126,-0.4258,0.3845,-0.1022
-0.183,0.032,0.292,84.5,-58.9,-33,0,2018,5,16,18,59,9.881,0.8141,-0.4344,0.3754,-0.0865
-0.317,0.112,0.594,60.1,-49.1,-27.4,0,2018,5,16,18,59,9.921,0.8152,-0.4409,0.3681,-0.0732
-0.36,0.11,0.817,22.5,-44.2,-17,0,2018,5,16,18,59,9.941,0.8145,-0.4467,0.3645,-0.0638
-0.344,0.098,0.853,-17.6,-27.2,-2,0,2018,5,16,18,59,9.945,0.8118,-0.4513,0.3655,-0.06
-0.331,0.073,0.734,-51.6,2.7,13.9,0,2018,5,16,18,59,9.96,0.8084,-0.4531,0.3702,-0.063
-0.245,0.06,0.457,-74.6,33.9,26.6,0,2018,5,16,18,59,9.979,0.8055,-0.4509,0.3775,-0.0724
-0.011,0.073,0.049,-82.8,50.2,36.7,0,2018,5,16,18,59,10.002,0.8032,-0.4456,0.3856,-0.0862
0.286,0.058,-0.489,-67.3,49.7,42.2,0,2018,5,16,18,59,10.02,0.8013,-0.4398,0.3925,-0.1011
0.512,-0.017,-1.202,-19.5,26.5,31.4,0,2018,5,16,18,59,10.041,0.8005,-0.436,0.3952,-0.1127
0.494,-0.128,-1.269,45.3,3.4,12.3,0,2018,5,16,18,59,10.08,0.8022,-0.4356,0.3912,-0.1158
0.234,-0.063,-0.867,94.8,-29.9,-5.3,1023,2018,5,16,18,59,10.1,0.8062,-0.439,0.381,-0.1097
0.041,0.044,-0.448,116.1,-69.8,-16.9,1023,2018,5,16,18,59,10.104,0.8094,-0.4475,0.3676,-0.0962
-0.095,0.08,-0.078,117.4,-86.8,-19.6,1023,2018,5,16,18,59,10.125,0.8106,-0.4597,0.3537,-0.0791
-0.246,0.044,0.443,107.8,-66.6,-15,1023,2018,5,16,18,59,10.144,0.8114,-0.4712,0.3399,-0.0626
-0.334,0.146,0.871,77.3,-32,-4,1023,2018,5,16,18,59,10.164,0.8129,-0.4784,0.3279,-0.0507
-0.377,0.352,1.024,33.2,-17,12.5,1023,2018,5,16,18,59,10.183,0.8143,-0.4821,0.3199,-0.0454
