ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-2.095,0.093,-0.055,-75.4,-124,523.1,1023,2018,5,11,14,6,59.385,0.3273,0.3538,-0.6021,0.6363
-2.048,-0.011,-0.38,-72.1,-89.5,515.4,1023,2018,5,11,14,6,59.404,0.3984,0.3922,-0.5749,0.5973
-1.757,-0.023,-0.241,-40.6,-30.9,477.3,1023,2018,5,11,14,6,59.408,0.4582,0.4308,-0.5413,0.5579
-1.262,-0.302,0.192,2.5,98.6,401.6,1023,2018,5,11,14,6,59.446,0.4988,0.4717,-0.5028,0.5251
-1.089,-0.184,0.386,35.7,205.5,327.3,1023,2018,5,11,14,6,59.466,0.5151,0.518,-0.4595,0.5049
-1.01,-0.168,0.293,57.5,216.1,266.1,1023,2018,5,11,14,6,59.47,0.5161,0.5647,-0.417,0.4906
-0.806,-0.473,0.275,69.7,152,217.1,1023,2018,5,11,14,6,59.491,0.5132,0.6033,-0.3831,0.4752
-0.676,-0.708,0.258,80.2,138.1,160.5,1023,2018,5,11,14,6,59.51,0.5086,0.6337,-0.3586,0.4593
-0.503,-0.86,0.261,77,107.2,121,1023,2018,5,11,14,6,59.53,0.5008,0.6595,-0.3399,0.4455
-0.322,-0.873,0.304,73.2,85.5,92.5,0,2018,5,11,14,6,59.568,0.4929,0.6798,-0.3271,0.4332
-0.152,-0.842,0.348,60,37.7,80,0,2018,5,11,14,6,59.588,0.4881,0.695,-0.3176,0.4214
-0.033,-0.769,0.379,45.2,-40.2,70.6,0,2018,5,11,14,6,59.593,0.4907,0.7029,-0.3134,0.4084
0.005,-0.775,0.354,24.6,-99.6,67,0,2018,5,11,14,6,59.609,0.5025,0.7028,-0.3132,0.3942
0.075,-0.701,0.352,3,-141.6,66.4,0,2018,5,11,14,6,59.631,0.521,0.6966,-0.3145,0.3799
0.195,-0.658,0.243,-14.8,-177.9,69.7,0,2018,5,11,14,6,59.649,0.5449,0.6851,-0.3163,0.3654
0.243,-0.735,0.099,-24.6,-193.2,74,0,2018,5,11,14,6,59.668,0.5726,0.6696,-0.3175,0.3504
0.213,-0.813,-0.022,-26,-184.9,69.1,0,2018,5,11,14,6,59.707,0.6002,0.6527,-0.3179,0.3354
0.246,-0.884,-0.078,-22.6,-164.3,59.9,0,2018,5,11,14,6,59.727,0.6245,0.6366,-0.3182,0.3215
0.225,-0.861,-0.044,-19.1,-139.6,45.7,0,2018,5,11,14,6,59.732,0.6449,0.6218,-0.3186,0.3095
0.166,-0.827,-0.024,-16.3,-119.6,31,0,2018,5,11,14,6,59.754,0.6615,0.6085,-0.3193,0.2998
0.124,-0.791,-0.002,-13.4,-97.6,15.8,0,2018,5,11,14,6,59.773,0.6748,0.5965,-0.3208,0.2926
0.077,-0.786,0.001,-10.2,-70.4,-3.1,0,2018,5,11,14,6,59.811,0.6842,0.5866,-0.3231,0.2884
0.001,-0.635,-0.055,-5.7,-52.6,-21.3,0,2018,5,11,14,6,59.815,0.6899,0.5785,-0.3265,0.2874
-0.054,-0.433,-0.054,-0.6,-44.8,-27.3,1023,2018,5,11,14,6,59.831,0.6934,0.5714,-0.3312,0.288
-0.096,-0.291,-0.019,2.5,-38.8,-24.6,1023,2018,5,11,14,6,59.849,0.696,0.5649,-0.3361,0.2887
-0.113,-0.265,-0.006,3.8,-37.3,-20.2,1023,2018,5,11,14,6,59.868,0.6982,0.5594,-0.3406,0.2887
-0.075,-0.181,-0.053,5.5,-45.6,-16.6,1023,2018,5,11,14,6,59.908,0.7009,0.5536,-0.3451,0.2881
-0.05,-0.182,-0.067,10.6,-45.4,-9.4,1023,2018,5,11,14,6,59.929,0.7042,0.5476,-0.3498,0.286
-0.062,-0.224,-0.043,14.3,-29.6,-0.7,1023,2018,5,11,14,6,59.933,0.7066,0.5434,-0.3537,0.2831
-0.093,-0.261,-0.031,16,-17.4,6.7,1023,2018,5,11,14,6,59.952,0.7078,0.5417,-0.3565,0.2798
-0.122,-0.365,-0.047,18.4,-7.5,10.5,1023,2018,5,11,14,6,59.972,0.7083,0.5416,-0.3584,0.2762
-0.176,-0.383,-0.044,21,12.3,13.3,1023,2018,5,11,14,7,0.011,0.7075,0.5435,-0.3596,0.2731
-0.26,-0.407,-0.042,22.3,26.6,14.3,1023,2018,5,11,14,7,0.033,0.7046,0.5482,-0.36,0.2706
-0.31,-0.552,-0.078,22.2,27.4,13.2,1023,2018,5,11,14,7,0.037,0.7014,0.5533,-0.3601,0.2685
-0.332,-0.787,-0.075,23.6,34,6.9,1023,2018,5,11,14,7,0.055,0.6977,0.5585,-0.3604,0.2669
-0.461,-0.969,-0.031,25.3,51.9,-9.1,1023,2018,5,11,14,7,0.076,0.692,0.5647,-0.3615,0.2673
-0.583,-1.014,0.002,23.9,76.7,-36.4,1023,2018,5,11,14,7,0.112,0.6831,0.5719,-0.3637,0.2717
-0.47,-0.977,0.006,19.7,106.1,-68.6,1023,2018,5,11,14,7,0.133,0.6699,0.5805,-0.3671,0.2816
-0.332,-0.834,-0.011,17.5,124.6,-108.8,1023,2018,5,11,14,7,0.137,0.6525,0.5889,-0.3724,0.2978
-0.307,-0.718,0,14.8,127.9,-146.4,0,2018,5,11,14,7,0.153,0.6314,0.5955,-0.3806,0.319
-0.386,-0.689,0.063,9.5,134.2,-178.6,0,2018,5,11,14,7,0.192,0.6075,0.5992,-0.3915,0.3442
-0.502,-0.692,0.088,-1,140.3,-207.4,0,2018,5,11,14,7,0.213,0.5808,0.6,-0.4036,0.3736
-0.646,-0.663,0.049,-14.1,139,-230.2,0,2018,5,11,14,7,0.217,0.5517,0.5975,-0.4162,0.4063
-0.792,-0.585,0.045,-27.9,126.7,-244.7,0,2018,5,11,14,7,0.234,0.522,0.5907,-0.429,0.4408
-0.812,-0.402,0.055,-43.9,105.8,-249.8,0,2018,5,11,14,7,0.273,0.4929,0.5791,-0.4418,0.4757
-0.827,-0.451,0.038,-56.5,62.8,-252.4,0,2018,5,11,14,7,0.294,0.4671,0.562,-0.4553,0.5085
-0.794,-0.387,0.015,-61.9,40,-257.5,0,2018,5,11,14,7,0.298,0.4439,0.5398,-0.4705,0.5386
-0.827,-0.271,0.009,-64.5,36.8,-259.9,0,2018,5,11,14,7,0.317,0.4205,0.5141,-0.4862,0.5677
-0.828,-0.153,-0.036,-66.4,38.4,-258.1,0,2018,5,11,14,7,0.338,0.3967,0.4874,-0.5003,0.5955
