ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.105,0.044,-0.049,-17.2,62.6,15.7,0,2018,5,11,13,57,22.924,0.6697,-0.3519,0.3645,-0.5428
0.048,-0.073,-0.026,-10.6,7.7,5.9,0,2018,5,11,13,57,22.945,0.6696,-0.3475,0.3634,-0.5464
0.039,-0.031,-0.059,-0.7,-1.6,0.8,0,2018,5,11,13,57,22.958,0.669,-0.3472,0.3643,-0.5468
0.017,-0.035,0.008,3.6,14.8,-2.1,0,2018,5,11,13,57,22.977,0.6694,-0.3469,0.3639,-0.5468
0.044,0.134,0.017,3,19.9,1,0,2018,5,11,13,57,22.997,0.6712,-0.3443,0.3618,-0.5476
0.025,0.082,0.073,3.2,5.6,3.3,1023,2018,5,11,13,57,23.036,0.6725,-0.3422,0.3596,-0.5488
0.009,0.021,0.077,-0.3,-2.8,1.9,1023,2018,5,11,13,57,23.056,0.6727,-0.3419,0.3587,-0.5492
0.022,0.031,0.053,-3.2,-9.8,0.7,1023,2018,5,11,13,57,23.061,0.6724,-0.3421,0.3592,-0.5492
0.035,0.101,0.049,-4,-16.9,2.3,1023,2018,5,11,13,57,23.081,0.6717,-0.3426,0.3606,-0.5488
0.03,0.055,0.066,-5.9,-28.5,2.4,1023,2018,5,11,13,57,23.103,0.6703,-0.344,0.3626,-0.5483
0.027,0.002,-0.01,-3.1,-34.5,1.8,1023,2018,5,11,13,57,23.123,0.668,-0.3472,0.3662,-0.5467
0.04,-0.013,-0.058,1.1,-40.6,1.4,1023,2018,5,11,13,57,23.142,0.6654,-0.3517,0.3706,-0.5441
0.02,-0.056,-0.031,3.6,-19.5,-0.3,1023,2018,5,11,13,57,23.163,0.6634,-0.3557,0.3736,-0.5418
0.022,-0.008,0,4.2,-1.9,-2.4,1023,2018,5,11,13,57,23.183,0.6632,-0.3572,0.3743,-0.5406
0.02,0.035,0.047,3.9,-2.6,-3.8,1023,2018,5,11,13,57,23.218,0.6639,-0.3572,0.3741,-0.5399
