ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.471,0.004,-0.364,9.8,-55.7,49.6,1023,2018,5,17,22,2,43.304,0.2339,0.4395,0.1089,-0.8603
-0.4,-0.011,-0.344,17.9,-74,66.1,1023,2018,5,17,22,2,43.326,0.2302,0.4342,0.1229,-0.8621
-0.322,-0.032,-0.291,25.3,-90.3,79.1,1023,2018,5,17,22,2,43.337,0.2256,0.4262,0.1405,-0.8646
-0.259,-0.067,-0.233,29,-97.4,92.7,1023,2018,5,17,22,2,43.355,0.2202,0.4161,0.1604,-0.8675
-0.174,-0.137,-0.14,31.8,-86.8,103.2,1023,2018,5,17,22,2,43.377,0.2128,0.405,0.1805,-0.8706
-0.054,-0.134,-0.008,34.2,-67.2,105.5,1023,2018,5,17,22,2,43.395,0.2033,0.3936,0.1982,-0.8742
0.036,-0.084,0.097,30.4,-59.4,105.9,1023,2018,5,17,22,2,43.418,0.1922,0.3822,0.2142,-0.878
0.098,-0.093,0.138,22.5,-57.2,107.6,1023,2018,5,17,22,2,43.436,0.1805,0.3716,0.2297,-0.8812
0.402,-0.158,0.326,17.1,-8.4,101.4,1023,2018,5,17,22,2,43.458,0.1538,0.3545,0.2544,-0.8864
0.405,-0.09,0.466,10.1,2.7,84.8,1023,2018,5,17,22,2,43.475,0.1402,0.3482,0.2592,-0.8898
0.46,-0.07,0.545,0.1,-9.4,62.3,1023,2018,5,17,22,2,43.494,0.1293,0.3439,0.2636,-0.8919
0.554,-0.109,0.529,-10.4,-22.8,36.5,1023,2018,5,17,22,2,43.517,0.1226,0.3422,0.269,-0.8918
0.575,-0.16,0.471,-16.2,-14.1,10.7,1023,2018,5,17,22,2,43.535,0.12,0.3432,0.273,-0.8906
0.484,-0.166,0.42,-18.6,4.7,-15.6,1023,2018,5,17,22,2,43.557,0.1202,0.3464,0.2733,-0.8892
0.387,-0.137,0.341,-20.6,19.2,-41.2,0,2018,5,17,22,2,43.594,0.1233,0.3513,0.2695,-0.8881
0.334,-0.108,0.215,-22.2,29,-62.8,0,2018,5,17,22,2,43.616,0.1292,0.3579,0.2625,-0.8867
0.278,-0.083,0.074,-20.6,42,-76.7,0,2018,5,17,22,2,43.621,0.137,0.3659,0.2531,-0.8849
0.223,-0.047,-0.027,-16.8,49.6,-87.3,0,2018,5,17,22,2,43.638,0.146,0.3746,0.2414,-0.8831
0.125,-0.08,-0.087,-13.9,57.3,-94.2,0,2018,5,17,22,2,43.66,0.1559,0.383,0.228,-0.8814
0.032,-0.064,-0.144,-12.1,58.8,-98.3,0,2018,5,17,22,2,43.679,0.1662,0.3903,0.2128,-0.8801
-0.032,0.026,-0.161,-10.7,47.1,-99.7,0,2018,5,17,22,2,43.701,0.1772,0.3978,0.1983,-0.878
-0.093,0,-0.12,-9.4,32,-98.5,0,2018,5,17,22,2,43.717,0.1894,0.4046,0.186,-0.875
-0.169,-0.116,-0.105,-9.8,34.3,-95.7,0,2018,5,17,22,2,43.735,0.2014,0.4102,0.1752,-0.872
-0.24,-0.164,-0.139,-12.1,44.8,-92.2,0,2018,5,17,22,2,43.757,0.2125,0.416,0.1627,-0.869
-0.281,-0.125,-0.176,-14,54.3,-86.7,0,2018,5,17,22,2,43.776,0.222,0.4224,0.1491,-0.866
-0.293,-0.064,-0.152,-13.9,57.7,-79.5,0,2018,5,17,22,2,43.799,0.2299,0.4288,0.1349,-0.8631
-0.294,-0.022,-0.116,-13.4,52.7,-72.9,0,2018,5,17,22,2,43.817,0.2368,0.4344,0.1215,-0.8604
-0.308,0.008,-0.134,-11.3,51.3,-61.4,0,2018,5,17,22,2,43.839,0.2429,0.4388,0.109,-0.8582
-0.312,0.053,-0.178,-8.7,53.5,-43,0,2018,5,17,22,2,43.86,0.2467,0.4429,0.097,-0.8564
-0.325,0.124,-0.221,-5.8,45.5,-21.2,0,2018,5,17,22,2,43.895,0.2474,0.4467,0.0873,-0.8552
-0.353,0.188,-0.231,-1.4,20.4,2,0,2018,5,17,22,2,43.918,0.2461,0.4489,0.0817,-0.855
-0.333,0.185,-0.215,2.6,-11.8,25.3,0,2018,5,17,22,2,43.923,0.2437,0.4487,0.0823,-0.8558
-0.321,0.176,-0.203,5.3,-41.4,47.7,0,2018,5,17,22,2,43.939,0.2403,0.4463,0.0892,-0.8573
-0.254,0.146,-0.25,6.5,-67.3,67.8,0,2018,5,17,22,2,43.957,0.2359,0.4422,0.1018,-0.8592
-0.169,0.093,-0.317,11.2,-89.9,83.8,1023,2018,5,17,22,2,43.98,0.2307,0.4362,0.1193,-0.8615
-0.119,0.016,-0.275,22,-99.8,95.6,1023,2018,5,17,22,2,43.997,0.2248,0.4278,0.14,-0.8641
-0.093,-0.077,-0.161,31.4,-96.2,103.4,1023,2018,5,17,22,2,44.021,0.2176,0.4174,0.1614,-0.8673
0.01,-0.09,-0.072,37.1,-83.7,104.1,1023,2018,5,17,22,2,44.057,0.2092,0.4056,0.1812,-0.871
0.108,-0.072,0.008,39.3,-74.1,98.4,1023,2018,5,17,22,2,44.057,0.2002,0.3939,0.1997,-0.8745
0.163,-0.103,0.14,38.7,-65.9,87.5,1023,2018,5,17,22,2,44.081,0.1919,0.3822,0.2158,-0.8777
0.231,-0.162,0.302,34.2,-52.9,72.9,1023,2018,5,17,22,2,44.12,0.1847,0.3711,0.2294,-0.8806
0.325,-0.161,0.456,24.4,-33.4,55.6,1023,2018,5,17,22,2,44.141,0.1787,0.3619,0.2391,-0.8831
0.372,-0.133,0.5,9.6,-18.8,34.1,1023,2018,5,17,22,2,44.145,0.1742,0.356,0.2448,-0.8848
0.394,-0.12,0.473,-2.9,-8.4,12.3,1023,2018,5,17,22,2,44.181,0.1718,0.3537,0.2476,-0.8854
0.39,-0.133,0.422,-11.6,5.6,-7.2,1023,2018,5,17,22,2,44.202,0.1714,0.3545,0.2477,-0.8851
0.363,-0.131,0.352,-17.7,20.7,-25.8,1023,2018,5,17,22,2,44.206,0.1726,0.3578,0.2446,-0.8844
0.309,-0.091,0.243,-19.9,30.3,-42.4,1023,2018,5,17,22,2,44.221,0.1756,0.3631,0.2388,-0.8832
0.255,-0.057,0.169,-19.5,35.8,-57,1023,2018,5,17,22,2,44.239,0.1805,0.3695,0.2309,-0.8817
0.197,-0.056,0.082,-19.2,43.1,-68.9,1023,2018,5,17,22,2,44.261,0.187,0.3766,0.2215,-0.8798
0.133,-0.037,0,-17,57.3,-75,1023,2018,5,17,22,2,44.297,0.194,0.3843,0.2099,-0.8777
0.055,-0.015,-0.053,-14.9,72.4,-75.5,0,2018,5,17,22,2,44.319,0.2005,0.3924,0.1956,-0.876
-0.028,-0.034,-0.1,-13.8,80.9,-74.4,0,2018,5,17,22,2,44.322,0.2059,0.4003,0.1797,-0.8746
-0.085,0.017,-0.102,-14,80,-69.7,0,2018,5,17,22,2,44.357,0.2106,0.4079,0.163,-0.8732
-0.13,0.034,-0.119,-16.2,68.7,-63.7,0,2018,5,17,22,2,44.379,0.215,0.415,0.1473,-0.8716
-0.169,0.025,-0.145,-17.4,55.6,-57,0,2018,5,17,22,2,44.381,0.2194,0.4216,0.134,-0.8695
-0.221,0.006,-0.178,-19.1,42.9,-49.5,0,2018,5,17,22,2,44.419,0.2234,0.4276,0.1234,-0.8671
