time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z,droll,dpitch,dyaw,ax,ay,az,heart
2018,5,11,13,23,23.547,-0.2803,-0.6516,0.6375,0.3003,-0.4,0,0.8,-0.013,0.002,-0.016,0
2018,5,11,13,23,23.566,-0.2803,-0.6518,0.6374,0.3003,-0.6,0.2,0.8,-0.013,0.002,-0.012,0
2018,5,11,13,23,23.586,-0.2802,-0.652,0.6372,0.3003,-0.5,0.2,0.8,-0.014,0.002,-0.015,0
2018,5,11,13,23,23.607,-0.2802,-0.6521,0.637,0.3003,-0.6,0.1,0.8,-0.011,0.002,-0.012,0
2018,5,11,13,23,23.64,-0.2802,-0.6523,0.6369,0.3004,-0.6,0.1,0.8,-0.017,-0.001,-0.012,0
2018,5,11,13,23,23.646,-0.2804,-0.6523,0.6369,0.3002,-0.9,0.2,1.1,-0.016,0.002,-0.015,0
2018,5,11,13,23,23.666,-0.2805,-0.6523,0.6368,0.3002,-1,0.1,1.1,-0.012,0.002,-0.011,0
2018,5,11,13,23,23.701,-0.2805,-0.6525,0.6365,0.3003,-0.9,0.3,1.1,-0.015,0,-0.014,0
2018,5,11,13,23,23.705,-0.2805,-0.6526,0.6364,0.3003,-0.4,0,1.1,-0.012,0.001,-0.014,0
2018,5,11,13,23,23.727,-0.2805,-0.6528,0.6363,0.3003,-0.2,0.3,1,-0.017,0,-0.012,0
2018,5,11,13,23,23.746,-0.2805,-0.6529,0.6362,0.3002,-0.2,0,0.8,-0.018,0,-0.014,0
2018,5,11,13,23,23.766,-0.2805,-0.653,0.6361,0.3001,-0.3,0,0.9,-0.015,-0.001,-0.017,0
2018,5,11,13,23,23.788,-0.2805,-0.6531,0.636,0.3001,-0.5,0.1,0.9,-0.014,0.002,-0.011,0
2018,5,11,13,23,23.807,-0.2806,-0.6532,0.6359,0.3,-0.4,0,0.8,-0.013,0.003,-0.012,0
2018,5,11,13,23,23.827,-0.2806,-0.6533,0.6358,0.3,-0.4,0.1,1,-0.015,0,-0.011,0
2018,5,11,13,23,23.848,-0.2808,-0.6533,0.6359,0.2997,-0.4,0.1,0.8,-0.015,0.001,-0.014,0
2018,5,11,13,23,23.866,-0.2807,-0.6535,0.6357,0.2998,-0.6,0,0.8,-0.013,0.002,-0.014,0
2018,5,11,13,23,23.887,-0.2808,-0.6536,0.6356,0.2997,-0.7,0,0.8,-0.013,0,-0.011,0
2018,5,11,13,23,23.924,-0.2808,-0.6537,0.6355,0.2997,-0.4,0,0.7,-0.014,0.002,-0.012,0
2018,5,11,13,23,23.926,-0.2809,-0.6538,0.6354,0.2996,-0.2,0.2,0.8,-0.012,0.002,-0.013,0
2018,5,11,13,23,23.946,-0.281,-0.6538,0.6354,0.2994,-0.2,0.3,0.8,-0.015,0.001,-0.013,0
2018,5,11,13,23,23.981,-0.2812,-0.6538,0.6355,0.2992,-0.2,0.1,1.1,-0.014,0.002,-0.011,0
2018,5,11,13,23,23.985,-0.2812,-0.6539,0.6353,0.2992,-0.1,0.2,1,-0.017,0.003,-0.013,0
