ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.092,-0.581,0.025,40.5,-25.4,103.9,0,2018,5,11,13,29,17.508,-0.6315,-0.4803,0.4908,-0.3598
-0.152,-0.609,0.014,44.3,-16.7,95.8,0,2018,5,11,13,29,17.526,-0.6356,-0.4893,0.4884,-0.3433
-0.19,-0.624,0.023,49.3,-12.7,84.5,0,2018,5,11,13,29,17.542,-0.638,-0.4983,0.4868,-0.3279
-0.236,-0.666,0.04,55.1,-10.6,72.1,0,2018,5,11,13,29,17.562,-0.6388,-0.5066,0.4865,-0.3136
-0.304,-0.731,0.084,61.1,-2.7,59.2,0,2018,5,11,13,29,17.582,-0.6378,-0.5147,0.4877,-0.3004
-0.324,-0.785,0.148,64.8,16,45.1,0,2018,5,11,13,29,17.6,-0.6344,-0.5232,0.4898,-0.2893
-0.296,-0.806,0.209,64.3,40.1,27.9,0,2018,5,11,13,29,17.638,-0.6279,-0.5327,0.4922,-0.2818
-0.229,-0.811,0.224,60.4,64.9,7.6,0,2018,5,11,13,29,17.657,-0.6185,-0.543,0.4948,-0.2786
-0.166,-0.795,0.229,54.7,92.7,-13.2,0,2018,5,11,13,29,17.66,-0.6057,-0.554,0.4975,-0.2803
-0.132,-0.755,0.292,44.6,121.8,-35.7,0,2018,5,11,13,29,17.697,-0.5895,-0.5656,0.4997,-0.2874
-0.084,-0.645,0.34,27.5,135,-60,0,2018,5,11,13,29,17.718,-0.5709,-0.5763,0.5016,-0.3003
-0.001,-0.525,0.344,7.5,125.1,-84.3,0,2018,5,11,13,29,17.722,-0.5522,-0.5836,0.5035,-0.3174
0.059,-0.443,0.337,-10.9,98.8,-107.1,0,2018,5,11,13,29,17.743,-0.5353,-0.5857,0.5068,-0.3367
-0.004,-0.378,0.349,-27.7,70.6,-128.9,1023,2018,5,11,13,29,17.763,-0.5213,-0.5817,0.512,-0.3571
-0.068,-0.377,0.343,-44.8,46.8,-145.8,1023,2018,5,11,13,29,17.803,-0.5099,-0.5721,0.5191,-0.3783
-0.14,-0.359,0.319,-59.4,37.8,-156.7,1023,2018,5,11,13,29,17.822,-0.5002,-0.5583,0.5267,-0.4006
-0.153,-0.348,0.26,-70,50,-158,1023,2018,5,11,13,29,17.826,-0.4908,-0.5425,0.5335,-0.4243
-0.229,-0.242,0.172,-74.1,94.8,-146,1023,2018,5,11,13,29,17.841,-0.4794,-0.5288,0.536,-0.4506
-0.292,-0.037,0.201,-87.7,112.8,-137.9,1023,2018,5,11,13,29,17.86,-0.4652,-0.5182,0.5331,-0.4803
-0.291,-0.019,0.183,-108.1,48.9,-131.6,1023,2018,5,11,13,29,17.88,-0.4562,-0.5029,0.5289,-0.5089
-0.216,0.035,0.095,-116.5,-13.2,-124.7,1023,2018,5,11,13,29,17.919,-0.4548,-0.4817,0.5279,-0.5313
-0.144,-0.06,-0.027,-117.1,-79.6,-126.5,1023,2018,5,11,13,29,17.94,-0.4587,-0.4543,0.5334,-0.5464
-0.152,-0.112,-0.053,-111.6,-73,-124.2,1023,2018,5,11,13,29,17.944,-0.4631,-0.425,0.5414,-0.5581
-0.169,-0.149,-0.071,-111.1,-54.5,-126.9,1023,2018,5,11,13,29,17.981,-0.4657,-0.3966,0.5479,-0.5705
-0.121,-0.104,-0.17,-107.7,-21.6,-126.8,1023,2018,5,11,13,29,18.003,-0.4657,-0.3704,0.5515,-0.5844
-0.08,-0.021,-0.23,-100.9,9.1,-125,0,2018,5,11,13,29,18.007,-0.4628,-0.3474,0.5516,-0.6006
-0.049,0.049,-0.255,-94.9,21.8,-123.2,0,2018,5,11,13,29,18.026,-0.4578,-0.3265,0.5494,-0.6179
-0.031,0.067,-0.274,-88.9,25.9,-118.9,0,2018,5,11,13,29,18.046,-0.4516,-0.3072,0.5465,-0.6347
-0.016,0.064,-0.298,-83.1,28,-115.4,0,2018,5,11,13,29,18.065,-0.4451,-0.2887,0.5429,-0.6508
0.022,0.1,-0.333,-76.6,27.8,-109.7,0,2018,5,11,13,29,18.083,-0.4383,-0.2711,0.5391,-0.666
0.065,0.106,-0.363,-69.8,27.8,-101.4,0,2018,5,11,13,29,18.102,-0.4312,-0.255,0.5355,-0.6798
0.126,0.138,-0.395,-63.8,28.3,-91.2,0,2018,5,11,13,29,18.124,-0.4247,-0.2401,0.5313,-0.6925
0.181,0.167,-0.421,-59.5,25.8,-78.3,0,2018,5,11,13,29,18.143,-0.4189,-0.2268,0.5269,-0.7037
0.223,0.187,-0.444,-55.2,22.7,-65.9,0,2018,5,11,13,29,18.167,-0.4142,-0.215,0.5227,-0.7133
0.27,0.235,-0.458,-51.9,18.9,-54.9,0,2018,5,11,13,29,18.185,-0.4106,-0.2046,0.5187,-0.7213
0.309,0.277,-0.477,-48.6,11,-45.2,0,2018,5,11,13,29,18.206,-0.4082,-0.1949,0.5151,-0.7279
0.342,0.306,-0.494,-44.6,1.8,-35.7,0,2018,5,11,13,29,18.227,-0.407,-0.1858,0.5123,-0.7329
0.379,0.328,-0.505,-40.2,-4.8,-25.3,0,2018,5,11,13,29,18.248,-0.4069,-0.1777,0.5106,-0.7362
0.435,0.372,-0.511,-35.6,-10.4,-15.9,0,2018,5,11,13,29,18.266,-0.4077,-0.1706,0.5098,-0.738
0.509,0.417,-0.513,-29.3,-15.8,-7.7,0,2018,5,11,13,29,18.287,-0.4092,-0.1647,0.5099,-0.7384
0.553,0.44,-0.519,-20.6,-20.2,0.3,0,2018,5,11,13,29,18.307,-0.4114,-0.16,0.5108,-0.7376
0.564,0.417,-0.518,-8.1,-23.8,9.9,0,2018,5,11,13,29,18.325,-0.4137,-0.1573,0.513,-0.7354
0.559,0.354,-0.396,8.4,-17.7,17.2,0,2018,5,11,13,29,18.345,-0.416,-0.1571,0.5155,-0.7323
0.493,0.287,-0.25,21.1,-3.2,25,0,2018,5,11,13,29,18.365,-0.4174,-0.1603,0.5175,-0.7294
0.26,0.164,-0.23,37.4,1.5,51.3,0,2018,5,11,13,29,18.385,-0.4194,-0.167,0.5183,-0.7262
-0.067,0.015,-0.205,60.2,-0.4,106.2,0,2018,5,11,13,29,18.405,-0.4247,-0.18,0.5193,-0.7192
-0.429,-0.228,-0.098,84.7,-11.2,182.2,0,2018,5,11,13,29,18.446,-0.4365,-0.2016,0.5205,-0.7055
-0.755,-0.267,0.006,111.4,-33,268,0,2018,5,11,13,29,18.465,-0.4559,-0.2323,0.5219,-0.6824
-1.132,-0.405,0.12,140.6,-66,336.9,0,2018,5,11,13,29,18.469,-0.4822,-0.2709,0.5247,-0.647
-1.371,-0.507,0.37,160.3,-62.6,376.7,0,2018,5,11,13,29,18.49,-0.511,-0.3144,0.5266,-0.6021
-1.392,-0.674,0.561,167.2,-18,386.1,1023,2018,5,11,13,29,18.51,-0.5373,-0.3612,0.5229,-0.5542
-1.196,-0.959,0.623,165.2,96,365.2,1023,2018,5,11,13,29,18.524,-0.5548,-0.4141,0.5101,-0.5103
-0.767,-0.914,0.691,164.1,229.5,313.2,1023,2018,5,11,13,29,18.566,-0.5567,-0.4738,0.4856,-0.4792
-0.494,-0.76,0.672,154.6,317.7,243.4,1023,2018,5,11,13,29,18.571,-0.5412,-0.5369,0.4535,-0.4615
-0.213,-0.499,0.588,127.7,305,174.3,1023,2018,5,11,13,29,18.585,-0.5151,-0.5934,0.4209,-0.453
0.014,-0.372,0.523,93.4,226.8,123.4,1023,2018,5,11,13,29,18.625,-0.4904,-0.6356,0.3938,-0.4476
0.105,-0.362,0.455,67,147.3,86.9,1023,2018,5,11,13,29,18.643,-0.4725,-0.6639,0.3745,-0.4423
0.156,-0.461,0.442,51.1,106.1,58.6,1023,2018,5,11,13,29,18.648,-0.46,-0.6828,0.3613,-0.4375
0.169,-0.562,0.461,42.1,91.7,31.7,1023,2018,5,11,13,29,18.669,-0.449,-0.6966,0.3522,-0.4347
