heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
1023,-0.4722,-0.1662,-0.4195,0.7571,-11.5,4.6,-4.4,-0.024,-0.063,-0.041,2018,4,24,23,10,7.793
1023,-0.4713,-0.1665,-0.4224,0.756,0.1,6.3,-4.2,-0.021,0.009,-0.059,2018,4,24,23,10,7.815
1023,-0.4702,-0.1681,-0.4236,0.7557,11.7,7.6,-3.3,-0.021,0.048,-0.052,2018,4,24,23,10,7.82
1023,-0.4691,-0.1709,-0.4233,0.7559,18.1,7.6,-2.7,-0.034,0.066,-0.047,2018,4,24,23,10,7.856
1023,-0.4678,-0.1735,-0.4226,0.7565,16.8,5.3,-3.2,-0.037,0.067,-0.029,2018,4,24,23,10,7.879
1023,-0.4669,-0.1752,-0.422,0.757,10.5,1.7,-3.7,-0.034,0.044,-0.005,2018,4,24,23,10,7.883
1023,-0.4665,-0.1759,-0.4219,0.7571,4,-1.9,-4.5,-0.022,0.013,0.011,2018,4,24,23,10,7.899
1023,-0.4664,-0.1752,-0.4221,0.7572,-3.5,-5.3,-4.7,-0.014,0.026,0.031,2018,4,24,23,10,7.923
1023,-0.4667,-0.1733,-0.4232,0.7569,-9.5,-7.4,-4.3,-0.014,0.015,0.031,2018,4,24,23,10,7.941
1023,-0.4674,-0.1712,-0.4243,0.7563,-10.1,-7.7,-1.9,-0.006,0.01,0.031,2018,4,24,23,10,7.965
1023,-0.4683,-0.1693,-0.4253,0.7556,-6.5,-6.7,0.2,-0.01,0.009,0.036,2018,4,24,23,10,7.982
1023,-0.4693,-0.1683,-0.4259,0.7549,-2.6,-5.1,1.4,-0.009,0.02,0.025,2018,4,24,23,10,8.006
1023,-0.4702,-0.1679,-0.426,0.7544,-0.9,-3,1.6,-0.011,0.037,0.015,2018,4,24,23,10,8.021
0,-0.471,-0.1679,-0.4264,0.7536,-1,-1.3,1.3,-0.009,0.047,0.002,2018,4,24,23,10,8.039
0,-0.4713,-0.1675,-0.4271,0.7531,-2.3,-0.1,1.5,-0.012,0.037,0.002,2018,4,24,23,10,8.062
0,-0.4719,-0.1676,-0.428,0.7522,-2.7,0.1,1,-0.005,0.015,0.006,2018,4,24,23,10,8.08
0,-0.4722,-0.1674,-0.429,0.7515,-3.1,-0.1,-0.4,-0.001,-0.007,0.006,2018,4,24,23,10,8.103
0,-0.4724,-0.167,-0.4299,0.751,-3.2,-1.1,-1.7,0.017,-0.01,0.004,2018,4,24,23,10,8.122
0,-0.4724,-0.166,-0.4309,0.7506,-2.6,-1.4,-2.6,0.027,-0.002,-0.005,2018,4,24,23,10,8.145
0,-0.4724,-0.1653,-0.4318,0.7503,-2.4,-1.3,-2.4,0.03,0.002,-0.007,2018,4,24,23,10,8.163
0,-0.4724,-0.1646,-0.4326,0.75,-1.7,-0.4,-2.6,0.025,-0.01,-0.006,2018,4,24,23,10,8.186
0,-0.4721,-0.164,-0.4335,0.7498,-0.1,0.4,-3.2,0.019,-0.012,-0.011,2018,4,24,23,10,8.204
0,-0.4716,-0.1638,-0.4341,0.7498,1.7,1.9,-4,0.008,-0.01,-0.006,2018,4,24,23,10,8.227
0,-0.4711,-0.1641,-0.4346,0.7497,3.5,3.3,-5.1,0.008,0,0.004,2018,4,24,23,10,8.243
0,-0.4701,-0.1644,-0.435,0.7501,5.1,4.9,-6.3,0.01,0.002,0.02,2018,4,24,23,10,8.261
0,-0.4687,-0.1647,-0.4352,0.7507,4.6,6.4,-8.6,0.013,0.007,0.01,2018,4,24,23,10,8.284
0,-0.4671,-0.1652,-0.4358,0.7513,2.5,7.9,-11.5,0.011,0.01,0.006,2018,4,24,23,10,8.302
0,-0.4649,-0.1652,-0.437,0.752,1.3,9,-14.5,0.012,0.014,0.014,2018,4,24,23,10,8.325
0,-0.4624,-0.1652,-0.4382,0.7528,1.8,9.6,-16.2,0.018,0.037,0.002,2018,4,24,23,10,8.344
0,-0.4598,-0.1653,-0.4393,0.7537,0.4,10.1,-17.1,0.018,0.064,-0.003,2018,4,24,23,10,8.381
0,-0.4573,-0.1654,-0.4407,0.7544,-3.9,10.2,-16.9,0.023,0.089,-0.01,2018,4,24,23,10,8.404
1023,-0.4552,-0.1649,-0.4428,0.7546,-12.6,10.1,-15.6,0.015,0.109,-0.022,2018,4,24,23,10,8.408
1023,-0.4537,-0.1641,-0.4458,0.7538,-21,9.8,-13.1,0.02,0.083,-0.009,2018,4,24,23,10,8.442
1023,-0.4526,-0.1624,-0.4498,0.7525,-26.9,9,-11.4,0.023,0.056,0.018,2018,4,24,23,10,8.465
1023,-0.4516,-0.16,-0.4543,0.7509,-31.6,7.8,-11,0.032,0.025,0.023,2018,4,24,23,10,8.469
1023,-0.4509,-0.1569,-0.4596,0.7487,-39.9,6.4,-10.5,0.048,0.094,0.001,2018,4,24,23,10,8.484
1023,-0.4508,-0.1529,-0.4661,0.7457,-50.7,6.2,-8.1,0.065,0.067,-0.001,2018,4,24,23,10,8.501
