ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.321,0.347,0.495,76.4,-75.3,14.9,0,2018,4,13,16,33,43.367,0.2688,0.4314,-0.0452,-0.8599
0.316,0.34,0.654,43.6,-61.3,20.7,0,2018,4,13,16,33,43.391,0.2705,0.4194,-0.0364,-0.8657
0.282,0.215,0.562,7,-40.7,20.1,1023,2018,4,13,16,33,43.408,0.2711,0.413,-0.0282,-0.8689
0.244,0.165,0.548,-24,-14.5,16.2,1023,2018,4,13,16,33,43.445,0.2705,0.4122,-0.023,-0.8696
0.184,0.132,0.433,-52.5,-25.4,16.7,1023,2018,4,13,16,33,43.467,0.2698,0.4162,-0.0176,-0.868
0.094,0.065,0.28,-72,-67.1,15.9,1023,2018,4,13,16,33,43.471,0.2709,0.4227,-0.0069,-0.8647
-0.008,-0.031,0.065,-82,-127,9.4,1023,2018,4,13,16,33,43.506,0.2765,0.4289,0.0125,-0.8598
-0.101,-0.351,-0.28,-88,-109.6,2.5,1023,2018,4,13,16,33,43.529,0.2851,0.4351,0.0371,-0.8531
-0.183,-0.423,-0.473,-68.2,-30.9,-9.8,0,2018,4,13,16,33,43.535,0.2902,0.4434,0.0509,-0.8464
-0.296,-0.179,-0.464,-39.9,-1.5,-25.8,0,2018,4,13,16,33,43.549,0.2931,0.451,0.0534,-0.8413
-0.386,-0.142,-0.402,-17,-37.3,-34.8,0,2018,4,13,16,33,43.572,0.2989,0.4544,0.0551,-0.8373
-0.415,-0.164,-0.398,8,-54.1,-36.5,0,2018,4,13,16,33,43.606,0.308,0.4527,0.0596,-0.8345
-0.41,-0.047,-0.337,34,-47.8,-33.6,0,2018,4,13,16,33,43.606,0.3175,0.4475,0.0633,-0.8335
-0.293,0.172,-0.184,56.8,-35.7,-28.6,0,2018,4,13,16,33,43.63,0.3259,0.4388,0.0641,-0.8349
-0.087,0.387,0.102,65.3,-19.6,-15.4,0,2018,4,13,16,33,43.664,0.332,0.4283,0.0629,-0.838
0.219,0.605,0.445,51.7,0.8,10.1,0,2018,4,13,16,33,43.688,0.3336,0.419,0.0603,-0.8422
0.523,0.623,0.566,24.1,7.8,36,0,2018,4,13,16,33,43.693,0.33,0.4134,0.059,-0.8465
0.622,0.385,0.554,-7,12.2,44.1,0,2018,4,13,16,33,43.709,0.3232,0.4125,0.0601,-0.8495
0.631,0.131,0.425,-34.2,13.3,34.6,0,2018,4,13,16,33,43.732,0.3162,0.4164,0.0615,-0.8501
0.598,-0.266,0.165,-59.4,-0.2,13.5,0,2018,4,13,16,33,43.763,0.3114,0.4238,0.0651,-0.8479
