ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.066,-0.077,-0.028,-5.8,-0.4,0.3,0,2018,4,13,16,46,51.171,-0.3461,-0.1024,0.2791,-0.8898
0.082,-0.073,-0.061,-7.8,-11.6,-0.1,0,2018,4,13,16,46,51.194,-0.3465,-0.1005,0.2799,-0.8896
0.07,-0.062,-0.07,-9.2,-26.2,-1.2,0,2018,4,13,16,46,51.207,-0.3468,-0.0973,0.283,-0.8888
0.08,-0.044,-0.062,-10.5,-35.7,-1.5,0,2018,4,13,16,46,51.224,-0.3473,-0.0929,0.2879,-0.8875
0.089,-0.069,-0.069,-10,-37.3,-2,0,2018,4,13,16,46,51.245,-0.348,-0.0884,0.2934,-0.8859
0.073,-0.036,-0.078,-6,-35,-2.4,0,2018,4,13,16,46,51.282,-0.3484,-0.0844,0.2988,-0.8843
0.038,-0.031,-0.081,-3,-34.7,-2.3,0,2018,4,13,16,46,51.303,-0.3485,-0.0809,0.3047,-0.8826
0.016,-0.01,-0.008,-3,-39.2,-2.3,0,2018,4,13,16,46,51.307,-0.3487,-0.078,0.3103,-0.8808
0.017,0.033,-0.009,-2.9,-38.2,-0.9,0,2018,4,13,16,46,51.321,-0.3491,-0.0749,0.3161,-0.8789
0.006,0.02,-0.044,-2.6,-40.5,0.5,0,2018,4,13,16,46,51.344,-0.3498,-0.0722,0.3218,-0.8767
-0.023,-0.039,-0.022,-1.5,-40.5,-0.9,0,2018,4,13,16,46,51.378,-0.3504,-0.0695,0.3283,-0.8743
-0.064,-0.064,0.033,-3.9,-41.6,-4.7,0,2018,4,13,16,46,51.402,-0.3506,-0.0667,0.3348,-0.872
-0.024,-0.066,0.009,-7.5,-33.1,-7.9,0,2018,4,13,16,46,51.406,-0.3503,-0.0631,0.3407,-0.8701
-0.014,-0.016,-0.047,-8.3,-21.8,-10.3,0,2018,4,13,16,46,51.442,-0.3495,-0.0596,0.345,-0.869
-0.019,-0.023,-0.027,-9.1,-12.2,-11.4,0,2018,4,13,16,46,51.466,-0.3484,-0.0567,0.3476,-0.8686
-0.069,0.02,-0.004,-12.6,-16.9,-11.7,0,2018,4,13,16,46,51.471,-0.3476,-0.0542,0.3492,-0.8684
-0.018,0.198,-0.169,-12.7,2.5,-8.4,0,2018,4,13,16,46,51.504,-0.347,-0.0509,0.3502,-0.8685
-0.008,-0.152,-0.061,-11.6,12.2,-23.1,0,2018,4,13,16,46,51.526,-0.3452,-0.0486,0.3493,-0.8696
-0.055,-0.054,-0.003,0.2,20.9,-33.1,0,2018,4,13,16,46,51.53,-0.341,-0.0475,0.3465,-0.8725
-0.12,0.058,0.041,7.9,8,-41.5,0,2018,4,13,16,46,51.545,-0.3349,-0.0473,0.3451,-0.8754
-0.197,-0.051,0.13,6.3,9.4,-52.3,0,2018,4,13,16,46,51.58,-0.3272,-0.0459,0.3451,-0.8784
-0.241,0.052,0.184,0,11.4,-61.7,0,2018,4,13,16,46,51.604,-0.318,-0.0437,0.3438,-0.8824
-0.237,0.147,0.17,-7.9,3.3,-62.8,0,2018,4,13,16,46,51.609,-0.3085,-0.0398,0.3428,-0.8863
-0.258,0.105,0.129,-15.6,-6.6,-62.2,0,2018,4,13,16,46,51.642,-0.2996,-0.0342,0.3428,-0.8896
-0.25,0.144,0.053,-18.8,-31.3,-64.7,0,2018,4,13,16,46,51.664,-0.2908,-0.0267,0.3452,-0.8919
-0.185,-0.059,-0.026,-22.4,-12.7,-64.7,0,2018,4,13,16,46,51.669,-0.2821,-0.018,0.3486,-0.8935
-0.156,-0.039,0.009,-18.9,21.4,-65.5,0,2018,4,13,16,46,51.704,-0.2732,-0.0114,0.3464,-0.8973
