ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.19,0.561,-0.283,-28.3,62.9,-31.9,0,2018,4,26,14,52,12.703,0.4056,-0.5015,0.107,-0.7566
-0.225,0.603,-0.263,-28,82.6,-5.7,0,2018,4,26,14,52,12.714,0.4134,-0.4923,0.1006,-0.7593
-0.273,0.642,-0.244,-29.4,88.6,20.1,0,2018,4,26,14,52,12.723,0.4191,-0.4823,0.0903,-0.7638
-0.33,0.684,-0.213,-32.3,79.1,45.4,0,2018,4,26,14,52,12.743,0.4207,-0.4726,0.0783,-0.7703
-0.386,0.726,-0.19,-36.2,52.6,69.5,1023,2018,4,26,14,52,12.762,0.4178,-0.4638,0.067,-0.7782
-0.504,0.774,-0.223,-42.4,6.7,94.1,1023,2018,4,26,14,52,12.784,0.4082,-0.4572,0.0589,-0.7878
-0.617,0.793,-0.27,-51.6,-56.1,121.1,1023,2018,4,26,14,52,12.803,0.3904,-0.4536,0.057,-0.799
-0.712,0.771,-0.322,-60.7,-127.7,149.1,1023,2018,4,26,14,52,12.822,0.3628,-0.4534,0.0629,-0.8116
-0.771,0.671,-0.395,-69.5,-191.4,178.1,1023,2018,4,26,14,52,12.861,0.3254,-0.4558,0.0768,-0.8248
-0.78,0.575,-0.462,-75.4,-244.9,203.1,1023,2018,4,26,14,52,12.884,0.2784,-0.4598,0.0974,-0.8375
-0.696,0.472,-0.478,-76.2,-275.9,223.1,1023,2018,4,26,14,52,12.888,0.2243,-0.4642,0.1223,-0.848
-0.67,0.36,-0.445,-73.1,-287.3,235,1023,2018,4,26,14,52,12.907,0.1657,-0.4682,0.1486,-0.855
-0.618,0.254,-0.373,-69.2,-270.7,241.6,1023,2018,4,26,14,52,12.926,0.1053,-0.4709,0.1729,-0.8585
-0.604,0.17,-0.355,-60.7,-234.3,244.6,1023,2018,4,26,14,52,12.964,0.046,-0.4724,0.1917,-0.859
-0.587,0.095,-0.332,-59.7,-189.5,238,1023,2018,4,26,14,52,12.982,-0.0096,-0.4726,0.2033,-0.8573
-0.534,-0.031,-0.311,-69.3,-150.7,225.1,0,2018,4,26,14,52,12.987,-0.0604,-0.4703,0.2091,-0.8551
-0.474,-0.122,-0.275,-76.9,-122.4,217.2,0,2018,4,26,14,52,13.005,-0.107,-0.4655,0.2101,-0.853
-0.429,-0.099,-0.325,-83,-116.7,208.3,0,2018,4,26,14,52,13.025,-0.151,-0.4587,0.2085,-0.8504
-0.409,-0.066,-0.435,-86.6,-139.5,195.1,0,2018,4,26,14,52,13.045,-0.194,-0.4496,0.2086,-0.8465
-0.328,-0.077,-0.521,-84,-179.2,181,0,2018,4,26,14,52,13.083,-0.2371,-0.4378,0.2144,-0.8402
-0.247,-0.121,-0.565,-75.7,-215.6,166,0,2018,4,26,14,52,13.103,-0.2804,-0.4238,0.2268,-0.8308
-0.154,-0.139,-0.611,-63.1,-237.9,150.2,0,2018,4,26,14,52,13.107,-0.3226,-0.4083,0.2446,-0.8181
-0.062,-0.273,-0.579,-52,-241.8,125.6,0,2018,4,26,14,52,13.128,-0.3615,-0.3919,0.2657,-0.8031
-0.031,-0.501,-0.497,-46.3,-222.1,103.1,0,2018,4,26,14,52,13.148,-0.3952,-0.3751,0.2874,-0.7876
