ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.03,0.037,0.022,-9.8,100.2,-17.4,1023,2018,4,26,14,45,34.988,-0.0123,0.3627,0.3238,-0.8737
0.04,0.198,0.037,-4.3,110.1,-21,1023,2018,4,26,14,45,35.007,-0.0166,0.3648,0.3048,-0.8795
0.016,0.312,-0.011,1.6,67.9,-14.3,0,2018,4,26,14,45,35.012,-0.0196,0.3657,0.2895,-0.8843
0,0.331,-0.001,8.8,20.4,-0.1,0,2018,4,26,14,45,35.03,-0.0209,0.3651,0.2823,-0.8868
-0.039,0.261,-0.026,20,-24.9,14.4,0,2018,4,26,14,45,35.051,-0.0213,0.3625,0.2829,-0.8877
-0.1,0.001,-0.056,25.1,-63.8,20.1,0,2018,4,26,14,45,35.071,-0.0201,0.358,0.2918,-0.8867
-0.115,-0.218,-0.028,23.3,-54.6,8.4,0,2018,4,26,14,45,35.088,-0.0174,0.3534,0.3027,-0.8849
-0.033,-0.249,0.026,22.1,-14.8,-9.1,0,2018,4,26,14,45,35.107,-0.0139,0.3502,0.308,-0.8844
0.004,-0.092,-0.001,24.2,-9.8,-17.4,0,2018,4,26,14,45,35.128,-0.0102,0.3472,0.3089,-0.8853
0.026,-0.005,-0.036,14.5,-11.9,-11.5,0,2018,4,26,14,45,35.149,-0.0064,0.3451,0.3103,-0.8857
0.036,0.164,0.072,1.7,-19.5,-4.6,0,2018,4,26,14,45,35.17,-0.0039,0.3445,0.3118,-0.8854
0.017,0.113,0.142,-8.2,-17.7,1.8,0,2018,4,26,14,45,35.208,-0.0027,0.3453,0.3144,-0.8842
0.003,0.124,0.128,-14.5,-6.3,5.8,0,2018,4,26,14,45,35.229,-0.0034,0.347,0.316,-0.8829
-0.004,0.05,0.054,-19,-2.6,13.3,0,2018,4,26,14,45,35.234,-0.0055,0.349,0.3167,-0.8819
-0.004,0.112,0.032,-27.1,-3.4,21.2,0,2018,4,26,14,45,35.253,-0.0093,0.3514,0.3175,-0.8806
-0.018,0.035,0.026,-30.8,-21.8,20,0,2018,4,26,14,45,35.272,-0.0133,0.3549,0.32,-0.8783
-0.019,-0.143,-0.034,-24.3,-20.4,14.9,0,2018,4,26,14,45,35.292,-0.0166,0.3582,0.3247,-0.8751
-0.003,-0.164,-0.109,-9.7,-6.5,5.1,0,2018,4,26,14,45,35.308,-0.0184,0.3603,0.3268,-0.8734
-0.023,-0.062,-0.119,6,-1.2,-6.3,1023,2018,4,26,14,45,35.348,-0.0183,0.3607,0.3265,-0.8734
-0.018,-0.061,-0.117,17.9,-19.2,-17.6,1023,2018,4,26,14,45,35.367,-0.0152,0.3599,0.3278,-0.8733
-0.005,-0.041,-0.094,26.6,-19.7,-19.4,1023,2018,4,26,14,45,35.372,-0.0099,0.3579,0.3303,-0.8733
-0.006,-0.031,-0.034,28.4,-0.1,-16.2,1023,2018,4,26,14,45,35.392,-0.0051,0.3549,0.3316,-0.874
-0.018,0.09,0.063,22.8,17.5,-11.4,1023,2018,4,26,14,45,35.429,-0.0023,0.3515,0.329,-0.8764
-0.057,0.141,0.134,11.6,14.1,-6.6,1023,2018,4,26,14,45,35.448,-0.0011,0.3494,0.3252,-0.8786
-0.076,0.147,0.164,-2.9,-12,-8,1023,2018,4,26,14,45,35.453,0,0.3493,0.3242,-0.8791
-0.031,0.048,0.136,-18.2,-27,-3,1023,2018,4,26,14,45,35.474,0.0016,0.3514,0.3272,-0.8771
0.005,0.055,0.085,-22.6,-31.8,2.9,1023,2018,4,26,14,45,35.494,0.0021,0.3546,0.3312,-0.8743
0.024,0.014,0.03,-20.8,-23.3,7.7,1023,2018,4,26,14,45,35.513,0.0018,0.3576,0.3352,-0.8715
0.025,-0.002,-0.044,-17.9,-3.3,12.5,1023,2018,4,26,14,45,35.553,-0.0001,0.3602,0.3379,-0.8695
-0.004,-0.006,-0.063,-16.1,11.7,11.8,0,2018,4,26,14,45,35.573,-0.0036,0.3624,0.338,-0.8685
-0.001,-0.071,-0.036,-5.1,9,6.9,0,2018,4,26,14,45,35.577,-0.0067,0.3638,0.3376,-0.868
-0.007,-0.116,-0.082,11.2,12,-0.2,0,2018,4,26,14,45,35.591,-0.0079,0.363,0.3366,-0.8687
-0.022,-0.04,-0.067,14.1,20,-6.6,0,2018,4,26,14,45,35.626,-0.0078,0.3614,0.3344,-0.8703
-0.008,0.057,0.012,12.5,25.1,-4.1,0,2018,4,26,14,45,35.647,-0.0077,0.3597,0.3306,-0.8724
-0.038,0.142,0.088,8,19,-4,0,2018,4,26,14,45,35.651,-0.0081,0.3583,0.3261,-0.8747
-0.053,0.118,0.135,0,-3.1,-4.4,0,2018,4,26,14,45,35.693,-0.0078,0.3581,0.3241,-0.8755
-0.016,0.024,0.105,-10.2,-25.1,-2.6,0,2018,4,26,14,45,35.712,-0.0066,0.359,0.3257,-0.8746
0.055,0.019,0.072,-14,-29.2,4.3,0,2018,4,26,14,45,35.716,-0.0056,0.3606,0.3297,-0.8724
0.078,0.017,0.022,-12.6,-19.6,9.9,0,2018,4,26,14,45,35.736,-0.0059,0.3626,0.3332,-0.8702
0.031,-0.014,-0.034,-12.2,-11.6,9.1,0,2018,4,26,14,45,35.755,-0.0072,0.3643,0.3359,-0.8685
0.012,-0.064,-0.061,-11.5,-3,2.5,0,2018,4,26,14,45,35.793,-0.0086,0.3662,0.3377,-0.8669
0.018,-0.074,-0.07,-5.1,9.5,-4.3,0,2018,4,26,14,45,35.797,-0.0096,0.3679,0.3378,-0.8662
0.018,-0.071,-0.092,7.3,8.6,-10.1,0,2018,4,26,14,45,35.814,-0.0093,0.3687,0.3366,-0.8663
0.017,-0.043,-0.092,21.7,9.5,-13.3,0,2018,4,26,14,45,35.831,-0.0075,0.3678,0.335,-0.8673
-0.023,0.024,-0.096,30.5,26.5,-12.1,0,2018,4,26,14,45,35.87,-0.0054,0.3648,0.3321,-0.8697
-0.064,0.078,0.009,26.9,33.9,-11.7,0,2018,4,26,14,45,35.889,-0.0041,0.3611,0.3266,-0.8734
-0.052,0.13,0.121,19.7,19,-10.4,1023,2018,4,26,14,45,35.893,-0.003,0.358,0.321,-0.8767
-0.033,0.076,0.098,10.1,-4.5,-5,1023,2018,4,26,14,45,35.932,-0.0014,0.3562,0.3193,-0.8781
-0.01,0.046,0.129,-1.6,-17.3,-2.9,1023,2018,4,26,14,45,35.951,0,0.3559,0.3206,-0.8777
0.008,0.04,0.135,-10.1,-10.7,1.2,1023,2018,4,26,14,45,35.955,0.0007,0.3564,0.322,-0.877
0.019,0.025,0.078,-13.4,-4.4,4.5,1023,2018,4,26,14,45,35.99,0,0.3578,0.3224,-0.8763
0.004,0.016,0.014,-12.6,-3.1,8.2,1023,2018,4,26,14,45,36.013,-0.0017,0.3595,0.3227,-0.8755
-0.018,-0.024,-0.04,-10.2,-2.6,6.7,1023,2018,4,26,14,45,36.017,-0.0034,0.3609,0.3238,-0.8745
-0.025,-0.018,-0.012,-5,1.9,3,1023,2018,4,26,14,45,36.053,-0.005,0.3619,0.3245,-0.8738
