ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.13,-0.806,-0.03,43.8,-347.9,-16.2,0,2018,5,17,21,3,35.266,0.4913,-0.3207,-0.3733,0.7185
-0.034,-0.594,-0.116,41.2,-352.4,-49,1023,2018,5,17,21,3,35.289,0.4636,-0.3476,-0.418,0.6995
0.098,-0.477,-0.088,45.2,-341.1,-65.7,1023,2018,5,17,21,3,35.294,0.4314,-0.3741,-0.4594,0.6802
0.087,-0.404,-0.079,51.7,-307,-78.8,1023,2018,5,17,21,3,35.328,0.3965,-0.3986,-0.4964,0.6614
0.015,-0.323,-0.117,58.4,-276.4,-93.5,1023,2018,5,17,21,3,35.35,0.3605,-0.4198,-0.5279,0.6441
0.036,-0.337,-0.119,67.3,-262.4,-103,1023,2018,5,17,21,3,35.354,0.3236,-0.4382,-0.5545,0.629
-0.011,-0.284,-0.078,79.3,-257.5,-116,1023,2018,5,17,21,3,35.39,0.2841,-0.455,-0.579,0.6138
0.017,-0.273,0.012,87.2,-240,-118.9,1023,2018,5,17,21,3,35.411,0.2433,-0.4694,-0.6,0.6002
0,-0.204,-0.015,93,-203.1,-123.5,1023,2018,5,17,21,3,35.414,0.2032,-0.4812,-0.6167,0.5888
0.001,-0.236,-0.101,100.4,-167.6,-124.1,1023,2018,5,17,21,3,35.432,0.1651,-0.4903,-0.6283,0.5809
-0.011,-0.201,-0.109,110.7,-143.5,-130.1,0,2018,5,17,21,3,35.453,0.1279,-0.4974,-0.6364,0.5754
-0.001,-0.063,-0.028,116.9,-133.4,-129.4,0,2018,5,17,21,3,35.491,0.0907,-0.5028,-0.6414,0.5722
-0.016,-0.033,-0.005,121.8,-121.4,-126.6,0,2018,5,17,21,3,35.513,0.0536,-0.5067,-0.6448,0.5697
0.007,-0.037,-0.042,126.2,-94.1,-120.9,0,2018,5,17,21,3,35.516,0.0179,-0.509,-0.6453,0.5692
-0.048,-0.011,-0.101,132.1,-67,-117.7,0,2018,5,17,21,3,35.552,-0.0151,-0.5096,-0.6432,0.5712
-0.062,0.118,0.012,134.8,-38.9,-110.3,0,2018,5,17,21,3,35.573,-0.046,-0.5089,-0.6379,0.576
-0.123,0.112,0.088,130.8,-27.3,-103.5,0,2018,5,17,21,3,35.575,-0.0743,-0.507,-0.6301,0.5832
-0.144,0.162,0.076,125.6,-33,-95.4,0,2018,5,17,21,3,35.613,-0.101,-0.5042,-0.6221,0.5903
-0.118,0.203,0.058,122.4,-43.9,-85.7,0,2018,5,17,21,3,35.635,-0.1279,-0.5008,-0.6156,0.5948
-0.12,0.174,0.009,118.3,-46.5,-75.1,0,2018,5,17,21,3,35.637,-0.1536,-0.4963,-0.6104,0.5978
-0.16,0.137,0.029,111.9,-35.5,-65.4,0,2018,5,17,21,3,35.654,-0.1769,-0.4907,-0.6053,0.6011
-0.2,0.158,0.083,104.5,-22.2,-57.7,0,2018,5,17,21,3,35.675,-0.1973,-0.485,-0.5995,0.6052
-0.216,0.144,0.105,93.5,-15.1,-50.3,0,2018,5,17,21,3,35.694,-0.2151,-0.4793,-0.5929,0.6102
-0.174,0.119,0.102,81.7,-11.1,-43,0,2018,5,17,21,3,35.732,-0.2304,-0.4739,-0.5864,0.615
-0.134,0.151,0.087,69.3,-10,-34.5,0,2018,5,17,21,3,35.753,-0.2436,-0.4693,-0.5806,0.619
-0.182,0.143,0.107,57.5,-9.8,-26.2,0,2018,5,17,21,3,35.756,-0.2548,-0.465,-0.5757,0.6222
-0.216,0.11,0.193,42.6,-5.9,-17.7,0,2018,5,17,21,3,35.792,-0.263,-0.4614,-0.5722,0.6248
-0.243,-0.001,0.218,22.6,0.9,-13.1,0,2018,5,17,21,3,35.815,-0.268,-0.4592,-0.5696,0.6267
-0.228,0.029,0.215,1.5,7.3,-9.6,0,2018,5,17,21,3,35.817,-0.27,-0.4593,-0.5673,0.6278
-0.184,0.051,0.138,-15.8,10,-5.6,0,2018,5,17,21,3,35.855,-0.2694,-0.4613,-0.5661,0.6276
-0.14,0.016,0.08,-29.9,25.4,0.8,0,2018,5,17,21,3,35.855,-0.266,-0.4645,-0.565,0.6278
-0.146,-0.051,-0.006,-39,47.9,4.8,0,2018,5,17,21,3,35.877,-0.2583,-0.469,-0.5633,0.6291
-0.093,-0.034,-0.04,-43.2,67.9,9.2,1023,2018,5,17,21,3,35.912,-0.2479,-0.4753,-0.5596,0.6319
-0.016,-0.079,-0.103,-42.3,80.8,9.7,1023,2018,5,17,21,3,35.934,-0.2359,-0.4821,-0.5543,0.636
0.085,-0.072,-0.132,-40.9,102.6,9.2,1023,2018,5,17,21,3,35.936,-0.2224,-0.4899,-0.5472,0.641
0.065,-0.107,-0.147,-36.1,127.3,5.5,1023,2018,5,17,21,3,35.974,-0.2079,-0.4979,-0.5365,0.6487
0.033,-0.139,-0.117,-32.1,165.1,2.2,1023,2018,5,17,21,3,35.995,-0.1917,-0.5066,-0.5211,0.6595
