ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.036,-0.358,0.242,-37.9,32.4,-77.2,0,2018,5,10,15,44,58.345,-0.1567,-0.6341,0.316,-0.688
0.002,-0.387,0.336,-45.5,38.5,-84.5,0,2018,5,10,15,44,58.364,-0.1453,-0.6255,0.3195,-0.6967
0.024,-0.35,0.385,-57.2,46.1,-85.3,0,2018,5,10,15,44,58.368,-0.1332,-0.6154,0.3222,-0.7068
0.093,-0.282,0.388,-66.1,44.3,-82.8,0,2018,5,10,15,44,58.386,-0.1214,-0.6039,0.324,-0.718
0.139,-0.303,0.352,-74.7,44.5,-82.2,0,2018,5,10,15,44,58.423,-0.1107,-0.591,0.3257,-0.7295
0.133,-0.234,0.281,-79.5,47.6,-81.1,0,2018,5,10,15,44,58.428,-0.0999,-0.5773,0.3266,-0.7415
0.125,-0.172,0.197,-84.2,50.9,-79.6,0,2018,5,10,15,44,58.444,-0.0891,-0.5628,0.3269,-0.7538
0.153,-0.065,0.173,-88.3,53.1,-79.1,0,2018,5,10,15,44,58.484,-0.0783,-0.5477,0.3263,-0.7663
0.212,0.027,0.109,-89.7,42.7,-79.1,0,2018,5,10,15,44,58.504,-0.0681,-0.5317,0.3262,-0.7785
0.187,0.059,0.078,-86.8,27.5,-74.6,0,2018,5,10,15,44,58.508,-0.0594,-0.5156,0.3275,-0.7895
0.082,0.06,0.004,-83.4,16.8,-62.4,0,2018,5,10,15,44,58.526,-0.0525,-0.4997,0.3298,-0.7992
0.044,0.107,-0.058,-81,19.1,-49.7,0,2018,5,10,15,44,58.549,-0.0478,-0.4853,0.3312,-0.8077
0.111,0.189,-0.113,-78.6,15.6,-36.7,0,2018,5,10,15,44,58.587,-0.0451,-0.4724,0.3314,-0.8153
0.165,0.206,-0.1,-73.3,7.8,-21.4,0,2018,5,10,15,44,58.607,-0.0445,-0.4608,0.3315,-0.8219
-0.015,0.127,0.037,-72.9,35,2.6,0,2018,5,10,15,44,58.611,-0.0461,-0.4506,0.3288,-0.8286
-0.123,0.232,-0.029,-67.7,100.2,31.1,0,2018,5,10,15,44,58.629,-0.0473,-0.4419,0.3172,-0.8377
-0.156,0.439,-0.396,-64.2,97.2,60.3,0,2018,5,10,15,44,58.651,-0.0494,-0.4357,0.2978,-0.8479
-0.241,0.443,-0.471,-61.3,64.8,85,0,2018,5,10,15,44,58.665,-0.0568,-0.4308,0.2792,-0.8562
-0.355,0.31,-0.392,-51.1,4.5,101,0,2018,5,10,15,44,58.703,-0.0709,-0.4273,0.2671,-0.8608
-0.424,0.459,-0.184,-42.9,-54.6,108.5,0,2018,5,10,15,44,58.723,-0.0908,-0.4249,0.2625,-0.8615
-0.39,0.542,-0.336,-31.8,-145,112.1,0,2018,5,10,15,44,58.727,-0.1165,-0.4226,0.2688,-0.8576
-0.273,0.526,-0.733,-4.5,-226.6,115,0,2018,5,10,15,44,58.767,-0.1482,-0.4208,0.2882,-0.8472
-0.218,0.222,-1.016,27,-206.8,129.8,0,2018,5,10,15,44,58.787,-0.1822,-0.4222,0.3131,-0.8308
-0.86,-3.209,-1.351,25,269.2,97.5,0,2018,5,10,15,44,58.791,-0.1986,-0.4341,0.309,-0.8225
-0.149,1.203,-0.748,75.5,631.7,72.8,0,2018,5,10,15,44,58.808,-0.1636,-0.4632,0.2232,-0.8419
-0.713,1.29,0.443,43,221.7,46.6,0,2018,5,10,15,44,58.828,-0.1352,-0.4857,0.1579,-0.8489
