ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.241,-0.137,-0.198,-50.7,182,-112.6,0,2018,5,10,15,32,9.291,-0.8858,0.1739,-0.4004,0.157
0.437,0.351,0.057,-30.5,116.1,-112.7,0,2018,5,10,15,32,9.312,-0.8901,0.141,-0.4056,0.1518
0.448,0.583,0.288,-11.9,20.3,-105.3,0,2018,5,10,15,32,9.326,-0.893,0.1225,-0.4095,0.1404
0.47,0.433,0.177,-1,-51.9,-87.4,0,2018,5,10,15,32,9.364,-0.8942,0.1192,-0.413,0.1242
0.438,0.379,0.066,9.5,-64.1,-58.9,0,2018,5,10,15,32,9.368,-0.8946,0.1239,-0.4151,0.1088
0.2,0.226,0.015,18.9,-34.4,-34.2,0,2018,5,10,15,32,9.385,-0.8954,0.1286,-0.4146,0.0985
-0.116,-0.073,-0.023,18.6,-2.9,-23.5,0,2018,5,10,15,32,9.405,-0.8968,0.1301,-0.4124,0.0927
-0.262,-0.318,-0.013,11.4,29.4,-28.7,0,2018,5,10,15,32,9.425,-0.8987,0.1262,-0.4102,0.0899
-0.263,-0.404,0.143,-6.9,30.5,-47.7,1023,2018,5,10,15,32,9.46,-0.9001,0.1183,-0.4101,0.0865
-0.301,-0.26,0.177,-25.8,-28.4,-70,1023,2018,5,10,15,32,9.479,-0.8997,0.1135,-0.414,0.0783
-0.387,-0.377,-0.028,-41.6,-84.4,-97.4,1023,2018,5,10,15,32,9.486,-0.8969,0.1169,-0.4218,0.0619
-0.451,-0.341,-0.14,-48.4,-90.3,-124.4,1023,2018,5,10,15,32,9.526,-0.8925,0.1225,-0.4321,0.0387
-0.548,-0.106,-0.195,-49.7,-80.9,-151.3,1023,2018,5,10,15,32,9.545,-0.8876,0.1246,-0.4432,0.0119
-0.568,-0.12,-0.281,-47.3,-84.6,-174.1,1023,2018,5,10,15,32,9.549,-0.8818,0.1247,-0.4542,-0.0187
-0.601,-0.058,-0.307,-40.4,-85.4,-187.1,1023,2018,5,10,15,32,9.569,-0.8753,0.1236,-0.4645,-0.0524
-0.616,0.11,-0.29,-31.2,-81,-190.5,1023,2018,5,10,15,32,9.607,-0.8683,0.1212,-0.4729,-0.0873
-0.611,0.171,-0.35,-21.1,-72.6,-184.6,1023,2018,5,10,15,32,9.612,-0.8611,0.1176,-0.4794,-0.1215
-0.525,0.261,-0.404,-11,-60.8,-170.3,1023,2018,5,10,15,32,9.629,-0.8541,0.1132,-0.4837,-0.1535
-0.405,0.388,-0.256,-1.8,-30.4,-148.9,1023,2018,5,10,15,32,9.652,-0.8481,0.1064,-0.4863,-0.1808
-0.365,0.396,-0.205,0.6,-11.3,-125.5,1023,2018,5,10,15,32,9.667,-0.8431,0.0978,-0.4882,-0.2027
-0.317,0.486,-0.156,-3.4,-26,-99.6,1023,2018,5,10,15,32,9.687,-0.8385,0.0908,-0.4897,-0.2208
-0.183,0.489,-0.199,-4.9,-55.4,-65.7,0,2018,5,10,15,32,9.724,-0.8342,0.0901,-0.49,-0.2363
0.007,0.424,-0.205,2.1,-62.9,-32.4,0,2018,5,10,15,32,9.745,-0.831,0.0951,-0.4884,-0.2485
-0.013,0.385,-0.068,8,-55.2,-7.1,0,2018,5,10,15,32,9.75,-0.8297,0.1017,-0.4853,-0.2561
-0.107,0.221,0.056,5.7,-54.3,9.4,0,2018,5,10,15,32,9.769,-0.8294,0.1095,-0.4817,-0.2607
-0.102,0.109,0.097,-1.3,-58.5,24.1,0,2018,5,10,15,32,9.788,-0.8293,0.1191,-0.4783,-0.2629
0.081,-0.127,-0.068,-5.5,-21.3,30.5,0,2018,5,10,15,32,9.809,-0.8295,0.1279,-0.476,-0.2624
0.118,-0.27,-0.169,0,56.5,31.4,0,2018,5,10,15,32,9.845,-0.8311,0.1279,-0.4766,-0.2562
0.094,0.077,0.046,0.7,79.7,31.1,0,2018,5,10,15,32,9.866,-0.8341,0.1193,-0.4792,-0.2455
0.033,0.396,0.366,-8.6,34.7,42.5,0,2018,5,10,15,32,9.871,-0.8365,0.1136,-0.4815,-0.2353
-0.061,0.295,0.697,-35.7,0.5,68.3,0,2018,5,10,15,32,9.89,-0.8371,0.1173,-0.4841,-0.2256
-0.169,0.172,0.391,-62.1,-0.8,101.9,0,2018,5,10,15,32,9.907,-0.836,0.1269,-0.4897,-0.2122
-0.102,0.181,-0.051,-70.6,19.2,136.9,0,2018,5,10,15,32,9.928,-0.8345,0.1385,-0.4973,-0.1923
-0.054,0.133,-0.188,-59.3,40.1,168.7,0,2018,5,10,15,32,9.968,-0.8344,0.1494,-0.5039,-0.1653
0.008,0.223,-0.15,-45.6,25.9,191.7,0,2018,5,10,15,32,9.989,-0.8356,0.1615,-0.5076,-0.134
-0.031,-0.099,0.02,-36.4,-1.3,203.5,0,2018,5,10,15,32,9.993,-0.8365,0.1781,-0.5077,-0.1028
0.077,-0.568,0.18,-36,12.5,198.9,0,2018,5,10,15,32,10.012,-0.8365,0.1964,-0.5064,-0.0719
