ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.037,-0.02,-0.254,92.7,11.7,37,1023,2018,4,25,16,20,8.238,0.8283,-0.1504,0.5378,-0.0435
-0.142,-0.114,-0.03,108.5,8,33.8,1023,2018,4,25,16,20,8.256,0.8378,-0.1528,0.5219,-0.0471
-0.252,-0.214,0.131,108.8,-26.6,23.7,1023,2018,4,25,16,20,8.278,0.8472,-0.1576,0.505,-0.0476
-0.293,-0.427,0.18,94,-26.3,5.6,1023,2018,4,25,16,20,8.296,0.855,-0.1646,0.4896,-0.0441
-0.104,-0.884,0.965,45.1,-69.3,-18,1023,2018,4,25,16,20,8.335,0.8587,-0.1747,0.4805,-0.0343
-0.381,-0.201,1.411,-6.9,118.9,-33.7,1023,2018,4,25,16,20,8.356,0.8616,-0.1664,0.4781,-0.0339
-0.319,0.18,0.922,-70.3,38.4,-39.5,1023,2018,4,25,16,20,8.36,0.8608,-0.1499,0.4849,-0.0363
-0.294,-0.063,0.341,-106.5,-7.7,-39.9,1023,2018,4,25,16,20,8.379,0.8532,-0.1454,0.4997,-0.0333
-0.123,-0.166,-0.158,-114.8,-9,-43.7,1023,2018,4,25,16,20,8.415,0.8432,-0.1422,0.5175,-0.0291
-0.096,-0.236,-0.588,-100,-17.9,-47.1,1023,2018,4,25,16,20,8.436,0.833,-0.14,0.5346,-0.0237
0.059,-0.098,-0.58,-73.8,35.7,-51.5,1023,2018,4,25,16,20,8.44,0.8252,-0.1339,0.5483,-0.0192
0.141,0.187,-0.49,-48.2,84.3,-42,0,2018,4,25,16,20,8.457,0.8208,-0.1203,0.5579,-0.0196
0.173,0.239,-0.666,-18.4,139.5,-29.1,0,2018,4,25,16,20,8.495,0.8199,-0.1006,0.5628,-0.0261
0.261,0.611,-0.589,14.2,163.7,-9.3,0,2018,4,25,16,20,8.517,0.8223,-0.0757,0.5624,-0.0392
0.216,0.745,-0.553,42.9,90.8,10.4,0,2018,4,25,16,20,8.521,0.8268,-0.0573,0.5571,-0.0519
0.149,0.606,-0.487,63,14.8,25.7,0,2018,4,25,16,20,8.539,0.8323,-0.0527,0.5486,-0.0587
0.049,0.264,-0.284,76.7,-29.2,33.1,0,2018,4,25,16,20,8.56,0.8385,-0.0579,0.5381,-0.0615
-0.06,0,-0.156,83.4,-44.1,31.5,0,2018,4,25,16,20,8.578,0.8451,-0.0675,0.5266,-0.0618
-0.135,-0.225,-0.157,87.1,-51.1,22.5,0,2018,4,25,16,20,8.599,0.8517,-0.0782,0.5144,-0.0605
-0.201,-0.536,-0.153,90,-49.3,4.8,0,2018,4,25,16,20,8.638,0.8587,-0.088,0.5014,-0.0567
-0.353,-0.54,0.245,73.6,-71.4,-26.2,0,2018,4,25,16,20,8.658,0.8654,-0.0955,0.4893,-0.0496
-0.381,-1.155,1.031,38.3,-40.3,-42.9,0,2018,4,25,16,20,8.662,0.8687,-0.1058,0.4825,-0.0355
-0.411,-0.325,1.197,-5,58.9,-62.7,0,2018,4,25,16,20,8.678,0.8711,-0.0962,0.4805,-0.0304
-0.333,-0.184,0.599,-46.1,20.1,-65.9,0,2018,4,25,16,20,8.697,0.8696,-0.085,0.4856,-0.0239
-0.219,-0.033,0.292,-66.4,-19.3,-64.2,0,2018,4,25,16,20,8.72,0.8649,-0.0795,0.4953,-0.0146
0.177,-0.052,-0.074,-63,-6.3,-55.3,0,2018,4,25,16,20,8.738,0.859,-0.0765,0.5061,-0.0053
0.473,0.317,-0.413,-37.3,43,-42.6,0,2018,4,25,16,20,8.761,0.8547,-0.0691,0.5144,-0.0004
0.542,0.79,-0.527,-12.7,88,-21.2,0,2018,4,25,16,20,8.799,0.8532,-0.0564,0.5183,-0.0018
0.493,0.962,-0.276,6.6,120.3,7.5,0,2018,4,25,16,20,8.82,0.8539,-0.0396,0.5186,-0.0108
0.228,1.006,-0.142,13.9,72.5,30.1,1023,2018,4,25,16,20,8.823,0.8555,-0.0263,0.5165,-0.0229
0.123,0.669,-0.285,16.4,7.6,44.8,1023,2018,4,25,16,20,8.842,0.8569,-0.0244,0.5138,-0.0318
0.028,0.341,-0.376,20.3,-32.6,54.2,1023,2018,4,25,16,20,8.88,0.8581,-0.0313,0.5109,-0.0379
-0.139,-0.026,-0.302,26.1,-37.7,58.2,1023,2018,4,25,16,20,8.9,0.8596,-0.0421,0.5073,-0.0429
-0.293,-0.395,-0.136,35.6,-28.8,52.9,1023,2018,4,25,16,20,8.904,0.8616,-0.0525,0.5025,-0.0481
-0.374,-0.607,-0.12,44.6,-19.8,34.8,1023,2018,4,25,16,20,8.92,0.8645,-0.0602,0.4961,-0.0524
-0.357,-0.618,-0.233,55.8,-29,11.1,1023,2018,4,25,16,20,8.957,0.8684,-0.066,0.4885,-0.0532
-0.431,-0.593,-0.136,55.6,-35.4,-10.7,1023,2018,4,25,16,20,8.978,0.8728,-0.0719,0.48,-0.0494
-0.32,-0.618,0.601,25.7,-73.5,-36.5,1023,2018,4,25,16,20,8.982,0.8758,-0.0796,0.4744,-0.0393
