ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.025,-0.03,0.006,7.3,26.8,13.3,0,2018,5,17,20,45,57.069,-0.8161,0.4234,0.3929,-0.0116
0.033,-0.038,-0.011,7.6,36.1,17.4,0,2018,5,17,20,45,57.082,-0.8181,0.4177,0.3949,-0.0124
0.024,-0.013,-0.015,9,41.9,21.1,0,2018,5,17,20,45,57.1,-0.8205,0.4107,0.3973,-0.0132
0.007,0.015,0.004,11.9,41.7,21.6,0,2018,5,17,20,45,57.124,-0.8228,0.4031,0.4003,-0.0139
-0.002,0.027,0.033,13.2,38.8,19.8,0,2018,5,17,20,45,57.142,-0.8249,0.3955,0.4034,-0.0146
0.013,0.046,0.053,14.4,37.4,18.3,0,2018,5,17,20,45,57.165,-0.8269,0.3881,0.4064,-0.0153
0.028,0.094,0.038,14.8,33.3,16.2,0,2018,5,17,20,45,57.184,-0.8288,0.3808,0.4095,-0.0163
0.032,0.117,0.021,14.4,18.6,13.4,0,2018,5,17,20,45,57.207,-0.8299,0.3749,0.4126,-0.0165
0.049,0.106,0.008,16.4,6.1,9.2,0,2018,5,17,20,45,57.224,-0.8299,0.3717,0.4155,-0.0166
0.046,0.123,0.008,17.4,-10.8,7.8,0,2018,5,17,20,45,57.239,-0.8289,0.3707,0.4184,-0.0161
0.072,0.036,0.01,21.2,-15.3,8.1,0,2018,5,17,20,45,57.262,-0.8268,0.3721,0.4215,-0.015
0.081,0.065,0.029,26.5,-12.4,12.1,0,2018,5,17,20,45,57.28,-0.8246,0.3727,0.4253,-0.0145
0.091,0.113,0.035,39.1,-32.5,10.3,0,2018,5,17,20,45,57.303,-0.8211,0.3743,0.4305,-0.0132
0.081,0.004,-0.002,41.9,-46,15.5,0,2018,5,17,20,45,57.322,-0.8155,0.3792,0.4369,-0.0114
0.047,-0.014,0.032,35.4,-48.3,22.6,0,2018,5,17,20,45,57.344,-0.8095,0.3845,0.4435,-0.0078
0.01,-0.039,0.032,36,-51.5,23.3,0,2018,5,17,20,45,57.363,-0.8037,0.3894,0.4497,-0.0032
-0.036,-0.104,0.002,31.9,-48.1,26,1023,2018,5,17,20,45,57.386,-0.7977,0.3944,0.4561,0.0016
-0.021,-0.105,0,27.4,-44.5,25.7,1023,2018,5,17,20,45,57.405,-0.792,0.3989,0.4619,0.0065
0.04,-0.035,-0.029,27.8,-49,22,1023,2018,5,17,20,45,57.427,-0.7865,0.4037,0.4672,0.0114
0.032,-0.062,-0.049,28,-47.2,16.7,1023,2018,5,17,20,45,57.445,-0.7802,0.4097,0.4722,0.0155
0.018,-0.105,-0.017,29.1,-40.6,17.6,1023,2018,5,17,20,45,57.467,-0.7744,0.4149,0.4771,0.0189
0.008,-0.124,0.036,29,-34.4,19.6,1023,2018,5,17,20,45,57.485,-0.7693,0.4187,0.4819,0.0218
0.006,-0.077,0.099,27,-32.5,20.8,1023,2018,5,17,20,45,57.502,-0.7648,0.4215,0.4864,0.0247
0.028,-0.052,0.106,26,-44.5,18.8,1023,2018,5,17,20,45,57.525,-0.76,0.4247,0.4909,0.0287
0,-0.066,0.074,23.9,-47.5,24.1,1023,2018,5,17,20,45,57.544,-0.7549,0.4289,0.4949,0.0334
-0.017,-0.09,0.086,23.5,-37.1,32.5,1023,2018,5,17,20,45,57.567,-0.7499,0.4322,0.4992,0.0387
0.008,-0.064,0.09,26.7,-22.5,40.3,1023,2018,5,17,20,45,57.585,-0.7458,0.4327,0.5044,0.0439
0.026,-0.015,0.086,33.5,-18.4,44.2,1023,2018,5,17,20,45,57.608,-0.742,0.4314,0.5107,0.0486
0.016,-0.001,0.042,40.2,-28.8,40.2,1023,2018,5,17,20,45,57.627,-0.737,0.4308,0.518,0.0532
0.005,-0.047,0.01,41.4,-44.8,39,1023,2018,5,17,20,45,57.664,-0.7301,0.4326,0.5257,0.0582
-0.049,-0.07,0.047,40,-47.7,44.6,1023,2018,5,17,20,45,57.687,-0.7224,0.4354,0.5331,0.0646
-0.108,-0.151,0.045,41.7,-30.1,51.3,1023,2018,5,17,20,45,57.692,-0.7152,0.4365,0.541,0.071
-0.146,-0.108,0.001,41.2,-12.8,54.9,1023,2018,5,17,20,45,57.708,-0.7091,0.4346,0.5498,0.0759
