ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
-0.185,0.468,-0.081,-67.5,-11.7,130.3,0,2018,5,17,21,30,9.2,0.3916,-0.5285,0.023,0.7527
-0.148,0.423,-0.098,-78.4,-29.7,161.3,0,2018,5,17,21,30,9.222,0.4083,-0.5401,0.0115,0.7357
-0.147,0.37,-0.091,-86.1,-32.8,190,0,2018,5,17,21,30,9.239,0.4275,-0.553,-0.0033,0.715
-0.126,0.301,-0.142,-91.1,-32.7,212.2,0,2018,5,17,21,30,9.262,0.4494,-0.566,-0.0202,0.6908
-0.076,0.311,-0.265,-93,-58,224.3,0,2018,5,17,21,30,9.299,0.4715,-0.5792,-0.0398,0.6637
0.012,0.21,-0.376,-92.1,-99.4,230.2,0,2018,5,17,21,30,9.323,0.4898,-0.5944,-0.0644,0.6344
0.056,0.072,-0.324,-85.1,-126.6,231.7,0,2018,5,17,21,30,9.327,0.504,-0.6108,-0.0934,0.6034
0.059,0.072,-0.292,-73.9,-140.1,228.9,0,2018,5,17,21,30,9.342,0.5146,-0.6265,-0.125,0.5718
0.076,0.025,-0.332,-56.3,-147.9,224.2,0,2018,5,17,21,30,9.365,0.5222,-0.6403,-0.1581,0.5405
0.099,-0.233,-0.29,-34.7,-144.2,213,0,2018,5,17,21,30,9.381,0.5271,-0.6512,-0.1922,0.511
0.151,-0.287,-0.258,-14.5,-131.8,195.6,0,2018,5,17,21,30,9.418,0.5298,-0.6586,-0.2253,0.4843
0.148,-0.262,-0.229,3.9,-119.8,174.7,0,2018,5,17,21,30,9.442,0.531,-0.6627,-0.2565,0.4614
0.155,-0.35,-0.158,16.4,-112.8,150.1,0,2018,5,17,21,30,9.445,0.5295,-0.6651,-0.2855,0.4422
0.161,-0.515,-0.075,25.1,-94.5,128.6,1023,2018,5,17,21,30,9.463,0.5264,-0.6663,-0.3116,0.4262
0.173,-0.466,-0.047,34,-69.7,106.6,1023,2018,5,17,21,30,9.5,0.5237,-0.665,-0.3337,0.4146
0.164,-0.317,-0.093,41.2,-50.6,83.5,1023,2018,5,17,21,30,9.523,0.521,-0.6624,-0.3519,0.4071
0.142,-0.217,-0.148,49.3,-46.1,61.3,1023,2018,5,17,21,30,9.528,0.5169,-0.6598,-0.3672,0.403
0.097,-0.306,-0.059,59.5,-39,42.5,1023,2018,5,17,21,30,9.542,0.5113,-0.6571,-0.3808,0.4019
0.058,-0.33,0.019,66.2,-22.2,28.1,1023,2018,5,17,21,30,9.565,0.5061,-0.653,-0.3923,0.4043
0.029,-0.248,0.037,69.5,-6,15.7,1023,2018,5,17,21,30,9.587,0.5016,-0.6476,-0.4013,0.4095
0.004,-0.147,0.004,68.9,0.5,2.7,1023,2018,5,17,21,30,9.605,0.4975,-0.6419,-0.4083,0.4166
-0.018,-0.07,-0.022,66.6,3.3,-5.8,1023,2018,5,17,21,30,9.625,0.4929,-0.6367,-0.4139,0.4244
-0.043,-0.057,-0.028,64.4,-0.1,-10.4,1023,2018,5,17,21,30,9.647,0.4878,-0.6324,-0.4187,0.432
-0.08,-0.082,0.016,62.3,-1,-12,1023,2018,5,17,21,30,9.663,0.4826,-0.6282,-0.4232,0.4395
-0.089,-0.052,0.021,59.5,0,-11.4,0,2018,5,17,21,30,9.7,0.4779,-0.6238,-0.4275,0.4467
-0.093,-0.012,0.01,56.2,-0.8,-11.9,0,2018,5,17,21,30,9.722,0.4733,-0.6196,-0.4317,0.4534
-0.105,0.036,0.005,51.5,0.2,-11.1,0,2018,5,17,21,30,9.726,0.4689,-0.6157,-0.4355,0.4595
-0.124,0.022,-0.006,46.9,3.9,-7.7,0,2018,5,17,21,30,9.745,0.4652,-0.612,-0.4389,0.465
-0.131,0.021,-0.001,42.2,9,-2.4,0,2018,5,17,21,30,9.765,0.4627,-0.6079,-0.4419,0.47
-0.126,0.031,-0.009,37,9.2,1.3,0,2018,5,17,21,30,9.788,0.4613,-0.6036,-0.4449,0.4741
-0.116,0.052,-0.019,31.7,3.8,3.6,0,2018,5,17,21,30,9.805,0.4601,-0.5996,-0.4481,0.4772
-0.095,0.039,-0.008,26.7,-1.7,5.2,0,2018,5,17,21,30,9.829,0.4587,-0.5966,-0.4513,0.4793
-0.083,0.025,-0.004,22.8,-4,5.8,0,2018,5,17,21,30,9.864,0.4574,-0.5942,-0.4546,0.4806
-0.07,0.024,-0.002,19.2,-4.7,5.7,0,2018,5,17,21,30,9.864,0.4561,-0.592,-0.4576,0.4814
-0.064,0.016,-0.006,14.9,-4.3,5.6,0,2018,5,17,21,30,9.886,0.4552,-0.5903,-0.4604,0.4819
-0.052,0.023,0.003,10.4,-5.8,4.8,0,2018,5,17,21,30,9.901,0.4544,-0.5891,-0.4626,0.482
