ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0,0.015,0,-0.2,-5.3,2.1,1023,2018,5,10,16,13,24.885,0.8147,-0.1849,0.5025,-0.2223
-0.008,0.009,0.007,-0.2,-3.9,1.9,1023,2018,5,10,16,13,24.907,0.8145,-0.1857,0.5026,-0.2219
-0.01,0.007,0.003,-0.7,-3.2,2.3,1023,2018,5,10,16,13,24.917,0.8143,-0.1863,0.5027,-0.222
-0.003,-0.01,0.007,-0.5,-0.7,2.8,1023,2018,5,10,16,13,24.936,0.8141,-0.1869,0.5027,-0.2224
-0.001,-0.002,0.003,-0.2,0.1,2.1,1023,2018,5,10,16,13,24.956,0.814,-0.1871,0.5026,-0.2229
-0.009,-0.017,0.008,-0.2,-0.5,1.6,1023,2018,5,10,16,13,24.994,0.8138,-0.1874,0.5025,-0.2233
-0.002,-0.008,0,-0.3,-0.7,1.2,1023,2018,5,10,16,13,25.014,0.8137,-0.1878,0.5024,-0.2237
-0.002,-0.005,-0.006,-0.8,0,0.8,1023,2018,5,10,16,13,25.016,0.8136,-0.188,0.5025,-0.2238
0.001,-0.002,-0.004,-0.7,1.9,0.8,1023,2018,5,10,16,13,25.034,0.8134,-0.188,0.5025,-0.2242
0.003,-0.003,-0.003,-0.4,2.4,0.9,1023,2018,5,10,16,13,25.07,0.8135,-0.1877,0.5025,-0.2244
0.003,-0.001,0.014,-0.2,4.1,1.1,0,2018,5,10,16,13,25.089,0.8135,-0.1873,0.5024,-0.2249
0.002,0.004,-0.004,0.2,2.5,1.4,0,2018,5,10,16,13,25.095,0.8135,-0.187,0.5022,-0.2254
-0.002,0,-0.015,0.6,1.7,1.4,0,2018,5,10,16,13,25.132,0.8135,-0.1868,0.5021,-0.2258
0,0.024,0.001,0.3,2,1.7,0,2018,5,10,16,13,25.152,0.8136,-0.1866,0.502,-0.2262
-0.009,0,0.019,-0.6,1.4,1.6,0,2018,5,10,16,13,25.157,0.8137,-0.1864,0.5018,-0.2264
-0.006,0.008,0,-1,3.6,2.4,0,2018,5,10,16,13,25.197,0.8136,-0.1862,0.5016,-0.2271
