ax,ay,az,dpitch,droll,dyaw,heart,time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z
0.042,0.004,-0.01,30.4,9.9,-10.7,0,2018,5,17,22,9,21.226,-0.3162,0.2034,0.4223,-0.8247
0.046,0.007,0.006,25.9,1.9,-10.4,0,2018,5,17,22,9,21.242,-0.3126,0.2001,0.4227,-0.8266
0.042,0.013,0.039,22,-6.2,-7.9,0,2018,5,17,22,9,21.277,-0.3093,0.1977,0.424,-0.8278
0.031,0.026,0.079,18.9,-10.8,-5.8,0,2018,5,17,22,9,21.301,-0.3065,0.1957,0.4258,-0.8284
-0.007,0.025,0.112,16.4,-12.4,-5.9,0,2018,5,17,22,9,21.304,-0.3041,0.1939,0.4278,-0.8287
-0.027,0.016,0.101,14.2,-11.9,-7.2,0,2018,5,17,22,9,21.321,-0.3019,0.1924,0.4294,-0.829
-0.033,0.003,0.066,13.9,-4.6,-7.8,0,2018,5,17,22,9,21.344,-0.2997,0.1908,0.4308,-0.8295
-0.034,-0.009,0.055,14.3,7.3,-6.2,0,2018,5,17,22,9,21.362,-0.2979,0.1887,0.4311,-0.8305
-0.026,0.022,0.043,14,16,-3.4,0,2018,5,17,22,9,21.385,-0.2968,0.1859,0.4297,-0.8322
-0.014,0.057,0.044,12.2,16.8,-0.8,0,2018,5,17,22,9,21.401,-0.2963,0.1828,0.4276,-0.8342
-0.013,0.059,0.035,8.5,12.3,1,1023,2018,5,17,22,9,21.438,-0.2961,0.18,0.4258,-0.8357
-0.014,0.043,0.017,4.3,5.9,2.4,1023,2018,5,17,22,9,21.461,-0.2963,0.1781,0.4248,-0.8366
-0.011,0.016,-0.018,0.6,1,3.4,1023,2018,5,17,22,9,21.466,-0.2968,0.1771,0.4246,-0.8367
-0.012,-0.018,-0.034,-2.2,-0.7,4.1,1023,2018,5,17,22,9,21.481,-0.2975,0.177,0.425,-0.8363
-0.013,-0.017,-0.034,-3.9,-0.9,4,1023,2018,5,17,22,9,21.504,-0.2984,0.1772,0.4256,-0.8356
-0.014,-0.019,-0.031,-5,-2.1,2.7,1023,2018,5,17,22,9,21.522,-0.2992,0.1776,0.4263,-0.8349
-0.012,-0.018,-0.041,-5.1,-3.2,0.7,1023,2018,5,17,22,9,21.545,-0.2998,0.1783,0.4269,-0.8342
-0.007,-0.031,-0.053,-4.1,-2.6,-0.9,1023,2018,5,17,22,9,21.582,-0.3001,0.1792,0.4278,-0.8334
-0.002,-0.021,-0.051,-2.4,1,-2.3,1023,2018,5,17,22,9,21.604,-0.2999,0.1799,0.4286,-0.833
-0.007,-0.01,-0.042,-0.9,2.1,-3.9,1023,2018,5,17,22,9,21.609,-0.2997,0.1804,0.4285,-0.833
-0.001,0.006,-0.025,0.1,1.5,-4.8,1023,2018,5,17,22,9,21.625,-0.2991,0.1807,0.4285,-0.8331
0.001,0.002,-0.017,0.1,-1.3,-5.2,1023,2018,5,17,22,9,21.646,-0.2983,0.181,0.4287,-0.8332
0.004,0,-0.015,0.2,-2.8,-5.5,1023,2018,5,17,22,9,21.683,-0.2974,0.1814,0.4292,-0.8332
0.007,-0.007,-0.02,-0.1,-3.2,-6,1023,2018,5,17,22,9,21.705,-0.2965,0.1822,0.4295,-0.8332
0.015,-0.017,-0.019,0.4,0.7,-6.6,1023,2018,5,17,22,9,21.707,-0.2955,0.1829,0.4297,-0.8333
0.014,-0.019,-0.022,1.1,5.3,-7.4,1023,2018,5,17,22,9,21.723,-0.2944,0.1833,0.4293,-0.8338
0.017,-0.013,-0.018,1.7,7.8,-8.2,1023,2018,5,17,22,9,21.744,-0.2934,0.1835,0.4284,-0.8346
0.017,-0.009,-0.013,2.1,8,-9.2,1023,2018,5,17,22,9,21.782,-0.2921,0.1836,0.4272,-0.8356
0.015,-0.013,-0.019,1.8,6.7,-11.1,1023,2018,5,17,22,9,21.803,-0.2907,0.184,0.4259,-0.8367
0.015,-0.025,-0.019,1.5,6.9,-12.5,0,2018,5,17,22,9,21.805,-0.2891,0.1845,0.4248,-0.8377
0.011,-0.033,-0.011,1.8,11.5,-13.8,0,2018,5,17,22,9,21.841,-0.2872,0.1849,0.4235,-0.8389
0.015,-0.016,-0.004,2.3,18.1,-14.8,0,2018,5,17,22,9,21.864,-0.2853,0.1849,0.4215,-0.8406
0.011,-0.005,-0.011,2.4,23.4,-15,0,2018,5,17,22,9,21.868,-0.2836,0.1848,0.4181,-0.8429
0.007,0.01,-0.003,1.5,26.6,-14.3,0,2018,5,17,22,9,21.904,-0.2821,0.1844,0.414,-0.8455
0.005,0.022,0.004,1.1,29.6,-13.6,0,2018,5,17,22,9,21.928,-0.2809,0.1839,0.4093,-0.8483
-0.001,0.052,0.014,1.6,33.7,-11.3,0,2018,5,17,22,9,21.932,-0.2801,0.183,0.404,-0.8513
-0.013,0.058,0.016,1.4,38.1,-8.5,0,2018,5,17,22,9,21.943,-0.2797,0.1816,0.3982,-0.8544
-0.002,0.062,0.001,1.3,43.2,-4.6,0,2018,5,17,22,9,21.983,-0.28,0.1796,0.3917,-0.8578
-0.01,0.056,-0.01,1.3,47,1.7,0,2018,5,17,22,9,22.005,-0.2811,0.1772,0.3848,-0.861
-0.012,0.06,-0.007,0.9,53.1,10.3,0,2018,5,17,22,9,22.01,-0.2837,0.174,0.3772,-0.8642
-0.037,0.083,-0.012,2.1,56.2,17.1,0,2018,5,17,22,9,22.026,-0.2876,0.1699,0.3689,-0.8673
-0.028,0.087,-0.007,1.8,51.7,22.5,0,2018,5,17,22,9,22.049,-0.2924,0.1652,0.361,-0.8699
-0.025,0.047,-0.022,2.5,47.1,25.1,0,2018,5,17,22,9,22.084,-0.2974,0.1605,0.3542,-0.8719
-0.012,0.009,-0.025,4.5,46.1,28.6,0,2018,5,17,22,9,22.107,-0.3027,0.1557,0.3482,-0.8734
-0.02,-0.019,-0.021,7,48.4,30.2,0,2018,5,17,22,9,22.111,-0.3082,0.1504,0.3424,-0.8747
-0.021,-0.026,-0.024,9.3,52.1,31.4,0,2018,5,17,22,9,22.131,-0.3139,0.1447,0.3361,-0.876
-0.018,-0.037,-0.023,10.8,51.7,29.9,0,2018,5,17,22,9,22.152,-0.3194,0.1385,0.3297,-0.8775
-0.016,-0.025,-0.043,11.7,47.8,26.3,0,2018,5,17,22,9,22.167,-0.3244,0.1324,0.3237,-0.8788
-0.006,0.001,-0.057,12.2,34.8,20.7,0,2018,5,17,22,9,22.185,-0.3284,0.1271,0.3186,-0.88
0.006,-0.02,-0.069,13.2,25.9,14.8,0,2018,5,17,22,9,22.208,-0.3312,0.1228,0.3153,-0.8807
0.002,-0.048,-0.057,14,20.7,6.9,0,2018,5,17,22,9,22.226,-0.3326,0.1191,0.3133,-0.8814
0.005,-0.071,-0.052,14.3,16.9,-0.9,0,2018,5,17,22,9,22.247,-0.3326,0.116,0.3121,-0.8823
0.009,-0.053,-0.037,13.3,12,-6.3,1023,2018,5,17,22,9,22.281,-0.3316,0.1138,0.3109,-0.8833
0,-0.016,-0.01,10.1,3.6,-11.3,1023,2018,5,17,22,9,22.304,-0.3298,0.1122,0.3105,-0.8844
0.004,-0.017,0.002,6,-4.7,-17.8,1023,2018,5,17,22,9,22.309,-0.3272,0.112,0.3107,-0.8852
0.004,-0.037,0.006,1.5,-8.1,-22,1023,2018,5,17,22,9,22.348,-0.3239,0.1131,0.3116,-0.886
0.009,-0.03,0.002,-1.9,-9.2,-22.8,1023,2018,5,17,22,9,22.371,-0.3202,0.1152,0.3127,-0.8867
0.015,-0.004,0.002,-3.9,-6.6,-20.6,1023,2018,5,17,22,9,22.375,-0.3169,0.1175,0.3133,-0.8874
0.004,-0.009,0,-4.5,3.8,-17,1023,2018,5,17,22,9,22.391,-0.3142,0.1195,0.313,-0.8882
-0.003,-0.003,0.006,-4.6,24,-9.3,1023,2018,5,17,22,9,22.412,-0.3128,0.1202,0.3103,-0.8895
-0.003,0.062,0,-1.5,48.9,3.7,1023,2018,5,17,22,9,22.435,-0.3134,0.1188,0.304,-0.8917
-0.053,0.168,0.011,-1.8,51.2,10.6,1023,2018,5,17,22,9,22.451,-0.316,0.1152,0.2954,-0.8941
-0.061,0.081,0.009,-3.5,46.7,10.6,1023,2018,5,17,22,9,22.469,-0.3191,0.1122,0.2873,-0.896
-0.05,0.029,0.012,-4.9,48,10.6,1023,2018,5,17,22,9,22.492,-0.3221,0.109,0.2797,-0.8978
-0.019,-0.041,-0.03,-3.5,61.5,14.1,1023,2018,5,17,22,9,22.508,-0.3254,0.1059,0.2715,-0.8995
-0.012,-0.023,-0.026,0.1,83.5,19.3,1023,2018,5,17,22,9,22.531,-0.3296,0.1012,0.2606,-0.9017
-0.031,0.063,0.001,1.5,83.7,21.9,1023,2018,5,17,22,9,22.569,-0.3344,0.0948,0.2476,-0.9043
-0.043,0.122,0.027,-0.7,60.3,20.5,1023,2018,5,17,22,9,22.591,-0.3391,0.0887,0.236,-0.9062
-0.031,0.109,0.022,-2.6,30.7,19.1,1023,2018,5,17,22,9,22.595,-0.3433,0.0848,0.2282,-0.9071
-0.021,0.112,-0.001,-4.2,2.4,18.7,1023,2018,5,17,22,9,22.611,-0.3469,0.0831,0.2248,-0.9067
-0.03,0.117,-0.029,-5.6,-26.7,19.8,1023,2018,5,17,22,9,22.634,-0.3502,0.0834,0.226,-0.9051
